Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,71.61,72.6,71.56,72.52,60.79,2531900
2017-05-25,72.85,73.12,72.41,72.68,60.92,2218300
2017-05-26,72.81,73.03,72.29,72.62,60.87,1312600
2017-05-30,71.94,71.94,71.18,71.68,60.52,1827200
2017-05-31,71.81,72.17,71.55,71.6,60.45,1711800
2017-06-01,71.89,72.95,71.56,72.94,61.58,2075300
2017-06-02,73.5,73.5,72.73,72.97,61.61,1760000
2017-06-05,72.66,73.04,72.55,72.95,61.59,1542900
2017-06-06,72.84,73.09,72.64,72.84,61.5,1176700
2017-06-07,72.75,73.23,72.7,73.13,61.74,1631000
2017-06-08,73.13,73.25,72.23,72.25,61.0,1860300
2017-06-09,72.19,72.77,72.08,72.66,61.35,1403800
2017-06-12,72.79,73.63,72.75,73.08,61.7,2518800
2017-06-13,72.87,73.47,72.33,73.3,61.89,1675700
2017-06-14,73.56,74.28,73.44,73.49,62.05,1690500
2017-06-15,73.3,73.64,72.89,73.1,61.72,1661000
2017-06-16,72.94,73.0,71.08,71.88,60.69,3595800
2017-06-19,72.0,72.13,71.36,71.76,60.59,2270600
2017-06-20,71.8,72.0,71.06,71.09,60.02,1785300
2017-06-21,71.28,71.47,70.39,70.48,59.51,1598200
2017-06-22,70.5,70.95,70.35,70.41,59.45,1602100
2017-06-23,70.5,70.89,70.39,70.56,59.57,1715000
2017-06-26,70.77,71.36,70.53,70.99,59.94,1204900
2017-06-27,70.12,70.27,69.29,69.34,58.54,3023600
2017-06-28,69.87,70.36,69.5,69.53,58.7,2100800
2017-06-29,69.5,69.58,68.56,68.69,57.99,3505600
2017-06-30,69.11,69.91,69.05,69.46,58.64,2498300
2017-07-03,69.58,69.58,68.74,68.76,58.05,1086100
2017-07-05,68.73,68.95,67.57,67.7,57.16,4124400
2017-07-06,67.53,67.8,66.5,66.55,56.19,2709400
2017-07-07,66.65,66.9,66.41,66.52,56.16,2991200
2017-07-10,66.54,66.69,65.78,65.87,55.61,2589800
2017-07-11,65.63,66.08,65.32,65.34,55.17,2706800
2017-07-12,65.74,66.17,65.66,65.74,55.5,1369900
2017-07-13,65.76,66.19,65.61,66.02,55.74,2021800
2017-07-14,66.3,66.45,66.15,66.38,56.04,1414300
2017-07-17,66.23,66.94,66.23,66.75,56.36,1785000
2017-07-18,66.7,66.75,66.15,66.26,55.94,1957100
2017-07-19,66.44,66.7,66.23,66.35,56.02,1775100
2017-07-20,66.45,66.86,66.24,66.75,56.36,3329700
2017-07-21,66.61,67.28,66.54,67.22,56.75,1462400
2017-07-24,67.25,67.49,66.65,66.83,56.42,1739700
2017-07-25,66.97,67.7,66.83,67.57,57.05,1772800
2017-07-26,67.57,67.64,67.05,67.31,56.83,1156700
2017-07-27,67.27,67.75,67.05,67.68,57.14,2414500
2017-07-28,67.65,67.8,67.35,67.65,57.12,1787900
2017-07-31,67.75,68.19,67.54,68.0,57.41,4095400
2017-08-01,67.96,68.15,67.29,67.46,56.96,2021400
2017-08-02,67.21,67.98,66.53,67.44,56.94,2580500
2017-08-03,68.1,70.93,67.81,70.36,59.4,5046700
2017-08-04,71.52,71.65,69.37,69.62,58.78,2864700
2017-08-07,69.81,70.15,69.62,70.11,59.19,2923900
2017-08-08,69.84,69.94,68.96,69.22,58.44,1702700
2017-08-09,69.03,69.32,68.89,69.04,58.29,1565900
2017-08-10,68.84,69.04,68.6,68.75,58.04,2022600
2017-08-11,68.63,69.0,68.48,68.81,58.1,1054900
2017-08-14,69.25,69.87,69.02,69.86,58.98,1984600
2017-08-15,69.89,70.08,69.63,69.81,58.94,1405700
2017-08-16,69.71,70.54,69.71,70.07,59.16,1297100
2017-08-17,69.94,70.59,69.92,70.1,59.18,2106200
2017-08-18,70.05,70.07,69.54,69.95,59.06,1975900
2017-08-21,69.97,70.68,69.68,70.2,59.27,1281000
2017-08-22,70.14,70.26,69.72,70.0,59.1,1861200
2017-08-23,69.69,70.07,69.58,69.91,59.02,1756400
2017-08-24,69.43,69.44,67.82,67.91,57.34,2713700
2017-08-25,68.0,68.1,67.4,67.71,57.17,2241300
2017-08-28,67.76,67.81,66.31,66.78,56.38,2045500
2017-08-29,66.76,66.99,66.06,66.3,55.98,1833900
2017-08-30,66.0,66.18,65.49,66.05,56.22,2120300
2017-08-31,65.64,66.1,65.16,65.46,55.72,3006500
2017-09-01,65.47,65.79,65.06,65.45,55.71,2474700
2017-09-05,65.48,66.64,65.43,66.4,56.52,3256300
2017-09-06,66.35,67.87,65.94,67.84,57.75,4069100
2017-09-07,67.95,68.43,67.22,67.75,57.67,2490400
2017-09-08,67.72,68.8,67.38,68.45,58.27,2764600
2017-09-11,68.6,69.11,68.56,68.77,58.54,2665700
2017-09-12,68.69,69.22,68.35,68.49,58.3,1437200
2017-09-13,68.53,68.77,67.87,67.98,57.87,1764000
2017-09-14,67.84,68.03,67.2,67.62,57.56,2732600
2017-09-15,67.67,68.32,67.62,68.32,58.16,2579100
2017-09-18,68.31,68.65,68.09,68.61,58.4,1876400
2017-09-19,67.87,68.03,65.6,65.87,56.07,5904400
2017-09-20,64.89,65.59,63.7,64.72,55.09,6004100
2017-09-21,64.72,64.99,63.72,63.92,54.41,2342000
2017-09-22,64.08,64.38,63.11,63.36,53.93,1962200
2017-09-25,63.32,64.23,63.0,64.03,54.5,2996700
2017-09-26,63.93,63.95,62.97,63.42,53.98,2929100
2017-09-27,63.42,63.48,62.41,63.04,53.66,3092100
2017-09-28,62.94,63.77,62.3,62.81,53.47,3940200
2017-09-29,63.05,63.18,62.11,62.37,53.09,4069100
2017-10-02,62.22,63.12,61.7,62.72,53.39,4200200
2017-10-03,62.71,62.82,61.99,62.02,52.79,2831500
2017-10-04,61.98,62.82,61.96,62.42,53.13,2804100
2017-10-05,62.56,63.15,62.37,62.7,53.37,2251500
2017-10-06,62.91,63.19,62.33,62.4,53.12,3205800
2017-10-09,62.42,62.48,61.03,61.04,51.96,4129700
2017-10-10,61.27,61.73,61.12,61.47,52.32,3694100
2017-10-11,61.54,61.95,61.22,61.25,52.14,4974900
2017-10-12,61.19,62.59,61.19,62.39,53.11,3105700
2017-10-13,62.44,62.46,61.64,61.96,52.74,2875600
2017-10-16,61.89,62.26,61.82,61.91,52.7,1754800
2017-10-17,61.87,62.09,61.59,61.74,52.55,2032200
2017-10-18,61.75,61.96,61.53,61.79,52.6,2688600
2017-10-19,61.72,61.97,61.41,61.7,52.52,2221700
2017-10-20,61.66,61.75,60.96,61.45,52.31,3908000
2017-10-23,61.55,61.92,61.32,61.48,52.33,3461700
2017-10-24,61.46,61.74,60.97,61.2,52.09,3030500
2017-10-25,60.96,61.06,60.01,60.48,51.48,4314800
2017-10-26,60.76,60.89,60.03,60.55,51.54,3217500
2017-10-27,60.42,60.49,59.82,60.26,51.29,3142900
2017-10-30,60.07,60.16,58.76,58.87,50.11,6126000
2017-10-31,62.49,63.93,61.77,62.53,53.23,11598400
2017-11-01,62.64,63.72,61.81,63.01,53.64,4620500
2017-11-02,62.84,63.07,62.34,62.38,53.1,3334800
2017-11-03,62.44,62.49,61.65,61.96,52.74,3072000
2017-11-06,61.85,61.85,60.19,60.2,51.24,3584200
2017-11-07,60.25,61.39,60.13,60.84,51.79,6320100
2017-11-08,61.0,62.97,60.86,62.82,53.47,4624500
2017-11-09,62.69,63.42,62.49,63.28,53.87,4600700
2017-11-10,63.04,65.19,62.91,64.7,55.07,6215500
2017-11-13,64.6,65.0,63.62,63.76,54.27,3419100
2017-11-14,63.75,65.25,63.6,65.18,55.48,4270100
2017-11-15,65.0,65.06,63.0,63.74,54.26,4553500
2017-11-16,64.05,65.34,63.88,65.28,55.57,2948800
2017-11-17,64.98,65.84,64.93,65.36,55.64,4617500
2017-11-20,65.28,66.22,65.25,65.56,55.81,4112900
2017-11-21,65.27,65.27,64.07,64.35,54.78,3875600
2017-11-22,64.94,64.94,64.16,64.71,55.08,1770700
2017-11-24,64.96,65.03,64.5,64.93,55.27,797500
2017-11-27,64.9,65.34,64.4,65.07,55.39,1877800
2017-11-28,65.23,65.96,64.78,65.94,56.13,2060700
2017-11-29,65.59,67.74,65.59,66.8,56.86,3235400
2017-11-30,66.79,67.22,65.74,66.16,56.78,4505900
2017-12-01,66.02,66.53,65.09,65.99,56.63,3329800
2017-12-04,66.15,67.72,65.97,67.54,57.96,4200600
2017-12-05,67.65,68.29,67.28,67.97,58.33,4446200
2017-12-06,67.97,68.29,67.64,68.13,58.47,1890700
2017-12-07,68.0,68.13,67.24,67.27,57.73,1758900
2017-12-08,67.07,67.23,66.36,66.53,57.09,2361200
2017-12-11,66.46,66.63,66.03,66.55,57.11,1767400
2017-12-12,66.62,66.62,65.93,65.95,56.6,2145700
2017-12-13,66.22,66.32,65.79,65.83,56.49,3051300
2017-12-14,65.75,65.87,65.01,65.05,55.82,3022200
2017-12-15,65.18,65.92,64.21,64.99,55.77,7038500
2017-12-18,65.1,66.13,64.9,65.64,56.33,4558800
2017-12-19,65.93,66.02,65.38,65.47,56.18,5184200
2017-12-20,65.72,67.15,65.14,66.87,57.38,5328200
2017-12-21,66.9,67.84,66.83,67.65,58.05,3461300
2017-12-22,67.78,68.25,67.67,68.1,58.44,2451500
2017-12-26,67.96,68.22,67.8,68.15,58.48,1372700
2017-12-27,68.21,68.71,68.09,68.29,58.6,1603100
2017-12-28,68.23,68.39,67.77,68.03,58.38,1538500
2017-12-29,68.16,68.62,67.96,67.98,58.34,1154800
2018-01-02,68.03,68.17,67.6,67.97,58.33,2978200
2018-01-03,68.11,68.13,67.41,67.65,58.05,2223100
2018-01-04,67.73,68.77,67.49,68.73,58.98,2438800
2018-01-05,68.85,69.19,68.6,68.94,59.16,2211900
2018-01-08,68.87,69.21,68.62,69.17,59.36,1940800
2018-01-09,69.2,69.21,68.6,68.78,59.02,3050800
2018-01-10,68.34,68.46,66.82,67.02,57.51,3379900
2018-01-11,67.29,67.29,65.57,65.98,56.62,3897400
2018-01-12,66.01,66.06,64.66,64.69,55.51,4940200
2018-01-16,65.25,66.2,65.06,65.94,56.59,4747400
2018-01-17,66.22,67.38,66.13,66.51,57.08,3809000
2018-01-18,66.37,66.37,65.36,65.8,56.47,3429800
2018-01-19,65.95,67.01,65.8,66.62,57.17,3454600
2018-01-22,66.95,67.19,66.28,67.17,57.64,2143900
2018-01-23,66.97,67.32,66.51,66.93,57.44,1788500
2018-01-24,67.04,67.85,67.01,67.3,57.75,4236800
2018-01-25,67.37,68.35,67.33,67.91,58.28,2206200
2018-01-26,67.79,68.44,67.62,68.33,58.64,2352900
2018-01-29,68.12,68.41,67.73,67.76,58.15,2125400
2018-01-30,67.67,68.24,67.11,67.94,58.3,2789000
2018-01-31,68.03,68.55,67.42,68.11,58.45,3145600
2018-02-01,68.0,68.96,67.17,68.32,58.63,3026800
2018-02-02,68.17,68.17,65.42,65.45,56.17,3240400
2018-02-05,65.64,66.34,64.08,64.13,55.03,4194800
2018-02-06,63.14,65.31,62.96,65.16,55.92,5066200
2018-02-07,65.17,66.7,64.16,64.21,55.1,4871300
2018-02-08,64.59,67.32,64.55,65.98,56.62,5911800
2018-02-09,66.6,67.78,66.0,67.33,57.78,4226500
2018-02-12,67.65,68.47,66.96,67.07,57.56,3287700
2018-02-13,66.89,67.8,66.67,67.49,57.92,3139800
2018-02-14,67.32,68.02,66.72,67.74,58.13,2367300
2018-02-15,68.1,69.93,67.35,69.82,59.92,3559700
2018-02-16,69.14,69.89,68.79,69.66,59.78,2020000
2018-02-20,69.33,70.29,69.33,69.68,59.8,3399800
2018-02-21,69.51,69.86,68.25,68.31,58.62,2780900
2018-02-22,68.34,69.6,68.16,68.26,58.58,1825900
2018-02-23,68.13,68.54,66.92,68.54,58.82,2779100
2018-02-26,68.46,69.16,67.8,68.95,59.17,1917600
2018-02-27,69.0,69.3,67.11,67.13,57.61,3125100
2018-02-28,67.24,67.47,66.18,66.2,56.81,2130000
2018-03-01,66.81,67.84,66.4,66.91,57.42,2790500
