Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,18.11,18.13,17.85,18.07,15.07,10659600
2017-05-25,18.01,18.25,17.93,18.14,15.21,9942700
2017-05-26,18.07,18.19,17.91,17.99,15.08,7116300
2017-05-30,17.86,17.92,17.67,17.83,14.95,6391900
2017-05-31,17.84,17.89,17.4,17.47,14.64,14720400
2017-06-01,17.58,17.76,17.35,17.66,14.8,22276100
2017-06-02,17.41,17.52,17.26,17.41,14.59,15596400
2017-06-05,17.43,17.69,17.41,17.49,14.66,14822500
2017-06-06,17.29,17.6,17.2,17.49,14.66,10812400
2017-06-07,17.59,17.9,17.5,17.8,14.92,15073300
2017-06-08,17.8,18.43,17.69,18.2,15.26,15657300
2017-06-09,18.38,18.74,18.35,18.62,15.61,13901900
2017-06-12,18.65,18.91,18.58,18.58,15.57,11281300
2017-06-13,18.7,18.82,18.61,18.67,15.65,10203400
2017-06-14,18.5,18.82,18.3,18.8,15.76,10790800
2017-06-15,18.64,18.9,18.62,18.68,15.66,6848600
2017-06-16,18.67,18.71,18.48,18.54,15.54,12042800
2017-06-19,18.68,18.89,18.67,18.79,15.75,8896800
2017-06-20,18.76,18.76,18.57,18.57,15.57,5331700
2017-06-21,18.63,18.63,18.32,18.39,15.41,6954000
2017-06-22,18.35,18.4,18.08,18.2,15.26,7246000
2017-06-23,18.3,18.3,17.79,17.9,15.0,9008200
2017-06-26,17.94,18.25,17.86,18.12,15.19,7524200
2017-06-27,18.23,18.54,18.2,18.2,15.26,8513600
2017-06-28,18.36,18.61,18.32,18.38,15.41,10452200
2017-06-29,18.82,19.1,18.52,18.73,15.7,12974700
2017-06-30,18.8,18.89,18.55,18.74,15.71,8456700
2017-07-03,18.9,19.18,18.87,19.02,15.94,4962100
2017-07-05,19.07,19.2,18.8,19.2,16.09,9349500
2017-07-06,19.18,19.34,18.96,19.0,15.93,10376100
2017-07-07,19.09,19.29,18.97,19.22,16.11,8669500
2017-07-10,19.25,19.39,19.16,19.29,16.17,7303900
2017-07-11,19.4,19.48,19.22,19.24,16.13,9377200
2017-07-12,19.16,19.27,19.0,19.15,16.05,7816900
2017-07-13,19.2,19.38,19.16,19.37,16.24,6481300
2017-07-14,19.11,19.33,18.9,19.21,16.1,10806400
2017-07-17,19.18,19.18,18.99,19.14,16.04,8731000
2017-07-18,19.0,19.09,18.84,18.95,15.88,8289800
2017-07-19,19.0,19.12,18.84,19.07,15.98,9973300
2017-07-20,18.74,18.75,18.14,18.37,15.4,24780700
2017-07-21,18.42,18.49,17.96,18.02,15.1,18742900
2017-07-24,18.01,18.4,18.01,18.3,15.34,12013300
2017-07-25,18.64,18.77,18.46,18.48,15.49,14646300
2017-07-26,18.55,18.55,17.97,18.03,15.11,12352700
2017-07-27,18.09,18.12,17.91,18.06,15.14,13765000
2017-07-28,18.07,18.14,17.73,17.91,15.01,13865000
2017-07-31,18.02,18.22,17.98,18.04,15.12,12128900
2017-08-01,18.16,18.2,17.98,18.11,15.18,9126700
2017-08-02,18.09,18.2,18.03,18.07,15.15,8669600
2017-08-03,18.06,18.14,17.98,18.03,15.11,9883000
2017-08-04,18.23,18.7,18.22,18.4,15.42,14673600
2017-08-07,18.44,18.5,18.29,18.32,15.36,8134700
2017-08-08,18.3,18.7,18.23,18.35,15.38,8701200
2017-08-09,18.16,18.27,18.05,18.12,15.19,8139600
2017-08-10,17.94,17.97,17.6,17.62,14.77,10471800
2017-08-11,17.65,17.79,17.39,17.52,14.69,12267600
2017-08-14,17.8,17.92,17.68,17.91,15.01,8556700
2017-08-15,18.09,18.21,17.9,17.91,15.01,7790500
2017-08-16,18.0,18.06,17.86,17.98,15.07,15221000
2017-08-17,17.9,18.16,17.76,17.79,14.91,36375900
2017-08-18,17.72,17.81,17.52,17.59,14.74,16152500
2017-08-21,17.57,17.6,17.3,17.41,14.59,8797000
2017-08-22,17.48,17.67,17.44,17.62,14.77,8196600
2017-08-23,17.45,17.78,17.44,17.68,14.82,8521300
2017-08-24,17.74,17.8,17.58,17.64,14.79,8795600
2017-08-25,17.61,17.71,17.57,17.59,14.82,6758600
2017-08-28,17.6,17.67,17.37,17.39,14.66,4875300
2017-08-29,17.14,17.29,16.99,17.25,14.54,9544400
2017-08-30,17.3,17.41,17.22,17.28,14.56,6742600
2017-08-31,17.36,17.4,17.2,17.21,14.5,6444300
2017-09-01,17.27,17.47,17.19,17.36,14.63,7520900
2017-09-05,17.18,17.21,16.78,16.79,14.15,11862500
2017-09-06,16.89,17.09,16.79,16.91,14.25,7144500
2017-09-07,16.89,16.89,16.28,16.47,13.88,12218500
2017-09-08,16.44,16.75,16.42,16.62,14.01,7748700
2017-09-11,16.84,17.18,16.84,17.03,14.35,8059100
2017-09-12,17.13,17.61,17.11,17.46,14.71,12452600
2017-09-13,17.43,17.87,17.38,17.86,15.05,13308100
2017-09-14,17.92,18.11,17.82,17.88,15.07,14608700
2017-09-15,17.82,17.93,17.65,17.92,15.1,12743300
2017-09-18,17.97,18.2,17.91,18.09,15.25,9390100
2017-09-19,18.1,18.21,17.96,18.12,15.27,11923200
2017-09-20,18.11,18.19,17.78,18.15,15.3,19322800
2017-09-21,18.11,18.31,17.99,18.25,15.38,14381300
2017-09-22,18.2,18.36,18.06,18.32,15.44,7692400
2017-09-25,18.27,18.43,18.15,18.27,15.4,6628600
2017-09-26,18.32,18.41,18.21,18.34,15.46,5586100
2017-09-27,18.66,18.79,18.45,18.67,15.73,10743800
2017-09-28,18.69,18.72,18.42,18.66,15.73,7268900
2017-09-29,18.58,18.94,18.58,18.82,15.86,6927600
2017-10-02,18.88,18.97,18.68,18.9,15.93,11678900
2017-10-03,18.91,18.97,18.66,18.74,15.79,6771800
2017-10-04,18.7,18.76,18.54,18.57,15.65,8185100
2017-10-05,18.59,18.88,18.49,18.77,15.82,13747800
2017-10-06,18.83,19.03,18.67,18.69,15.75,11723600
2017-10-09,18.73,18.75,18.52,18.57,15.65,8619700
2017-10-10,18.56,18.72,18.55,18.65,15.72,11992800
2017-10-11,18.58,18.64,18.42,18.44,15.54,12377800
2017-10-12,18.5,18.55,18.22,18.24,15.37,16322800
2017-10-13,18.19,18.4,17.97,18.19,15.33,13147600
2017-10-16,18.22,18.46,18.18,18.43,15.53,13249800
2017-10-17,18.45,18.52,18.15,18.19,15.33,8031900
2017-10-18,18.29,18.62,18.09,18.58,15.66,25823000
2017-10-19,17.97,18.29,17.76,18.25,15.38,22308200
2017-10-20,18.46,18.52,18.31,18.49,15.58,12365400
2017-10-23,18.53,18.68,18.43,18.45,15.55,10385300
2017-10-24,18.55,18.74,18.43,18.46,15.56,11723000
2017-10-25,18.81,18.82,18.2,18.32,15.44,12014600
2017-10-26,18.34,18.62,18.29,18.52,15.61,14302400
2017-10-27,18.45,18.49,18.32,18.37,15.48,10633100
2017-10-30,18.25,18.41,18.14,18.23,15.36,6444800
2017-10-31,18.27,18.45,18.23,18.25,15.38,8859800
2017-11-01,18.33,18.58,18.27,18.28,15.41,7484600
2017-11-02,18.23,18.47,18.11,18.44,15.54,10790100
