Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,92.0,92.66,91.78,92.59,74.51,1814900
2017-05-25,92.69,93.01,92.38,92.81,74.69,1665400
2017-05-26,92.9,93.09,92.52,92.99,74.83,1308000
2017-05-30,92.94,93.0,92.19,92.46,74.41,1952600
2017-05-31,92.63,92.95,91.97,92.2,74.2,2283000
2017-06-01,92.35,92.74,91.42,92.73,74.62,2466000
2017-06-02,92.94,93.55,92.38,93.54,75.28,2506100
2017-06-05,93.58,93.7,93.05,93.44,75.2,1707500
2017-06-06,93.45,93.87,93.08,93.21,75.01,1758500
2017-06-07,93.45,93.88,93.14,93.77,75.46,1987300
2017-06-08,93.46,93.67,92.47,92.57,74.5,2458700
2017-06-09,92.48,92.54,90.46,90.83,73.1,2801800
2017-06-12,90.6,92.42,90.43,91.25,73.43,2720600
2017-06-13,90.68,91.66,90.17,91.59,73.71,1909800
2017-06-14,92.15,92.45,90.99,91.46,73.6,1697300
2017-06-15,91.16,91.84,91.01,91.65,73.76,2312700
2017-06-16,90.87,91.22,88.91,89.41,71.95,7470600
2017-06-19,89.96,90.24,89.02,89.85,72.31,3331600
2017-06-20,89.66,89.77,89.14,89.28,71.85,2659500
2017-06-21,89.31,89.7,89.11,89.4,71.95,2186200
2017-06-22,89.47,89.75,88.89,89.1,71.7,2721000
2017-06-23,89.4,89.4,88.57,88.85,71.5,4205800
2017-06-26,89.53,89.73,88.87,88.94,71.57,1704300
2017-06-27,88.76,88.95,87.48,87.51,70.42,2962100
2017-06-28,88.11,88.49,87.21,87.82,70.67,3032300
2017-06-29,87.69,87.81,85.45,85.76,69.02,5189200
2017-06-30,87.2,87.27,85.5,85.64,68.92,3415000
2017-07-03,85.96,86.1,84.39,84.47,67.98,2905500
2017-07-05,84.46,84.76,83.64,83.79,67.43,4607700
2017-07-06,83.3,83.61,82.62,82.82,66.65,3403100
2017-07-07,82.58,83.9,82.2,83.04,66.83,3454600
2017-07-10,83.39,83.73,82.76,82.77,66.61,2980600
2017-07-11,82.2,83.99,82.2,83.75,67.4,5022700
2017-07-12,84.33,85.18,84.29,84.7,68.16,4026400
2017-07-13,84.74,85.04,84.33,84.85,68.28,2626500
2017-07-14,85.31,85.7,84.83,85.65,68.93,2533600
2017-07-17,85.68,85.75,85.09,85.6,68.89,1831500
2017-07-18,85.69,85.85,85.17,85.6,68.89,1586800
2017-07-19,85.63,85.85,85.21,85.69,68.96,2184500
2017-07-20,86.1,86.1,85.67,85.9,69.13,2770500
2017-07-21,85.66,86.19,85.41,86.16,69.34,2840800
2017-07-24,86.12,86.31,85.6,86.22,69.39,1881400
2017-07-25,86.24,87.61,86.14,87.42,70.35,3016900
2017-07-26,87.5,90.38,87.41,87.66,70.54,2935300
2017-07-27,87.53,88.22,87.31,88.19,70.97,3025800
2017-07-28,87.8,88.07,87.07,87.64,70.53,1902100
2017-07-31,87.79,87.99,86.98,87.46,70.38,2593100
2017-08-01,87.38,87.77,86.55,86.67,69.75,3281500
2017-08-02,86.29,87.14,85.48,86.87,69.91,3770500
2017-08-03,86.9,87.6,86.33,86.51,69.62,3966400
2017-08-04,87.58,87.58,85.98,86.66,69.74,8002300
2017-08-07,86.54,87.23,86.26,87.02,70.03,3195100
2017-08-08,86.64,86.98,86.02,86.16,69.34,3125500
2017-08-09,86.0,86.74,85.51,86.46,69.58,2527100
2017-08-10,85.92,86.4,85.58,85.89,69.12,3015600
2017-08-11,85.9,86.57,85.64,86.47,69.59,2538900
2017-08-14,86.75,87.29,86.5,87.02,70.03,2473400
2017-08-15,87.05,87.2,86.5,86.74,69.8,1766700
2017-08-16,86.45,86.68,86.28,86.5,70.12,1920100
2017-08-17,86.27,86.76,85.08,85.11,68.99,3023000
2017-08-18,84.92,85.28,84.16,84.49,68.49,2833500
2017-08-21,84.73,84.73,84.25,84.55,68.54,1764700
2017-08-22,84.76,85.13,84.65,85.05,68.94,2038600
2017-08-23,84.95,85.16,84.48,84.75,68.7,1687600
2017-08-24,84.5,84.59,82.69,82.8,67.12,3438100
2017-08-25,83.28,83.32,82.45,82.6,66.96,3285600
2017-08-28,82.78,83.0,81.62,82.14,66.58,2644100
2017-08-29,81.78,82.11,81.09,81.44,66.01,3491400
2017-08-30,81.5,82.19,81.23,81.93,66.41,3426800
2017-08-31,81.1,82.1,80.29,80.75,65.46,5374100
2017-09-01,80.75,81.1,80.1,80.85,65.54,4889900
2017-09-05,80.72,81.5,80.55,81.15,65.78,3301700
2017-09-06,81.23,81.4,80.83,81.33,65.93,2517500
2017-09-07,81.45,81.72,80.83,81.46,66.03,3257200
2017-09-08,81.45,82.02,80.66,81.72,66.24,3546800
2017-09-11,82.1,82.56,81.96,82.55,66.91,2905500
2017-09-12,82.82,82.98,82.06,82.18,66.61,2256000
2017-09-13,82.26,82.35,81.67,81.91,66.4,2939200
2017-09-14,81.98,82.0,81.0,81.28,65.89,2987900
2017-09-15,81.33,81.88,80.52,81.43,66.01,5962900
2017-09-18,81.24,81.61,81.04,81.4,65.98,2766200
2017-09-19,81.3,81.42,80.6,80.83,65.52,2382900
2017-09-20,80.49,80.56,79.13,79.87,64.74,6182400
2017-09-21,79.99,80.46,78.94,79.01,64.05,2962700
2017-09-22,79.01,79.24,77.4,77.52,62.84,4792600
2017-09-25,77.6,78.45,77.47,78.42,63.57,4332600
2017-09-26,78.6,78.91,78.03,78.59,63.7,3160300
2017-09-27,78.64,78.8,77.8,78.23,63.41,3278800
2017-09-28,78.28,78.75,77.73,77.97,63.2,2804500
2017-09-29,78.03,78.27,77.44,77.55,62.86,3781800
2017-10-02,77.55,78.27,76.89,77.85,63.1,3635900
2017-10-03,77.95,78.14,77.29,77.82,63.08,2372900
2017-10-04,77.23,78.15,76.76,77.77,63.04,3681100
2017-10-05,77.95,78.49,77.7,78.25,63.43,2845300
2017-10-06,78.84,78.94,77.99,78.18,63.37,2355900
2017-10-09,78.29,78.62,77.19,77.33,62.68,2673700
2017-10-10,77.75,78.25,77.66,78.14,63.34,2984700
2017-10-11,78.06,78.66,77.92,78.19,63.38,2327700
2017-10-12,78.35,78.65,78.04,78.15,63.35,2485400
2017-10-13,78.55,78.6,77.66,77.74,63.02,3707800
2017-10-16,77.79,78.1,77.48,77.65,62.94,3432300
2017-10-17,77.73,78.01,77.34,77.54,62.85,4373400
2017-10-18,77.41,77.46,76.67,77.1,62.5,3279400
2017-10-19,77.0,77.09,76.31,76.47,61.99,3965000
2017-10-20,76.77,77.1,76.12,76.71,62.18,4761200
2017-10-23,76.88,77.1,76.45,77.06,62.46,4240900
2017-10-24,77.12,77.42,76.93,77.22,62.59,3061500
2017-10-25,76.73,77.42,76.23,77.33,62.68,3927100
2017-10-26,77.59,77.94,77.15,77.3,62.66,2849600
2017-10-27,76.82,77.47,76.24,77.3,62.66,3751800
2017-10-30,77.2,77.22,75.21,75.27,61.01,5216300
2017-10-31,76.18,77.4,76.02,77.33,62.68,4836100
2017-11-01,77.71,77.86,77.08,77.7,62.98,4052600
2017-11-02,76.84,78.19,75.51,78.03,63.25,6533400
2017-11-03,77.87,78.19,77.57,78.0,63.23,4077600
2017-11-06,78.09,78.22,76.51,77.0,62.42,4682000
2017-11-07,76.93,78.64,76.49,78.18,63.37,3421700
2017-11-08,78.64,80.09,78.22,79.58,64.51,4058700
2017-11-09,79.26,79.94,79.02,79.41,64.37,3431600
2017-11-10,78.97,79.88,78.97,79.72,64.62,3403000
2017-11-13,79.66,80.37,79.6,79.85,64.73,3237500
2017-11-14,79.54,79.88,79.03,79.38,64.35,2839200
2017-11-15,79.49,79.89,78.57,78.78,63.86,3277400
2017-11-16,78.72,80.16,78.51,79.68,65.1,3028900
2017-11-17,79.63,80.07,79.28,79.63,65.06,4263200
2017-11-20,79.7,80.96,79.63,79.93,65.31,3736700
2017-11-21,80.12,80.29,79.76,80.01,65.37,2455600
2017-11-22,80.04,80.2,79.59,79.82,65.22,2923900
2017-11-24,80.25,80.35,79.54,79.76,65.17,1144800
2017-11-27,79.76,80.04,79.45,79.61,65.05,4605000
2017-11-28,79.7,79.86,78.71,78.98,64.53,3165500
2017-11-29,78.95,81.56,78.83,81.09,66.26,4067400
2017-11-30,81.44,82.18,80.5,81.37,66.49,4409700
2017-12-01,80.95,81.6,80.29,81.21,66.35,3360800
2017-12-04,81.32,82.29,81.17,81.92,66.93,2908100
2017-12-05,82.05,82.48,80.51,80.64,65.89,3248000
2017-12-06,80.75,81.14,80.24,80.49,65.77,2582100
2017-12-07,80.17,80.5,79.31,79.36,64.84,2532300
2017-12-08,79.6,79.71,77.93,78.48,64.12,5332600
2017-12-11,78.18,78.39,77.19,78.37,64.03,3988400
2017-12-12,78.33,79.09,78.12,78.95,64.51,3140800
2017-12-13,79.25,79.6,78.77,79.28,64.78,3028300
2017-12-14,79.28,79.7,78.87,78.98,64.53,3321300
2017-12-15,79.8,79.83,79.01,79.54,64.99,6684900
2017-12-18,79.98,80.36,79.29,79.37,64.85,2721100
2017-12-19,79.52,79.82,78.39,78.52,64.16,2889900
2017-12-20,78.81,78.89,77.32,77.38,63.23,3802400
