Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,103.11,103.64,102.61,103.28,93.51,681400
2017-05-25,103.5,105.14,103.35,104.85,94.93,691800
2017-05-26,104.75,104.8,103.91,104.74,94.84,566300
2017-05-30,104.85,105.67,104.52,104.54,94.65,1062800
2017-05-31,105.1,105.15,103.38,104.0,94.17,2005700
2017-06-01,104.0,105.1,104.0,104.75,94.84,1386200
2017-06-02,105.51,105.93,104.82,105.88,95.87,1840500
2017-06-05,105.9,106.79,105.53,106.4,96.34,1227500
2017-06-06,106.39,108.28,105.7,107.8,97.61,1413900
2017-06-07,108.0,108.93,107.65,108.67,98.39,1099100
2017-06-08,108.93,109.21,107.9,108.93,98.63,899200
2017-06-09,109.25,109.59,100.56,101.98,92.34,1888200
2017-06-12,100.54,101.92,98.13,101.14,91.58,2494900
2017-06-13,101.97,102.91,100.15,101.42,91.83,1064300
2017-06-14,101.44,102.71,97.63,98.55,89.23,1589400
2017-06-15,97.23,98.37,96.64,97.07,87.89,1603600
2017-06-16,97.46,98.82,96.87,97.7,88.46,1720700
2017-06-19,98.75,101.42,98.5,101.02,91.47,1604600
2017-06-20,100.86,101.2,97.48,97.58,88.35,1395800
2017-06-21,97.77,98.3,97.01,98.01,88.74,1037900
2017-06-22,97.95,98.58,96.35,96.67,87.53,778700
2017-06-23,96.68,98.06,96.62,97.95,88.69,1595300
2017-06-26,98.32,98.71,95.89,96.02,86.94,1239100
2017-06-27,95.72,95.96,93.7,93.87,84.99,1347100
2017-06-28,94.58,95.98,92.95,95.74,86.69,1593900
2017-06-29,95.36,95.36,91.09,92.51,83.76,1615200
2017-06-30,93.5,93.5,91.26,91.51,82.86,1320100
2017-07-03,92.3,92.93,90.77,91.55,82.89,748100
2017-07-05,91.74,92.53,90.69,92.29,83.56,1660600
2017-07-06,91.85,92.86,90.92,92.48,83.73,1222300
2017-07-07,93.21,95.09,92.96,94.57,85.63,1181000
2017-07-10,94.68,95.79,93.86,95.63,86.59,1184600
2017-07-11,95.64,97.43,95.14,96.93,87.76,1172700
2017-07-12,97.71,99.11,96.83,97.7,88.46,753100
2017-07-13,98.0,98.64,97.1,97.6,88.37,827400
2017-07-14,97.95,99.72,97.72,99.64,90.22,937200
2017-07-17,100.0,100.17,98.33,99.13,89.76,791500
2017-07-18,99.06,99.88,98.15,99.83,90.39,709500
2017-07-19,100.64,101.67,100.47,101.39,91.8,1088400
2017-07-20,101.68,101.75,100.47,101.7,92.08,571700
2017-07-21,100.97,101.55,99.13,99.89,90.44,978200
2017-07-24,99.96,100.91,99.84,100.21,90.73,776200
2017-07-25,99.98,100.35,98.91,99.12,89.75,1109000
2017-07-26,98.49,100.88,98.49,100.86,91.32,854400
2017-07-27,100.89,101.08,98.5,99.93,90.48,1478300
2017-07-28,97.74,97.89,94.2,94.4,85.47,1864700
2017-07-31,94.58,94.75,92.49,92.63,83.87,1225700
2017-08-01,92.85,93.05,91.86,92.63,83.87,1757700
2017-08-02,93.18,93.29,89.92,90.01,81.5,1549600
2017-08-03,89.87,90.32,88.48,88.96,80.55,1625000
2017-08-04,89.02,89.89,88.4,88.83,80.43,1133300
2017-08-07,89.03,92.69,89.03,92.01,83.31,2010000
2017-08-08,91.99,92.13,90.38,90.68,82.1,1319100
2017-08-09,90.08,91.85,89.49,91.48,82.83,928700
2017-08-10,90.79,91.09,87.93,88.14,79.8,1165500
2017-08-11,88.1,90.6,88.09,90.34,82.35,1069500
2017-08-14,91.47,92.73,91.0,91.5,83.41,1209000
2017-08-15,91.44,91.5,90.5,91.02,82.97,1124000
2017-08-16,91.01,92.31,90.42,91.88,83.75,769500
2017-08-17,91.5,91.77,89.75,89.77,81.83,925600
2017-08-18,90.09,90.99,89.31,90.26,82.28,1127400
2017-08-21,89.93,90.21,88.44,89.01,81.14,968800
2017-08-22,89.94,92.08,89.47,91.7,83.59,879500
2017-08-23,91.21,91.82,90.72,91.45,83.36,583600
2017-08-24,91.71,91.86,89.85,90.3,82.31,936200
2017-08-25,90.71,91.43,90.08,90.48,82.48,474100
2017-08-28,90.6,91.56,90.6,91.54,83.44,981600
2017-08-29,90.8,92.49,90.29,92.39,84.22,463600
2017-08-30,92.17,93.6,92.16,93.53,85.26,538200
2017-08-31,93.95,94.17,93.08,93.69,85.4,1038900
2017-09-01,94.1,94.37,93.09,94.08,85.76,549200
2017-09-05,93.94,94.63,92.53,93.66,85.37,851000
2017-09-06,93.73,94.55,92.82,94.5,86.14,957600
2017-09-07,94.54,95.43,93.76,95.32,86.89,681900
2017-09-08,95.24,95.78,94.06,94.35,86.0,675400
2017-09-11,95.21,97.73,95.21,97.17,88.57,1018400
2017-09-12,97.09,98.18,96.53,97.95,89.28,847100
2017-09-13,96.8,97.76,96.02,96.74,88.18,1291500
2017-09-14,96.58,97.94,96.42,97.46,88.84,994400
2017-09-15,97.62,98.85,97.24,98.64,89.91,2448900
2017-09-18,99.01,101.32,98.69,100.91,91.98,1571300
2017-09-19,101.32,102.97,100.55,102.01,92.99,1807400
2017-09-20,102.23,102.43,98.59,99.66,90.84,1756700
2017-09-21,99.75,100.0,98.56,99.52,90.72,1432600
2017-09-22,99.37,101.02,99.37,100.59,91.69,1208400
2017-09-25,100.09,100.51,98.39,99.01,90.25,1444200
2017-09-26,99.78,100.05,98.27,99.17,90.4,846400
2017-09-27,100.28,105.05,99.66,104.17,94.95,2231700
2017-09-28,103.23,105.19,103.23,104.92,95.64,1856100
2017-09-29,105.13,106.09,104.15,106.0,96.62,1078800
2017-10-02,105.54,105.99,103.87,104.95,95.67,1163900
2017-10-03,105.03,105.17,102.35,102.84,93.74,1727900
2017-10-04,102.63,103.08,101.04,103.0,93.89,1439400
2017-10-05,103.54,103.59,101.35,101.67,92.68,1155000
2017-10-06,101.74,102.66,101.27,102.47,93.41,965200
2017-10-09,102.73,104.46,102.63,103.95,94.75,884000
2017-10-10,104.94,104.94,103.37,104.45,95.21,859800
2017-10-11,104.07,105.14,103.79,104.59,95.34,664800
2017-10-12,104.89,105.76,104.5,104.82,95.55,937100
2017-10-13,105.23,106.1,104.82,105.3,95.98,1005000
2017-10-16,106.01,107.39,105.11,107.33,97.84,2079900
2017-10-17,107.84,108.29,106.74,108.01,98.45,1099600
2017-10-18,108.19,108.23,106.12,108.09,98.53,863000
2017-10-19,106.72,108.07,105.77,108.05,98.49,708200
2017-10-20,109.06,109.15,107.89,108.34,98.76,836100
2017-10-23,108.99,108.99,107.45,107.8,98.26,1162800
2017-10-24,107.76,108.17,107.06,107.69,98.16,1028500
2017-10-25,107.36,107.61,105.21,106.71,97.27,1597500
2017-10-26,107.04,109.78,107.0,108.85,99.22,2349200
2017-10-27,108.19,109.5,103.6,108.07,98.51,2477300
2017-10-30,108.17,108.63,106.45,107.35,97.85,1901000
2017-10-31,107.78,109.63,106.85,108.89,99.26,2734000
2017-11-01,110.0,110.01,103.09,105.15,95.85,2316100
2017-11-02,105.22,106.44,104.5,106.38,96.97,1739900
2017-11-03,106.08,106.65,105.57,106.3,96.9,1156000
2017-11-06,106.33,106.99,105.06,105.51,96.18,1125100
2017-11-07,105.43,107.56,105.16,107.5,97.99,1254100
2017-11-08,107.59,107.85,106.3,107.08,97.61,1111100
2017-11-09,106.53,106.54,101.78,102.4,93.34,2104600
2017-11-10,102.2,103.1,101.61,102.44,93.38,2176300
2017-11-13,101.52,103.03,101.23,101.93,92.91,2259100
2017-11-14,101.34,102.21,100.7,102.15,93.66,1844400
2017-11-15,102.04,103.31,100.51,102.95,94.39,2109400
2017-11-16,103.49,106.96,102.79,104.77,96.06,2262300
2017-11-17,105.76,106.52,101.53,101.65,93.2,1693600
2017-11-20,101.99,103.25,101.72,102.51,93.99,1615500
2017-11-21,103.26,104.88,103.25,104.73,96.02,1508600
2017-11-22,105.68,105.68,103.87,104.47,95.78,1206400
2017-11-24,104.73,105.42,104.08,105.04,96.31,891400
2017-11-27,103.64,105.1,102.3,104.39,95.71,1324000
2017-11-28,104.27,107.22,104.27,107.16,98.25,1670500
2017-11-29,107.16,107.38,98.91,100.35,92.01,3461400
2017-11-30,101.5,104.33,100.97,102.24,93.74,3569500
2017-12-01,101.26,104.0,99.72,103.87,95.23,2205100
2017-12-04,104.7,104.89,100.2,100.88,92.49,1882600
2017-12-05,101.15,104.66,100.05,102.64,94.1,1433400
2017-12-06,101.84,102.97,101.15,102.74,94.2,1271200
2017-12-07,103.11,105.0,102.86,104.58,95.88,1213500
