Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,19.53,19.76,19.17,19.37,14.81,17924100
2017-05-25,19.36,19.79,19.29,19.42,14.85,15081800
2017-05-26,19.32,19.39,19.19,19.25,14.72,10475500
2017-05-30,18.97,19.0,18.4,18.42,14.08,20200300
2017-05-31,18.38,18.95,18.31,18.76,14.34,25332100
2017-06-01,18.77,19.09,18.72,18.99,14.52,18123600
2017-06-02,18.95,19.02,18.89,18.95,14.49,15632500
2017-06-05,18.9,19.02,18.83,18.96,14.49,12502000
2017-06-06,18.9,18.94,18.62,18.8,14.37,10396900
2017-06-07,18.75,18.92,18.57,18.68,14.28,13538200
2017-06-08,18.68,18.9,18.6,18.76,14.34,12625500
2017-06-09,18.75,19.15,18.75,19.08,14.59,11446800
2017-06-12,19.19,19.39,19.13,19.13,14.62,13912400
2017-06-13,19.18,19.3,19.13,19.23,14.7,10052300
2017-06-14,19.21,19.24,18.83,18.96,14.49,13734800
2017-06-15,18.92,19.03,18.77,18.81,14.38,10248200
2017-06-16,18.99,19.2,18.85,19.19,14.67,16112500
2017-06-19,19.19,19.27,19.01,19.06,14.57,7169700
2017-06-20,18.9,18.92,18.45,18.52,14.16,13964100
2017-06-21,18.55,18.83,18.46,18.51,14.15,13817400
2017-06-22,18.49,18.7,18.4,18.58,14.2,13035900
2017-06-23,18.56,18.83,18.56,18.79,14.36,10714100
2017-06-26,18.78,18.96,18.74,18.88,14.43,11195700
2017-06-27,18.97,19.08,18.87,18.91,14.46,10553600
2017-06-28,19.0,19.18,18.86,19.02,14.54,13048000
2017-06-29,19.09,19.25,18.93,19.04,14.56,11998800
2017-06-30,19.15,19.25,18.98,19.16,14.65,13034600
2017-07-03,19.17,19.65,19.17,19.52,14.92,6358800
2017-07-05,19.44,19.48,19.21,19.31,14.76,8669500
2017-07-06,19.36,19.43,19.1,19.13,14.62,7189200
2017-07-07,19.13,19.21,18.92,19.17,14.66,7365200
2017-07-10,19.09,19.16,18.98,19.08,14.59,7183000
2017-07-11,19.06,19.23,18.97,19.22,14.69,9271600
2017-07-12,19.35,19.5,19.25,19.41,14.84,9497600
2017-07-13,19.41,19.45,19.27,19.33,14.78,5927400
2017-07-14,19.38,19.62,19.33,19.54,14.94,10701800
2017-07-17,19.55,19.67,19.5,19.55,14.95,8329400
2017-07-18,19.6,19.61,19.36,19.5,14.91,7202800
2017-07-19,19.5,19.69,19.43,19.67,15.04,10420500
2017-07-20,20.65,21.25,20.35,20.56,15.72,34813100
2017-07-21,20.51,20.79,20.42,20.69,15.82,17070800
2017-07-24,20.69,20.7,20.26,20.33,15.54,13265300
2017-07-25,20.55,20.6,20.21,20.25,15.48,10153800
2017-07-26,20.27,20.6,20.21,20.34,15.55,11231200
2017-07-27,20.23,20.47,20.13,20.47,15.75,13093500
2017-07-28,20.4,20.56,20.28,20.4,15.69,7682400
2017-07-31,20.44,20.51,20.2,20.43,15.72,9687500
2017-08-01,20.47,20.47,20.27,20.35,15.65,8449100
2017-08-02,20.2,20.35,20.15,20.33,15.64,6268500
2017-08-03,20.27,20.34,20.15,20.23,15.56,8986300
2017-08-04,20.27,20.29,20.15,20.2,15.54,6072000
2017-08-07,20.15,20.2,20.07,20.15,15.5,7177100
2017-08-08,20.01,20.14,19.71,19.75,15.19,10587500
2017-08-09,19.75,19.8,19.59,19.75,15.19,10680000
2017-08-10,19.77,19.85,19.32,19.39,14.92,12089800
2017-08-11,19.32,19.42,18.98,19.07,14.67,8612600
2017-08-14,19.19,19.28,18.96,19.03,14.64,8107100
2017-08-15,19.02,19.03,18.78,18.85,14.5,9785200
2017-08-16,18.89,18.97,18.67,18.71,14.39,8460400
2017-08-17,18.65,18.68,18.39,18.4,14.15,9062900
2017-08-18,18.37,18.66,18.23,18.55,14.27,11593900
2017-08-21,18.58,18.62,18.44,18.55,14.27,12272100
2017-08-22,18.56,18.84,18.54,18.79,14.45,8245100
2017-08-23,18.73,19.13,18.72,19.01,14.62,8394800
2017-08-24,19.01,19.12,18.9,19.05,14.65,7708400
2017-08-25,19.12,19.26,19.06,19.17,14.75,7981700
2017-08-28,19.21,19.22,18.94,19.01,14.62,7887000
2017-08-29,18.92,19.04,18.89,19.02,14.63,8202000
2017-08-30,19.01,19.21,18.92,19.07,14.67,9498300
2017-08-31,19.13,19.4,19.09,19.33,14.87,11783200
2017-09-01,19.33,19.44,19.1,19.36,14.89,14322500
2017-09-05,19.4,19.6,19.23,19.35,14.88,10741100
2017-09-06,19.14,19.49,19.13,19.33,14.87,12714300
2017-09-07,19.33,19.37,19.1,19.14,14.72,6834800
2017-09-08,19.1,19.18,18.95,19.14,14.72,7987600
2017-09-11,19.22,19.55,19.2,19.44,14.95,8813800
2017-09-12,19.44,19.54,19.3,19.36,14.89,5994100
2017-09-13,19.36,19.48,19.29,19.44,14.95,5356800
2017-09-14,19.38,19.58,19.32,19.34,14.88,7746400
2017-09-15,19.4,19.41,19.23,19.36,14.89,9389600
2017-09-18,19.36,19.48,19.28,19.39,14.92,8201200
2017-09-19,19.44,19.6,19.36,19.56,15.05,7370800
2017-09-20,19.6,19.85,19.56,19.77,15.21,11068700
2017-09-21,19.75,19.75,19.23,19.32,14.86,9822500
2017-09-22,19.29,19.36,19.12,19.27,14.82,7744200
2017-09-25,19.36,19.75,19.29,19.69,15.15,9568900
2017-09-26,19.61,19.67,19.45,19.52,15.02,8493900
2017-09-27,19.53,19.54,19.24,19.33,14.87,6868500
2017-09-28,19.29,19.31,19.16,19.31,14.85,8349000
2017-09-29,19.28,19.35,19.11,19.18,14.75,8608100
2017-10-02,19.06,19.15,18.96,19.1,14.69,9306100
2017-10-03,19.1,19.11,18.85,18.85,14.5,12888500
2017-10-04,18.85,18.91,18.67,18.82,14.48,10162900
2017-10-05,18.85,19.13,18.82,19.1,14.69,11233900
2017-10-06,18.95,19.06,18.8,19.02,14.63,10325000
2017-10-09,19.02,19.17,19.0,19.03,14.64,5475400
2017-10-10,19.1,19.15,18.94,18.95,14.58,7105800
2017-10-11,18.98,19.07,18.94,19.05,14.65,9369700
2017-10-12,18.92,19.0,18.79,18.88,14.52,7513900
2017-10-13,19.0,19.01,18.75,18.76,14.43,7515700
2017-10-16,18.91,18.94,18.74,18.81,14.47,7374800
2017-10-17,18.64,18.75,18.53,18.68,14.37,13074800
2017-10-18,18.62,18.74,18.47,18.58,14.29,18359200
2017-10-19,18.51,18.77,18.42,18.65,14.35,16578700
2017-10-20,18.75,18.76,18.38,18.42,14.17,10159700
2017-10-23,18.36,18.4,18.04,18.12,13.94,14055100
2017-10-24,18.17,18.31,18.05,18.27,14.05,18149300
2017-10-25,18.19,18.29,17.84,17.96,13.82,17815300
2017-10-26,18.01,18.11,17.87,18.0,13.85,14522500
2017-10-27,17.9,18.31,17.82,18.03,13.87,17199900
2017-10-30,17.97,18.25,17.92,18.1,14.02,10822300
2017-10-31,18.07,18.15,17.91,18.11,14.03,14474500
2017-11-01,18.25,18.38,18.05,18.13,14.04,10526300
2017-11-02,18.07,18.12,17.73,17.8,13.79,12594900
2017-11-03,17.8,17.84,17.59,17.74,13.74,13227400
2017-11-06,17.81,18.13,17.8,18.08,14.0,12685300
2017-11-07,18.12,18.2,17.96,18.04,13.97,9192800
2017-11-08,18.01,18.09,17.91,18.0,13.94,10239500
2017-11-09,17.9,18.03,17.82,17.91,13.87,10060300
2017-11-10,17.86,17.9,17.65,17.67,13.69,9152100
2017-11-13,17.64,17.69,17.41,17.46,13.52,9465200
2017-11-14,17.42,17.54,17.27,17.43,13.5,15039800
2017-11-15,17.25,17.3,17.0,17.03,13.19,18971800
2017-11-16,17.05,17.1,16.81,16.83,13.04,15395900
2017-11-17,16.83,17.03,16.7,17.01,13.18,12236900
2017-11-20,16.98,17.17,16.93,17.06,13.21,9987600
2017-11-21,17.15,17.17,16.81,16.87,13.07,10450300
2017-11-22,16.92,17.2,16.92,17.1,13.25,9398500
2017-11-24,17.18,17.39,17.16,17.19,13.32,5146100
2017-11-27,17.15,17.17,16.84,16.96,13.14,11961900
2017-11-28,17.0,17.2,16.92,17.03,13.19,16091900
2017-11-29,17.0,17.08,16.68,16.76,12.98,21742600
2017-11-30,16.77,17.26,16.77,17.23,13.35,28363300
2017-12-01,17.3,17.45,17.19,17.41,13.49,15082300
2017-12-04,17.4,17.5,17.24,17.25,13.36,16108300
2017-12-05,17.13,17.35,17.07,17.14,13.28,13974200
2017-12-06,17.09,17.24,16.89,17.11,13.25,15331100
2017-12-07,17.11,17.44,17.06,17.36,13.45,17648900
2017-12-08,17.42,17.85,17.38,17.79,13.78,21169500
2017-12-11,17.76,18.12,17.75,17.96,13.91,14200200
2017-12-12,17.75,18.02,17.72,17.75,13.75,13881200
2017-12-13,17.76,17.93,17.73,17.85,13.83,13765200
2017-12-14,17.8,17.99,17.78,17.84,13.82,13307700
2017-12-15,17.91,18.15,17.9,17.93,13.89,22931000
2017-12-18,17.99,18.19,17.97,18.0,13.94,13292500
2017-12-19,18.1,18.14,17.9,17.92,13.88,11268900
2017-12-20,17.93,17.93,17.68,17.76,13.76,18573300
2017-12-21,17.72,18.1,17.65,18.07,14.0,16184700
2017-12-22,18.03,18.14,18.02,18.05,13.98,8094500
2017-12-26,18.05,18.18,18.05,18.11,14.03,7586400
2017-12-27,18.13,18.19,18.05,18.12,14.04,11044400
2017-12-28,18.14,18.33,18.1,18.31,14.18,10501300
2017-12-29,18.31,18.34,18.06,18.07,14.0,10474300
2018-01-02,18.32,18.84,18.19,18.8,14.56,16189100
2018-01-03,18.87,19.0,18.7,18.96,14.69,13893600
2018-01-04,18.99,19.1,18.86,19.01,14.73,12718900
2018-01-05,19.07,19.08,18.75,18.95,14.68,11225300
2018-01-08,18.9,18.98,18.8,18.86,14.61,12309100
2018-01-09,18.85,19.0,18.82,18.94,14.67,10734400
2018-01-10,19.0,19.06,18.88,18.88,14.62,12593900
2018-01-11,18.8,19.22,18.75,19.2,14.87,17387600
2018-01-12,19.24,19.66,19.16,19.52,15.12,16117000
2018-01-16,19.67,19.83,19.38,19.39,15.02,20322000
2018-01-17,19.52,19.64,19.32,19.57,15.16,19501400
2018-01-18,19.5,19.52,18.77,19.01,14.73,37007800
2018-01-19,19.04,19.2,18.89,19.01,14.73,18004600
2018-01-22,19.05,19.64,19.01,19.63,15.21,15649300
2018-01-23,19.66,19.71,19.4,19.45,15.07,19891300
2018-01-24,19.52,19.56,19.13,19.14,14.83,17061900
2018-01-25,19.2,19.32,18.79,18.82,14.58,16503200
2018-01-26,18.98,18.99,18.69,18.77,14.54,17126900
2018-01-29,18.77,18.83,18.57,18.71,14.49,17204700
2018-01-30,18.5,18.54,18.22,18.23,14.22,18488200
2018-01-31,18.27,18.38,17.95,17.98,14.02,18709600
2018-02-01,18.02,18.08,17.81,18.06,14.08,13857900
2018-02-02,17.9,17.93,17.46,17.5,13.65,18493500
2018-02-05,17.28,17.48,16.57,16.81,13.11,23411900
2018-02-06,16.6,17.38,16.56,17.33,13.51,28022000
2018-02-07,17.3,17.54,17.23,17.29,13.48,19359700
2018-02-08,17.33,17.56,16.8,16.8,13.1,16484100
2018-02-09,16.96,17.39,16.62,17.24,13.44,30841800
2018-02-12,17.35,17.44,17.05,17.3,13.49,17074200
2018-02-13,17.2,17.45,17.14,17.39,13.56,9058300
2018-02-14,17.21,17.58,17.15,17.45,13.61,10854100
2018-02-15,17.58,17.65,17.15,17.31,13.5,14914000
2018-02-16,17.26,17.34,16.96,17.06,13.3,15042500
2018-02-20,17.05,17.19,16.9,17.0,13.26,13406600
2018-02-21,16.97,17.06,16.75,16.75,13.06,13464500
2018-02-22,16.84,17.04,16.61,16.66,12.99,10561700
2018-02-23,16.7,17.03,16.64,17.01,13.26,9748900
2018-02-26,17.06,17.06,16.76,16.92,13.19,12715300
2018-02-27,16.93,16.95,16.64,16.64,12.98,11665300
2018-02-28,16.75,16.76,16.19,16.2,12.63,16956900
2018-03-01,16.18,16.29,15.96,16.21,12.64,15126400
2018-03-02,16.12,16.18,15.86,16.1,12.55,13356400
2018-03-05,16.03,16.28,15.95,16.21,12.64,13559700
2018-03-06,16.28,16.29,16.0,16.11,12.56,13083200
2018-03-07,16.02,16.16,15.97,16.05,12.52,9583400
2018-03-08,16.1,16.1,15.95,16.01,12.48,11030700
2018-03-09,16.12,16.33,16.1,16.33,12.73,8484700
2018-03-12,16.31,16.61,16.21,16.55,12.91,11294800
2018-03-13,16.61,16.61,16.4,16.5,12.87,9944700
2018-03-14,16.59,16.6,16.35,16.42,12.8,9659900
2018-03-15,16.45,16.51,15.07,16.31,12.72,72457200
2018-03-16,16.27,16.5,16.12,16.41,12.8,21259000
2018-03-19,16.4,16.4,15.87,16.0,12.48,20386500
2018-03-20,16.05,16.19,15.47,15.61,12.17,23064900
2018-03-21,15.91,16.0,15.69,15.91,12.41,21448400
2018-03-22,15.74,15.79,15.36,15.36,11.98,18754700
2018-03-23,15.4,15.47,14.99,15.01,11.7,20378000
2018-03-26,15.1,15.18,14.82,15.13,11.8,18038200
2018-03-27,15.19,15.41,14.92,15.09,11.77,20579500
2018-03-28,15.09,15.19,14.76,14.81,11.55,23041600
2018-03-29,14.84,15.12,14.79,15.06,11.74,16265800
2018-04-02,15.02,15.16,14.77,14.9,11.62,13307800
2018-04-03,14.96,15.02,14.69,15.01,11.7,17176400
2018-04-04,14.89,15.21,14.73,15.16,11.82,13408500
2018-04-05,15.24,15.63,15.17,15.5,12.09,11549900
2018-04-06,15.41,15.46,15.03,15.17,11.83,10589100
2018-04-09,15.27,15.41,14.98,15.1,11.78,15866200
2018-04-10,15.15,15.68,15.08,15.61,12.17,23847200
2018-04-11,15.49,15.66,15.29,15.35,11.97,15816000
2018-04-12,15.4,15.42,15.23,15.34,11.96,16922700
2018-04-13,15.4,15.43,15.25,15.33,11.95,11745200
2018-04-16,15.39,15.75,15.29,15.68,12.23,13595000
2018-04-17,15.78,16.05,15.75,16.02,12.49,14451100
2018-04-18,16.15,16.32,16.12,16.17,12.61,17786300
2018-04-19,16.8,16.98,16.43,16.54,12.9,21268500
2018-04-20,16.58,16.62,16.37,16.47,12.84,14922500
2018-04-23,16.4,16.48,16.26,16.44,12.82,10180600
2018-04-24,16.5,16.51,16.18,16.27,12.69,11046300
2018-04-25,16.2,16.29,15.97,16.26,12.68,11536600
2018-04-26,16.3,16.33,16.06,16.22,12.65,11383700
2018-04-27,15.97,16.13,15.83,15.95,12.59,9826500
2018-04-30,15.94,16.02,15.82,15.82,12.49,14201600
2018-05-01,15.79,16.02,15.77,16.02,12.65,10253500
2018-05-02,15.96,16.21,15.9,16.16,12.76,14992900
2018-05-03,16.17,16.22,15.69,15.82,12.49,17124700
2018-05-04,15.75,16.18,15.74,16.11,12.72,14511800
2018-05-07,16.19,16.48,16.18,16.21,12.8,13680000
2018-05-08,16.3,16.3,16.04,16.07,12.69,17513400
2018-05-09,16.21,16.52,16.18,16.45,12.99,17015500
2018-05-10,16.55,16.67,16.4,16.5,13.03,14148900
2018-05-11,16.57,16.65,16.46,16.51,13.04,15939600
2018-05-14,16.55,16.7,16.52,16.64,13.14,9110700
2018-05-15,16.65,16.67,16.41,16.44,12.98,12467500
2018-05-16,16.44,16.48,16.32,16.4,12.95,10032200
2018-05-17,16.45,16.51,16.24,16.3,12.87,14536000
2018-05-18,16.29,16.33,16.02,16.07,12.69,12329300
2018-05-21,16.11,16.16,15.95,15.98,12.62,13106200
2018-05-22,16.0,16.14,15.87,15.94,12.59,13340400
2018-05-23,15.85,16.21,15.8,16.19,12.78,14377100
2018-05-24,16.14,16.14,15.85,15.88,12.54,13410800
2018-05-25,15.75,15.9,15.58,15.89,12.55,17522000
2018-05-29,16.35,16.46,15.99,16.04,12.66,26449700
2018-05-30,16.11,16.65,16.1,16.56,13.07,17941000
2018-05-31,16.52,16.74,16.45,16.68,13.17,24678200
2018-06-01,16.73,16.98,16.66,16.9,13.34,16805200
2018-06-04,16.94,17.07,16.8,16.94,13.37,18695800
2018-06-05,16.86,17.11,16.83,16.84,13.3,23440100
2018-06-06,16.89,16.96,16.67,16.72,13.2,17558100
2018-06-07,16.77,17.1,16.75,17.06,13.47,11120200
2018-06-08,17.07,17.1,16.75,16.85,13.3,10346200
2018-06-11,16.83,17.21,16.77,17.15,13.54,14213500
2018-06-12,17.14,17.2,16.91,16.93,13.37,12117000
2018-06-13,16.91,16.93,16.66,16.74,13.22,9435800
2018-06-14,16.79,16.97,16.76,16.95,13.38,12080000
2018-06-15,16.88,16.96,16.71,16.77,13.24,15486300
2018-06-18,16.8,17.19,16.77,17.16,13.55,12863300
2018-06-19,17.02,17.43,17.0,17.35,13.7,15071600
2018-06-20,17.47,17.66,17.4,17.49,13.81,13132400
2018-06-21,17.41,17.45,17.11,17.16,13.55,10463300
2018-06-22,17.44,17.66,17.37,17.39,13.73,15632700
2018-06-25,17.4,17.43,17.1,17.17,13.56,12750500
2018-06-26,17.42,17.62,17.27,17.55,13.86,12651000
2018-06-27,17.6,17.86,17.6,17.64,13.93,13172200
2018-06-28,17.65,17.77,17.41,17.48,13.8,11868300
