Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,64.28,64.83,63.97,64.51,64.51,1943100
2017-05-25,65.17,65.31,63.87,64.69,64.69,1735500
2017-05-26,64.47,64.92,64.05,64.72,64.72,1293000
2017-05-30,64.65,64.87,63.4,63.54,63.54,1662200
2017-05-31,63.68,63.74,61.78,62.83,62.83,2505000
2017-06-01,63.16,64.0,62.18,63.93,63.93,2706600
2017-06-02,63.89,64.33,62.84,63.6,63.6,1773700
2017-06-05,63.48,63.49,61.83,62.59,62.59,2609600
2017-06-06,62.05,62.34,61.16,61.64,61.64,2573900
2017-06-07,61.98,63.0,61.17,62.47,62.47,2444500
2017-06-08,62.47,62.89,60.55,60.76,60.76,2785100
2017-06-09,60.58,60.84,59.12,59.61,59.61,3397200
2017-06-12,59.56,60.8,59.56,60.8,60.8,2595100
2017-06-13,60.65,61.65,59.23,61.63,61.63,2618600
2017-06-14,61.67,61.95,60.74,61.83,61.83,1551700
2017-06-15,61.36,61.73,60.46,61.55,61.55,2221000
2017-06-16,61.37,61.37,59.8,60.69,60.69,3041600
2017-06-19,60.92,61.93,59.99,61.65,61.65,4013600
2017-06-20,61.46,61.59,59.14,59.26,59.26,5646300
2017-06-21,63.82,63.95,58.34,59.74,59.74,11719100
2017-06-22,59.82,63.05,59.64,62.5,62.5,6826100
2017-06-23,62.43,62.61,61.2,61.71,61.71,3205500
2017-06-26,62.0,63.59,61.85,63.38,63.38,3068400
2017-06-27,63.75,64.28,63.0,63.1,63.1,1818500
2017-06-28,63.05,63.61,61.65,62.09,62.09,2867200
2017-06-29,62.27,63.1,61.85,62.26,62.26,1472700
2017-06-30,62.46,63.46,62.25,63.06,63.06,2035500
2017-07-03,63.4,64.5,62.94,63.74,63.74,1320900
2017-07-05,63.53,64.04,62.22,63.37,63.37,2196400
2017-07-06,63.34,64.23,62.96,63.51,63.51,2096600
2017-07-07,63.62,64.47,63.13,63.95,63.95,2068300
2017-07-10,63.51,64.32,63.25,64.2,64.2,1777300
2017-07-11,64.35,64.5,63.16,63.67,63.67,1617500
2017-07-12,64.15,65.3,63.72,64.2,64.2,1708700
2017-07-13,64.43,65.7,64.21,65.03,65.03,1660100
2017-07-14,65.02,65.29,64.08,64.42,64.42,1367900
2017-07-17,64.5,65.46,64.35,65.03,65.03,1156000
2017-07-18,64.77,65.19,64.09,64.74,64.74,1622800
2017-07-19,64.9,65.37,64.65,64.83,64.83,1201800
2017-07-20,64.83,65.18,63.85,64.38,64.38,1157500
2017-07-21,64.59,66.19,64.44,66.09,66.09,2720300
2017-07-24,65.78,66.22,65.19,65.7,65.7,1528300
2017-07-25,65.97,66.55,65.55,66.18,66.18,2211600
2017-07-26,66.3,66.99,65.82,66.73,66.73,1840800
2017-07-27,66.79,67.25,65.95,66.48,66.48,1294100
2017-07-28,66.38,66.88,65.75,66.79,66.79,1002500
2017-07-31,66.84,67.07,65.95,66.25,66.25,1185500
2017-08-01,66.16,66.76,65.13,66.65,66.65,1323400
2017-08-02,65.5,66.45,65.38,65.72,65.72,1352300
2017-08-03,65.74,66.5,65.44,65.54,65.54,931400
2017-08-04,65.82,65.99,65.5,65.72,65.72,1077700
2017-08-07,65.61,66.32,65.29,65.83,65.83,1009100
2017-08-08,65.77,66.35,64.71,64.87,64.87,1019500
2017-08-09,64.51,65.25,64.09,65.23,65.23,1157500
2017-08-10,64.75,64.99,63.91,63.93,63.93,1567400
2017-08-11,63.74,64.94,63.71,64.42,64.42,944400
2017-08-14,64.98,65.54,64.6,64.92,64.92,916900
2017-08-15,64.82,65.78,63.96,64.46,64.46,1351200
2017-08-16,64.71,65.65,64.71,64.82,64.82,1203200
2017-08-17,64.46,65.29,63.94,63.97,63.97,1146100
2017-08-18,63.82,64.72,63.67,63.97,63.97,1230400
2017-08-21,64.02,64.49,63.58,64.14,64.14,1309600
2017-08-22,64.27,64.4,63.44,63.85,63.85,1668400
2017-08-23,63.53,64.34,63.28,64.05,64.05,1090200
2017-08-24,64.63,65.03,63.67,63.73,63.73,889200
2017-08-25,64.14,65.0,63.96,64.39,64.39,1550700
2017-08-28,64.3,64.4,63.12,63.48,63.48,1516700
2017-08-29,62.98,63.73,62.74,63.56,63.56,1896800
2017-08-30,63.67,66.07,63.67,65.99,65.99,1741200
2017-08-31,66.13,67.47,66.13,67.15,67.15,2155800
2017-09-01,67.67,68.8,67.45,68.12,68.12,2307800
2017-09-05,68.09,69.12,67.92,69.02,69.02,2147700
2017-09-06,69.3,69.39,68.45,69.08,69.08,1515100
2017-09-07,69.15,69.52,68.17,68.34,68.34,1589100
2017-09-08,68.52,68.86,67.58,68.47,68.47,1628200
2017-09-11,68.5,69.03,68.02,68.5,68.5,1181600
2017-09-12,68.76,68.88,67.76,68.35,68.35,1484400
2017-09-13,68.59,69.92,68.18,69.09,69.09,2463600
2017-09-14,68.96,69.77,68.88,69.46,69.46,1544600
2017-09-15,69.27,69.66,67.99,68.08,68.08,3229700
2017-09-18,68.25,69.01,68.09,68.34,68.34,2110200
2017-09-19,69.07,69.46,68.13,68.46,68.46,1873800
2017-09-20,68.9,69.13,68.53,68.67,68.67,1640700
2017-09-21,68.91,69.98,68.36,68.84,68.84,2714900
2017-09-22,71.4,74.6,70.33,74.19,74.19,8937500
2017-09-25,73.79,75.56,73.27,74.29,74.29,3214100
2017-09-26,73.6,74.48,72.88,73.59,73.59,3638400
2017-09-27,73.95,75.82,73.95,75.35,75.35,2866400
2017-09-28,75.24,75.95,74.84,75.93,75.93,1911200
2017-09-29,76.1,76.4,75.55,75.81,75.81,1402100
2017-10-02,76.03,76.59,75.52,76.59,76.59,1593200
2017-10-03,76.86,77.64,76.21,76.33,76.33,1730900
2017-10-04,76.17,76.86,75.83,76.45,76.45,1627100
2017-10-05,75.2,76.65,75.09,76.37,76.37,2142700
2017-10-06,76.25,76.97,76.25,76.81,76.81,1298000
2017-10-09,76.83,77.31,76.04,76.18,76.18,1045800
2017-10-10,76.18,76.91,75.91,76.23,76.23,1305300
2017-10-11,76.27,76.37,75.72,76.06,76.06,1313400
2017-10-12,76.24,76.32,75.45,75.7,75.7,1519500
2017-10-13,75.66,76.0,75.29,75.44,75.44,929400
2017-10-16,75.18,75.55,74.91,75.46,75.46,1470000
2017-10-17,75.25,75.77,75.19,75.37,75.37,1191700
2017-10-18,75.78,76.08,75.2,75.26,75.26,1057700
2017-10-19,74.82,75.07,74.36,74.84,74.84,1027200
2017-10-20,75.22,75.42,74.97,75.14,75.14,1143600
2017-10-23,75.03,75.58,74.35,74.39,74.39,1096500
2017-10-24,74.56,75.21,74.49,74.78,74.78,1355600
2017-10-25,74.47,74.64,73.53,74.17,74.17,1487200
2017-10-26,74.26,74.91,73.89,74.86,74.86,1319700
2017-10-27,74.64,74.64,73.65,74.36,74.36,1128500
2017-10-30,74.16,75.14,74.16,74.95,74.95,847100
2017-10-31,75.0,76.04,74.82,75.1,75.1,1135800
2017-11-01,75.3,75.51,74.16,74.46,74.46,1035300
2017-11-02,74.78,76.88,74.69,75.98,75.98,1270800
2017-11-03,75.98,76.14,75.07,75.19,75.19,698800
2017-11-06,75.3,75.79,74.86,74.91,74.91,719800
2017-11-07,74.73,74.9,72.92,73.42,73.42,1600300
2017-11-08,73.11,73.8,72.82,73.44,73.44,1357900
2017-11-09,72.96,73.35,71.8,72.18,72.18,1453500
2017-11-10,72.0,73.27,71.93,72.68,72.68,1336700
2017-11-13,72.66,73.02,72.21,72.35,72.35,1337500
2017-11-14,71.73,72.41,70.79,70.94,70.94,2539500
2017-11-15,70.46,71.32,69.75,70.72,70.72,2152400
2017-11-16,70.81,71.29,70.32,70.55,70.55,1643200
2017-11-17,69.08,69.93,68.66,69.45,69.45,2627200
2017-11-20,69.55,69.75,69.37,69.62,69.62,2879200
2017-11-21,69.67,69.67,68.46,68.75,68.75,2362300
2017-11-22,68.68,69.32,67.59,67.99,67.99,4742300
2017-11-24,68.24,68.8,67.75,68.05,68.05,1226100
2017-11-27,68.24,68.57,67.68,67.87,67.87,1487800
2017-11-28,67.99,68.52,66.63,67.46,67.46,3213300
2017-11-29,67.75,69.86,67.63,68.5,68.5,3607700
2017-11-30,68.67,69.16,67.94,68.91,68.91,1992400
2017-12-01,69.02,69.05,67.29,68.38,68.38,1571300
2017-12-04,69.46,70.93,69.09,70.71,70.71,2748800
2017-12-05,70.73,70.95,67.71,67.72,67.72,3143700
2017-12-06,67.24,67.37,65.55,66.55,66.55,2305900
