Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,44.51,45.09,44.51,45.03,38.3,12738300
2017-05-25,45.0,45.48,44.97,45.41,38.63,16704200
2017-05-26,45.35,45.56,45.33,45.39,38.61,11341400
2017-05-30,45.16,45.46,45.11,45.43,38.64,13093500
2017-05-31,45.43,45.7,45.37,45.47,38.68,14148000
2017-06-01,45.45,45.79,45.23,45.79,38.95,11049300
2017-06-02,45.83,45.89,45.61,45.89,39.03,9923700
2017-06-05,45.78,45.99,45.69,45.99,39.12,10015200
2017-06-06,45.9,46.06,45.78,45.98,39.11,9836700
2017-06-07,45.5,45.7,45.35,45.51,38.71,12776300
2017-06-08,45.51,45.51,45.03,45.13,38.39,12879000
2017-06-09,45.06,45.35,44.97,45.32,38.55,9358800
2017-06-12,45.32,45.48,45.2,45.33,38.56,11228500
2017-06-13,45.0,45.11,44.8,45.03,38.62,10023400
2017-06-14,45.18,45.47,45.16,45.3,38.85,11497500
2017-06-15,45.18,45.34,45.04,45.25,38.81,9908700
2017-06-16,45.31,45.35,45.01,45.31,38.86,27025300
2017-06-19,45.35,45.38,45.1,45.38,38.92,7624700
2017-06-20,45.35,45.87,45.32,45.61,39.12,14920900
2017-06-21,45.62,45.68,45.17,45.22,38.78,9515800
2017-06-22,45.17,45.28,45.03,45.07,38.65,7446300
2017-06-23,45.05,45.38,45.03,45.25,38.81,9544800
2017-06-26,45.32,45.51,45.3,45.43,38.96,7747100
2017-06-27,45.34,45.4,45.0,45.05,38.64,11432200
2017-06-28,45.25,45.5,45.23,45.32,38.87,9218800
2017-06-29,45.13,45.24,44.65,44.83,38.45,9283500
2017-06-30,44.89,45.12,44.85,44.85,38.46,9352800
2017-07-03,45.11,45.27,44.76,44.76,38.39,6434500
2017-07-05,44.79,44.99,44.73,44.82,38.44,6853600
2017-07-06,44.72,44.85,44.29,44.4,38.08,13113000
2017-07-07,44.47,44.52,44.24,44.39,38.07,9566000
2017-07-10,44.45,44.58,44.23,44.38,38.06,9672000
2017-07-11,44.32,44.48,44.15,44.33,38.02,10300700
