Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,29.1,29.18,28.86,29.13,26.29,7879000
2017-05-25,29.21,29.34,29.07,29.24,26.39,7262100
2017-05-26,29.35,29.46,29.25,29.45,26.58,6251200
2017-05-30,29.39,29.82,29.33,29.76,26.86,7849600
2017-05-31,29.72,29.94,29.55,29.78,26.87,9165600
2017-06-01,29.77,30.36,29.7,30.25,27.3,11635700
2017-06-02,30.35,30.65,30.0,30.13,27.19,7284300
2017-06-05,30.02,30.17,29.68,30.09,27.15,6929800
2017-06-06,30.1,30.1,29.72,29.81,26.9,5779700
2017-06-07,29.78,29.88,29.7,29.71,26.81,6162500
2017-06-08,29.71,30.57,29.71,30.2,27.25,8156700
2017-06-09,30.3,30.93,30.23,30.78,27.78,11195400
2017-06-12,30.65,30.78,29.8,30.03,27.1,12594900
2017-06-13,30.15,30.33,29.59,30.32,27.36,11066700
2017-06-14,30.49,30.54,29.77,30.28,27.32,10866700
2017-06-15,30.28,30.28,24.37,24.56,22.16,76401500
2017-06-16,21.19,22.35,20.46,22.29,20.11,106360700
2017-06-19,22.97,22.97,22.2,22.64,20.43,40202800
2017-06-20,22.65,22.68,22.26,22.38,20.2,21068700
2017-06-21,22.4,22.65,21.87,22.37,20.19,27637000
2017-06-22,22.33,22.58,22.02,22.56,20.36,22745100
2017-06-23,22.72,22.77,22.43,22.6,20.39,23367400
2017-06-26,22.68,22.74,22.49,22.61,20.4,12221700
2017-06-27,22.7,23.17,22.54,22.77,20.55,23221900
2017-06-28,22.83,23.5,22.83,23.35,21.07,15721000
2017-06-29,23.48,23.55,22.91,23.24,20.97,15258300
2017-06-30,23.34,23.51,23.26,23.32,21.04,10818400
2017-07-03,23.47,23.6,23.43,23.55,21.25,5610800
2017-07-05,23.65,23.68,22.97,23.23,20.96,14218200
2017-07-06,23.2,23.57,23.05,23.13,20.87,13637800
2017-07-07,23.18,23.34,23.04,23.16,20.9,9525400
2017-07-10,23.1,23.15,22.6,22.61,20.4,13677200
2017-07-11,22.61,22.92,22.5,22.63,20.42,10070300
2017-07-12,22.73,22.94,22.65,22.8,20.57,8707600
2017-07-13,22.99,23.01,22.61,22.92,20.68,9081400
2017-07-14,22.98,23.2,22.89,23.01,20.76,7146300
2017-07-17,23.0,23.16,22.82,22.87,20.64,10516800
2017-07-18,22.85,22.87,22.54,22.55,20.35,9997700
2017-07-19,22.6,22.96,22.56,22.94,20.7,8743300
2017-07-20,23.0,23.39,22.99,23.26,20.99,8228800
2017-07-21,23.2,23.3,23.0,23.26,20.99,7001200
2017-07-24,23.25,23.33,23.17,23.23,20.96,6004900
2017-07-25,23.36,23.81,23.33,23.68,21.37,9014700
2017-07-26,23.82,24.03,23.65,23.72,21.4,10980600
2017-07-27,23.7,24.08,23.52,23.95,21.61,8650500
2017-07-28,23.91,24.28,23.84,24.28,21.91,10322200
2017-07-31,24.3,24.56,24.16,24.52,22.13,11312400
2017-08-01,24.5,24.64,24.28,24.6,22.2,9205600
2017-08-02,24.59,24.7,24.42,24.63,22.23,8694800
2017-08-03,24.57,24.58,23.85,24.06,21.71,12425500
2017-08-04,24.16,24.32,24.03,24.13,21.77,7953600
2017-08-07,24.14,24.54,24.13,24.37,21.99,7260000
2017-08-08,24.26,24.45,24.09,24.13,21.77,9033300
2017-08-09,24.06,24.1,23.89,23.94,21.6,5597600
2017-08-10,23.81,23.9,23.54,23.57,21.27,7534500
2017-08-11,23.23,24.02,23.04,23.49,21.31,10591100
2017-08-14,23.54,23.71,23.46,23.58,21.39,7672000
2017-08-15,23.58,23.58,23.07,23.11,20.97,8189800
2017-08-16,23.31,23.35,22.97,23.09,20.95,8193500
2017-08-17,22.88,23.51,22.85,22.86,20.74,15232300
2017-08-18,22.76,23.08,22.74,22.86,20.74,7969400
2017-08-21,22.85,22.97,22.55,22.61,20.51,7690700
2017-08-22,22.66,23.07,22.66,22.94,20.81,6503000
2017-08-23,22.9,23.09,22.85,22.96,20.83,6019700
2017-08-24,23.0,23.25,21.06,21.1,19.14,39086000
2017-08-25,21.32,22.06,21.3,21.74,19.72,31786600
2017-08-28,21.3,21.89,21.21,21.72,19.7,16487900
2017-08-29,21.71,21.93,21.6,21.81,19.79,8744700
2017-08-30,21.85,22.2,21.57,22.2,20.14,10805400
2017-08-31,22.15,22.19,21.81,21.87,19.84,15823700
2017-09-01,21.97,22.54,21.94,22.42,20.34,13862500
2017-09-05,22.29,22.8,22.25,22.43,20.35,11780200
2017-09-06,22.42,22.61,22.19,22.55,20.46,14274500
2017-09-07,22.53,22.93,22.21,22.77,20.66,21085200
2017-09-08,21.35,21.79,20.41,21.06,19.11,62444200
2017-09-11,20.97,21.35,20.73,21.34,19.36,21638700
2017-09-12,21.61,21.79,21.38,21.58,19.58,18888800
2017-09-13,21.6,22.08,21.56,21.73,19.71,12382000
2017-09-14,21.75,21.87,21.16,21.26,19.29,11905700
2017-09-15,21.28,21.61,21.24,21.57,19.57,15154000
2017-09-18,21.52,21.68,21.34,21.44,19.45,8370500
2017-09-19,21.49,21.59,21.08,21.13,19.17,9687600
2017-09-20,21.08,21.14,20.75,20.8,18.87,13242500
2017-09-21,20.83,20.85,20.22,20.22,18.34,20307600
2017-09-22,20.26,20.44,20.04,20.15,18.28,14233000
2017-09-25,20.05,20.24,19.89,19.94,18.09,16857900
2017-09-26,19.95,20.36,19.95,20.19,18.32,22762400
2017-09-27,20.36,20.57,20.13,20.23,18.35,12554600
2017-09-28,20.19,20.52,20.15,20.26,18.38,12922700
2017-09-29,20.33,20.41,20.04,20.06,18.2,12285700
2017-10-02,20.04,20.23,19.69,19.96,18.11,18788300
2017-10-03,20.02,20.73,20.0,20.56,18.65,25519400
2017-10-04,20.56,20.77,20.43,20.53,18.62,16921900
2017-10-05,20.48,20.96,20.48,20.7,18.78,18826700
2017-10-06,20.51,20.75,20.39,20.63,18.72,21257600
2017-10-09,20.75,20.82,20.21,20.29,18.41,16952300
2017-10-10,20.36,20.68,19.99,20.53,18.62,20709600
2017-10-11,21.5,22.03,20.74,20.78,18.85,43527900
2017-10-12,20.77,21.36,20.53,21.0,19.05,20202000
2017-10-13,21.16,21.56,20.83,21.3,19.32,16914700
2017-10-16,21.29,21.3,20.39,20.44,18.54,21368400
2017-10-17,20.41,20.67,20.25,20.48,18.58,16759000
2017-10-18,20.53,20.76,20.45,20.67,18.75,11931300
2017-10-19,20.63,20.96,20.59,20.89,18.95,10713900
2017-10-20,20.96,21.05,20.72,21.02,19.07,14104800
2017-10-23,21.04,21.61,20.96,21.35,19.37,17999300
2017-10-24,21.34,21.57,21.32,21.47,19.48,16429500
2017-10-25,21.46,21.55,21.04,21.13,19.17,13845100
2017-10-26,21.25,21.35,20.64,20.82,18.89,8778000
2017-10-27,20.6,20.72,20.36,20.57,18.66,13210300
2017-10-30,20.41,20.77,20.41,20.64,18.72,7202300
2017-10-31,20.7,20.81,20.56,20.7,18.78,9003900
2017-11-01,20.76,21.29,20.76,20.9,18.96,9975200
2017-11-02,21.31,21.36,20.74,21.18,19.21,13979500
2017-11-03,21.3,21.78,21.22,21.5,19.5,11235300
2017-11-06,21.7,21.76,21.31,21.33,19.35,10996300
2017-11-07,21.4,21.44,21.15,21.31,19.33,8983700
2017-11-08,21.31,21.89,21.27,21.85,19.82,8955100
2017-11-09,21.81,22.1,21.77,21.95,19.91,10807700
2017-11-10,21.98,22.39,21.95,22.08,20.03,8590600
2017-11-13,22.0,22.25,21.98,22.14,20.09,8041500
2017-11-14,22.0,22.07,21.53,22.02,20.09,10358000
2017-11-15,21.49,22.2,21.25,21.61,19.72,11638500
2017-11-16,21.81,22.44,21.75,22.28,20.33,15694900
2017-11-17,22.33,23.47,22.27,23.41,21.36,19798700
2017-11-20,23.08,23.52,22.92,23.2,21.17,16453000
2017-11-21,23.24,23.31,22.7,22.78,20.78,9436300
2017-11-22,22.87,23.27,22.82,23.14,21.11,9755600
2017-11-24,23.25,23.43,22.95,22.98,20.97,3379900
2017-11-27,23.0,23.33,22.95,23.18,21.15,9671600
2017-11-28,23.2,23.61,23.04,23.56,21.5,9464600
