Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,54.67,54.94,54.42,54.9,50.39,834000
2017-05-25,55.0,55.46,55.0,55.13,50.61,679300
2017-05-26,55.13,55.2,54.37,54.88,50.38,793300
2017-05-30,54.7,55.08,54.32,54.85,50.35,1003400
2017-05-31,55.2,55.69,54.39,55.56,51.0,6187100
2017-06-01,55.61,56.42,55.22,56.37,51.74,1057500
2017-06-02,56.29,56.67,55.84,55.95,51.36,899200
2017-06-05,56.05,56.17,55.75,55.88,51.29,779200
2017-06-06,55.85,56.05,55.79,55.93,51.34,1397900
2017-06-07,55.98,56.25,55.58,55.67,51.1,993200
2017-06-08,55.67,55.97,55.55,55.73,51.16,1012000
2017-06-09,55.86,55.99,54.65,55.37,50.83,1028800
2017-06-12,55.22,55.74,55.06,55.62,51.06,1266200
2017-06-13,55.43,55.73,55.1,55.69,51.42,1676000
2017-06-14,55.79,56.18,54.86,55.14,50.91,905200
2017-06-15,54.73,55.27,54.68,55.17,50.94,481600
2017-06-16,54.74,54.9,53.29,53.98,49.84,1703600
2017-06-19,54.17,54.26,53.53,53.93,49.79,727100
2017-06-20,54.02,54.38,53.22,53.38,49.28,1980400
2017-06-21,53.66,54.01,53.32,53.75,49.62,736000
2017-06-22,53.73,53.94,53.21,53.61,49.49,477600
2017-06-23,53.46,53.69,53.17,53.56,49.45,2310000
2017-06-26,53.66,54.26,53.66,53.71,49.59,1045400
2017-06-27,53.7,53.75,52.11,52.15,48.15,1051000
2017-06-28,52.34,52.36,51.57,52.28,48.27,2149700
2017-06-29,52.35,52.51,51.21,51.46,47.51,1200100
2017-06-30,51.64,51.88,51.43,51.69,47.72,1258400
2017-07-03,52.11,52.11,51.77,52.01,48.02,540100
2017-07-05,52.01,52.4,51.55,52.36,48.34,1147800
2017-07-06,52.11,52.45,50.94,51.19,47.26,1390600
2017-07-07,51.3,52.1,51.21,52.07,48.07,514500
2017-07-10,52.11,52.32,51.93,52.07,48.07,762000
2017-07-11,52.12,52.34,51.81,52.22,48.21,1388500
2017-07-12,52.72,53.41,52.38,53.09,49.01,957700
2017-07-13,53.15,53.38,52.49,52.61,48.57,650100
2017-07-14,52.65,53.33,52.52,53.24,49.15,725900
