Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,50.65,51.18,50.16,51.11,49.28,1354339
2017-05-25,51.41,51.53,50.61,50.87,49.04,1795107
2017-05-26,50.66,50.88,50.5,50.67,48.85,947030
2017-05-30,50.58,50.78,50.08,50.63,48.81,1643269
2017-05-31,50.85,50.88,50.12,50.45,48.64,1477599
2017-06-01,50.5,51.13,50.15,51.06,49.23,1574011
2017-06-02,51.11,52.01,51.11,51.85,49.99,1975828
2017-06-05,51.82,51.87,51.35,51.55,49.7,1884704
2017-06-06,51.11,51.53,50.89,51.34,49.49,1436919
2017-06-07,51.37,51.97,51.31,51.53,49.68,1295150
2017-06-08,51.53,51.82,51.15,51.27,49.43,1264436
2017-06-09,51.35,51.45,50.88,51.13,49.29,1562417
2017-06-12,51.04,51.85,51.04,51.81,49.95,1586520
2017-06-13,51.97,53.08,51.72,52.75,50.86,2048645
2017-06-14,52.95,53.92,52.73,53.03,51.12,2692406
2017-06-15,52.67,53.16,51.97,52.21,50.34,2141497
2017-06-16,52.02,52.11,51.4,52.05,50.18,2294250
2017-06-19,52.11,52.42,51.73,51.86,50.0,4657250
2017-06-20,54.56,54.82,52.36,52.97,51.07,7395827
2017-06-21,52.89,53.36,51.91,52.36,50.48,2566196
2017-06-22,52.22,52.32,51.52,51.53,49.68,1404579
2017-06-23,51.62,51.96,51.22,51.25,49.41,4172344
2017-06-26,51.41,51.71,51.2,51.58,49.73,1294234
2017-06-27,51.62,51.93,51.22,51.22,49.38,1123785
2017-06-28,51.64,52.18,51.25,51.98,50.11,1614182
2017-06-29,51.87,51.97,51.16,51.82,49.96,2584807
2017-06-30,52.02,52.89,51.99,52.43,50.55,1841177
2017-07-03,52.34,52.61,51.67,51.68,49.83,1142498
2017-07-05,51.56,51.87,51.06,51.52,49.67,2156549
2017-07-06,51.13,51.51,50.68,51.0,49.17,2612266
2017-07-07,51.29,52.98,51.13,52.59,50.7,2484734
2017-07-10,52.51,53.7,52.31,53.69,51.76,2992116
2017-07-11,52.81,53.14,52.14,52.84,50.98,2546670
2017-07-12,53.06,53.61,52.38,52.85,50.99,1959149
2017-07-13,52.65,53.3,52.5,52.9,51.04,1198636
2017-07-14,52.72,53.51,52.72,53.13,51.26,1361356
2017-07-17,53.1,53.32,52.57,52.71,50.86,2240756
2017-07-18,52.58,52.67,51.65,52.06,50.23,2212585
2017-07-19,52.29,52.75,51.92,52.41,50.56,3062289
2017-07-20,52.47,52.5,51.67,52.37,50.53,1674287
2017-07-21,52.35,53.38,52.23,52.44,50.59,1874026
2017-07-24,52.38,52.52,51.91,52.0,50.17,1602589
2017-07-25,52.06,52.65,52.04,52.3,50.46,1823074
2017-07-26,52.24,52.29,51.53,51.87,50.04,1504550
2017-07-27,51.89,52.23,51.55,52.14,50.31,1160295
2017-07-28,52.06,52.3,50.97,51.55,49.74,2095935
2017-07-31,51.79,51.82,51.15,51.56,49.75,1141277
2017-08-01,51.68,52.52,51.42,52.49,50.64,1068155
2017-08-02,52.35,53.2,52.13,52.97,51.11,1413020
2017-08-03,52.97,53.15,52.62,52.97,51.11,1301455
2017-08-04,53.09,53.49,53.04,53.34,51.47,1009474
2017-08-07,53.34,53.51,53.11,53.38,51.5,818075
2017-08-08,53.34,53.94,53.0,53.52,51.64,1120632
2017-08-09,53.26,53.62,52.91,53.25,51.38,1181856
2017-08-10,52.92,53.08,52.12,52.27,50.43,1000423
2017-08-11,52.08,52.49,51.81,52.36,50.52,712917
2017-08-14,52.41,53.28,52.41,52.99,51.12,1177483
2017-08-15,52.99,53.25,52.67,53.17,51.29,1217044
2017-08-16,53.24,53.3,52.76,53.19,51.31,915503
2017-08-17,53.18,53.26,51.96,52.0,50.17,1372747
2017-08-18,51.82,51.82,51.0,51.01,49.22,1787988
2017-08-21,51.02,51.39,50.67,51.24,49.44,1120327
2017-08-22,51.18,51.29,50.59,51.06,49.26,1773750
2017-08-23,50.84,51.25,50.27,50.73,48.94,2329032
2017-08-24,50.89,50.95,50.29,50.33,48.56,908995
2017-08-25,50.35,50.88,50.22,50.75,48.96,1297895
2017-08-28,50.76,50.81,49.81,50.07,48.31,1733985
2017-08-29,49.68,50.04,49.59,49.65,47.9,1583774
2017-08-30,49.72,50.21,49.61,49.86,48.11,930047
2017-08-31,50.01,50.94,49.96,50.89,49.1,1564553
2017-09-01,51.04,51.28,50.82,50.89,49.1,957912
2017-09-05,50.85,50.85,49.52,50.19,48.42,1571570
2017-09-06,50.23,50.3,48.93,49.21,47.48,3247688
2017-09-07,49.37,49.48,48.94,49.04,47.31,1672355
2017-09-08,48.92,50.01,48.69,49.7,47.95,1534755
2017-09-11,49.92,50.98,49.76,50.88,49.08,1867619
2017-09-12,50.88,51.41,50.77,51.29,49.48,1608284
2017-09-13,51.26,51.38,49.58,50.35,48.58,3230297
2017-09-14,50.26,50.59,49.59,50.04,48.28,2014677
2017-09-15,50.0,50.83,49.56,50.45,48.68,3215957
2017-09-18,50.51,51.26,50.34,50.84,49.05,2888483
2017-09-19,50.53,51.33,50.29,50.94,49.15,3310437
2017-09-20,50.64,50.89,49.6,49.62,47.87,2434088
2017-09-21,49.89,50.09,49.42,49.65,47.9,1101614
2017-09-22,49.66,50.06,49.28,49.44,47.7,1856635
2017-09-25,49.16,49.83,49.07,49.69,47.94,2623860
2017-09-26,49.96,50.45,49.69,50.32,48.55,1842092
2017-09-27,50.66,50.88,49.91,50.46,48.69,2206280
2017-09-28,50.44,51.39,50.34,51.36,49.55,1971861
2017-09-29,51.71,52.66,51.61,51.92,50.09,3296402
2017-10-02,52.18,52.26,51.62,51.94,50.11,3034525
2017-10-03,53.98,54.92,52.62,54.42,52.51,8070912
2017-10-04,54.14,55.5,54.14,55.47,53.51,3666590
