Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,139.96,141.02,139.28,140.68,140.27,543200
2017-05-25,140.73,141.99,140.41,141.8,141.39,446500
2017-05-26,142.1,142.28,139.85,140.1,139.69,571500
2017-05-30,139.48,140.53,138.22,138.52,138.12,589600
2017-05-31,138.65,139.43,138.0,139.0,138.6,810900
2017-06-01,139.68,142.9,139.0,142.07,141.66,929700
2017-06-02,142.36,142.9,141.29,141.58,141.17,610900
2017-06-05,141.29,141.51,139.52,139.92,139.51,710700
2017-06-06,139.69,139.83,138.5,139.29,138.89,540600
2017-06-07,139.59,140.5,139.32,140.47,140.06,739400
2017-06-08,140.47,140.5,139.51,139.87,139.46,532500
2017-06-09,140.07,140.7,139.68,140.61,140.2,497700
2017-06-12,140.4,140.77,137.82,140.72,140.31,762400
2017-06-13,140.6,142.24,140.55,141.64,141.23,431600
2017-06-14,142.25,142.36,140.39,141.11,140.7,468600
2017-06-15,140.83,141.64,140.17,140.4,139.99,552100
2017-06-16,140.4,141.16,140.03,140.77,140.36,763200
2017-06-19,140.99,141.9,140.47,141.89,141.48,612600
2017-06-20,142.27,146.13,142.27,144.45,144.03,1247500
2017-06-21,144.29,146.24,144.29,146.21,145.79,875900
2017-06-22,146.11,152.47,145.89,150.34,149.9,1483600
2017-06-23,150.71,152.35,149.45,151.62,151.18,1824400
2017-06-26,151.61,153.93,151.61,152.3,151.86,883800
2017-06-27,151.41,152.65,150.3,150.3,149.86,923700
2017-06-28,151.29,153.29,150.62,152.97,152.53,801700
2017-06-29,153.05,153.62,151.49,152.05,151.61,769500
2017-06-30,152.55,154.82,152.55,154.14,153.69,961500
2017-07-03,154.14,154.5,151.6,151.6,151.16,526200
2017-07-05,151.97,153.42,150.75,153.33,152.88,687400
2017-07-06,152.54,152.54,150.74,150.99,150.55,590300
2017-07-07,151.16,151.7,150.22,151.45,151.01,524200
2017-07-10,151.61,152.05,150.61,151.52,151.08,447600
2017-07-11,151.26,151.95,149.84,151.47,151.03,319900
2017-07-12,152.33,153.3,152.17,152.45,152.01,443800
2017-07-13,152.56,153.15,151.73,152.42,151.98,316000
2017-07-14,152.42,153.91,151.95,153.3,152.85,413000
2017-07-17,153.37,154.27,153.11,153.68,153.23,291600
2017-07-18,153.5,153.56,152.51,153.31,152.86,522300
2017-07-19,153.56,155.02,153.39,155.01,154.56,388800
2017-07-20,155.27,157.23,154.85,156.12,155.67,677000
2017-07-21,155.9,157.11,154.95,156.55,156.1,499300
2017-07-24,156.53,158.09,156.36,157.89,157.43,1046400
2017-07-25,157.79,157.79,154.47,156.93,156.47,1033700
2017-07-26,157.19,164.22,156.95,161.17,160.7,1499500
2017-07-27,161.5,162.33,159.41,160.1,159.63,942400
2017-07-28,159.65,160.47,158.54,160.07,159.6,622900
2017-07-31,160.23,160.45,158.82,158.91,158.45,686200
2017-08-01,159.91,160.92,159.0,160.46,159.99,674300
2017-08-02,160.17,160.36,158.64,159.85,159.39,562800
2017-08-03,159.91,161.11,159.41,160.56,160.09,673600
2017-08-04,161.0,161.15,158.05,158.65,158.19,631500
2017-08-07,158.55,158.57,156.69,158.21,157.75,509400
2017-08-08,157.83,158.91,157.17,157.43,156.97,452400
2017-08-09,157.33,158.26,156.4,157.75,157.29,423000
2017-08-10,157.26,157.6,156.25,156.4,155.95,597000
2017-08-11,156.52,157.23,155.75,156.21,155.76,441400
2017-08-14,157.43,157.43,156.23,156.5,156.05,398000
2017-08-15,156.69,157.46,156.33,156.76,156.3,379700
2017-08-16,157.02,157.99,155.97,156.44,155.99,524200
2017-08-17,156.16,157.07,154.43,154.56,154.11,441900
2017-08-18,154.22,154.62,153.5,153.91,153.46,460500
2017-08-21,154.02,154.51,153.3,153.74,153.29,376000
2017-08-22,153.74,155.6,153.22,155.4,154.95,448000
2017-08-23,154.84,155.56,152.83,153.66,153.21,808500
2017-08-24,153.93,154.89,153.33,154.42,153.97,892800
2017-08-25,154.92,156.45,154.44,154.77,154.32,729100
2017-08-28,155.41,155.94,153.15,153.22,152.77,654600
2017-08-29,152.57,153.24,150.71,152.88,152.44,610300
2017-08-30,152.67,154.52,152.28,153.84,153.39,598100
2017-08-31,154.52,157.05,154.28,156.87,156.41,656000
2017-09-01,157.12,158.41,156.48,157.61,157.15,553500
2017-09-05,157.32,157.5,156.26,157.0,156.54,546500
2017-09-06,157.86,158.62,156.18,158.48,158.02,597800
2017-09-07,158.89,159.28,157.45,158.04,157.58,558000
2017-09-08,157.77,158.36,156.9,157.55,157.09,398300
2017-09-11,158.88,159.57,157.83,159.21,158.75,769000
2017-09-12,159.16,159.16,157.78,158.67,158.21,552600
2017-09-13,159.18,159.18,154.95,155.21,154.76,849600
2017-09-14,155.03,155.07,153.11,154.09,153.64,756400
2017-09-15,154.08,154.48,152.89,153.6,153.15,797900
2017-09-18,153.92,154.44,153.0,153.75,153.3,497100
2017-09-19,153.77,154.31,152.43,152.85,152.41,607000
2017-09-20,152.94,154.97,152.28,154.15,153.7,979400
2017-09-21,154.45,154.63,152.66,153.89,153.44,597900
2017-09-22,154.34,155.47,153.98,155.07,154.62,510700
2017-09-25,149.63,150.58,146.68,150.32,149.88,2110200
2017-09-26,150.24,152.69,149.94,150.82,150.38,919800
2017-09-27,150.82,151.66,148.88,149.47,149.04,913800
2017-09-28,149.26,149.78,148.04,149.75,149.31,744000
2017-09-29,149.39,151.66,148.95,150.97,150.53,477600
2017-10-02,151.11,152.03,150.43,151.38,150.94,592100
2017-10-03,151.48,151.95,150.0,150.92,150.48,423000
2017-10-04,150.9,152.48,150.69,152.18,151.74,524300
2017-10-05,152.37,152.89,150.8,151.68,151.24,457500
2017-10-06,151.74,153.5,151.48,151.65,151.21,420800
2017-10-09,151.46,151.8,148.97,149.27,148.84,372100
2017-10-10,149.63,150.43,148.85,149.48,149.05,385700
2017-10-11,149.31,150.07,148.77,149.28,148.85,709000
2017-10-12,149.56,150.63,148.9,150.26,149.82,646900
2017-10-13,150.16,150.36,148.85,149.6,149.17,235800
2017-10-16,149.58,150.35,149.02,149.67,149.24,352500
2017-10-17,149.46,150.47,148.6,149.73,149.29,527800
2017-10-18,149.95,150.24,147.53,147.99,147.56,696700
2017-10-19,148.29,152.04,147.28,151.32,150.88,1509000
2017-10-20,151.6,152.26,150.81,151.72,151.28,692000
2017-10-23,152.24,152.24,151.09,151.77,151.33,537700
2017-10-24,151.3,151.87,149.73,150.86,150.42,704500
2017-10-25,150.75,154.77,150.75,152.71,152.27,1262800
2017-10-26,153.36,154.24,152.01,153.39,152.94,1266200
2017-10-27,154.04,156.44,153.5,155.4,154.95,910700
2017-10-30,155.07,155.4,152.72,154.17,153.72,724100
2017-10-31,153.85,154.54,152.09,153.71,153.26,591600
2017-11-01,153.63,154.99,151.01,151.31,150.87,656100
2017-11-02,151.66,152.41,150.91,151.81,151.37,578400
2017-11-03,152.25,153.89,152.25,153.74,153.29,462800
2017-11-06,153.21,154.59,151.48,151.74,151.3,467100
2017-11-07,152.23,152.7,150.33,152.39,151.95,603600
2017-11-08,151.87,153.12,150.0,151.79,151.35,482900
2017-11-09,151.16,152.14,149.38,152.09,151.65,699700
2017-11-10,151.55,151.79,149.84,150.46,150.02,465700
2017-11-13,149.75,150.55,149.49,149.87,149.43,461800
2017-11-14,149.68,150.52,148.44,149.91,149.47,592000
2017-11-15,149.41,149.85,148.02,149.37,148.94,452800
2017-11-16,150.27,152.0,149.73,151.02,150.58,590600
2017-11-17,150.44,151.19,149.69,150.36,149.92,468500
2017-11-20,149.25,151.19,147.7,150.72,150.28,1371700
2017-11-21,151.38,153.29,150.88,152.84,152.4,621300
2017-11-22,152.82,153.85,151.87,151.91,151.47,554800
2017-11-24,151.72,152.25,149.39,151.09,150.65,389400
2017-11-27,150.78,151.67,150.28,151.55,151.11,597400
2017-11-28,151.91,151.91,149.94,151.22,150.78,1120800
2017-11-29,151.24,157.32,150.73,157.02,156.56,1036400
2017-11-30,156.98,159.54,155.28,158.27,157.81,1029700
2017-12-01,158.35,158.69,154.95,156.49,156.04,657900
2017-12-04,156.62,160.12,156.51,157.91,157.45,811500
2017-12-05,155.09,158.48,154.69,155.22,154.77,573400
2017-12-06,155.45,156.44,153.41,155.51,155.06,619600
2017-12-07,155.45,156.48,154.67,155.26,154.81,371200
2017-12-08,155.35,157.0,155.25,156.26,155.81,672300
2017-12-11,155.68,157.54,155.25,155.79,155.34,527400
2017-12-12,156.4,156.91,155.25,156.02,155.57,481800
2017-12-13,155.36,156.77,154.59,156.26,155.81,456000
2017-12-14,156.67,157.9,155.6,155.84,155.39,505500
2017-12-15,156.53,159.76,156.23,159.06,158.6,1028900
2017-12-18,159.85,162.09,159.67,161.46,160.99,755200
2017-12-19,162.0,164.86,161.56,163.95,163.47,656400
2017-12-20,163.66,165.18,162.79,163.03,162.56,506400
2017-12-21,163.4,163.57,160.73,161.38,160.91,556300
2017-12-22,161.02,161.02,159.63,160.72,160.25,297300
2017-12-26,161.1,161.82,160.76,161.04,160.57,230500
2017-12-27,161.24,161.51,160.06,160.75,160.28,307000
2017-12-28,161.37,161.37,159.99,160.85,160.38,334600
2017-12-29,161.36,161.36,159.49,159.51,159.05,352700
2018-01-02,160.0,162.35,159.71,162.3,161.83,475400
2018-01-03,162.92,163.39,162.12,163.05,162.58,410500
2018-01-04,163.67,164.34,162.41,162.46,161.99,365500
2018-01-05,163.48,166.69,162.6,166.48,166.0,851200
2018-01-08,166.48,167.07,164.04,165.94,165.46,749200
2018-01-09,166.12,171.39,165.81,170.54,170.04,902900
2018-01-10,169.81,171.13,169.34,170.47,169.97,573100
2018-01-11,170.53,171.25,169.98,170.28,169.79,472000
2018-01-12,170.92,172.38,170.38,171.64,171.14,500000
2018-01-16,171.83,172.43,170.85,171.0,170.5,497000
2018-01-17,171.58,172.83,170.93,172.65,172.15,431800
2018-01-18,172.48,174.21,172.48,173.11,172.61,414500
2018-01-19,174.06,174.79,173.22,174.39,173.88,637500
