Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,108.7,110.0,108.64,109.88,100.79,775100
2017-05-25,110.0,111.35,109.62,111.05,101.86,602300
2017-05-26,110.93,111.16,110.15,110.56,101.41,801200
2017-05-30,110.56,111.28,109.86,110.53,101.38,912700
2017-05-31,110.4,112.23,109.96,112.16,103.37,1276500
2017-06-01,112.26,113.36,112.01,113.36,104.48,668300
2017-06-02,113.56,114.32,113.44,113.82,104.9,661700
2017-06-05,113.44,113.68,112.69,112.74,103.91,811500
2017-06-06,112.52,112.52,110.68,110.89,102.2,1400700
2017-06-07,110.72,111.8,110.22,110.45,101.8,1314200
2017-06-08,110.45,111.29,110.0,111.21,102.5,649200
2017-06-09,111.29,111.54,108.76,109.06,100.51,1908100
2017-06-12,109.18,109.28,107.78,108.53,100.03,1090000
2017-06-13,109.02,109.54,108.74,109.31,100.75,831900
2017-06-14,109.32,109.97,108.79,109.37,100.8,739400
2017-06-15,108.85,109.89,108.26,109.5,100.92,906300
2017-06-16,109.77,110.6,109.13,110.54,101.88,2234200
2017-06-19,110.73,112.3,110.39,112.28,103.48,713300
2017-06-20,112.01,112.69,111.84,111.87,103.1,544100
2017-06-21,111.81,112.33,111.49,111.71,102.96,424200
2017-06-22,111.62,112.25,110.99,110.99,102.29,407900
2017-06-23,111.02,111.6,110.66,111.39,102.66,1451900
2017-06-26,111.52,112.43,110.71,110.91,102.22,582900
2017-06-27,110.8,111.1,109.31,109.35,100.78,478600
2017-06-28,110.02,110.83,109.53,110.42,101.77,514900
2017-06-29,110.3,110.3,108.29,108.99,100.45,949600
2017-06-30,109.21,110.21,108.7,109.08,100.53,467200
2017-07-03,109.8,110.21,109.08,109.67,101.08,466400
2017-07-05,109.66,110.95,109.56,110.83,102.15,713500
2017-07-06,110.38,111.02,110.2,110.28,101.64,647200
2017-07-07,111.16,113.03,110.66,112.81,103.97,1010100
2017-07-10,112.82,114.22,112.4,113.9,104.98,1608700
2017-07-11,113.9,114.97,113.64,114.72,105.73,795700
2017-07-12,115.44,116.09,115.0,115.59,106.53,555200
2017-07-13,115.66,115.79,114.79,115.14,106.12,664500
2017-07-14,115.22,115.43,114.07,115.18,106.16,1047900
2017-07-17,115.0,115.15,113.39,113.49,104.6,1057900
