Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,130.02,133.68,129.41,132.27,120.62,2260700
2017-05-25,133.13,133.2,131.63,131.93,120.31,1323900
2017-05-26,131.84,132.22,131.39,131.97,120.35,957200
2017-05-30,131.64,131.65,130.99,131.59,120.0,1721600
2017-05-31,131.68,132.38,131.26,132.29,120.64,1020100
2017-06-01,132.5,138.69,132.09,134.09,122.28,2287500
2017-06-02,134.57,137.86,134.16,136.62,124.59,2348600
2017-06-05,136.0,136.41,133.22,133.42,122.38,1766700
2017-06-06,132.8,134.15,132.43,133.29,122.26,1082800
2017-06-07,134.56,135.21,132.69,133.08,122.07,1729200
2017-06-08,133.08,133.32,131.77,132.98,121.98,1549700
2017-06-09,133.56,136.23,133.54,136.19,124.92,1837200
2017-06-12,136.25,137.0,134.71,134.97,123.8,1388400
2017-06-13,134.8,136.41,134.76,136.28,125.0,1013200
2017-06-14,136.27,136.46,134.76,135.19,124.0,870500
2017-06-15,134.11,135.13,133.78,134.86,123.7,1176800
2017-06-16,135.34,136.02,134.63,136.0,124.75,1816900
2017-06-19,136.5,136.96,136.02,136.46,125.17,1263200
2017-06-20,135.89,136.51,134.57,134.76,123.61,1461200
2017-06-21,135.1,135.27,132.78,132.86,121.87,1059200
2017-06-22,132.86,133.4,132.29,132.47,121.51,1975200
2017-06-23,132.49,133.81,132.29,132.8,121.81,1878800
2017-06-26,133.15,133.19,132.22,132.88,121.88,768600
2017-06-27,133.31,133.31,132.03,132.23,121.29,833800
2017-06-28,133.31,134.11,132.66,133.64,122.58,1133400
2017-06-29,133.75,133.8,131.1,131.67,120.77,978300
2017-06-30,131.94,133.2,131.34,132.55,121.58,1502300
2017-07-03,132.29,134.82,132.29,134.18,123.08,903000
2017-07-05,134.22,134.54,132.19,132.66,121.68,1071600
2017-07-06,132.45,133.3,132.33,132.43,121.47,1598900
2017-07-07,132.53,133.27,131.82,133.06,122.05,1187700
2017-07-10,132.65,134.09,132.49,133.34,122.31,737700
2017-07-11,133.29,133.5,132.43,132.96,121.96,657000
2017-07-12,134.39,134.48,133.65,133.82,122.75,1252700
2017-07-13,133.78,134.21,133.29,133.58,122.53,870700
2017-07-14,134.06,134.68,133.55,134.31,123.2,1078300
2017-07-17,134.5,134.91,134.09,134.54,123.41,1190900
2017-07-18,134.27,134.49,133.46,134.16,123.06,848400
2017-07-19,134.16,135.7,133.95,135.62,124.4,726500
2017-07-20,135.57,135.9,134.64,135.21,124.02,925700
2017-07-21,135.1,135.31,134.43,134.74,123.59,813900
2017-07-24,134.81,135.57,134.4,135.22,124.03,917100
2017-07-25,136.37,136.59,135.33,135.86,124.62,1009800
2017-07-26,135.34,135.8,134.38,135.03,123.86,1141200
2017-07-27,135.0,135.57,131.8,132.71,121.73,1812900
2017-07-28,132.71,133.36,130.9,132.26,121.31,1486900
2017-07-31,132.46,132.46,129.46,130.16,119.39,2094700
2017-08-01,131.12,132.27,129.94,130.71,119.89,1783300
2017-08-02,130.65,131.0,130.01,130.6,119.79,963400
2017-08-03,130.66,130.82,129.94,130.32,119.54,698700
2017-08-04,130.32,130.71,129.62,130.15,119.38,1143600
2017-08-07,130.39,130.54,129.89,130.22,119.44,521900
2017-08-08,130.09,130.09,128.26,128.58,117.94,1137200
2017-08-09,128.47,128.96,127.9,128.86,118.2,1357700
2017-08-10,128.49,128.93,127.58,127.62,117.06,1130500
2017-08-11,127.68,128.49,127.36,127.44,116.89,583000
2017-08-14,128.53,131.16,128.53,131.06,120.21,1648600
2017-08-15,130.82,131.68,130.66,131.47,120.59,1030100
2017-08-16,131.64,134.15,131.6,133.59,122.53,1771000
2017-08-17,133.57,133.82,131.59,131.79,120.88,980200
2017-08-18,131.78,132.48,131.0,132.3,121.35,935100
