Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,77.99,78.28,77.8,77.96,70.38,2253800
2017-05-25,78.31,78.46,77.76,78.34,70.73,1736700
2017-05-26,78.12,78.35,77.72,78.05,70.47,2238900
2017-05-30,77.95,78.67,77.75,78.35,70.74,3244900
2017-05-31,78.48,79.91,78.48,79.57,71.84,5163900
2017-06-01,79.6,80.23,79.38,79.99,72.22,3093100
2017-06-02,80.47,81.06,79.9,80.13,72.34,4005700
2017-06-05,80.0,80.07,78.98,79.35,71.64,2814800
2017-06-06,79.41,79.46,78.75,79.09,71.4,2688000
2017-06-07,79.16,79.54,79.09,79.39,71.68,2899900
2017-06-08,79.39,80.46,79.34,80.1,72.32,4610400
2017-06-09,80.1,81.19,79.7,81.04,73.17,4599300
2017-06-12,80.96,81.29,80.84,80.9,73.04,2842400
2017-06-13,81.21,81.29,80.24,81.25,73.35,4492900
2017-06-14,80.9,81.61,80.77,81.6,73.67,4025600
2017-06-15,81.39,82.15,80.96,82.05,74.08,3484800
2017-06-16,82.24,82.56,81.66,81.88,73.92,4903200
2017-06-19,82.02,82.76,81.87,82.34,74.34,2538000
2017-06-20,82.22,83.68,82.22,82.75,74.71,3694700
2017-06-21,83.1,83.41,82.38,82.64,74.61,3781400
2017-06-22,82.84,84.76,82.84,84.31,76.12,4891600
2017-06-23,84.12,84.34,83.71,83.89,75.74,3928000
2017-06-26,84.09,84.45,83.66,84.28,76.09,2952800
2017-06-27,84.18,84.33,83.04,83.04,74.97,2365800
2017-06-28,83.45,83.92,82.9,83.1,75.02,3035300
2017-06-29,83.09,83.22,82.31,82.7,74.66,2366800
2017-06-30,82.97,83.13,82.0,82.3,74.3,5713900
2017-07-03,82.41,82.91,82.32,82.7,74.66,1464700
2017-07-05,82.63,82.76,82.03,82.7,74.66,2263600
2017-07-06,82.32,82.57,81.37,81.6,73.67,3391000
2017-07-07,81.62,82.35,81.43,82.29,74.29,1803700
2017-07-10,82.33,82.57,81.89,82.28,74.28,2269700
2017-07-11,82.39,82.84,81.88,82.35,74.35,2708900
2017-07-12,82.73,84.02,82.61,83.5,75.39,3527000
2017-07-13,83.56,84.23,83.16,84.02,75.86,2944100
2017-07-14,84.11,84.58,83.81,84.35,76.15,2005700
2017-07-17,84.31,84.53,83.42,83.64,75.51,1989100
2017-07-18,83.51,83.77,83.22,83.7,75.57,1704500
2017-07-19,83.52,84.28,83.52,84.23,76.05,2297400
2017-07-20,84.53,85.12,84.41,84.75,76.51,2980600
2017-07-21,84.62,84.96,84.31,84.66,76.43,3064400
2017-07-24,84.66,85.53,84.51,84.74,76.51,3952200
2017-07-25,83.74,84.4,80.77,82.19,74.2,13319900
2017-07-26,81.57,81.88,81.04,81.84,73.89,7030500
2017-07-27,81.76,83.05,81.46,83.02,74.95,5577400
2017-07-28,82.87,83.22,82.5,83.1,75.02,3820100
2017-07-31,83.34,83.76,82.63,82.66,74.63,4083000
2017-08-01,82.86,83.15,82.12,82.37,74.37,3439400
2017-08-02,82.06,82.17,81.07,81.82,73.87,4574400
2017-08-03,81.58,82.28,81.5,81.93,73.97,3688300
2017-08-04,81.9,82.32,81.76,82.31,74.31,2802600
2017-08-07,82.31,82.4,81.72,82.07,74.1,2769700
2017-08-08,81.87,82.72,81.63,81.97,74.0,3292600
2017-08-09,82.13,82.74,81.97,82.57,74.55,2392100
2017-08-10,82.54,82.54,81.66,82.05,74.08,3367500
2017-08-11,81.8,81.97,81.12,81.15,73.73,2446400
2017-08-14,81.34,81.68,81.18,81.49,74.04,1879600
2017-08-15,81.5,82.34,81.5,81.71,74.24,1949500
2017-08-16,82.14,82.2,80.02,80.69,73.31,3970500
2017-08-17,80.4,80.57,77.7,77.8,70.69,7318200
2017-08-18,77.7,77.7,76.94,77.07,70.02,4061300
2017-08-21,77.12,77.64,76.89,77.38,70.31,3638100
2017-08-22,77.53,78.65,77.53,78.26,71.11,2131900
2017-08-23,78.2,78.52,78.05,78.15,71.01,1801500
2017-08-24,78.33,79.24,78.26,78.86,71.65,4188400
2017-08-25,78.96,79.53,78.74,78.79,71.59,2171500
2017-08-28,79.1,79.43,78.63,78.84,71.63,1923200
2017-08-29,78.54,78.84,78.12,78.55,71.37,2154300
2017-08-30,79.1,80.77,78.75,80.49,73.13,5036900
2017-08-31,80.77,81.35,80.34,81.29,73.86,3939500
2017-09-01,81.54,81.71,79.43,80.08,72.76,4345000
2017-09-05,79.47,80.05,79.05,79.82,72.52,3384000
2017-09-06,80.21,80.67,79.86,80.51,73.15,2689200
2017-09-07,80.62,82.75,80.37,81.54,74.09,6249300
2017-09-08,81.61,83.12,81.54,82.92,75.34,3961300
2017-09-11,82.94,83.35,81.77,82.63,75.08,4389200
2017-09-12,82.6,82.73,81.93,82.17,74.66,2566400
2017-09-13,81.96,82.58,81.88,82.43,74.89,2454900
2017-09-14,82.33,83.99,82.12,83.07,75.48,3370300
2017-09-15,83.3,83.57,82.18,82.44,74.9,5374500
2017-09-18,82.55,82.67,82.07,82.52,74.98,2200000
2017-09-19,82.64,82.84,81.55,81.73,74.26,2259200
2017-09-20,82.06,82.42,81.39,82.02,74.52,2849900
2017-09-21,82.01,83.7,81.88,83.33,75.71,4426700
2017-09-22,83.34,84.03,82.74,83.91,76.24,3148700
2017-09-25,83.87,84.65,83.8,84.64,76.9,4223800
2017-09-26,84.43,85.13,84.01,84.22,76.52,2347200
2017-09-27,84.34,84.8,83.97,84.65,76.91,3085200
2017-09-28,84.59,85.58,84.15,85.0,77.23,2841000
2017-09-29,85.17,85.61,84.39,85.54,77.72,3506100
2017-10-02,85.78,86.68,85.74,86.35,78.46,3071100
2017-10-03,86.24,86.56,85.93,86.45,78.55,2128800
2017-10-04,86.5,87.16,86.28,86.96,79.01,2317700
2017-10-05,86.77,89.09,86.39,87.65,79.64,5221000
2017-10-06,87.31,87.49,86.64,87.08,79.12,2297200
2017-10-09,87.14,87.28,86.46,87.05,79.09,1701400
2017-10-10,85.38,86.7,85.25,86.16,78.28,4943700
2017-10-11,86.35,86.66,85.45,86.06,78.19,3433200
2017-10-12,86.1,86.45,85.91,86.43,78.53,1941100
2017-10-13,86.4,86.7,85.71,86.55,78.64,3026500
2017-10-16,86.48,86.74,85.78,85.95,78.09,3800700
2017-10-17,85.94,86.5,85.42,86.06,78.19,3643700
2017-10-18,86.33,86.56,85.52,85.73,77.89,4002200
2017-10-19,85.69,86.38,85.51,86.36,78.47,3233400
2017-10-20,86.52,87.38,86.33,87.23,79.26,3223200
2017-10-23,87.47,88.19,87.12,87.18,79.21,4909800
2017-10-24,87.42,88.33,83.75,85.17,77.38,8696100
2017-10-25,85.91,86.37,84.68,84.85,77.09,3916000
2017-10-26,84.67,85.11,83.83,84.16,76.47,3820700
2017-10-27,84.07,84.81,83.59,83.86,76.19,2892900
2017-10-30,83.76,83.76,82.43,82.65,75.09,4667200
2017-10-31,82.76,83.1,81.72,81.94,74.45,3853300
2017-11-01,82.17,83.82,82.0,82.89,75.31,3309300
2017-11-02,82.55,83.92,82.31,83.13,75.53,2716100
2017-11-03,82.71,83.59,82.66,83.51,75.88,1534800
2017-11-06,83.29,83.43,82.92,82.94,75.36,1861700
2017-11-07,83.04,83.42,82.77,83.28,75.67,2851900
2017-11-08,83.0,84.39,83.0,84.01,76.33,2328700
2017-11-09,83.82,84.26,83.63,83.99,76.31,2098600
2017-11-10,83.67,83.87,82.57,83.29,75.68,2692500
2017-11-13,83.33,83.33,82.53,82.86,75.29,2478700
2017-11-14,82.69,83.11,82.21,82.49,75.42,2684800
2017-11-15,82.51,83.14,81.42,82.19,75.15,1838100
2017-11-16,82.41,83.63,81.84,83.44,76.29,2599700
2017-11-17,83.0,83.48,82.8,82.89,75.79,4097800
2017-11-20,83.09,83.32,82.82,83.18,76.05,2205900
2017-11-21,83.65,84.53,83.37,83.51,76.36,3529900
2017-11-22,83.67,84.26,83.48,83.68,76.51,2230900
2017-11-24,83.87,84.17,83.58,84.03,76.83,817600
2017-11-27,84.15,85.25,84.03,84.81,77.54,2980900
2017-11-28,85.07,85.36,84.74,85.05,77.76,2659400
2017-11-29,84.79,85.24,84.45,84.96,77.68,2316000
2017-11-30,85.25,85.48,84.32,84.64,77.39,5002100
2017-12-01,84.98,85.41,84.18,85.32,78.01,2736300
2017-12-04,85.49,86.78,85.36,85.58,78.25,4228300
2017-12-05,85.59,86.58,85.21,86.06,78.69,3876800
2017-12-06,86.04,86.39,84.53,85.32,78.01,3130900
2017-12-07,85.21,85.87,84.65,85.87,78.51,4344900
2017-12-08,85.66,86.46,85.47,86.45,79.04,3777100
2017-12-11,86.61,86.84,86.07,86.67,79.24,3336800
2017-12-12,86.49,86.9,85.99,86.71,79.28,4252500
2017-12-13,86.41,89.09,86.34,87.89,80.36,5786800
2017-12-14,88.22,88.33,86.12,86.5,79.09,4388400
2017-12-15,86.89,87.61,86.27,86.54,79.13,7346400
2017-12-18,86.76,87.45,85.99,86.08,78.7,3796000
2017-12-19,86.04,86.77,85.85,86.71,79.28,4027600
2017-12-20,86.68,86.94,85.64,85.74,78.39,3016900
2017-12-21,86.03,86.18,85.44,85.61,78.28,2024300
2017-12-22,85.6,85.78,84.75,85.07,77.78,1834800
2017-12-26,85.29,85.43,84.96,84.99,77.71,1099900
2017-12-27,85.19,85.46,84.98,85.14,77.85,1332800
2017-12-28,85.3,85.44,84.89,85.05,77.76,1731700
2017-12-29,85.12,85.44,84.46,84.46,77.22,2563800
2018-01-02,84.46,85.0,84.06,84.68,77.42,3456700
2018-01-03,84.74,85.42,84.27,85.14,77.85,3078400
2018-01-04,85.28,85.8,84.74,85.52,78.19,2462500
2018-01-05,86.09,86.75,85.93,86.57,79.15,2946300
2018-01-08,86.69,86.71,85.4,86.13,78.75,3251400
2018-01-09,86.2,86.42,85.74,86.06,78.69,2426000
2018-01-10,85.61,86.17,85.49,86.1,78.72,1674600
2018-01-11,86.17,86.59,85.87,86.39,78.99,2647500
2018-01-12,86.52,87.41,86.03,86.98,79.53,2728900
2018-01-16,85.93,86.59,85.15,85.29,77.98,4878300
2018-01-17,85.8,86.36,85.47,86.21,78.82,4083300
2018-01-18,86.04,86.14,85.27,85.82,78.47,4445800
2018-01-19,86.17,86.28,85.32,85.49,78.17,5826900
2018-01-22,83.25,85.57,82.4,85.44,78.12,6374000
2018-01-23,85.18,85.92,84.24,84.42,77.19,5728100
2018-01-24,84.86,85.16,84.28,84.3,77.08,5977700
2018-01-25,84.81,85.4,84.56,85.01,77.73,5201600
2018-01-26,84.76,87.47,84.76,87.08,79.62,6394100
2018-01-29,86.77,88.33,86.65,87.6,80.09,5324500
2018-01-30,86.64,86.94,85.21,86.09,78.71,5388400
2018-01-31,86.5,86.73,81.27,81.45,74.47,10558500
2018-02-01,81.54,82.87,81.29,82.41,75.35,8410700
2018-02-02,81.88,83.03,81.12,81.18,74.22,5152500
2018-02-05,80.89,81.61,76.55,77.49,70.85,8145200
2018-02-06,76.56,79.11,75.71,77.99,71.31,10558800
2018-02-07,77.76,78.56,76.71,76.72,70.15,8240300
2018-02-08,77.19,77.65,74.19,74.21,67.85,8059600
2018-02-09,75.06,76.82,73.69,76.23,69.7,8939700
2018-02-12,76.68,77.1,75.2,76.25,69.72,6454200
2018-02-13,76.02,76.59,75.75,76.21,69.68,4041200
2018-02-14,75.41,77.19,75.34,77.03,70.95,4361100
2018-02-15,77.75,78.15,77.03,78.02,71.87,4810700
2018-02-16,77.95,79.65,77.91,78.97,72.74,4699600
2018-02-20,78.18,78.7,77.18,77.55,71.43,3195000
2018-02-21,77.59,78.75,77.55,77.55,71.43,3871100
2018-02-22,77.19,78.09,76.52,77.19,71.1,7687400
2018-02-23,77.73,78.86,77.64,78.75,72.54,5170300
2018-02-26,78.99,80.47,78.97,80.18,73.86,6015900
2018-02-27,80.15,80.21,78.69,78.7,72.49,4860400
2018-02-28,78.78,79.18,77.01,77.02,70.95,6123400
2018-03-01,77.06,77.37,75.53,76.5,70.47,6258400
2018-03-02,76.38,77.6,76.32,77.23,71.14,3216700
2018-03-05,76.9,78.08,76.71,77.7,71.57,3816600
2018-03-06,77.86,78.0,76.88,77.19,71.1,2962700
2018-03-07,76.58,77.61,76.54,77.44,71.33,2266500
2018-03-08,77.65,79.02,77.47,78.89,72.67,3497200
2018-03-09,79.28,79.96,78.88,79.61,73.33,4399500
2018-03-12,79.83,79.97,78.61,79.04,72.81,5059600
2018-03-13,79.08,79.87,78.77,79.15,72.91,4863200
2018-03-14,79.39,79.56,78.02,78.49,72.3,3167900
2018-03-15,78.58,79.86,78.46,78.75,72.54,3910100
2018-03-16,79.2,80.49,79.12,80.49,74.14,8326300
2018-03-19,80.12,80.2,78.16,78.73,72.52,5117000
2018-03-20,79.04,79.2,77.85,78.37,72.19,3943800
2018-03-21,78.46,79.0,78.03,78.24,72.07,4052000
2018-03-22,77.56,78.01,76.41,76.53,70.49,3816900
2018-03-23,76.77,76.8,74.51,74.76,68.86,4298100
2018-03-26,75.61,76.23,74.65,76.18,70.17,3488700
2018-03-27,76.09,76.6,75.14,75.66,69.69,4070600
2018-03-28,76.06,77.66,76.04,77.01,70.94,4257500
2018-03-29,77.46,77.8,76.61,77.37,71.27,3424000
2018-04-02,76.88,77.31,75.4,75.7,69.73,6282600
2018-04-03,76.25,77.6,75.86,77.54,71.42,3610600
2018-04-04,76.82,78.82,76.71,78.6,72.4,3022200
2018-04-05,78.52,78.85,78.09,78.62,72.42,2213100
2018-04-06,78.18,78.25,76.3,76.85,70.79,4012800
2018-04-09,77.27,78.35,76.33,77.34,71.24,5377500
2018-04-10,78.09,79.68,78.07,79.22,72.97,3657200
2018-04-11,78.35,78.9,78.12,78.73,72.52,2830000
2018-04-12,79.19,79.68,78.81,79.29,73.04,2121100
2018-04-13,79.88,80.45,79.24,79.72,73.43,2652400
2018-04-16,80.46,80.75,79.67,80.12,73.8,2743000
2018-04-17,80.57,80.64,79.49,79.92,73.62,3782400
2018-04-18,79.96,80.24,79.59,79.72,73.43,4261000
2018-04-19,78.96,79.75,78.55,79.75,73.46,4989400
2018-04-20,79.64,79.91,78.82,79.06,72.82,5424100
2018-04-23,79.43,80.29,79.17,80.2,73.87,4015900
2018-04-24,81.17,81.5,78.92,80.09,73.77,6394900
2018-04-25,80.27,82.32,80.01,81.14,74.74,5379000
2018-04-26,81.42,83.56,81.42,82.55,76.04,5058700
2018-04-27,82.5,83.24,82.38,82.73,76.2,3209600
2018-04-30,83.09,83.21,81.06,81.07,74.68,5483500
2018-05-01,80.68,80.93,78.69,79.07,72.83,6306100
2018-05-02,78.68,79.39,78.46,78.83,72.61,5166300
2018-05-03,78.65,78.7,77.44,78.04,71.88,4469300
2018-05-04,77.42,78.62,77.09,78.4,72.22,3367500
2018-05-07,78.41,79.26,78.23,78.63,72.43,3722600
2018-05-08,78.48,78.9,78.17,78.88,72.66,4591700
2018-05-09,78.96,79.65,78.45,79.27,73.02,3325200
2018-05-10,79.46,81.17,79.41,80.86,74.48,3718400
2018-05-11,81.15,82.45,81.02,82.45,75.95,4393800
2018-05-14,82.6,83.32,82.5,83.07,76.52,4739700
2018-05-15,82.72,82.94,81.83,82.21,75.73,3662700
2018-05-16,81.8,81.95,80.96,81.18,75.29,3614500
2018-05-17,81.04,81.84,81.03,81.66,75.74,2808400
2018-05-18,81.49,82.29,81.49,82.07,76.12,4002300
2018-05-21,82.29,82.54,81.67,81.83,75.9,2505900
2018-05-22,82.14,82.89,81.81,82.22,76.26,2620700
2018-05-23,81.71,82.92,81.61,82.68,76.68,2516900
2018-05-24,82.71,82.79,82.1,82.71,76.71,2481800
2018-05-25,82.79,83.47,82.59,82.77,76.77,2338100
2018-05-29,82.11,82.62,81.65,82.44,76.46,3459300
2018-05-30,82.92,84.02,82.91,83.86,77.78,3475400
2018-05-31,83.88,85.11,83.68,85.04,78.87,9526400
2018-06-01,85.2,85.68,84.56,84.85,78.7,4057700
2018-06-04,84.65,85.52,84.36,85.07,78.9,4263100
2018-06-05,85.25,85.7,84.54,84.82,78.67,3667600
2018-06-06,84.88,85.93,84.66,85.93,79.7,2720100
2018-06-07,86.2,86.32,85.32,85.88,79.65,3123600
2018-06-08,85.83,86.42,85.43,86.08,79.84,3172300
2018-06-11,86.31,86.78,85.81,85.86,79.63,3506900
2018-06-12,85.76,86.02,85.45,85.49,79.29,3016900
2018-06-13,85.76,86.38,85.6,85.72,79.5,3052100
2018-06-14,85.67,86.46,85.17,86.35,80.09,3115100
2018-06-15,86.13,87.27,86.1,86.88,80.58,5575200
2018-06-18,85.98,86.15,85.01,86.11,79.87,2903900
2018-06-19,85.89,86.87,85.67,86.82,80.52,3044500
2018-06-20,86.74,87.16,86.2,86.28,80.02,4675500
2018-06-21,85.82,86.28,85.19,86.07,79.83,2856400
2018-06-22,86.02,86.4,85.81,85.92,79.69,3769500
2018-06-25,86.0,86.61,85.12,85.77,79.55,3414100
2018-06-26,85.54,86.0,84.96,85.11,78.94,2840600
2018-06-27,84.91,85.6,84.64,84.67,78.53,3005400
2018-06-28,84.85,85.96,84.81,85.49,79.29,2564600
2018-06-29,85.84,86.1,85.13,85.33,79.14,2964000
2018-07-02,85.06,85.93,84.71,85.86,79.63,2347000
2018-07-03,85.81,87.02,85.81,86.51,80.24,2163500
2018-07-05,86.91,87.19,86.13,86.56,80.28,2675500
2018-07-06,86.83,87.71,86.82,87.39,81.05,2290500
2018-07-09,87.6,88.33,87.52,87.87,81.5,2718300
2018-07-10,88.08,88.23,87.67,88.05,81.66,2227200
2018-07-11,87.77,88.07,87.2,87.56,81.21,2449500
2018-07-12,88.1,88.99,87.92,88.91,82.46,2604500
2018-07-13,88.83,89.87,88.54,89.71,83.2,3335000
2018-07-16,89.63,89.84,88.84,89.07,82.61,3175200
2018-07-17,89.36,89.97,89.34,89.57,83.07,2179400
2018-07-18,89.6,90.13,89.07,90.03,83.5,3021400
2018-07-19,89.83,89.98,88.87,89.43,82.94,3171000
2018-07-20,89.02,89.37,88.26,88.47,82.05,3829800
2018-07-23,88.3,89.16,88.17,88.88,82.43,3145300
2018-07-24,91.06,93.76,90.0,93.35,86.58,9910000
2018-07-25,93.16,96.65,93.03,96.43,89.44,8476800
2018-07-26,96.64,96.96,94.83,95.18,88.28,4826100
2018-07-27,95.65,96.96,95.02,96.6,89.59,3975500
2018-07-30,96.38,98.12,96.25,98.02,90.91,5356000
2018-07-31,98.25,99.2,97.53,98.81,91.64,4957800
2018-08-01,98.74,99.35,98.44,98.7,91.54,4971800
2018-08-02,97.95,100.39,97.84,99.47,92.26,4321000
2018-08-03,99.18,100.69,98.88,100.58,93.29,4572100
2018-08-06,100.4,102.59,100.22,102.0,94.6,5090900
2018-08-07,101.79,103.81,101.68,101.94,94.55,5095100
2018-08-08,101.85,102.67,101.43,102.27,94.85,3901600
2018-08-09,102.06,102.72,101.92,102.19,94.78,3298100
2018-08-10,102.15,103.19,101.99,102.25,94.83,2783800
2018-08-13,102.45,102.68,102.12,102.44,95.01,2816400
2018-08-14,101.77,102.84,101.27,102.44,95.54,3283900
2018-08-15,102.28,103.44,102.08,103.33,96.37,3143200
2018-08-16,103.25,104.94,103.25,104.36,97.33,4427200
2018-08-17,104.43,105.92,103.96,105.55,98.44,3824300
2018-08-20,105.58,106.38,105.58,105.82,98.69,2765500
2018-08-21,106.02,106.13,104.72,105.07,97.99,2775500
2018-08-22,104.8,105.63,104.15,105.03,97.95,1964400
2018-08-23,104.99,105.25,104.39,104.82,97.76,2043400
2018-08-24,105.57,106.04,104.53,105.77,98.64,3089900
2018-08-27,106.15,106.49,104.94,105.11,98.03,2452500
2018-08-28,105.03,105.59,104.59,105.18,98.09,2516800
2018-08-29,104.4,105.59,104.28,105.33,98.23,2949500
2018-08-30,105.18,105.74,104.94,105.48,98.37,2928600
2018-08-31,105.14,105.86,104.47,105.65,98.53,3278900
2018-09-04,105.31,105.7,104.38,104.62,97.57,3107000
2018-09-05,104.85,106.11,104.7,105.72,98.6,3366600
2018-09-06,105.67,105.75,103.66,105.37,98.27,3180700
2018-09-07,105.15,107.24,104.8,107.03,99.82,3822900
2018-09-10,107.5,107.84,106.39,106.42,99.25,2950800
2018-09-11,106.41,106.62,105.52,105.64,98.52,3516400
2018-09-12,105.81,106.49,105.51,105.97,98.83,3926000
2018-09-13,106.16,106.71,105.82,106.58,99.4,5167400
2018-09-14,106.57,106.69,105.4,105.77,98.64,3103100
2018-09-17,105.61,106.77,105.05,105.71,98.59,4972200
2018-09-18,105.87,107.19,105.11,106.88,99.68,3668800
2018-09-19,106.88,107.07,105.5,105.74,98.61,3270400
2018-09-20,105.72,106.11,104.22,106.07,98.92,3762000
2018-09-21,106.23,106.87,105.35,106.33,99.16,5333700
2018-09-24,105.95,106.67,105.59,105.59,98.47,3095500
2018-09-25,106.01,106.76,105.54,105.7,98.58,3775700
2018-09-26,106.06,107.37,106.01,106.31,99.15,3707300
