Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,278.22,280.56,278.11,280.05,245.54,871700
2017-05-25,281.0,282.33,280.56,282.06,247.3,834300
2017-05-26,282.04,284.0,281.54,283.65,248.69,854600
2017-05-30,281.83,282.84,279.73,280.09,247.16,902200
2017-05-31,279.47,281.28,279.27,281.13,248.08,1506600
2017-06-01,281.18,281.7,279.5,280.96,247.93,829300
2017-06-02,281.28,282.89,280.75,281.76,248.63,748500
2017-06-05,281.5,282.3,280.09,280.13,247.19,622500
2017-06-06,279.54,279.95,276.72,276.88,244.33,890800
2017-06-07,277.41,277.85,276.24,277.38,244.77,658900
2017-06-08,277.38,278.69,276.67,277.62,244.98,1116400
2017-06-09,277.66,279.19,276.61,277.0,244.43,1021700
2017-06-12,277.0,277.23,273.92,276.89,244.34,835900
2017-06-13,276.9,278.94,275.48,278.36,245.63,638500
2017-06-14,278.1,282.32,278.0,280.3,247.34,828900
2017-06-15,279.75,281.57,277.77,280.93,247.9,617700
2017-06-16,282.13,282.28,280.68,281.11,248.06,1287600
2017-06-19,281.75,284.48,281.39,282.3,249.11,1064100
2017-06-20,282.95,284.98,282.4,282.89,249.63,967600
2017-06-21,283.68,284.02,282.34,282.99,249.72,801400
2017-06-22,282.73,283.71,280.38,280.43,247.46,694000
2017-06-23,280.03,281.48,280.03,280.64,247.64,1026800
2017-06-26,281.17,283.2,279.49,279.7,246.82,886500
2017-06-27,279.32,280.21,277.83,277.83,245.17,740500
2017-06-28,279.08,280.92,278.37,280.02,247.1,955700
2017-06-29,279.85,279.85,274.69,276.73,244.19,905200
2017-06-30,277.62,278.92,276.32,277.61,244.97,1085900
2017-07-03,277.39,280.48,277.2,278.92,246.13,462800
2017-07-05,279.5,283.72,279.4,282.4,249.2,869500
2017-07-06,282.0,283.48,280.4,280.96,247.93,766000
2017-07-07,281.66,286.95,281.5,285.2,251.67,1197200
2017-07-10,285.5,287.91,284.22,285.57,252.0,1347800
2017-07-11,285.57,287.75,285.06,286.42,252.75,915600
2017-07-12,287.15,288.77,286.36,286.36,252.69,812600
2017-07-13,287.12,287.85,285.78,286.76,253.05,705100
2017-07-14,287.05,288.77,286.71,288.13,254.25,887900
2017-07-17,288.5,290.06,287.61,288.49,254.57,1319300
2017-07-18,290.64,292.97,286.03,286.79,253.07,1811000
2017-07-19,287.68,291.28,287.04,290.67,256.5,1139700
2017-07-20,290.58,290.74,288.94,289.67,255.61,1150900
2017-07-21,288.3,290.07,286.86,289.12,255.13,1230100
2017-07-24,289.47,291.24,289.2,290.28,256.15,768700
2017-07-25,291.48,292.07,289.72,289.83,255.75,805200
2017-07-26,290.82,290.99,288.77,289.85,255.77,882400
2017-07-27,290.2,290.49,286.17,288.13,254.25,1117400
2017-07-28,288.07,290.77,286.58,290.41,256.27,1086200
2017-07-31,291.42,293.84,291.03,292.13,257.78,1139200
2017-08-01,293.93,294.33,291.9,292.65,258.24,1036700
2017-08-02,292.73,294.84,292.15,294.7,260.05,983700
2017-08-03,294.0,295.91,292.8,295.82,261.04,983600
2017-08-04,296.27,297.0,295.04,297.0,262.08,796400
2017-08-07,297.31,297.73,296.6,297.15,262.21,769100
2017-08-08,297.79,300.42,297.33,300.1,264.82,1009300
2017-08-09,301.2,305.54,301.0,305.22,269.33,1750600
2017-08-10,306.55,307.1,303.0,303.25,267.6,1339600
