Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,154.05,154.26,152.29,152.88,141.16,1454000
2017-05-25,153.68,154.37,152.54,153.9,142.1,1906100
2017-05-26,153.49,155.44,153.09,155.12,143.22,2005600
2017-05-30,155.45,157.77,155.0,156.87,144.84,2077000
2017-05-31,157.04,157.49,154.72,155.17,143.27,2894400
2017-06-01,155.26,156.53,154.95,156.44,144.44,1465800
2017-06-02,157.15,158.83,157.01,158.74,146.57,1845700
2017-06-05,158.89,160.5,158.07,160.29,148.42,1820300
2017-06-06,160.24,164.12,159.68,161.01,149.08,2406700
2017-06-07,162.06,162.69,160.99,162.3,150.28,2081300
2017-06-08,163.44,164.99,162.47,164.97,152.75,2319400
2017-06-09,165.35,167.05,154.38,157.78,146.09,3834000
2017-06-12,155.51,155.86,148.75,154.51,143.07,5473900
2017-06-13,156.66,157.91,152.9,155.12,143.63,2760800
2017-06-14,155.35,155.96,150.41,152.75,141.44,2830700
2017-06-15,149.58,150.76,147.6,148.48,137.48,4160900
2017-06-16,148.83,150.97,147.66,148.21,137.23,4113400
2017-06-19,150.19,151.95,149.9,151.0,139.82,3081400
2017-06-20,151.5,152.94,149.53,150.11,138.99,2459500
2017-06-21,150.31,151.25,149.15,150.92,139.74,1885500
2017-06-22,151.51,152.42,149.52,150.04,138.93,1581400
2017-06-23,149.81,152.82,149.52,151.78,140.54,3074100
2017-06-26,152.46,153.61,148.36,148.99,137.95,2606600
2017-06-27,148.26,148.57,144.44,144.62,133.91,3408900
2017-06-28,145.17,148.17,142.8,147.83,136.88,2910200
2017-06-29,146.08,146.5,140.01,142.35,131.81,3111200
2017-06-30,143.37,143.57,140.83,141.43,130.95,2938700
2017-07-03,142.71,143.38,139.24,139.29,128.97,1569700
2017-07-05,140.42,142.7,139.94,142.53,131.97,2618900
2017-07-06,141.44,144.72,140.67,143.89,133.23,2796700
2017-07-07,147.0,149.68,146.44,148.13,137.16,2956300
2017-07-10,148.73,151.01,147.86,150.84,139.67,2279000
2017-07-11,151.31,154.82,151.01,153.72,142.33,2753800
2017-07-12,155.41,156.35,152.92,154.58,143.13,1782700
2017-07-13,155.05,156.31,154.16,154.94,143.46,1461100
2017-07-14,155.69,157.61,154.96,157.3,145.65,1459800
2017-07-17,157.78,158.31,155.75,156.98,145.35,1657900
2017-07-18,157.0,159.59,156.24,159.35,147.55,1832000
2017-07-19,160.5,164.55,160.25,164.23,152.07,2711700
2017-07-20,164.98,165.12,161.82,164.8,152.59,2375900
2017-07-21,163.92,163.92,162.29,163.53,151.42,1847400
2017-07-24,163.5,164.68,163.15,164.12,151.96,1445700
2017-07-25,164.08,164.82,162.48,164.46,152.28,2082800
2017-07-26,165.4,168.44,165.22,168.34,155.87,3310800
2017-07-27,168.92,170.0,161.27,164.76,152.56,5665200
2017-07-28,164.25,164.97,160.78,161.6,149.63,2740000
2017-07-31,162.6,163.0,158.79,159.46,147.65,2437700
2017-08-01,160.44,160.49,157.17,157.46,145.8,2592500
