Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,25.17,25.25,24.82,24.96,15.5,5114500
2017-05-25,24.93,25.02,24.76,24.93,15.48,5796200
2017-05-26,25.03,25.03,24.76,24.8,15.4,4897000
2017-05-30,24.79,25.11,24.65,24.98,15.51,7544900
2017-05-31,25.08,25.08,24.74,24.95,15.49,11659000
2017-06-01,24.94,26.07,24.71,25.87,16.42,20750400
2017-06-02,25.96,26.01,25.45,25.87,16.42,9154100
2017-06-05,25.84,26.04,25.69,25.85,16.4,7532600
2017-06-06,25.67,26.0,25.62,25.84,16.4,8653800
2017-06-07,25.87,25.93,25.59,25.79,16.37,6632100
2017-06-08,25.79,26.07,25.7,25.98,16.49,7032500
2017-06-09,25.95,26.16,25.87,26.11,16.57,10329500
2017-06-12,26.07,26.72,26.05,26.6,16.88,10001200
2017-06-13,26.7,27.28,26.57,27.24,17.29,10276800
2017-06-14,27.13,27.32,27.1,27.31,17.33,10311700
2017-06-15,27.23,27.61,26.92,26.95,17.1,11894000
2017-06-16,27.09,27.21,24.76,25.72,16.32,43059300
2017-06-19,25.75,25.81,25.27,25.36,16.09,18616600
2017-06-20,25.22,25.29,24.42,24.7,15.67,21075000
2017-06-21,24.82,24.82,24.08,24.44,15.51,14707300
2017-06-22,24.47,24.53,24.12,24.35,15.45,10092200
2017-06-23,24.46,24.59,24.19,24.41,15.49,6331600
2017-06-26,24.47,24.67,24.45,24.55,15.58,6548500
2017-06-27,24.46,24.95,24.44,24.56,15.58,7425700
2017-06-28,24.65,25.13,24.65,24.86,15.78,10785600
2017-06-29,24.84,24.84,24.0,24.18,15.34,8325000
2017-06-30,24.27,24.37,23.88,23.88,15.15,8531500
2017-07-03,24.0,24.12,23.83,23.97,15.21,5541500
2017-07-05,23.97,24.14,23.56,23.74,15.06,10607800
2017-07-06,23.69,24.11,23.64,23.9,15.17,8895900
2017-07-07,23.85,23.95,23.49,23.6,14.98,7861500
2017-07-10,23.66,23.81,23.45,23.47,14.89,4660800
2017-07-11,23.5,23.62,23.22,23.25,14.75,6023100
2017-07-12,23.38,23.49,22.48,22.5,14.28,14884800
2017-07-13,22.48,22.87,22.35,22.78,14.46,9033500
2017-07-14,22.77,23.23,22.73,22.99,14.59,6757800
2017-07-17,22.99,23.23,22.86,22.88,14.52,4457300
2017-07-18,22.86,22.96,22.26,22.33,14.17,8724500
2017-07-19,22.43,22.84,22.27,22.68,14.39,8097400
2017-07-20,22.77,23.28,22.66,23.22,14.73,9098700
2017-07-21,23.21,23.56,23.15,23.37,14.83,8061000
2017-07-24,23.36,23.39,22.75,22.76,14.44,8089100
2017-07-25,22.85,23.11,22.77,22.96,14.57,6960400
2017-07-26,23.09,23.1,22.68,22.86,14.51,5585300
2017-07-27,22.95,23.62,22.91,23.6,14.98,8949900
2017-07-28,23.52,23.53,23.09,23.28,14.77,6969800
2017-07-31,23.28,23.42,23.16,23.27,14.77,4902700
2017-08-01,23.34,23.42,23.19,23.36,14.82,5653100
2017-08-02,23.37,23.78,23.32,23.74,15.06,7106300
2017-08-03,23.36,23.41,21.62,22.44,14.24,23962900
2017-08-04,22.49,23.08,22.42,22.47,14.26,11062200
2017-08-07,22.4,22.64,22.22,22.34,14.18,8040000
