Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,81.56,82.58,81.01,81.63,64.94,2542600
2017-05-25,81.75,82.27,80.0,80.67,64.18,2906500
2017-05-26,80.62,80.97,80.02,80.73,64.22,1841700
2017-05-30,80.54,80.87,80.26,80.56,64.09,2086000
2017-05-31,80.33,80.6,79.47,80.52,64.06,3092600
2017-06-01,79.74,80.81,79.57,80.55,64.81,3605200
2017-06-02,80.46,80.96,79.75,80.04,64.4,4657600
2017-06-05,79.78,79.98,78.85,78.91,63.49,2901900
2017-06-06,78.44,79.28,78.01,79.14,63.67,3710500
2017-06-07,79.25,80.35,78.92,79.24,63.75,2934600
2017-06-08,79.24,80.17,79.06,79.48,63.94,2386800
2017-06-09,79.6,82.23,79.56,81.88,65.88,3394500
2017-06-12,81.86,82.97,81.46,81.78,65.8,2419200
2017-06-13,81.31,83.22,81.07,82.95,66.74,2714600
2017-06-14,83.17,83.17,80.68,80.93,65.11,4056800
2017-06-15,80.18,80.75,79.53,80.14,64.48,2326000
2017-06-16,80.12,80.9,79.75,80.88,65.07,3133400
2017-06-19,81.47,81.86,81.13,81.3,65.41,1535500
2017-06-20,80.39,80.64,78.88,80.1,64.44,2052400
2017-06-21,80.42,80.6,79.26,79.57,64.02,2440100
2017-06-22,79.89,80.55,79.58,80.01,64.37,1994700
2017-06-23,80.1,80.61,79.6,80.17,64.5,2426200
2017-06-26,80.57,81.37,80.19,80.89,65.08,2879300
2017-06-27,81.35,82.83,81.11,82.07,66.03,2845400
2017-06-28,82.68,84.0,82.58,83.8,67.42,2870800
2017-06-29,84.38,84.82,83.3,83.77,67.4,3253000
2017-06-30,84.47,85.08,83.9,84.39,67.9,2600600
2017-07-03,85.05,85.92,84.87,85.36,68.68,1428100
2017-07-05,85.65,85.75,82.9,83.36,67.07,2367600
2017-07-06,82.91,84.25,82.89,83.05,66.82,2487600
2017-07-07,83.29,84.45,82.54,83.93,67.53,2257700
2017-07-10,83.5,84.6,83.23,84.2,67.74,1918900
2017-07-11,84.2,84.75,83.73,84.46,67.95,2083600
2017-07-12,84.94,85.98,84.86,85.72,68.97,3004100
2017-07-13,85.75,85.99,85.0,85.48,68.77,1890200
2017-07-14,85.78,86.63,85.62,85.87,69.09,1760500
2017-07-17,85.95,86.29,85.54,85.65,68.91,1442300
2017-07-18,85.58,86.08,84.95,85.25,68.59,1496300
2017-07-19,85.26,87.34,85.26,87.16,70.12,2109400
2017-07-20,87.18,87.95,86.87,87.02,70.01,3159000
2017-07-21,87.16,87.16,86.21,86.87,69.89,2152200
2017-07-24,86.84,87.43,86.69,87.25,70.2,1853500
2017-07-25,88.02,88.57,87.56,87.95,70.76,1993200
2017-07-26,88.41,88.81,87.0,87.34,70.27,1806700
2017-07-27,87.55,87.72,86.1,86.53,69.62,2959900
2017-07-28,88.51,90.68,88.04,89.89,72.32,3977300
2017-07-31,90.37,91.27,89.62,90.09,72.48,2670300
2017-08-01,90.28,90.28,88.38,89.26,71.81,2642700
2017-08-02,88.75,89.3,87.85,88.37,71.1,2620600
2017-08-03,88.48,89.27,88.27,88.75,71.4,4259900
2017-08-04,89.16,89.39,88.67,88.78,71.43,1514200
2017-08-07,89.13,89.4,88.86,89.12,71.7,1832300
2017-08-08,88.99,89.46,88.37,88.73,71.39,2375200
2017-08-09,88.61,89.48,88.39,89.2,71.77,2593400
2017-08-10,88.58,89.02,87.58,87.6,70.48,2176700
2017-08-11,86.96,87.98,86.96,87.19,70.15,1893200
2017-08-14,87.38,88.25,87.25,88.03,70.82,1608000
2017-08-15,88.06,88.51,87.83,87.95,70.76,1548400
2017-08-16,87.95,88.36,87.3,87.66,70.53,2052900
2017-08-17,87.51,87.89,86.19,86.23,69.38,2470900
2017-08-18,86.1,87.63,85.35,87.34,70.27,2683700
2017-08-21,87.33,88.4,87.17,88.1,70.88,2454500
2017-08-22,88.65,89.31,88.39,88.77,71.42,1550300
2017-08-23,88.39,90.0,88.34,89.36,71.89,1410000
2017-08-24,89.4,89.77,88.98,89.51,72.01,1294400
2017-08-25,90.3,91.41,89.99,90.26,72.62,2309400
2017-08-28,90.57,90.93,89.68,90.32,72.67,1392400
2017-08-29,89.67,89.83,88.9,89.6,72.09,1803200
2017-08-30,89.42,90.95,89.37,90.33,72.67,2194200
2017-08-31,90.86,91.07,89.41,90.59,72.88,2609400
2017-09-01,90.1,90.99,89.83,90.25,73.34,1529100
