Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,100.36,100.78,99.97,100.53,85.73,309300
2017-05-25,100.84,101.33,99.75,100.79,85.95,286700
2017-05-26,101.0,101.94,100.69,101.13,86.24,544500
2017-05-30,101.0,101.48,100.84,101.05,86.17,394900
2017-05-31,101.08,102.19,101.08,101.94,86.93,1012500
2017-06-01,101.82,102.25,101.12,102.2,87.15,904400
2017-06-02,102.78,104.71,101.77,104.29,88.93,900100
2017-06-05,104.14,105.97,103.76,105.57,90.03,745400
2017-06-06,105.65,105.78,104.6,105.02,89.56,576000
2017-06-07,105.3,106.84,105.06,106.79,91.07,999700
2017-06-08,106.79,107.63,105.96,107.37,91.56,750300
2017-06-09,107.29,107.94,106.76,107.2,91.42,859200
2017-06-12,107.04,107.9,106.83,107.4,91.59,754000
2017-06-13,107.32,108.16,107.21,108.16,92.23,674900
2017-06-14,108.58,109.36,108.52,108.88,92.85,844800
2017-06-15,108.72,110.95,108.72,110.0,93.8,1082600
2017-06-16,110.1,110.13,109.21,110.04,93.84,902000
2017-06-19,110.0,110.79,109.68,110.32,94.08,357000
2017-06-20,110.27,110.69,108.62,109.87,93.69,618400
2017-06-21,109.86,110.23,109.2,110.19,93.97,584100
2017-06-22,110.1,110.1,108.97,109.3,93.21,585800
2017-06-23,109.3,110.39,108.93,109.18,93.1,1314100
2017-06-26,109.22,109.84,108.46,108.6,92.61,561600
2017-06-27,108.38,108.64,106.64,106.72,91.01,1055900
2017-06-28,106.83,107.13,106.07,106.25,90.61,662600
2017-06-29,105.36,106.21,105.04,105.6,90.05,446500
2017-06-30,105.44,106.09,104.72,105.38,89.86,683300
2017-07-03,105.88,106.13,105.23,105.9,90.31,348400
2017-07-05,105.91,106.22,104.59,105.32,89.81,752700
2017-07-06,104.2,104.98,101.54,101.55,86.6,937600
2017-07-07,101.66,102.83,101.29,102.37,87.3,682100
2017-07-10,102.37,102.37,100.54,100.63,85.81,682900
2017-07-11,100.73,100.74,99.28,99.59,84.93,857700
2017-07-12,99.64,100.27,99.3,99.83,85.88,935300
2017-07-13,99.96,100.06,99.16,99.74,85.8,570800
2017-07-14,100.06,100.83,99.94,100.41,86.38,571400
2017-07-17,100.46,101.57,100.16,101.24,87.09,666200
