Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,147.94,149.99,147.0,149.5,132.62,3348900
2017-05-25,149.81,149.95,149.27,149.78,132.87,3408100
2017-05-26,149.87,150.24,149.25,149.86,132.94,3258200
2017-05-30,149.95,150.33,149.52,149.93,133.0,3113900
2017-05-31,150.12,151.15,149.6,150.89,133.86,6415700
2017-06-01,150.79,152.39,150.35,152.39,136.03,4349800
2017-06-02,152.52,153.9,152.15,153.74,137.24,4316700
2017-06-05,153.63,153.66,152.76,152.79,136.39,2633700
2017-06-06,152.37,152.59,151.21,151.23,135.0,3661900
2017-06-07,151.23,152.01,150.73,151.94,135.63,2922900
2017-06-08,151.94,152.15,151.01,151.43,135.18,3709900
2017-06-09,151.88,152.0,150.9,151.48,135.22,4143100
2017-06-12,151.48,151.48,148.04,148.47,132.53,5902600
2017-06-13,148.86,150.25,148.62,149.82,133.74,4267700
2017-06-14,150.32,151.08,149.91,150.68,134.51,2675500
2017-06-15,149.9,151.52,149.65,151.17,134.94,2517500
2017-06-16,150.98,152.89,150.92,151.99,135.68,5443900
2017-06-19,152.39,153.18,151.84,153.14,136.7,3263800
2017-06-20,154.27,155.28,153.84,154.07,137.53,3614400
2017-06-21,154.18,154.42,153.61,153.73,137.23,2448500
2017-06-22,153.78,154.91,153.68,154.8,138.18,2003800
2017-06-23,155.0,155.45,154.43,154.64,138.04,2214700
2017-06-26,155.18,155.46,153.52,153.96,137.43,2360900
2017-06-27,154.0,154.82,153.46,153.72,137.22,2139000
2017-06-28,154.04,154.68,153.74,154.3,137.74,1302800
2017-06-29,154.58,154.58,152.15,153.13,136.69,1975900
2017-06-30,153.3,153.77,152.72,153.16,136.72,2508200
2017-07-03,153.44,153.87,152.48,152.5,136.13,1100700
2017-07-05,152.82,153.57,151.99,153.07,136.64,2497300
2017-07-06,152.7,153.46,152.33,153.09,136.66,2019800
2017-07-07,153.37,156.56,153.15,156.27,139.5,4117800
2017-07-10,156.28,156.53,155.16,155.52,138.83,2402200
2017-07-11,155.09,155.88,154.01,154.91,138.28,2008800
2017-07-12,155.41,156.75,155.27,156.58,139.77,2094900
2017-07-13,156.49,156.54,154.34,155.04,138.4,3169700
2017-07-14,154.99,155.5,154.73,155.28,138.61,2440200
2017-07-17,155.43,155.44,154.7,155.26,138.6,2408700
2017-07-18,155.0,155.27,153.37,153.96,137.43,3890300
2017-07-19,154.13,154.46,153.48,153.89,137.37,3072200
2017-07-20,154.03,155.22,153.55,154.21,137.66,2240200
2017-07-21,154.06,154.7,153.29,153.92,137.4,3522400
2017-07-24,154.0,154.22,151.77,151.85,135.55,5307400
2017-07-25,157.75,159.98,156.54,159.07,142.0,9511400
2017-07-26,158.76,159.0,155.68,156.51,139.71,4679000
2017-07-27,156.42,157.43,155.54,156.95,140.1,4624100
2017-07-28,156.36,156.66,155.07,155.85,139.12,3964500
2017-07-31,155.92,156.42,154.85,155.14,138.49,4272400
2017-08-01,154.98,155.9,153.71,154.04,137.51,4185100
2017-08-02,153.76,156.65,153.71,156.59,139.78,3326000
2017-08-03,156.56,156.77,154.41,154.72,138.11,3666100
2017-08-04,154.61,154.82,153.23,153.82,137.31,4435400
2017-08-07,154.14,155.39,154.0,154.97,138.34,3252100
2017-08-08,154.67,155.25,154.1,154.92,138.29,4234300
2017-08-09,155.3,155.68,154.35,154.92,138.29,3006500
2017-08-10,154.33,157.2,154.25,156.62,139.81,3874500
2017-08-11,156.88,158.4,156.63,157.3,140.42,2925000
2017-08-14,157.45,157.9,156.46,157.26,140.38,2809100
2017-08-15,157.84,158.58,157.34,157.62,140.7,2160100
2017-08-16,157.89,159.38,157.6,158.9,141.84,2921800
2017-08-17,158.75,159.53,157.81,157.89,140.94,3071600
2017-08-18,157.99,158.28,157.02,157.76,140.83,2595700
2017-08-21,158.17,158.64,157.54,158.36,141.36,2195100
2017-08-22,158.5,159.94,158.39,159.64,142.5,2122600
2017-08-23,159.3,159.37,158.38,158.81,141.76,2190700
2017-08-24,159.11,159.68,158.33,158.41,141.41,1634800
2017-08-25,158.89,159.34,158.53,158.82,141.77,2019600
2017-08-28,159.04,159.96,158.66,159.67,142.53,2027300
2017-08-29,159.2,159.76,158.73,159.38,142.27,3283400
2017-08-30,158.4,159.64,158.32,159.53,143.25,2236500
2017-08-31,159.77,160.0,159.35,159.97,143.65,2717000
2017-09-01,159.87,160.2,159.5,159.81,143.5,1878300
2017-09-05,159.0,159.78,158.07,159.1,142.87,4000500
2017-09-06,159.23,159.37,158.22,158.22,142.08,4143300
2017-09-07,158.47,160.07,158.33,159.9,143.58,2965400
2017-09-08,159.53,160.38,159.18,159.71,143.41,2984200
2017-09-11,160.0,161.72,159.92,161.53,145.05,2333600
2017-09-12,160.21,160.72,155.77,156.33,140.38,10324100
2017-09-13,156.74,157.78,156.0,157.0,140.98,4705600
2017-09-14,157.0,157.35,156.05,157.0,140.98,3109700
2017-09-15,157.79,158.0,156.88,156.92,140.91,7425100
2017-09-18,157.72,157.79,156.35,156.68,140.69,3831900
2017-09-19,157.27,157.9,156.33,157.43,141.37,3554600
2017-09-20,157.9,159.89,157.76,159.88,143.57,3641100
2017-09-21,159.87,160.09,158.51,159.03,142.8,2503400
2017-09-22,158.88,159.74,158.56,158.91,142.69,2442700
2017-09-25,158.47,158.69,156.1,156.26,140.32,3661500
2017-09-26,156.25,156.84,153.27,153.35,137.7,6420000
2017-09-27,153.51,154.69,153.44,154.05,138.33,3915900
2017-09-28,156.16,158.31,155.48,157.49,141.42,4210200
2017-09-29,157.51,158.04,156.12,156.68,140.69,3670100
2017-10-02,156.0,157.18,155.8,156.96,140.94,2407000
2017-10-03,156.75,157.46,156.36,156.86,140.85,2188400
2017-10-04,156.83,157.42,156.65,157.21,141.17,1823100
2017-10-05,157.3,158.92,157.3,158.8,142.6,2796000
2017-10-06,158.58,160.13,158.58,159.6,143.31,3548500
2017-10-09,159.61,160.49,159.5,160.12,143.78,2120000
2017-10-10,159.69,161.58,159.59,160.58,144.19,2909600
2017-10-11,160.9,163.24,160.58,163.15,146.5,3572500
2017-10-12,162.99,164.4,162.77,163.91,147.18,3023600
2017-10-13,164.45,165.51,164.08,165.37,148.5,2957400
2017-10-16,165.44,165.74,164.44,165.01,148.17,2132300
2017-10-17,164.92,166.02,164.75,165.4,148.52,2379700
2017-10-18,165.29,166.25,163.89,165.77,148.85,2798300
2017-10-19,165.82,166.95,164.92,166.5,149.51,2478100
2017-10-20,167.23,167.9,165.5,166.3,149.33,5577700
2017-10-23,166.1,166.1,163.09,163.34,146.67,6214800
2017-10-24,165.26,166.49,163.59,163.88,147.16,7855200
2017-10-25,163.41,165.12,163.0,163.58,146.89,3716200
2017-10-26,164.14,164.65,163.75,164.01,147.27,2934400
2017-10-27,164.09,165.85,163.77,165.39,148.51,2298100
2017-10-30,165.0,166.56,164.67,166.23,149.27,2051000
2017-10-31,166.25,167.41,166.13,166.91,149.88,2873000
2017-11-01,165.72,167.99,165.57,166.37,149.39,2186100
2017-11-02,166.99,168.47,166.5,168.1,150.95,2291000
2017-11-03,168.0,169.45,167.6,168.65,151.44,1959500
