Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,40.76,40.9,40.54,40.83,37.87,3742400
2017-05-25,41.0,41.18,40.79,40.88,37.92,4767000
2017-05-26,40.74,40.9,40.53,40.85,37.89,3613200
2017-05-30,40.91,41.43,40.85,41.26,38.27,4985400
2017-05-31,41.54,42.0,41.24,41.65,38.63,5153000
2017-06-01,41.81,41.99,41.61,41.72,38.69,4030800
2017-06-02,41.87,42.31,41.44,42.17,39.12,4600400
2017-06-05,42.28,42.78,42.21,42.26,39.19,5237000
2017-06-06,42.16,42.8,41.78,42.6,39.51,6482600
2017-06-07,42.78,43.26,42.66,43.15,40.02,5534600
2017-06-08,43.29,43.45,42.82,43.43,40.28,3471800
2017-06-09,43.62,43.74,40.86,41.74,38.72,8614800
2017-06-12,40.92,41.55,40.15,41.54,38.53,8241600
2017-06-13,41.81,42.25,41.03,41.76,38.74,6534400
2017-06-14,41.95,42.05,40.69,41.15,38.17,4520000
2017-06-15,40.53,40.92,40.35,40.78,37.83,4930200
2017-06-16,40.9,41.09,40.38,40.62,37.67,8133600
2017-06-19,40.98,41.52,40.9,41.31,38.31,4948200
2017-06-20,41.35,41.42,40.13,40.17,37.26,4661600
2017-06-21,40.33,40.59,39.94,40.42,37.49,9588400
2017-06-22,40.39,40.56,40.01,40.03,37.14,5496600
2017-06-23,40.11,40.85,39.9,40.79,37.84,5425600
2017-06-26,40.8,41.35,40.11,40.15,37.24,3350200
2017-06-27,40.03,40.21,39.33,39.35,36.5,4958800
2017-06-28,39.53,39.99,38.78,39.92,37.02,6462000
2017-06-29,39.62,39.67,38.15,38.69,35.89,6508200
2017-06-30,38.92,39.13,38.48,38.59,35.79,4849600
2017-07-03,38.87,38.99,37.9,37.9,35.16,2264800
2017-07-05,38.01,39.06,38.01,38.97,36.15,6206400
2017-07-06,38.55,39.09,38.25,38.56,35.77,3314000
2017-07-07,38.74,39.51,38.6,39.18,36.34,3702400
2017-07-10,39.19,39.54,38.97,39.38,36.53,3534600
2017-07-11,39.38,39.81,39.31,39.56,36.69,2765800
2017-07-12,39.97,40.62,39.77,40.08,37.18,6263400
2017-07-13,40.19,40.29,39.67,39.74,36.87,4478000
2017-07-14,39.94,40.51,39.87,40.42,37.49,2835000
2017-07-17,40.45,40.67,40.18,40.51,37.58,2911200
2017-07-18,40.4,40.81,40.19,40.78,37.83,2386600
2017-07-19,41.03,41.24,40.85,41.15,38.17,4198600
2017-07-20,41.26,41.69,41.03,41.52,38.51,3423200
2017-07-21,41.0,41.03,40.33,40.44,37.51,5266800
2017-07-24,40.5,40.62,40.19,40.28,37.36,3605200
2017-07-25,40.25,40.69,40.06,40.47,37.54,3005000
2017-07-26,40.78,41.62,40.7,41.35,38.35,4457400
2017-07-27,41.49,41.6,39.9,40.47,37.53,4167200
2017-07-28,40.33,40.45,40.03,40.35,37.43,2504400
2017-07-31,40.5,40.68,39.97,40.02,37.12,3707800
2017-08-01,40.31,40.4,40.01,40.17,37.26,2395000
2017-08-02,40.34,40.55,39.57,39.91,37.02,3678800
2017-08-03,39.94,40.5,39.78,40.34,37.42,6185200
2017-08-04,40.72,41.92,40.4,41.74,38.72,10037400
2017-08-07,41.79,42.52,41.51,42.49,39.41,4677800
2017-08-08,42.47,42.97,42.12,42.31,39.25,5263600
2017-08-09,41.96,42.1,41.56,41.8,38.77,2762400
2017-08-10,41.47,41.63,40.56,40.62,37.68,4574000
2017-08-11,40.7,41.36,40.69,41.1,38.13,2814400
2017-08-14,41.69,42.24,41.51,42.01,38.97,4129800
2017-08-15,42.03,42.22,41.65,42.15,39.09,3376200
2017-08-16,42.19,42.38,41.83,42.08,39.03,2672600
2017-08-17,41.69,41.77,40.8,40.83,38.03,3590600
2017-08-18,40.96,41.19,40.67,40.79,38.0,2698000
2017-08-21,40.92,40.96,40.46,40.76,37.98,1824800
2017-08-22,40.94,41.47,40.94,41.35,38.53,2659200
2017-08-23,41.01,41.56,40.9,41.45,38.61,2485000
2017-08-24,41.47,41.74,41.17,41.35,38.52,2913400
2017-08-25,41.41,41.61,41.22,41.31,38.49,1540600
2017-08-28,41.53,41.97,41.35,41.88,39.01,2312400
2017-08-29,41.44,42.0,41.43,41.92,39.05,3039800
2017-08-30,42.0,42.88,41.99,42.84,39.91,5708800
2017-08-31,42.92,43.49,42.78,43.4,40.43,4217000
2017-09-01,43.48,44.0,43.35,43.92,40.92,3401800
2017-09-05,43.49,43.88,42.74,43.24,40.29,4230000
2017-09-06,43.08,43.27,42.5,43.06,40.11,4308600
2017-09-07,43.1,43.75,42.85,43.69,40.71,3018600
2017-09-08,43.65,43.81,43.19,43.28,40.32,3243600
2017-09-11,43.9,44.24,43.44,44.19,41.17,3892000
2017-09-12,44.31,44.44,43.88,44.22,41.2,3091800
2017-09-13,44.01,44.27,43.92,44.17,41.15,2878200
2017-09-14,44.1,44.87,44.09,44.62,41.57,6377800
2017-09-15,44.89,45.28,44.67,44.81,41.74,8153800
2017-09-18,45.0,45.62,44.97,45.51,42.39,4656800
2017-09-19,45.56,45.92,45.2,45.49,42.38,4393200
2017-09-20,45.41,45.46,43.38,44.16,41.14,6607800
2017-09-21,44.24,44.38,43.69,44.19,41.17,3543200
2017-09-22,44.04,44.9,44.04,44.85,41.78,2593000
2017-09-25,44.53,44.69,43.79,44.03,41.02,3210200
2017-09-26,44.4,44.65,43.6,43.88,40.88,3562600
2017-09-27,44.24,44.76,44.12,44.46,41.42,3540200
2017-09-28,44.31,44.64,44.15,44.57,41.52,3871200
2017-09-29,44.56,44.99,44.44,44.89,41.82,4388200
2017-10-02,45.19,45.62,45.08,45.28,42.18,3909400
2017-10-03,45.28,45.47,45.13,45.36,42.26,3441800
