Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,115.07,115.77,114.89,115.05,109.79,762600
2017-05-25,115.65,116.91,115.3,116.54,111.22,590500
2017-05-26,116.54,117.23,116.25,117.11,111.76,448600
2017-05-30,116.9,117.46,116.52,116.76,111.43,565500
2017-05-31,117.0,118.51,116.3,118.45,113.04,1040000
2017-06-01,118.57,119.0,117.43,119.0,113.56,698000
2017-06-02,119.05,119.44,118.21,118.82,113.39,595300
2017-06-05,118.92,119.45,118.62,118.86,113.43,509600
2017-06-06,118.34,118.37,117.4,117.77,112.39,712900
2017-06-07,117.98,118.11,117.08,117.67,112.29,676500
2017-06-08,117.67,118.04,117.22,117.38,112.02,750100
2017-06-09,117.61,118.09,116.07,116.82,111.48,545800
2017-06-12,116.55,117.22,115.59,117.19,111.84,588600
2017-06-13,117.2,119.2,117.04,118.92,113.49,701600
2017-06-14,118.74,120.82,118.73,120.01,114.53,736900
2017-06-15,119.49,121.12,119.22,121.08,115.55,517700
2017-06-16,121.32,122.54,121.14,122.25,116.66,1160000
2017-06-19,122.32,122.99,121.26,122.18,116.6,863400
2017-06-20,122.12,122.5,121.19,121.19,115.65,547800
2017-06-21,121.25,121.25,118.6,118.94,113.51,892900
2017-06-22,118.77,119.44,118.33,118.72,113.3,722100
2017-06-23,118.74,120.67,118.62,120.06,114.57,1298400
2017-06-26,120.89,121.52,120.44,120.62,115.11,609500
2017-06-27,120.59,121.26,119.78,120.42,114.92,548300
2017-06-28,121.25,122.49,120.44,122.22,116.64,579400
2017-06-29,122.55,122.7,120.9,121.37,115.82,786700
2017-06-30,121.64,122.2,121.29,121.68,116.12,628600
2017-07-03,122.07,122.85,121.66,122.02,116.45,399200
2017-07-05,122.25,124.4,121.53,123.98,118.32,819900
2017-07-06,123.49,123.65,122.05,122.17,116.59,714800
2017-07-07,122.51,123.68,122.27,123.42,117.78,598500
2017-07-10,123.09,123.44,122.53,123.03,117.41,515700
2017-07-11,123.18,123.46,122.06,122.61,117.01,586800
2017-07-12,123.18,124.72,123.12,124.28,118.6,480800
2017-07-13,124.51,124.85,123.09,124.68,118.98,820500
2017-07-14,124.52,125.59,123.94,125.1,119.38,403000
2017-07-17,124.8,125.58,124.39,125.37,119.64,492900
2017-07-18,124.9,125.99,124.62,125.85,120.1,663100
2017-07-19,126.06,126.63,125.07,126.6,120.82,845600
2017-07-20,126.61,127.65,126.07,127.17,121.36,1248500
2017-07-21,130.5,133.62,130.15,132.57,126.51,2559400
2017-07-24,133.15,135.2,133.03,133.57,127.47,1630700
2017-07-25,134.71,134.89,132.33,132.75,126.68,1016500
2017-07-26,132.79,133.84,132.74,133.28,127.19,661400
2017-07-27,133.59,133.59,130.63,131.89,125.86,799300
2017-07-28,131.89,132.45,131.2,132.21,126.17,677400
2017-07-31,132.72,132.88,131.44,131.63,125.62,894200
2017-08-01,131.76,132.51,131.47,131.59,125.58,1082600
2017-08-02,131.31,131.48,128.51,129.37,123.46,1200800
2017-08-03,129.46,129.73,128.07,128.72,122.84,1273300
2017-08-04,129.11,129.59,128.3,129.29,123.38,878000
2017-08-07,129.74,129.77,128.59,129.07,123.17,772800
2017-08-08,128.66,128.88,127.35,127.7,121.87,817400
2017-08-09,127.05,128.06,126.28,128.02,122.17,1401100
2017-08-10,127.48,128.86,126.86,126.91,121.11,719700
2017-08-11,127.48,129.0,127.43,127.76,121.92,1159500
2017-08-14,128.65,130.75,128.17,130.53,124.57,1214500
2017-08-15,130.93,132.37,130.64,132.2,126.16,827100
2017-08-16,132.53,133.16,131.69,132.09,126.06,732000
2017-08-17,131.22,132.78,130.18,130.22,124.27,971900
2017-08-18,130.09,130.86,129.03,130.49,124.89,1479100
2017-08-21,130.47,131.31,130.01,130.81,125.2,655000
2017-08-22,131.12,132.85,131.12,132.58,126.89,555200
2017-08-23,131.93,132.38,131.31,132.02,126.36,422700
2017-08-24,132.53,132.97,131.47,132.2,126.53,430600
2017-08-25,132.83,133.11,132.24,132.39,126.71,597500
2017-08-28,132.5,132.74,132.0,132.68,126.99,410800
2017-08-29,131.99,133.24,131.67,133.03,127.32,455100
2017-08-30,132.97,134.45,132.41,134.44,128.67,467400
2017-08-31,134.73,135.04,133.58,134.03,128.28,1020000
2017-09-01,134.64,134.68,133.43,133.76,128.02,672600
2017-09-05,133.1,133.59,132.28,133.06,127.35,879200
2017-09-06,133.8,134.74,133.33,134.24,128.48,750200
2017-09-07,134.19,134.53,133.73,134.22,128.46,492600
2017-09-08,134.25,135.76,133.85,135.35,129.54,427300
2017-09-11,136.48,136.79,135.35,135.72,129.9,1097800
2017-09-12,135.95,136.19,134.82,136.16,130.32,388900
2017-09-13,136.19,136.51,135.21,135.37,129.56,488900
2017-09-14,135.17,135.84,134.42,134.96,129.17,523300
2017-09-15,135.01,136.82,134.94,136.33,130.48,936900
2017-09-18,136.42,136.99,136.04,136.76,130.89,523800
2017-09-19,137.17,137.23,136.52,136.74,130.87,480700
2017-09-20,136.8,137.32,135.71,136.77,130.9,633700
2017-09-21,136.61,136.93,135.82,136.65,130.79,421200
2017-09-22,136.81,138.28,136.81,138.03,132.11,704300
2017-09-25,138.2,139.03,136.82,138.78,132.83,1075600
2017-09-26,138.74,138.93,137.77,138.35,132.42,556200
2017-09-27,139.12,139.94,138.35,138.71,132.76,581600
2017-09-28,138.5,138.64,137.68,138.61,132.66,459800
2017-09-29,138.41,139.3,138.05,139.21,133.24,623700
2017-10-02,139.52,140.27,139.33,140.21,134.2,868200
2017-10-03,140.01,141.28,139.5,141.0,134.95,554800
2017-10-04,141.0,141.75,140.66,141.71,135.63,634200
2017-10-05,141.88,142.68,141.35,142.1,136.0,607600
2017-10-06,142.43,143.98,142.16,142.49,136.38,819800
2017-10-09,142.44,142.83,141.46,141.95,135.86,547600
2017-10-10,142.27,142.63,141.64,142.14,136.04,562200
2017-10-11,142.22,142.8,141.83,142.55,136.44,536400
2017-10-12,142.34,143.93,142.03,143.93,137.76,739700
2017-10-13,144.06,144.81,143.78,144.24,138.05,703900
2017-10-16,144.3,144.84,143.77,144.75,138.54,492400
2017-10-17,144.83,144.84,143.35,144.13,137.95,503200
2017-10-18,144.44,145.83,144.19,145.2,138.97,619000
2017-10-19,144.76,145.1,143.22,144.19,138.0,515200
2017-10-20,144.99,145.69,144.21,145.66,139.41,476400
2017-10-23,145.62,146.22,145.28,146.06,139.79,597300
2017-10-24,146.07,147.69,145.2,147.0,140.69,714600
2017-10-25,146.98,147.27,144.45,145.58,139.34,938300
2017-10-26,146.49,148.0,146.46,147.38,141.06,912900
2017-10-27,147.98,147.98,145.96,146.4,140.12,863600
2017-10-30,145.85,145.88,141.37,142.98,136.85,808800
2017-10-31,142.99,143.41,141.59,142.41,136.3,985900
2017-11-01,143.79,144.27,142.5,143.49,137.33,543300
2017-11-02,143.21,144.03,142.15,143.53,137.37,823700
2017-11-03,144.39,147.68,140.15,146.29,140.01,1953500
2017-11-06,146.45,146.63,144.3,144.51,138.31,851700
2017-11-07,144.68,145.67,143.18,143.77,137.6,549200
2017-11-08,143.64,144.98,143.17,144.93,138.71,552400
2017-11-09,144.47,144.77,141.9,143.09,136.95,572600
2017-11-10,142.65,143.38,141.68,142.19,136.09,546400
2017-11-13,141.54,142.62,141.09,142.15,136.05,492300
2017-11-14,141.76,143.89,141.31,143.14,137.0,424900
2017-11-15,142.61,143.12,141.49,141.96,135.87,619300
2017-11-16,142.75,144.98,142.75,144.09,137.91,789100
2017-11-17,144.67,147.33,143.61,146.79,140.49,941900
2017-11-20,146.86,148.55,146.71,148.31,142.32,831700
2017-11-21,149.0,149.63,148.77,149.46,143.42,804900
2017-11-22,149.4,149.89,148.5,149.4,143.36,685000
2017-11-24,149.35,150.73,149.35,150.23,144.16,291000
2017-11-27,150.24,151.41,149.72,149.87,143.81,609100
2017-11-28,150.44,151.08,149.31,150.88,144.78,1098300
2017-11-29,151.58,153.42,149.41,149.84,143.78,626500
2017-11-30,150.71,152.08,148.31,151.82,145.68,1178200
2017-12-01,151.82,151.83,147.81,151.3,145.19,769700
2017-12-04,153.31,153.86,151.41,151.75,145.62,740100
2017-12-05,152.34,153.66,151.5,152.08,145.93,724600
2017-12-06,152.08,152.43,150.88,152.27,146.12,605800
2017-12-07,152.05,152.95,151.6,151.73,145.6,801900
2017-12-08,152.25,152.84,151.31,152.39,146.23,519100
2017-12-11,152.19,153.27,151.67,152.39,146.23,869900
2017-12-12,152.56,153.55,151.98,152.57,146.4,438400
2017-12-13,152.73,152.92,150.13,150.17,144.1,825300
2017-12-14,150.23,150.79,149.47,149.5,143.46,573500
2017-12-15,150.68,151.22,149.77,150.57,144.49,1559200
2017-12-18,151.39,151.84,149.83,150.47,144.39,1034900
2017-12-19,150.97,151.66,149.87,150.15,144.08,707700
2017-12-20,150.19,150.5,148.13,148.47,142.47,626000
2017-12-21,148.84,149.15,147.37,147.48,141.52,504900
