Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,46.13,46.18,45.9,46.11,41.38,5632900
2017-05-25,46.23,46.62,46.08,46.53,41.76,4607400
2017-05-26,46.7,46.83,46.4,46.44,41.68,6810500
2017-05-30,46.45,46.45,46.14,46.36,41.61,5617200
2017-05-31,46.35,46.76,46.19,46.59,41.81,6041300
2017-06-01,46.65,46.96,46.42,46.95,42.14,5669300
2017-06-02,47.13,47.23,46.76,47.19,42.35,5887200
2017-06-05,47.15,47.2,46.81,47.0,42.18,6341900
2017-06-06,46.99,47.2,46.75,46.81,42.01,5246900
2017-06-07,47.18,47.18,46.71,46.76,41.96,4906700
2017-06-08,46.55,46.78,46.34,46.39,41.63,9503600
2017-06-09,46.52,46.52,45.43,45.62,40.94,10745900
2017-06-12,45.4,45.91,45.05,45.37,40.72,12968500
2017-06-13,45.29,45.81,45.1,45.64,40.96,7528100
2017-06-14,45.42,46.1,45.42,45.73,41.04,7121500
2017-06-15,45.61,45.92,45.28,45.88,41.18,6269700
2017-06-16,45.41,45.7,44.73,45.19,40.56,15425900
2017-06-19,45.37,45.5,44.96,45.48,40.82,5071600
2017-06-20,45.48,45.62,45.02,45.03,40.41,7156800
2017-06-21,45.23,45.33,44.94,44.98,40.37,7090200
2017-06-22,44.98,45.21,44.76,44.85,40.25,5005500
2017-06-23,45.07,45.08,44.85,44.9,40.3,8256200
2017-06-26,45.1,45.33,44.89,44.9,40.3,5281000
2017-06-27,45.0,45.0,43.94,43.97,39.46,10854000
2017-06-28,44.06,44.47,43.99,44.04,39.7,8867300
2017-06-29,43.9,44.06,42.92,43.12,38.87,6331500
2017-06-30,43.59,43.64,43.16,43.19,38.93,5790500
2017-07-03,43.47,43.58,43.15,43.2,38.94,4244400
2017-07-05,43.15,43.42,43.0,43.12,38.87,6965400
2017-07-06,43.0,43.35,42.94,43.06,38.81,7093500
2017-07-07,42.99,43.37,42.89,43.22,38.96,9145000
2017-07-10,43.27,43.42,43.0,43.05,38.8,5127600
2017-07-11,43.05,43.19,42.76,42.99,38.75,4886000
2017-07-12,43.31,43.47,43.19,43.24,38.97,5371000
2017-07-13,43.18,43.41,43.02,43.29,39.02,4927600
2017-07-14,43.52,43.69,43.31,43.62,39.32,6092600
2017-07-17,43.65,43.76,43.49,43.69,39.38,4479200
2017-07-18,43.76,43.87,43.57,43.8,39.48,3761300
2017-07-19,43.76,44.18,43.6,44.14,39.79,4785200
2017-07-20,44.16,44.29,43.76,43.81,39.49,6771900
2017-07-21,43.78,44.11,43.72,44.03,39.69,7572100
2017-07-24,43.95,44.23,43.67,43.75,39.43,5105900
2017-07-25,44.25,44.38,43.95,44.24,39.88,7325800
2017-07-26,44.32,44.44,44.06,44.22,39.86,4323300
2017-07-27,44.04,44.26,43.75,44.24,39.88,7559200
2017-07-28,44.37,44.38,43.86,43.93,39.6,6700600
2017-07-31,43.99,44.1,43.63,44.02,39.68,6959900
2017-08-01,44.04,44.05,43.59,43.62,39.32,6764800
2017-08-02,44.03,44.17,42.79,44.1,39.75,13439200
2017-08-03,44.2,44.35,43.37,43.41,39.13,10048600
2017-08-04,43.58,43.76,43.32,43.48,39.19,8144300
2017-08-07,43.56,44.06,43.41,43.99,39.65,7424900
2017-08-08,43.77,43.96,43.53,43.64,39.33,6064800
2017-08-09,43.53,43.75,43.27,43.47,39.18,4729400
2017-08-10,43.25,43.6,43.19,43.27,39.0,6059600
2017-08-11,43.34,43.74,43.21,43.59,39.29,4875000
2017-08-14,43.76,44.03,43.65,43.7,39.39,6213600
2017-08-15,43.68,43.93,43.62,43.86,39.53,7947400
2017-08-16,44.22,44.48,44.0,44.19,39.83,6632900
2017-08-17,43.46,44.24,43.4,43.41,39.13,6703400
2017-08-18,43.46,43.57,42.91,42.94,38.7,6761000
2017-08-21,42.9,43.32,42.82,43.11,38.86,3841800
2017-08-22,43.12,43.49,43.12,43.44,39.15,3608500
2017-08-23,43.49,43.49,43.04,43.1,38.85,3860800
2017-08-24,42.99,43.09,41.79,41.88,37.75,16105600
2017-08-25,41.96,42.2,41.41,41.48,37.39,11397800
2017-08-28,41.62,41.69,40.96,41.3,37.23,12895800
2017-08-29,41.29,41.99,41.07,41.89,37.76,7619600
2017-08-30,41.76,42.31,40.39,41.63,37.52,27452200
2017-08-31,41.55,41.55,40.47,40.66,36.65,16939200
2017-09-01,40.79,40.97,40.6,40.88,36.85,6811700
2017-09-05,40.95,41.13,40.54,40.73,36.71,10647000
2017-09-06,40.78,40.79,40.22,40.59,36.59,10298500
2017-09-07,40.85,41.06,40.6,40.96,36.92,12150300
2017-09-08,40.97,41.19,40.61,40.63,36.62,9829200
2017-09-11,40.83,41.22,40.71,41.19,37.13,8704500
2017-09-12,41.33,41.4,40.9,40.98,36.94,6191200
2017-09-13,41.0,41.33,40.82,41.12,37.06,8289300
2017-09-14,41.12,41.27,40.55,40.68,36.67,8554700
2017-09-15,40.63,41.07,40.63,40.86,36.83,11392300
2017-09-18,41.0,41.0,40.66,40.71,36.69,9676900
2017-09-19,40.74,40.87,40.47,40.58,36.58,7553200
2017-09-20,40.65,40.79,40.23,40.41,36.42,11213800
2017-09-21,40.53,40.7,40.14,40.19,36.23,8272700
2017-09-22,40.16,40.42,40.04,40.05,36.1,15694000
2017-09-25,40.1,40.71,40.05,40.5,36.5,9303200
2017-09-26,40.63,40.89,40.46,40.63,36.62,9038600
2017-09-27,40.8,40.8,40.29,40.57,36.57,9336200
2017-09-28,40.48,40.85,40.34,40.52,36.72,7461800
2017-09-29,40.6,40.76,40.3,40.66,36.85,8136300
2017-10-02,40.6,41.41,40.56,41.1,37.25,18913500
2017-10-03,41.29,41.29,40.83,40.94,37.1,8036200
2017-10-04,41.05,41.24,40.9,41.02,37.17,5735800
2017-10-05,41.08,41.23,40.95,41.1,37.25,6758500
2017-10-06,41.15,41.26,41.03,41.13,37.27,5047100
2017-10-09,41.41,41.42,40.71,40.81,36.98,4700500
2017-10-10,40.89,41.63,40.83,41.45,37.56,10650000
2017-10-11,41.45,41.81,41.4,41.71,37.8,6807000
2017-10-12,41.76,41.9,41.52,41.81,37.89,5110200
2017-10-13,42.0,42.0,41.62,41.68,37.77,7051300
2017-10-16,41.64,41.76,41.44,41.55,37.66,4496800
2017-10-17,41.39,41.45,40.98,41.13,37.27,6209800
2017-10-18,40.81,41.13,40.72,40.81,36.98,5691600
2017-10-19,40.84,40.91,40.62,40.73,36.91,6209800
2017-10-20,40.67,41.06,40.67,41.02,37.17,7610900
2017-10-23,41.14,41.28,40.88,41.04,37.19,5457500
2017-10-24,41.05,41.42,40.94,41.09,37.24,8816600
2017-10-25,40.92,41.11,40.54,41.08,37.23,5941300
2017-10-26,41.3,41.35,40.89,40.91,37.08,6209100
2017-10-27,40.38,40.89,40.36,40.68,36.87,9946900
2017-10-30,40.46,40.67,39.19,39.3,35.62,13981600
2017-10-31,42.33,42.49,41.33,41.43,37.55,16672500
2017-11-01,41.85,41.88,41.22,41.27,37.4,7619900
2017-11-02,41.26,41.46,40.89,41.16,37.3,6897100
2017-11-03,41.16,41.35,40.9,40.97,37.13,5149800
2017-11-06,40.94,40.95,40.2,40.42,36.63,5571000
2017-11-07,40.52,41.27,40.36,41.21,37.35,7540400
2017-11-08,40.97,41.77,40.97,41.6,37.7,11386400
2017-11-09,41.31,41.63,41.22,41.35,37.47,6748500
2017-11-10,41.12,42.08,41.03,41.95,38.02,10149400
2017-11-13,41.83,42.19,41.83,42.05,38.11,6886700
2017-11-14,41.98,42.63,41.77,42.53,38.54,8426300
2017-11-15,42.47,42.64,41.88,41.95,38.02,8702700
2017-11-16,41.95,42.51,41.9,42.19,38.24,6832300
2017-11-17,42.25,42.77,42.15,42.3,38.33,9176600
2017-11-20,42.3,42.62,41.98,42.11,38.16,6252500
2017-11-21,42.3,42.34,42.04,42.32,38.35,6330500
2017-11-22,42.45,42.45,42.09,42.33,38.36,5872500
2017-11-24,42.26,42.53,42.1,42.15,38.2,3455200
2017-11-27,42.23,42.63,42.22,42.47,38.49,6480100
2017-11-28,42.59,42.76,42.41,42.61,38.62,5770800
2017-11-29,42.64,43.43,42.59,42.94,38.91,8954800
2017-11-30,43.0,43.34,42.76,42.94,38.91,9419200
2017-12-01,42.68,43.16,42.42,42.92,38.9,8957800
2017-12-04,42.5,43.37,42.5,43.11,39.07,9146300
2017-12-05,43.17,43.43,42.72,42.99,38.96,7055100
2017-12-06,43.19,43.42,42.97,43.33,39.27,8191800
2017-12-07,43.24,43.3,42.67,42.68,38.68,6837200
2017-12-08,42.89,42.92,42.53,42.65,38.65,5979600
2017-12-11,42.53,42.88,42.37,42.87,38.85,10830400
2017-12-12,42.77,42.98,42.68,42.88,38.86,14930600
2017-12-13,42.88,43.13,42.68,42.94,38.91,9000700
2017-12-14,42.89,42.99,42.74,42.77,38.76,9710300
2017-12-15,42.89,43.52,42.52,43.38,39.31,15777800
2017-12-18,43.44,43.98,42.84,43.11,39.07,11083700
2017-12-19,43.32,43.65,43.15,43.25,39.2,6997800
2017-12-20,43.38,43.47,42.89,42.95,38.92,7022400
2017-12-21,43.12,43.29,42.97,43.1,39.06,6411100
2017-12-22,43.2,43.47,43.14,43.36,39.3,8862600
2017-12-26,43.42,43.73,43.25,43.42,39.35,6874000
2017-12-27,43.38,43.59,43.15,43.25,39.2,5565600
2017-12-28,43.13,43.27,42.9,43.06,39.22,5011600
2017-12-29,42.96,43.24,42.77,42.8,38.99,19611400
2018-01-02,43.22,43.22,42.4,42.41,38.63,6516100
2018-01-03,42.5,42.77,42.36,42.58,38.79,8633800
2018-01-04,42.72,43.05,42.48,42.68,38.88,8718800
2018-01-05,42.82,43.37,42.7,43.23,39.38,10811500
2018-01-08,43.1,43.46,42.98,43.01,39.18,8140300
2018-01-09,43.14,43.14,42.89,42.99,39.16,5805300
2018-01-10,42.76,43.05,42.46,42.63,38.83,6494700
2018-01-11,42.68,42.8,42.29,42.51,38.72,6526500
2018-01-12,42.65,42.7,42.34,42.47,38.69,7179400
2018-01-16,42.52,43.2,42.5,42.99,39.16,8659500
2018-01-17,43.27,44.18,43.13,43.86,39.95,11557700
2018-01-18,43.78,44.05,43.24,43.68,39.79,6824600
2018-01-19,43.68,44.18,43.67,44.14,40.21,8893300
2018-01-22,43.69,44.41,43.69,44.28,40.33,6940100
2018-01-23,44.07,44.59,43.93,44.5,40.53,6831600
2018-01-24,44.59,44.76,44.46,44.59,40.62,6794200
2018-01-25,44.72,45.0,44.2,44.47,40.51,7402900
2018-01-26,44.61,44.61,44.12,44.42,40.46,5733000
2018-01-29,44.96,45.01,44.31,44.54,40.57,10451700
2018-01-30,44.58,45.06,44.25,44.34,40.39,7110700
2018-01-31,44.33,44.77,44.17,44.4,40.44,14784000
2018-02-01,44.36,46.54,44.29,45.87,41.78,20120900
2018-02-02,45.84,46.13,45.44,45.5,41.45,10937100
2018-02-05,45.32,46.2,43.94,43.94,40.02,14324200
2018-02-06,43.64,44.57,43.27,44.55,40.58,12196800
2018-02-07,44.29,44.78,43.85,44.05,40.12,8322200
2018-02-08,44.17,44.34,42.67,42.68,38.88,13672600
2018-02-09,42.83,43.13,41.82,42.14,38.39,13993500
2018-02-12,42.37,42.88,42.1,42.53,38.74,15788600
2018-02-13,42.26,43.02,42.0,42.8,38.99,9240100
2018-02-14,42.66,43.31,42.04,42.96,39.13,10233100
2018-02-15,43.17,44.09,42.78,44.08,40.15,8637800
2018-02-16,44.05,44.29,43.71,44.14,40.21,6814900
2018-02-20,44.09,44.29,43.62,43.76,39.86,5158900
2018-02-21,43.91,44.19,43.57,43.62,39.73,10029700
2018-02-22,43.74,44.02,43.42,43.51,39.63,8485300
2018-02-23,43.79,43.95,43.31,43.75,39.85,8856200
2018-02-26,44.15,45.18,43.79,44.77,40.78,12241500
2018-02-27,44.4,44.6,43.9,44.01,40.09,11704100
2018-02-28,44.24,44.46,43.9,43.9,39.99,11833000
2018-03-01,43.97,44.17,43.15,43.62,39.73,8331200
2018-03-02,43.44,44.58,43.3,44.42,40.46,10029800
2018-03-05,44.08,45.15,44.04,45.06,41.05,7365100
2018-03-06,45.0,45.71,44.81,45.57,41.51,9352600
2018-03-07,43.5,43.97,43.33,43.58,39.7,20757100
2018-03-08,43.77,44.15,43.45,44.0,40.08,8374400
2018-03-09,44.44,44.44,43.87,44.27,40.33,9751800
2018-03-12,44.55,44.65,44.33,44.39,40.43,6134400
2018-03-13,44.69,44.83,43.96,44.04,40.12,7363000
2018-03-14,44.27,44.41,43.62,43.88,39.97,9521200
2018-03-15,43.77,43.94,43.19,43.39,39.52,5927200
2018-03-16,43.56,43.82,43.12,43.19,39.34,9650000
2018-03-19,43.08,43.22,42.22,42.35,38.58,17142800
2018-03-20,42.39,42.67,42.19,42.35,38.58,8369100
2018-03-21,41.68,42.26,41.1,42.03,38.28,14592000
2018-03-22,41.63,41.87,40.97,41.05,37.39,8815300
2018-03-23,41.14,41.54,40.51,40.51,36.9,11222000
2018-03-26,41.06,41.4,40.68,41.33,37.65,7314400
2018-03-27,41.71,41.72,40.69,40.91,37.26,6786800
2018-03-28,40.77,41.38,40.56,40.59,37.17,9293100
2018-03-29,40.99,42.09,40.86,41.73,38.22,10988000
2018-04-02,41.57,41.67,40.52,40.71,37.28,9436800
2018-04-03,41.05,41.5,40.83,41.18,37.71,16719000
2018-04-04,40.78,42.31,40.72,42.07,38.53,9448900
2018-04-05,42.24,42.46,42.05,42.2,38.65,6981500
2018-04-06,42.06,42.38,41.24,41.48,37.99,6879100
2018-04-09,41.61,42.13,41.56,41.68,38.17,8871400
2018-04-10,42.1,42.31,41.56,41.74,38.23,7066700
2018-04-11,41.57,42.14,41.5,41.83,38.31,7828900
2018-04-12,41.85,42.19,41.85,42.03,38.49,6851700
2018-04-13,42.21,42.27,41.91,42.09,38.55,6816600
2018-04-16,42.1,42.3,42.04,42.23,38.68,5820400
2018-04-17,42.38,42.39,41.79,41.91,38.38,5065600
2018-04-18,42.04,42.05,41.78,41.99,38.46,7385500
2018-04-19,41.76,42.0,40.9,41.01,37.56,7142200
2018-04-20,41.04,41.38,39.84,40.11,36.73,12143600
2018-04-23,40.24,40.4,40.01,40.35,36.95,7957300
2018-04-24,40.54,40.59,39.51,39.77,36.42,7894800
2018-04-25,39.77,39.92,39.48,39.68,36.34,6973500
2018-04-26,39.81,40.04,39.38,39.77,36.42,10153300
2018-04-27,39.8,40.21,39.77,39.93,36.57,7223500
2018-04-30,40.09,40.1,39.39,39.5,36.17,14581200
2018-05-01,39.42,39.62,38.55,38.99,35.71,9631500
2018-05-02,39.09,39.49,37.42,37.89,34.7,17155100
2018-05-03,37.9,38.12,37.51,37.57,34.41,9212400
2018-05-04,37.5,39.3,37.48,38.9,35.63,15714300
2018-05-07,39.03,39.41,38.61,38.69,35.43,7418500
2018-05-08,38.61,38.7,38.32,38.58,35.33,9404600
2018-05-09,38.68,38.95,38.51,38.77,35.51,7829900
2018-05-10,38.84,39.15,38.78,39.1,35.81,5762700
2018-05-11,39.21,39.36,38.96,39.23,35.93,7666100
2018-05-14,39.27,39.48,39.13,39.22,35.92,5870200
2018-05-15,39.1,39.72,39.1,39.41,36.09,9679700
2018-05-16,39.52,39.71,39.3,39.52,36.19,5989900
2018-05-17,39.56,39.83,39.35,39.52,36.19,5590600
2018-05-18,39.51,39.68,38.94,39.65,36.31,20267600
2018-05-21,39.72,39.91,39.24,39.34,36.03,7568100
2018-05-22,39.4,39.77,39.34,39.43,36.11,5687800
2018-05-23,39.29,39.63,39.19,39.45,36.13,7629100
2018-05-24,39.44,39.63,39.17,39.56,36.23,5529600
2018-05-25,39.5,39.81,39.37,39.58,36.25,4827700
2018-05-29,39.09,39.38,38.99,39.33,36.02,8190900
2018-05-30,39.42,39.95,39.33,39.68,36.34,6252000
2018-05-31,39.67,39.77,39.02,39.27,35.96,9241500
2018-06-01,39.38,39.86,39.23,39.56,36.23,9289000
2018-06-04,39.74,39.86,39.51,39.78,36.43,7070700
2018-06-05,39.72,39.8,39.13,39.26,35.96,8095900
2018-06-06,39.37,39.53,38.94,39.49,36.17,7962900
2018-06-07,39.24,39.58,39.11,39.32,36.01,5882500
2018-06-08,39.35,39.84,39.3,39.78,36.43,7717300
2018-06-11,39.77,40.35,39.71,40.23,36.84,6848500
2018-06-12,40.24,40.52,39.93,40.43,37.03,8043400
2018-06-13,40.33,40.51,39.96,40.14,36.76,9251500
2018-06-14,40.07,40.58,39.89,40.4,37.0,7167800
2018-06-15,40.32,40.98,40.07,40.82,37.38,13370600
2018-06-18,40.7,40.8,39.98,40.18,36.8,8244800
2018-06-19,40.01,40.58,39.9,40.34,36.94,8610200
2018-06-20,40.38,40.81,40.04,40.76,37.33,8344300
2018-06-21,40.78,40.83,40.45,40.74,37.31,8834600
2018-06-22,40.81,41.4,40.73,41.3,37.82,8878400
2018-06-25,41.29,41.7,41.04,41.45,37.96,8599100
2018-06-26,41.42,41.57,41.01,41.18,37.71,4978200
2018-06-27,41.09,41.49,40.74,40.99,37.54,6409200
2018-06-28,40.88,41.25,40.63,40.9,37.66,5503500
2018-06-29,40.73,41.36,40.71,41.0,37.75,8391000
