Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,45.04,45.23,44.87,45.03,37.53,3823888
2017-05-25,45.48,45.84,45.28,45.62,38.03,4883842
2017-05-26,45.56,45.71,45.42,45.5,37.93,3678701
2017-05-30,45.26,45.38,44.97,45.19,37.67,4623538
2017-05-31,45.25,45.29,44.55,45.09,37.59,6349398
2017-06-01,45.32,46.17,44.93,46.04,38.38,5869743
2017-06-02,45.61,46.11,45.47,45.85,38.22,4157459
2017-06-05,45.86,46.05,45.49,45.57,37.99,4359194
2017-06-06,45.19,45.3,44.68,44.97,37.49,5286415
2017-06-07,45.12,45.33,44.8,45.08,37.58,5215168
2017-06-08,45.08,46.35,45.08,45.98,38.33,8599345
2017-06-09,46.2,47.2,46.07,47.09,39.26,7938935
2017-06-12,47.12,47.78,46.93,47.45,39.56,7242286
2017-06-13,47.66,47.76,47.39,47.51,39.61,6038941
2017-06-14,47.01,47.63,46.71,47.51,39.61,6019081
2017-06-15,47.18,47.77,47.16,47.41,39.52,5850893
2017-06-16,47.53,47.71,47.12,47.7,39.76,7117407
2017-06-19,47.92,48.32,47.82,48.12,40.11,5356540
2017-06-20,47.87,48.13,47.51,47.56,39.64,4893715
2017-06-21,47.81,47.89,46.6,46.82,39.03,6116022
2017-06-22,46.61,46.86,46.48,46.53,38.79,4935341
2017-06-23,46.78,46.84,46.4,46.58,38.83,5244565
2017-06-26,46.7,47.21,46.48,46.88,39.08,4178777
2017-06-27,46.98,47.86,46.98,47.22,39.36,6339188
2017-06-28,47.66,48.69,47.64,48.61,40.52,8178595
2017-06-29,49.14,50.17,48.78,49.07,40.91,10106639
2017-06-30,49.43,49.6,48.89,48.97,40.82,4944654
2017-07-03,49.34,50.39,49.31,50.05,41.73,4171596
2017-07-05,50.03,50.36,49.57,49.81,41.52,4672457
2017-07-06,49.9,50.43,49.64,49.8,41.52,5778524
2017-07-07,49.96,50.31,49.64,50.06,41.73,4413836
2017-07-10,49.91,50.18,49.71,49.96,41.64,4807209
2017-07-11,49.8,49.91,49.37,49.49,41.26,4864094
2017-07-12,49.44,49.64,49.09,49.52,41.28,4416865
2017-07-13,49.49,49.83,49.44,49.65,41.39,3834211
2017-07-14,49.15,49.53,48.75,49.32,41.12,7483628
2017-07-17,49.23,49.44,48.76,49.33,41.12,4266405
2017-07-18,48.96,49.2,48.62,48.81,40.68,4270781
2017-07-19,48.95,49.15,48.75,48.98,40.83,4462418
2017-07-20,49.05,49.1,48.63,48.65,40.55,6131954
2017-07-21,48.7,48.87,48.33,48.71,40.6,4022819
2017-07-24,48.73,48.91,48.58,48.74,40.63,3880325
2017-07-25,49.34,49.76,49.19,49.64,41.38,5951761
2017-07-26,49.65,49.74,48.61,48.78,40.66,4786676
2017-07-27,48.85,49.3,48.68,49.06,40.89,3746358
2017-07-28,49.05,49.39,48.61,49.24,41.05,2920454
2017-07-31,49.46,49.54,48.98,49.02,40.86,4427749
2017-08-01,49.47,49.68,48.9,49.65,41.39,4588868
2017-08-02,49.6,49.71,48.72,49.45,41.22,5123276
2017-08-03,47.76,48.52,47.5,47.68,40.04,9741541
2017-08-04,47.92,48.34,47.47,48.06,40.35,7182595
2017-08-07,48.17,48.77,48.16,48.53,40.75,9326100
2017-08-08,48.47,49.16,48.41,48.77,40.95,7963500
2017-08-09,48.42,48.63,47.92,48.31,40.56,6215300
2017-08-10,47.77,47.96,46.39,46.74,39.25,7666300
2017-08-11,46.71,47.01,46.58,46.81,39.3,6437800
2017-08-14,47.38,47.74,47.29,47.58,39.95,6711000
2017-08-15,47.99,48.66,47.67,47.78,40.12,6335500
2017-08-16,47.9,48.34,47.72,47.95,40.26,7287600
2017-08-17,47.68,47.95,46.87,46.95,39.42,7748800
2017-08-18,46.7,47.47,46.57,47.02,39.48,7662100
2017-08-21,46.96,46.99,46.53,46.68,39.2,4899600
2017-08-22,46.76,47.2,46.63,47.17,39.61,4128800
2017-08-23,46.76,47.33,46.69,47.05,39.51,4402400
2017-08-24,47.22,47.62,46.99,47.6,39.97,4927700
2017-08-25,47.73,48.18,47.66,47.99,40.3,5658300
2017-08-28,47.88,47.95,47.39,47.57,39.94,5223900
2017-08-29,47.0,47.0,46.47,46.73,39.24,6216900
2017-08-30,46.84,47.21,46.63,47.06,39.51,4954800
2017-08-31,47.23,47.38,46.81,46.83,39.32,5991100
2017-09-01,47.05,48.02,46.89,47.8,40.14,6888300
2017-09-05,47.46,47.55,46.99,47.31,39.72,8986400
2017-09-06,47.54,48.23,47.45,47.95,40.26,8067400
2017-09-07,47.89,48.02,46.67,46.81,39.3,5836600
2017-09-08,46.77,47.28,46.57,47.14,39.58,4894900
2017-09-11,47.77,47.94,47.21,47.59,39.96,6342000
2017-09-12,47.81,48.56,47.79,48.5,40.72,5323000
2017-09-13,48.29,48.65,48.08,48.65,40.85,4833300
2017-09-14,48.64,48.85,48.29,48.35,40.6,3783600
2017-09-15,48.26,48.57,48.11,48.54,40.76,7371500
2017-09-18,48.74,49.08,48.61,48.9,41.06,4100000
2017-09-19,48.96,49.65,48.87,49.47,41.54,5171600
2017-09-20,49.56,50.3,49.36,50.13,42.09,4684700
2017-09-21,50.11,50.57,49.89,50.45,42.36,5309100
2017-09-22,50.12,50.95,50.08,50.54,42.44,5754300
2017-09-25,50.38,51.01,50.25,50.85,42.7,5778900
2017-09-26,50.76,51.54,50.57,51.47,43.22,5872500
2017-09-27,52.11,52.24,51.8,51.86,43.55,7506900
2017-09-28,51.96,52.03,51.04,51.32,43.09,4526200
2017-09-29,51.25,51.97,51.16,51.95,43.62,4403200
2017-10-02,51.94,52.3,51.5,52.14,43.78,4593900
2017-10-03,52.12,52.42,51.9,52.4,44.0,3337000
2017-10-04,52.42,52.73,52.39,52.52,44.1,2972000
2017-10-05,52.5,53.01,52.32,52.58,44.15,3601100
2017-10-06,52.83,53.27,52.61,53.02,44.52,5112100
2017-10-09,53.0,53.13,52.8,52.99,44.49,2812400
2017-10-10,52.99,53.3,52.75,53.14,44.62,4003600
2017-10-11,53.02,53.08,52.56,52.85,44.38,3214000
2017-10-12,52.97,52.97,52.64,52.73,44.28,3533300
