Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,232.97,235.8,231.93,235.54,235.54,414900
2017-05-25,236.86,238.47,235.92,236.98,236.98,419300
2017-05-26,236.35,237.13,235.18,235.89,235.89,259400
2017-05-30,235.83,237.63,234.78,237.25,237.25,219700
2017-05-31,238.48,239.43,236.37,239.3,239.3,520100
2017-06-01,239.08,240.59,237.66,238.98,238.98,574700
2017-06-02,239.07,240.0,238.48,239.4,239.4,313200
2017-06-05,239.89,240.32,238.58,240.22,240.22,247500
2017-06-06,239.0,240.61,238.37,239.72,239.72,297400
2017-06-07,240.46,241.23,239.17,240.18,240.18,260400
2017-06-08,240.18,241.1,237.69,239.21,239.21,290500
2017-06-09,239.5,241.43,238.89,240.16,240.16,250100
2017-06-12,239.52,240.52,238.02,239.54,239.54,290000
2017-06-13,239.75,242.33,239.16,241.95,241.95,338200
2017-06-14,243.44,245.9,242.07,243.79,243.79,546500
2017-06-15,242.97,243.37,240.94,242.49,242.49,332700
2017-06-16,242.94,242.94,238.89,241.93,241.93,349100
2017-06-19,242.38,244.5,242.19,243.88,243.88,179500
2017-06-20,243.9,244.85,241.86,243.01,243.01,227700
2017-06-21,243.2,243.2,241.3,242.92,242.92,391200
2017-06-22,242.7,243.18,240.68,242.7,242.7,321100
2017-06-23,244.25,246.74,243.11,246.5,246.5,1364200
2017-06-26,247.55,248.24,245.93,246.65,246.65,297900
2017-06-27,246.53,246.79,243.44,243.63,243.63,239000
2017-06-28,244.88,244.88,243.39,243.94,243.94,395000
2017-06-29,243.0,244.02,237.47,239.71,239.71,571200
2017-06-30,240.51,242.85,239.83,241.69,241.69,325900
2017-07-03,242.37,242.38,240.37,241.07,241.07,224400
2017-07-05,241.71,243.96,240.56,243.76,243.76,253300
2017-07-06,242.39,244.32,241.04,241.67,241.67,273700
2017-07-07,242.77,247.33,242.65,245.75,245.75,376700
2017-07-10,245.92,247.27,245.02,246.64,246.64,368100
2017-07-11,246.68,246.78,244.89,246.53,246.53,350700
2017-07-12,247.72,249.25,246.28,247.86,247.86,394300
2017-07-13,247.79,249.61,247.31,248.02,248.02,245700
2017-07-14,248.37,249.07,246.77,247.61,247.61,319900
2017-07-17,247.68,248.57,246.53,248.19,248.19,225800
2017-07-18,248.0,249.3,246.01,246.88,246.88,310300
2017-07-19,247.2,249.2,247.2,247.89,247.89,429000
2017-07-20,248.54,248.54,241.7,242.58,242.58,672200
2017-07-21,242.24,246.79,241.89,245.12,245.12,565200
2017-07-24,244.6,245.73,243.87,244.02,244.02,456700
2017-07-25,245.0,245.0,240.09,241.27,241.27,1112100
2017-07-26,243.74,244.56,239.35,240.13,240.13,637500
2017-07-27,240.21,241.08,236.48,238.34,238.34,882400
2017-07-28,243.57,251.69,242.28,248.65,248.65,1202600
2017-07-31,249.75,249.92,247.5,248.99,248.99,587700
2017-08-01,249.9,252.23,249.59,252.07,252.07,729500
2017-08-02,251.72,252.89,250.24,251.7,251.7,394700
2017-08-03,251.56,251.81,249.02,250.98,250.98,323200
2017-08-04,251.18,252.09,249.21,250.88,250.88,268500
2017-08-07,250.01,250.14,247.91,249.38,249.38,505600
2017-08-08,249.07,250.74,247.34,248.96,248.96,339900
2017-08-09,249.07,250.2,248.19,249.68,249.68,372300
2017-08-10,247.91,248.7,246.1,246.41,246.41,419300
2017-08-11,246.72,248.5,245.32,245.43,245.43,313000
2017-08-14,247.01,249.68,246.11,248.57,248.57,443500
2017-08-15,249.68,250.88,248.97,249.94,249.94,388600
2017-08-16,250.43,252.76,250.07,252.11,252.11,396500
2017-08-17,251.74,252.16,248.06,248.1,248.1,493500
2017-08-18,247.52,249.35,246.73,248.97,248.97,603300
2017-08-21,248.52,249.16,246.87,246.91,246.91,304600
2017-08-22,247.0,250.38,246.72,249.58,249.58,310400
2017-08-23,248.6,249.67,245.47,248.06,248.06,379900
2017-08-24,248.64,249.29,244.77,245.9,245.9,338100
2017-08-25,247.1,248.46,245.43,247.06,247.06,310900
2017-08-28,247.58,248.39,246.95,247.12,247.12,230000
2017-08-29,245.9,248.63,245.65,248.57,248.57,328800
2017-08-30,248.81,251.04,248.09,250.85,250.85,316700
2017-08-31,252.45,254.75,252.16,253.12,253.12,399300
2017-09-01,253.2,255.54,252.51,254.8,254.8,445600
2017-09-05,253.98,255.46,253.98,254.76,254.76,466200
2017-09-06,255.04,256.33,253.25,255.56,255.56,463500
2017-09-07,255.88,255.88,250.7,252.53,252.53,647500
2017-09-08,252.5,258.38,252.22,257.92,257.92,603400
2017-09-11,259.0,259.91,256.93,258.07,258.07,407600
2017-09-12,258.61,259.84,257.77,259.69,259.69,325400
2017-09-13,259.69,259.69,255.59,256.37,256.37,328600
2017-09-14,255.87,256.21,253.34,253.76,253.76,439400
2017-09-15,253.58,254.79,253.2,254.67,254.67,484200
2017-09-18,255.06,258.28,253.69,254.34,254.34,618700
2017-09-19,252.57,254.49,251.14,254.45,254.45,511900
2017-09-20,254.45,256.22,254.09,256.0,256.0,480900
2017-09-21,256.0,256.75,254.03,254.11,254.11,297600
2017-09-22,248.24,248.74,242.49,245.67,245.67,1162500
2017-09-25,244.87,245.94,243.79,245.03,245.03,611300
2017-09-26,245.04,247.94,245.04,245.72,245.72,400800
2017-09-27,246.28,247.47,243.75,244.97,244.97,404800
2017-09-28,245.49,248.73,245.49,248.08,248.08,566500
2017-09-29,247.39,248.63,245.81,247.51,247.51,759800
2017-10-02,248.16,251.23,247.51,249.04,249.04,794600
2017-10-03,249.82,252.48,247.97,252.02,252.02,1044800
2017-10-04,251.8,257.21,251.56,256.91,256.91,704000
2017-10-05,258.0,258.36,254.43,256.14,256.14,572000
2017-10-06,255.11,257.38,255.11,256.77,256.77,419100
2017-10-09,257.19,257.65,256.34,256.74,256.74,316200
2017-10-10,257.44,257.97,254.38,254.83,254.83,443700
2017-10-11,254.71,257.22,254.26,257.06,257.06,349100
2017-10-12,257.05,258.28,256.49,258.24,258.24,396500
2017-10-13,257.4,258.15,253.19,254.99,254.99,513800
2017-10-16,255.89,257.64,255.0,257.18,257.18,217000
2017-10-17,257.3,259.33,257.13,258.73,258.73,321100
2017-10-18,258.28,260.69,258.28,260.0,260.0,408400
2017-10-19,259.48,262.3,257.79,261.04,261.04,520600
2017-10-20,262.21,264.68,261.01,264.52,264.52,358900
2017-10-23,265.69,265.98,263.38,264.14,264.14,403800
2017-10-24,264.09,267.12,262.33,266.51,266.51,587200
2017-10-25,266.68,266.68,261.63,263.15,263.15,522200
2017-10-26,264.71,264.71,261.1,262.98,262.98,1496600
2017-10-27,262.07,268.46,262.0,264.34,264.34,866300
2017-10-30,264.23,264.9,262.08,262.96,262.96,837300
2017-10-31,262.48,264.43,261.27,261.76,261.76,547400
2017-11-01,261.39,263.31,260.94,262.45,262.45,402200
2017-11-02,261.49,262.46,256.36,257.79,257.79,597100
2017-11-03,258.11,259.95,256.32,257.33,257.33,313800
2017-11-06,258.09,262.06,256.9,260.62,260.62,539900
2017-11-07,260.49,261.5,259.21,260.92,260.92,252300
2017-11-08,261.1,263.67,259.76,263.48,263.48,371700
2017-11-09,262.36,264.85,261.95,264.61,264.61,358000
2017-11-10,264.35,265.42,263.43,263.85,263.85,274500
2017-11-13,264.03,265.57,263.29,265.02,265.02,354500
2017-11-14,263.75,267.63,261.66,267.14,267.14,366600
2017-11-15,266.51,268.06,263.89,267.1,267.1,397000
2017-11-16,268.13,271.69,267.04,270.65,270.65,367100
2017-11-17,270.34,272.46,269.46,272.2,272.2,224500
2017-11-20,272.75,278.2,272.75,276.74,276.74,716000
2017-11-21,275.64,279.85,273.05,274.25,274.25,546900
2017-11-22,274.44,275.48,273.03,274.01,274.01,347900
2017-11-24,274.55,275.98,273.28,275.55,275.55,146200
2017-11-27,276.6,277.68,274.67,275.53,275.53,467500
2017-11-28,276.72,280.46,276.21,280.09,280.09,335300
2017-11-29,279.92,280.22,278.46,279.1,279.1,367300
2017-11-30,280.17,283.22,278.68,282.61,282.61,631500
2017-12-01,283.1,286.29,279.09,284.82,284.82,653600
2017-12-04,285.05,286.85,282.93,284.65,284.65,872500
2017-12-05,284.12,284.71,279.22,281.26,281.26,428200
2017-12-06,280.97,281.57,277.45,277.67,277.67,482100
2017-12-07,277.81,281.58,277.02,280.32,280.32,414300
2017-12-08,281.44,282.32,279.34,280.57,280.57,376300
2017-12-11,280.37,280.5,276.79,277.37,277.37,388600
2017-12-12,277.94,279.84,275.2,275.34,275.34,577500
2017-12-13,275.23,277.82,274.15,275.51,275.51,533700
2017-12-14,275.07,276.47,272.26,273.56,273.56,453400
2017-12-15,274.52,275.52,273.2,274.71,274.71,686400
2017-12-18,275.0,276.52,271.54,275.14,275.14,495600
2017-12-19,275.5,277.6,274.22,276.56,276.56,583400
2017-12-20,276.89,279.03,276.01,277.55,277.55,586500
2017-12-21,277.97,279.77,277.19,277.86,277.86,562600
2017-12-22,278.58,278.58,275.28,276.46,276.46,413900
2017-12-26,276.49,277.98,275.87,276.45,276.45,332100
2017-12-27,276.38,277.28,273.41,273.44,273.44,369200
2017-12-28,273.97,276.5,273.12,276.14,276.14,371200
2017-12-29,276.56,278.48,275.8,275.9,275.9,311700
2018-01-02,277.04,277.04,273.47,276.0,276.0,471400
2018-01-03,275.71,276.87,274.25,275.14,275.14,467200
2018-01-04,275.22,277.0,274.62,275.26,275.26,403800
2018-01-05,276.42,278.4,274.25,276.67,276.67,550500
2018-01-08,276.84,279.41,275.42,279.15,279.15,474400
2018-01-09,278.54,282.21,278.44,279.79,279.79,617300
2018-01-10,279.4,279.69,270.66,272.09,272.09,882100
2018-01-11,272.13,272.93,269.25,271.72,271.72,664700
2018-01-12,271.39,274.79,269.92,274.07,274.07,667700
2018-01-16,275.71,277.95,274.46,274.49,274.49,513900
2018-01-17,276.16,278.31,274.63,277.8,277.8,438800
2018-01-18,277.69,278.81,276.89,278.13,278.13,339500
2018-01-19,279.15,279.92,276.96,279.14,279.14,524500
2018-01-22,279.28,280.8,277.93,279.56,279.56,579200
