Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,230.86,232.18,225.28,227.41,218.08,500900
2017-05-25,228.29,231.11,227.97,229.53,220.11,382200
2017-05-26,228.69,229.31,226.75,227.76,218.42,336100
2017-05-30,226.29,228.52,224.67,226.72,217.82,440400
2017-05-31,226.75,226.84,223.01,224.1,215.3,623700
2017-06-01,224.17,228.97,222.35,227.96,219.01,548100
2017-06-02,228.07,229.65,226.1,226.55,217.66,367100
2017-06-05,226.33,228.25,226.02,227.68,218.74,342800
2017-06-06,227.04,229.24,225.35,225.67,216.81,415800
2017-06-07,225.91,229.98,225.91,227.53,218.6,446100
2017-06-08,227.53,235.08,226.06,232.11,223.0,630500
2017-06-09,233.11,235.96,232.12,234.82,225.6,478300
2017-06-12,233.62,234.7,229.62,232.11,223.0,360800
2017-06-13,232.65,236.43,232.49,235.58,226.33,355000
2017-06-14,235.58,236.85,229.14,230.92,221.85,397100
2017-06-15,227.57,229.84,226.97,229.42,220.41,243000
2017-06-16,229.85,232.73,228.02,230.33,221.29,639200
2017-06-19,230.22,232.39,229.55,231.73,222.63,369700
2017-06-20,231.27,231.71,227.34,229.14,220.14,401900
2017-06-21,230.0,230.21,226.64,227.09,218.18,358500
2017-06-22,227.05,229.18,225.1,226.39,217.5,511100
2017-06-23,226.64,228.83,225.86,228.27,219.31,708000
2017-06-26,230.51,235.19,230.33,232.23,223.11,1053100
2017-06-27,231.77,231.77,225.18,225.29,216.45,566700
2017-06-28,227.19,228.71,226.0,227.3,218.38,598700
2017-06-29,226.51,226.51,220.5,221.38,212.69,717200
2017-06-30,222.04,224.07,219.0,222.58,213.84,768400
2017-07-03,223.66,224.72,220.79,223.36,214.59,265200
2017-07-05,223.22,227.08,221.82,226.84,217.94,677200
2017-07-06,225.54,227.29,224.59,226.0,217.13,582000
2017-07-07,225.74,228.61,224.19,227.9,218.95,494100
2017-07-10,227.15,227.31,224.73,224.74,215.92,382800
2017-07-11,224.95,224.95,219.2,220.72,212.06,490000
2017-07-12,222.8,225.62,221.56,225.09,216.25,423300
2017-07-13,225.78,229.0,224.12,224.34,215.53,534100
2017-07-14,225.01,226.29,222.86,223.27,214.51,326600
2017-07-17,222.96,225.24,222.18,223.78,215.0,312600
2017-07-18,222.0,222.27,220.2,220.6,211.94,325000
2017-07-19,220.75,224.0,220.23,223.95,215.16,238300
2017-07-20,223.93,225.2,222.08,224.78,215.96,317200
2017-07-21,224.03,225.31,223.52,224.67,215.85,283700
2017-07-24,224.33,227.09,223.35,227.0,218.09,524600
2017-07-25,228.1,230.0,227.24,228.1,219.15,583400
2017-07-26,227.95,228.38,224.39,227.55,218.62,525600
2017-07-27,227.54,229.14,224.07,225.75,216.89,576300
2017-07-28,224.83,226.83,222.95,226.5,217.61,444800
2017-07-31,226.82,230.37,225.89,226.43,217.54,876100
2017-08-01,223.9,231.0,205.01,211.97,203.65,2232800
2017-08-02,209.31,218.17,209.31,216.23,207.74,1721800
2017-08-03,216.16,217.76,210.54,210.83,202.55,761700
2017-08-04,211.49,214.55,210.68,214.42,206.0,591500
2017-08-07,214.21,216.91,213.67,214.01,205.61,462100
2017-08-08,213.25,214.33,209.36,209.87,201.63,525400
2017-08-09,209.85,212.21,209.58,210.95,202.67,501600
2017-08-10,210.03,210.84,205.05,206.79,198.67,595900
2017-08-11,206.55,207.24,203.31,204.77,196.73,523300
2017-08-14,206.56,207.76,204.64,205.42,197.36,636800
2017-08-15,205.65,207.11,204.35,206.37,198.27,483100
2017-08-16,207.61,207.85,204.41,205.11,197.06,428500
2017-08-17,204.55,205.4,200.26,200.41,192.54,539100
2017-08-18,200.0,202.2,195.81,200.54,192.67,861600
2017-08-21,201.11,201.11,198.11,198.95,191.14,436400
2017-08-22,199.47,201.48,198.79,200.82,192.94,509500
2017-08-23,199.53,203.98,198.77,203.4,195.42,823200
2017-08-24,203.34,203.67,199.9,199.98,192.13,622500
2017-08-25,200.53,200.53,194.0,195.54,187.86,943200
2017-08-28,195.54,200.86,191.09,200.35,192.48,1160400
2017-08-29,198.49,202.96,198.45,202.82,194.86,814700
2017-08-30,202.88,215.0,202.35,213.8,205.41,1200000
2017-08-31,215.0,215.91,210.06,211.99,204.09,1464300
2017-09-01,212.32,212.86,208.13,211.56,203.67,509600
2017-09-05,211.35,211.4,206.68,207.8,200.05,792300
2017-09-06,208.0,209.71,206.27,209.11,201.32,559800
2017-09-07,210.18,210.18,206.34,208.85,201.07,559800
2017-09-08,208.91,212.2,208.0,212.0,204.1,674200
2017-09-11,212.32,213.44,203.63,204.26,196.65,1136100
2017-09-12,204.49,205.44,203.93,205.15,197.5,816100
2017-09-13,204.43,204.7,198.16,203.29,195.71,1558500
2017-09-14,202.16,203.31,198.86,199.44,192.01,956500
2017-09-15,198.55,199.86,196.4,199.2,191.77,879300
2017-09-18,199.9,205.16,199.5,202.4,194.86,836800
2017-09-19,202.88,203.56,197.23,199.15,191.73,982000
2017-09-20,200.04,203.69,198.3,202.15,194.61,643200
2017-09-21,203.16,204.08,198.31,199.8,192.35,558100
2017-09-22,199.6,200.17,198.29,198.69,191.28,489900
2017-09-25,198.76,199.17,195.42,196.14,188.83,658300
2017-09-26,196.5,197.69,194.28,196.55,189.22,624600
2017-09-27,196.78,204.46,196.76,202.59,195.04,803600
2017-09-28,202.94,206.0,202.9,205.0,197.36,716000
2017-09-29,205.95,207.42,203.91,206.23,198.54,577500
2017-10-02,206.64,207.44,204.39,204.99,197.35,371600
2017-10-03,205.64,207.68,203.89,206.41,198.72,527000
2017-10-04,206.79,206.79,203.55,205.97,198.29,335400
2017-10-05,205.85,210.4,205.39,209.91,202.09,390100
2017-10-06,208.68,209.87,205.58,205.95,198.27,727300
2017-10-09,206.74,208.34,204.77,205.93,198.25,406400
2017-10-10,206.45,206.45,202.76,205.14,197.49,595700
2017-10-11,205.81,206.36,203.47,203.73,196.14,371100
2017-10-12,203.23,205.98,203.23,205.98,198.3,342700
2017-10-13,207.0,207.68,204.42,204.57,196.94,297200
2017-10-16,205.83,205.86,201.35,205.54,197.88,374700
2017-10-17,204.51,205.61,203.18,203.48,195.9,452500
2017-10-18,204.38,204.85,202.38,203.35,195.77,524900
2017-10-19,203.33,210.03,203.0,209.5,201.69,709600
2017-10-20,210.36,216.49,209.73,216.16,208.1,708000
2017-10-23,216.55,217.49,212.97,213.25,205.3,498300
2017-10-24,214.06,217.98,213.03,216.59,208.52,527900
2017-10-25,214.92,215.92,210.06,212.23,204.32,677000
2017-10-26,212.95,217.5,210.63,216.92,208.83,508200
2017-10-27,216.12,217.3,213.0,217.12,209.03,367100
2017-10-30,216.91,219.15,216.24,217.86,209.74,465500
2017-10-31,217.98,219.12,216.01,216.85,208.77,412700
2017-11-01,216.9,217.91,213.15,217.3,209.2,734800
2017-11-02,211.45,221.16,206.22,208.96,201.17,1755800
2017-11-03,207.58,213.28,207.23,211.81,203.91,589400
2017-11-06,211.13,216.3,211.13,212.57,204.65,452000
2017-11-07,211.88,213.42,207.8,210.04,202.21,539300
2017-11-08,210.1,213.53,208.61,213.2,205.25,468600
2017-11-09,212.68,214.0,209.58,212.95,205.01,474700
2017-11-10,212.46,213.66,211.07,213.25,205.3,262800
2017-11-13,211.68,213.09,211.05,212.47,204.55,353300
2017-11-14,212.32,213.09,211.15,212.16,204.25,448400
2017-11-15,211.6,211.6,205.79,206.18,198.49,640900
2017-11-16,206.68,210.93,205.9,209.38,201.58,483700
2017-11-17,208.44,210.39,207.29,207.72,199.98,361400
2017-11-20,207.79,211.68,207.61,208.74,200.96,325500
2017-11-21,209.51,209.67,207.35,207.44,199.71,459000
2017-11-22,208.17,208.49,206.73,207.13,199.41,632600
2017-11-24,207.44,208.05,205.79,205.9,198.23,135000
2017-11-27,206.0,206.7,200.27,201.82,194.3,621900
2017-11-28,201.76,204.66,201.03,204.35,196.73,422400
2017-11-29,204.52,208.93,202.75,208.51,200.74,511600
2017-11-30,208.19,209.02,204.78,208.39,201.05,542600
2017-12-01,208.81,208.81,200.7,202.65,195.51,533200
2017-12-04,204.97,211.32,204.41,208.44,201.09,648700
2017-12-05,209.18,209.98,204.08,205.9,198.64,416900
2017-12-06,205.55,206.15,201.01,201.51,194.41,590900
2017-12-07,201.51,211.7,201.08,208.55,201.2,664500
2017-12-08,209.92,215.47,208.86,214.1,206.56,868000
2017-12-11,214.06,215.09,207.38,208.68,201.33,604900
