Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,49.6,49.99,49.24,49.89,49.89,2329700
2017-05-25,50.0,51.12,49.9,50.76,50.76,2556600
2017-05-26,50.79,51.31,50.69,50.9,50.9,1741500
2017-05-30,50.67,50.93,50.43,50.71,50.71,1233400
2017-05-31,50.84,51.11,50.47,50.56,50.56,2071800
2017-06-01,50.63,51.06,50.1,50.97,50.97,2435600
2017-06-02,50.85,51.28,50.32,51.27,51.27,2139400
2017-06-05,51.25,51.32,50.81,51.11,51.11,1256100
2017-06-06,50.94,51.24,50.57,50.75,50.75,1438000
2017-06-07,50.68,50.96,50.47,50.85,50.85,1438100
2017-06-08,50.34,50.55,49.8,50.48,50.48,1989700
2017-06-09,50.38,50.64,49.88,50.05,50.05,2242100
2017-06-12,50.01,50.67,50.0,50.64,50.64,2014400
2017-06-13,50.26,50.73,50.02,50.55,50.55,1707900
2017-06-14,50.86,51.2,50.33,50.75,50.75,1778100
2017-06-15,50.53,51.44,50.52,51.3,51.3,1960900
2017-06-16,50.88,51.86,50.12,50.31,50.31,3423100
2017-06-19,50.37,50.89,50.01,50.86,50.86,1567100
2017-06-20,50.92,51.16,50.62,50.83,50.83,2028000
2017-06-21,50.74,51.43,50.74,51.19,51.19,1878900
2017-06-22,51.1,51.43,50.66,50.85,50.85,1488300
2017-06-23,51.03,52.41,51.03,51.99,51.99,3310000
2017-06-26,52.13,52.24,51.46,51.52,51.52,1949500
2017-06-27,51.31,51.51,50.29,50.3,50.3,2479200
2017-06-28,50.48,51.24,50.17,51.05,51.05,2031500
2017-06-29,50.8,51.03,49.65,49.91,49.91,2118000
2017-06-30,50.49,50.5,49.65,49.68,49.68,2616800
2017-07-03,49.97,50.15,49.47,49.72,49.72,1038500
2017-07-05,49.83,49.96,49.03,49.51,49.51,1899600
2017-07-06,49.25,50.48,49.2,50.33,50.33,3692100
2017-07-07,50.33,50.83,50.05,50.7,50.7,2867100
2017-07-10,50.8,50.9,50.16,50.51,50.51,1806600
2017-07-11,50.57,50.58,49.81,49.98,49.98,1928600
2017-07-12,50.39,50.87,50.24,50.42,50.42,1284400
2017-07-13,50.53,50.86,50.12,50.81,50.81,1707600
2017-07-14,51.13,51.73,51.02,51.67,51.67,1582700
2017-07-17,51.74,51.74,51.39,51.54,51.54,1189200
2017-07-18,51.5,51.87,51.22,51.84,51.84,1069900
2017-07-19,51.98,52.28,51.68,52.23,52.23,1824600
2017-07-20,52.39,52.58,51.98,52.37,52.37,1591200
2017-07-21,52.16,52.63,52.16,52.58,52.58,1245100
2017-07-24,52.63,52.95,52.37,52.73,52.73,1760400
2017-07-25,52.84,53.5,52.62,53.39,53.39,2104400
2017-07-26,53.34,53.94,53.06,53.57,53.57,1605000
2017-07-27,53.42,54.07,53.25,54.03,54.03,2357900
2017-07-28,53.92,54.24,53.24,53.41,53.41,1244100
2017-07-31,53.39,53.6,52.53,52.75,52.75,1951900
2017-08-01,52.94,53.35,52.41,53.12,53.12,1810000
2017-08-02,52.79,53.13,52.24,53.04,53.04,1737900
2017-08-03,53.17,53.49,52.46,53.14,53.14,1460100
2017-08-04,53.31,53.32,52.4,52.71,52.71,1378100
2017-08-07,52.83,53.0,52.59,52.87,52.87,1861100
2017-08-08,52.69,53.38,52.54,52.63,52.63,3157600
2017-08-09,51.54,52.43,50.79,52.03,52.03,3371400
2017-08-10,51.87,52.83,51.56,52.52,52.52,2874400
2017-08-11,53.38,54.01,52.56,53.82,53.82,2744700
2017-08-14,53.94,54.57,53.86,53.95,53.95,2009400
2017-08-15,53.98,54.12,53.69,54.01,54.01,1195300
2017-08-16,54.27,54.4,54.07,54.31,54.31,1031800
2017-08-17,54.26,54.73,53.6,53.71,53.71,1685000
2017-08-18,53.48,54.36,53.43,54.05,54.05,1930300
2017-08-21,54.14,54.52,53.96,54.36,54.36,1256900
2017-08-22,54.38,55.49,54.37,55.38,55.38,2360400
2017-08-23,55.49,55.58,54.89,55.16,55.16,1587400
2017-08-24,55.1,55.24,54.78,54.98,54.98,1609400
2017-08-25,55.17,55.7,54.93,55.22,55.22,1810000
2017-08-28,55.4,55.49,54.96,55.16,55.16,1643000
2017-08-29,55.04,55.57,54.9,55.37,55.37,1459000
2017-08-30,55.33,56.13,55.27,55.95,55.95,1542500
2017-08-31,56.05,56.44,55.76,55.82,55.82,2030300
2017-09-01,55.97,56.29,55.88,56.08,56.08,1612400
2017-09-05,55.97,56.46,55.95,56.35,56.35,2627800
2017-09-06,56.95,57.25,55.95,56.33,56.33,3258400
2017-09-07,56.38,56.57,56.07,56.36,56.36,2001700
2017-09-08,56.36,56.7,56.21,56.32,56.32,1230800
2017-09-11,56.53,56.96,56.43,56.66,56.66,1364500
2017-09-12,56.48,56.91,55.85,56.08,56.08,2784800
2017-09-13,55.85,56.6,55.77,56.38,56.38,1523500
2017-09-14,56.33,56.64,55.96,56.58,56.58,2232700
2017-09-15,56.75,56.83,56.02,56.18,56.18,4345200
2017-09-18,56.17,56.8,55.96,56.67,56.67,1256700
2017-09-19,56.68,56.76,56.17,56.26,56.26,1464400
2017-09-20,56.1,56.3,55.2,55.95,55.95,1532300
2017-09-21,55.95,55.99,55.5,55.57,55.57,1166800
2017-09-22,55.62,56.04,55.47,55.81,55.81,1127300
2017-09-25,55.82,55.99,55.13,55.17,55.17,1666500
2017-09-26,55.22,55.51,55.15,55.2,55.2,1980600
2017-09-27,55.21,55.21,54.23,54.88,54.88,5816500
2017-09-28,54.64,55.73,54.42,55.48,55.48,3027500
2017-09-29,55.46,55.95,55.06,55.25,55.25,2133100
2017-10-02,55.25,55.87,55.03,55.14,55.14,1380400
2017-10-03,55.24,55.69,55.0,55.27,55.27,1527800
2017-10-04,55.37,55.43,54.8,55.22,55.22,1880700
2017-10-05,55.48,55.62,55.15,55.4,55.4,1304100
2017-10-06,55.23,55.54,55.08,55.37,55.37,1101900
2017-10-09,55.49,55.73,55.26,55.39,55.39,750800
2017-10-10,55.46,55.72,55.21,55.36,55.36,1000600
2017-10-11,55.3,55.89,55.22,55.7,55.7,1369100
2017-10-12,55.66,56.01,55.51,55.96,55.96,1398900
2017-10-13,56.01,56.17,55.76,55.83,55.83,970800
2017-10-16,55.88,56.27,55.88,56.22,56.22,1578100
2017-10-17,56.29,56.75,55.94,56.52,56.52,1467300
2017-10-18,56.35,56.49,55.92,56.29,56.29,1215300
2017-10-19,56.22,56.33,55.83,55.99,55.99,1179600
2017-10-20,56.18,56.53,56.07,56.46,56.46,1807300
2017-10-23,56.5,56.7,56.18,56.36,56.36,1240700
2017-10-24,56.26,56.95,56.03,56.83,56.83,1357800
2017-10-25,56.41,56.6,55.9,56.5,56.5,1273600
2017-10-26,56.74,57.02,56.5,56.75,56.75,1206300
2017-10-27,56.38,57.08,55.92,56.75,56.75,1647700
2017-10-30,56.86,57.0,56.16,56.83,56.83,1649300
2017-10-31,57.0,58.54,56.96,57.93,57.93,2405300
2017-11-01,58.34,58.43,57.6,57.8,57.8,1735500
2017-11-02,57.91,57.93,57.39,57.45,57.45,1279000
2017-11-03,57.21,57.91,57.09,57.67,57.67,1368000
2017-11-06,57.7,57.8,57.33,57.52,57.52,1615100
2017-11-07,57.5,57.92,57.36,57.92,57.92,1721000
2017-11-08,57.92,58.3,57.66,58.0,58.0,3257300
2017-11-09,56.0,59.88,56.0,58.68,58.68,4808000
2017-11-10,58.6,61.34,58.27,61.16,61.16,4588300
2017-11-13,60.97,62.42,60.84,62.2,62.2,2927200
2017-11-14,61.73,62.8,61.2,62.63,62.63,2966000
2017-11-15,62.54,62.66,61.46,61.6,61.6,3375500
2017-11-16,61.65,62.57,61.36,62.0,62.0,2729700
2017-11-17,61.98,62.64,61.74,62.17,62.17,1801700
2017-11-20,60.53,61.83,60.15,61.16,61.16,2451200
2017-11-21,61.34,61.8,61.04,61.27,61.27,2550100
2017-11-22,61.41,61.68,60.87,61.27,61.27,1150000
2017-11-24,61.06,61.82,61.06,61.75,61.75,573600
2017-11-27,61.76,61.98,61.39,61.77,61.77,1263400
2017-11-28,62.35,62.68,61.55,62.09,62.09,2865100
2017-11-29,62.1,62.21,61.46,61.89,61.89,1461000
2017-11-30,61.82,62.75,61.6,62.67,62.67,2716000
2017-12-01,62.15,62.94,61.85,62.92,62.92,2192200
2017-12-04,62.94,63.41,62.49,63.35,63.35,2231500
2017-12-05,63.17,63.54,62.8,63.05,63.05,1985500
2017-12-06,63.05,63.3,62.61,63.27,63.27,2081300
2017-12-07,63.08,63.19,62.22,62.3,62.3,2356200
2017-12-08,62.62,63.23,62.38,63.22,63.22,1794600
2017-12-11,62.89,63.09,62.22,62.94,62.94,1597000
2017-12-12,62.95,63.5,62.47,62.91,62.91,1568200
2017-12-13,63.16,63.62,63.0,63.51,63.51,1675700
2017-12-14,63.62,64.22,62.93,63.13,63.13,1724500
