Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,72.41,72.97,72.08,72.85,52.75,4759400
2017-05-25,73.03,74.63,73.0,74.14,53.69,7525000
2017-05-26,74.08,74.47,73.9,74.41,53.88,5681000
2017-05-30,74.56,75.19,74.32,75.07,54.36,6075000
2017-05-31,75.24,75.44,74.51,75.44,54.63,18510100
2017-06-01,75.08,75.4,74.6,75.4,54.6,6831500
2017-06-02,75.33,75.42,74.8,75.12,54.4,7908900
2017-06-05,75.14,75.26,74.85,75.06,54.35,6149400
2017-06-06,74.88,75.33,74.71,75.27,54.51,5779300
2017-06-07,75.2,75.96,75.18,75.61,54.75,5019600
2017-06-08,75.61,75.66,74.82,75.21,54.46,5453100
2017-06-09,75.06,75.56,75.0,75.46,54.64,5637700
2017-06-12,75.46,75.55,74.99,75.4,54.6,5951500
2017-06-13,74.72,74.99,74.47,74.95,54.72,5196500
2017-06-14,75.34,76.0,75.09,75.75,55.3,6227000
2017-06-15,75.62,76.48,75.33,76.41,55.78,4746900
2017-06-16,76.67,77.29,76.32,77.28,56.42,9783900
2017-06-19,77.38,77.78,77.2,77.71,56.73,4612300
2017-06-20,77.63,77.79,77.29,77.33,56.45,3660800
2017-06-21,77.4,77.61,76.84,77.03,56.24,4395000
2017-06-22,76.98,76.98,76.39,76.48,55.83,4232000
2017-06-23,76.4,76.93,76.4,76.49,55.84,3876700
2017-06-26,76.54,77.0,76.42,76.53,55.87,3969200
2017-06-27,76.37,76.44,75.19,75.38,55.03,5488100
2017-06-28,75.75,76.06,75.49,75.84,55.37,3377900
2017-06-29,75.54,75.76,74.12,74.4,54.32,5467700
2017-06-30,74.68,74.83,74.36,74.47,54.37,5158000
2017-07-03,74.71,74.91,74.39,74.53,54.41,2452300
2017-07-05,74.51,74.98,74.41,74.61,54.47,4015200
2017-07-06,74.35,74.55,74.17,74.32,54.26,3394200
2017-07-07,74.6,74.62,73.92,74.25,54.21,3933100
2017-07-10,74.36,74.67,73.45,73.69,53.8,4937400
2017-07-11,73.85,73.96,73.28,73.43,53.61,5513200
2017-07-12,73.72,74.07,73.69,73.89,53.94,3698400
2017-07-13,73.86,74.0,73.4,73.48,53.64,4004900
2017-07-14,73.7,74.14,73.7,73.93,53.97,3607300
2017-07-17,73.78,73.9,73.21,73.37,53.56,4916400
2017-07-18,73.24,73.64,73.2,73.33,53.53,3725100
2017-07-19,73.42,73.59,73.18,73.55,53.69,4478800
2017-07-20,73.5,73.89,73.27,73.59,53.72,4276500
2017-07-21,73.44,73.6,73.22,73.42,53.6,4203400
2017-07-24,73.33,73.41,72.64,72.64,53.03,6336700
2017-07-25,73.0,73.07,72.17,72.24,52.74,7015100
2017-07-26,72.23,72.35,71.69,71.73,52.37,10744300
2017-07-27,71.03,73.98,71.0,73.96,53.99,9693500
2017-07-28,73.99,74.17,60.01,66.94,48.87,54403900
2017-07-31,65.45,66.16,64.33,64.97,47.43,26663600
2017-08-01,65.2,66.63,64.9,65.5,47.82,16542700
2017-08-02,65.72,65.92,65.02,65.55,47.85,19252100
2017-08-03,65.86,66.11,65.38,65.54,47.85,13837100
2017-08-04,65.86,66.43,65.27,65.52,47.83,9553700
2017-08-07,65.52,66.08,65.38,65.99,48.18,5962300
2017-08-08,65.91,66.11,65.21,65.38,47.73,7102400
2017-08-09,65.43,65.8,65.21,65.31,47.68,5600000
2017-08-10,65.15,65.38,64.72,64.77,47.28,6279500
2017-08-11,65.08,65.2,64.12,64.31,46.95,7275600
2017-08-14,64.37,65.11,64.19,64.84,47.34,6393800
2017-08-15,64.92,65.65,64.76,65.3,47.67,4967300
2017-08-16,65.18,65.58,65.01,65.45,47.78,4328300
2017-08-17,65.45,65.55,64.28,64.3,46.94,6678500
2017-08-18,64.23,64.59,63.67,63.69,46.5,10210600
2017-08-21,63.6,64.57,63.34,64.39,47.01,5065700
2017-08-22,64.39,64.61,63.98,64.06,46.77,5031600
2017-08-23,63.95,64.23,63.63,63.71,46.51,5198700
2017-08-24,63.81,63.93,63.31,63.6,46.43,5239000
2017-08-25,63.89,64.56,63.8,64.08,46.78,4860600
2017-08-28,64.0,64.26,63.78,63.93,46.67,6742000
2017-08-29,63.62,64.39,63.61,63.81,46.58,4329300
2017-08-30,63.92,64.2,63.69,64.05,46.76,4378500
2017-08-31,64.23,64.24,63.36,63.4,46.28,8028700
2017-09-01,63.5,63.62,63.03,63.54,46.39,6110500
2017-09-05,63.31,63.6,62.55,62.87,45.9,8107600
2017-09-06,62.91,63.65,62.5,63.27,46.19,9466600
2017-09-07,63.45,63.55,62.5,62.73,45.8,7027800
2017-09-08,62.68,62.86,62.03,62.23,45.43,6736900
2017-09-11,62.59,62.78,62.44,62.49,45.62,7197500
2017-09-12,62.44,62.53,62.11,62.5,45.63,5887200
2017-09-13,62.75,62.94,62.4,62.51,45.64,6454100
2017-09-14,62.12,62.42,61.85,62.28,45.95,7552400
2017-09-15,62.33,62.81,61.59,62.39,46.03,16567300
2017-09-18,62.01,62.63,62.01,62.56,46.16,6381500
2017-09-19,62.55,62.57,62.17,62.23,45.92,5610000
2017-09-20,62.3,62.38,60.78,61.22,45.17,7026200
2017-09-21,61.11,61.55,60.78,61.5,45.38,6432100
2017-09-22,61.55,62.72,61.43,62.49,46.11,8550100
2017-09-25,62.51,63.85,62.44,63.79,47.07,11248400
2017-09-26,64.15,65.17,64.03,64.52,47.61,12651900
2017-09-27,64.48,64.52,63.75,64.41,47.52,8743600
2017-09-28,64.49,64.84,64.04,64.19,47.36,8932800
2017-09-29,64.19,64.27,63.29,63.42,46.79,7758900
2017-10-02,63.35,63.49,62.8,62.9,46.41,7883000
2017-10-03,62.94,63.53,62.93,63.37,46.76,6400200
2017-10-04,63.45,63.77,63.23,63.49,46.85,6653700
2017-10-05,63.72,63.94,63.51,63.81,47.08,5234200
2017-10-06,63.69,63.78,62.32,62.55,46.15,9563300
2017-10-09,62.83,64.07,62.75,63.57,46.9,7275600
2017-10-10,64.08,65.13,63.9,65.01,47.97,8300800
2017-10-11,65.13,65.24,64.58,64.87,47.86,5552200
2017-10-12,64.67,65.49,64.28,65.35,48.22,6895900
2017-10-13,65.58,65.9,64.92,65.05,48.0,6437200
2017-10-16,65.05,65.49,64.94,65.37,48.23,4748000
2017-10-17,65.22,65.4,64.81,64.87,47.86,7507900
2017-10-18,64.8,64.99,64.5,64.81,47.82,5614600
2017-10-19,64.33,64.73,63.88,64.37,47.49,6037000
2017-10-20,64.49,65.14,64.48,65.0,47.96,6430300
2017-10-23,64.99,65.16,64.24,64.5,47.59,4833600
2017-10-24,64.39,64.44,63.58,64.13,47.32,7686900
2017-10-25,64.2,64.45,63.39,63.79,47.07,7114100
2017-10-26,64.34,65.94,63.71,65.79,48.54,8939500
2017-10-27,65.55,65.77,64.76,64.92,47.9,6473800
2017-10-30,64.75,64.8,63.66,64.05,47.26,6842300
2017-10-31,63.99,64.73,63.83,64.22,47.38,7025400
2017-11-01,64.56,65.03,64.34,64.7,47.74,5669200
2017-11-02,64.57,64.75,63.35,63.9,47.15,8668100
2017-11-03,64.03,64.3,63.63,63.91,47.15,7290200
2017-11-06,63.69,63.95,63.26,63.45,46.82,6319400
2017-11-07,63.25,64.37,63.25,64.31,47.45,6007400
2017-11-08,64.25,65.17,64.12,64.59,47.66,5700500
2017-11-09,64.41,64.79,64.12,64.51,47.6,3792600
2017-11-10,64.29,65.26,64.29,65.02,47.97,4998200
2017-11-13,65.05,66.06,64.86,65.84,48.58,8183800
2017-11-14,65.75,66.28,65.34,65.73,48.5,8154100
2017-11-15,65.69,65.99,65.01,65.26,48.15,4572700
2017-11-16,65.44,66.11,65.44,65.88,48.61,5205700
2017-11-17,65.53,66.5,65.29,66.42,49.01,6926800
2017-11-20,66.26,66.74,65.76,65.83,48.57,5098700
2017-11-21,65.86,66.36,65.64,65.65,48.44,4916400
2017-11-22,65.73,65.85,65.45,65.49,48.32,5437700
2017-11-24,65.6,65.6,65.04,65.48,48.31,2075600
2017-11-27,65.41,65.59,64.95,65.07,48.01,4854700
2017-11-28,65.28,66.5,64.5,66.4,48.99,9686300
2017-11-29,66.23,68.35,66.23,67.37,49.71,9229500
2017-11-30,67.6,68.19,67.18,67.83,50.05,10224500
2017-12-01,67.96,68.65,66.78,68.58,50.6,8049500
2017-12-04,68.65,70.2,68.62,70.08,51.71,9630900
2017-12-05,70.27,70.49,69.73,70.18,51.78,8431900
2017-12-06,70.98,71.78,70.2,71.66,52.87,9716800
2017-12-07,71.44,71.57,70.85,71.5,52.76,6043400
2017-12-08,71.41,71.55,71.04,71.54,52.78,5270200
2017-12-11,71.52,71.67,71.19,71.65,52.87,4400000
2017-12-12,71.7,72.09,71.05,71.72,52.92,8366200
2017-12-13,71.84,72.65,71.75,72.32,53.36,5975200
2017-12-14,72.15,72.67,71.12,71.79,52.97,9072700
2017-12-15,72.05,72.35,71.56,71.67,52.88,14169100
2017-12-18,71.78,72.78,71.74,72.65,53.6,7451200
2017-12-19,73.9,74.38,73.32,73.9,54.53,8475500
2017-12-20,73.21,73.25,71.29,72.6,54.05,7400700
2017-12-21,72.55,72.67,71.8,71.94,53.56,4170200
2017-12-22,72.01,72.27,71.77,72.14,53.71,4807600
2017-12-26,71.97,72.41,71.91,72.08,53.66,3839500
2017-12-27,72.2,72.95,72.09,72.43,53.92,4616800
2017-12-28,72.41,72.45,71.02,71.27,53.06,13351300
2017-12-29,71.29,72.15,71.12,71.41,53.16,5504400
2018-01-02,71.51,71.82,70.03,70.74,52.66,5917300
2018-01-03,70.66,70.95,70.27,70.48,52.47,6036400
2018-01-04,70.6,70.8,70.13,70.2,52.26,6177300
2018-01-05,70.33,70.55,69.86,70.4,52.41,6383400
2018-01-08,70.2,70.54,69.82,70.31,52.34,6054800
2018-01-09,70.59,70.77,69.4,69.57,51.79,6269300
2018-01-10,69.82,70.42,68.87,70.29,52.33,6709900
2018-01-11,70.31,71.04,70.03,70.29,52.33,7486300
2018-01-12,70.21,70.46,69.53,69.61,51.82,7413600
2018-01-16,69.84,69.92,68.24,68.92,51.31,10521000
2018-01-17,69.12,70.52,68.98,70.15,52.23,7724500
2018-01-18,69.99,70.42,69.57,70.03,52.14,8605000
2018-01-19,70.84,71.68,70.63,71.12,52.95,8714000
2018-01-22,71.1,71.57,70.9,71.28,53.07,4987800
2018-01-23,71.36,71.61,70.94,71.45,53.19,4596400
2018-01-24,71.47,71.86,71.2,71.56,53.28,6121800
2018-01-25,71.51,71.69,67.65,69.91,52.05,12691800
2018-01-26,70.04,71.24,69.99,71.02,52.87,6819100
2018-01-29,70.68,70.82,69.8,69.83,51.99,5387900
2018-01-30,69.82,70.21,69.32,69.82,51.98,6365200
2018-01-31,69.87,70.65,69.78,70.34,52.37,9800300
2018-02-01,69.9,70.49,68.46,69.93,52.06,14240400
2018-02-02,69.9,70.66,69.16,69.4,51.67,8652400
2018-02-05,68.44,68.87,65.88,66.04,49.17,12619800
2018-02-06,64.79,66.67,63.46,66.53,49.53,16146400
2018-02-07,66.45,68.21,66.27,66.79,49.72,8352900
2018-02-08,66.66,67.27,64.0,64.05,47.68,13457400
2018-02-09,64.53,64.68,62.83,64.03,47.67,10713100
2018-02-12,64.47,65.8,64.34,65.35,48.65,6739900
2018-02-13,65.0,65.82,64.73,65.64,48.87,5226300
2018-02-14,65.38,65.86,64.92,65.18,48.53,5532500
2018-02-15,65.35,65.48,64.6,65.32,48.63,5366500
2018-02-16,65.35,66.05,64.85,65.46,48.73,6202700
2018-02-20,65.1,65.18,64.18,64.19,47.79,6294000
2018-02-21,64.19,64.72,63.8,63.93,47.59,7077300
2018-02-22,64.04,65.09,63.25,63.34,47.16,5701500
2018-02-23,63.72,64.63,63.53,64.59,48.09,5632500
2018-02-26,64.8,65.55,64.7,65.43,48.71,6320400
2018-02-27,65.32,65.55,63.89,64.0,47.65,8860400
2018-02-28,64.21,64.53,62.93,62.95,46.87,9254200
2018-03-01,62.75,63.8,62.1,62.43,46.48,11718000
2018-03-02,62.31,63.1,62.11,62.55,46.57,14796300
2018-03-05,62.59,64.24,62.46,64.13,47.74,9725600
2018-03-06,64.37,64.98,64.1,64.77,48.22,9306500
2018-03-07,64.33,65.19,63.9,64.07,47.7,8154200
2018-03-08,64.22,65.47,64.11,65.43,48.71,6437200
2018-03-09,65.71,65.79,65.13,65.65,48.88,6775900
2018-03-12,65.78,66.37,65.56,65.77,48.96,8236400
2018-03-13,66.22,66.53,65.76,66.13,49.23,7166200
2018-03-14,65.7,65.9,63.61,63.82,48.02,7939600
2018-03-15,63.66,64.5,63.4,63.81,48.01,9641800
2018-03-16,63.9,64.3,63.06,63.19,47.55,13398100
2018-03-19,63.15,63.41,62.26,62.48,47.01,8199500
2018-03-20,62.69,62.78,61.46,61.52,46.29,6505200
2018-03-21,61.08,61.49,59.83,60.0,45.15,10480200
2018-03-22,59.82,61.38,59.65,60.39,45.44,9788600
2018-03-23,60.67,60.75,59.07,59.27,44.6,7997200
2018-03-26,59.88,59.99,59.1,59.6,44.85,7256500
2018-03-27,59.72,61.44,59.69,60.72,45.69,10135900
2018-03-28,61.15,62.75,61.11,62.45,46.99,9587400
2018-03-29,62.6,63.15,62.16,62.32,46.89,5888300
2018-04-02,62.52,62.61,60.45,60.51,45.53,7740900
2018-04-03,60.94,62.96,60.68,62.66,47.15,8837900
2018-04-04,62.27,63.63,62.2,63.35,47.67,6956800
2018-04-05,63.67,64.62,63.03,64.54,48.56,8546500
2018-04-06,64.48,64.81,63.46,63.85,48.04,6456800
2018-04-09,63.89,64.01,63.18,63.25,47.59,7270000
2018-04-10,64.03,64.45,63.7,64.22,48.32,6242400
2018-04-11,64.15,64.7,63.8,63.84,48.04,6168400
2018-04-12,64.22,64.36,63.21,63.4,47.71,4633200
2018-04-13,63.84,64.19,63.45,63.95,48.12,4263300
2018-04-16,64.18,64.57,63.92,64.25,48.34,5136000
2018-04-17,64.49,64.55,63.77,63.98,48.14,4877300
2018-04-18,62.92,63.2,60.57,61.5,46.28,16672600
2018-04-19,60.51,60.51,56.09,57.78,43.48,24260600
2018-04-20,57.63,57.82,56.57,57.23,43.06,13541900
2018-04-23,57.05,57.43,56.46,56.57,42.57,8776600
2018-04-24,56.69,56.69,54.83,55.3,41.61,13878900
2018-04-25,55.23,56.01,55.02,55.84,42.02,14061000
2018-04-26,55.91,56.34,54.23,54.77,41.21,18536600
2018-04-27,54.7,56.29,54.69,56.13,42.23,10368400
2018-04-30,56.75,56.78,56.03,56.11,42.22,12236400
2018-05-01,55.72,56.12,55.55,56.03,42.16,6046400
2018-05-02,56.15,56.44,55.42,55.69,41.9,8519200
2018-05-03,55.71,56.79,55.62,56.36,42.41,7291300
2018-05-04,56.15,56.77,56.15,56.26,42.33,6661300
2018-05-07,56.26,56.39,55.59,55.71,41.92,5298000
2018-05-08,55.49,55.5,54.73,55.27,41.59,7690400
2018-05-09,55.38,56.46,55.16,55.92,42.08,5983200
2018-05-10,56.0,56.6,55.98,56.04,42.17,4966000
2018-05-11,55.87,56.33,55.07,55.19,41.53,10885300
2018-05-14,55.21,55.65,54.96,55.02,41.4,9358100
2018-05-15,54.67,54.81,53.91,54.52,41.02,9726600
2018-05-16,54.71,55.3,54.52,54.87,41.29,9329800
2018-05-17,55.14,55.6,55.0,55.29,41.6,11738300
2018-05-18,55.34,55.88,55.05,55.54,41.79,8572400
2018-05-21,55.62,55.87,55.47,55.64,41.87,6338300
2018-05-22,55.6,55.8,55.15,55.21,41.54,7550200
2018-05-23,55.27,55.98,55.14,55.88,42.05,6632100
2018-05-24,55.95,56.02,55.64,55.89,42.05,7274400
2018-05-25,55.87,56.15,55.45,55.63,41.86,5333000
2018-05-29,55.26,55.77,55.09,55.73,41.93,7769900
2018-05-30,55.92,56.7,55.42,56.59,42.58,7187400
2018-05-31,56.41,56.52,55.54,55.74,41.94,10678300
2018-06-01,55.91,56.11,55.59,55.72,41.93,4696500
2018-06-04,55.7,56.33,55.52,56.02,42.15,5854400
2018-06-05,56.07,56.43,55.57,56.33,42.39,7740800
2018-06-06,56.35,56.47,55.94,56.31,42.37,8910700
2018-06-07,56.28,57.11,55.94,56.69,42.66,7626600
