Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,23.34,23.47,22.98,23.14,22.03,2874700
2017-05-25,23.14,23.42,22.68,22.9,21.8,3217800
2017-05-26,22.84,23.21,22.78,23.16,22.04,2490700
2017-05-30,23.0,23.06,22.85,22.94,21.98,2214500
2017-05-31,22.96,22.96,22.28,22.63,21.68,4697600
2017-06-01,22.63,23.07,22.45,22.79,21.83,3406600
2017-06-02,22.73,22.75,22.32,22.5,21.56,3616200
2017-06-05,22.38,22.73,22.28,22.6,21.65,3449600
2017-06-06,22.46,22.67,22.26,22.6,21.65,3053100
2017-06-07,22.6,22.61,22.15,22.25,21.32,4028700
2017-06-08,22.25,22.79,22.18,22.55,21.6,2856100
2017-06-09,22.86,23.65,22.68,23.51,22.52,4920900
2017-06-12,23.51,24.45,23.3,23.55,22.56,6525200
2017-06-13,23.55,23.81,23.29,23.7,22.71,4460500
2017-06-14,23.69,23.8,22.64,22.74,21.79,4309400
2017-06-15,22.52,22.76,22.23,22.33,21.39,3993500
2017-06-16,22.36,22.72,22.19,22.71,21.76,6020300
2017-06-19,22.78,22.95,22.69,22.86,21.9,3445800
2017-06-20,22.72,22.72,22.2,22.22,21.29,3478300
2017-06-21,22.26,22.39,21.79,21.87,20.95,4087400
2017-06-22,21.88,22.47,21.81,22.32,21.38,5839300
2017-06-23,22.4,23.04,22.11,22.97,22.01,4545800
2017-06-26,23.03,23.3,22.91,23.23,22.25,3467500
2017-06-27,23.27,23.34,22.63,22.63,21.68,2518300
2017-06-28,22.84,23.06,22.57,22.58,21.63,2437200
2017-06-29,22.65,23.0,22.5,22.61,21.66,2962700
2017-06-30,22.73,22.96,22.55,22.83,21.87,2562700
2017-07-03,23.04,23.84,22.98,23.77,22.77,2389600
2017-07-05,23.76,23.81,22.83,22.87,21.91,4404600
2017-07-06,22.73,22.89,22.35,22.4,21.46,3217000
2017-07-07,22.48,22.67,22.17,22.6,21.65,3508800
2017-07-10,22.64,24.18,22.53,23.8,22.8,6812600
2017-07-11,23.79,23.96,23.13,23.67,22.68,5674300
2017-07-12,23.88,24.3,23.45,23.57,22.58,5307800
2017-07-13,23.53,23.9,23.36,23.85,22.85,3152600
2017-07-14,23.75,23.87,23.52,23.72,22.72,2952500
2017-07-17,23.77,24.24,23.69,23.96,22.95,2768500
2017-07-18,23.9,23.99,23.67,23.97,22.96,1966700
2017-07-19,24.05,24.65,24.01,24.54,23.51,3778400
2017-07-20,24.71,24.77,24.11,24.43,23.4,3423500
2017-07-21,24.44,24.62,24.04,24.37,23.35,2922000
2017-07-24,24.26,24.35,24.01,24.16,23.15,2239700
2017-07-25,24.22,24.56,24.0,24.22,23.2,3211400
2017-07-26,24.32,24.44,23.48,23.6,22.61,3482100
2017-07-27,23.64,24.2,23.34,23.88,22.88,3861400
2017-07-28,23.88,24.29,23.88,24.17,23.16,3015100
2017-07-31,24.19,24.37,23.99,24.14,23.13,3377600
2017-08-01,23.83,23.83,21.97,22.89,21.93,10771900
2017-08-02,22.8,22.87,22.05,22.25,21.32,5717700
2017-08-03,22.15,22.65,22.06,22.32,21.38,3598000
2017-08-04,22.4,22.62,22.2,22.58,21.63,3177700
2017-08-07,22.61,22.62,21.88,21.97,21.05,4366500
2017-08-08,21.96,22.19,21.43,21.54,20.64,5481600
2017-08-09,21.51,21.56,21.14,21.26,20.37,4222500
2017-08-10,21.19,21.37,20.39,20.61,19.74,7105700
2017-08-11,20.79,20.85,20.06,20.34,19.49,5511200
2017-08-14,20.44,20.64,20.27,20.31,19.46,4772500
2017-08-15,20.18,20.25,19.77,20.16,19.31,7894400
2017-08-16,20.22,20.76,20.17,20.57,19.71,5607000
2017-08-17,20.54,20.95,20.08,20.1,19.26,3848200
2017-08-18,20.06,20.09,19.59,19.86,19.03,4465600
2017-08-21,19.87,19.96,19.68,19.86,19.03,2589000
2017-08-22,19.99,20.32,19.93,19.94,19.1,3806500
2017-08-23,19.9,20.31,19.9,20.17,19.32,2900000
2017-08-24,20.2,20.42,20.0,20.19,19.34,2380200
2017-08-25,20.34,20.54,20.21,20.37,19.51,2300800
