Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,52.94,53.27,52.76,53.13,44.06,2917100
2017-05-25,53.15,53.91,52.43,52.45,43.5,3952000
2017-05-26,52.42,52.87,52.24,52.82,43.8,3843600
2017-05-30,52.42,53.19,52.32,52.42,43.47,4004700
2017-05-31,52.3,52.77,51.63,52.04,43.16,4572300
2017-06-01,52.43,53.57,52.38,53.13,44.06,8751100
2017-06-02,52.86,53.13,52.44,52.7,43.71,4461400
2017-06-05,52.57,53.16,52.44,52.8,43.79,3261500
2017-06-06,52.58,53.16,52.42,53.09,44.03,3252700
2017-06-07,52.84,53.17,52.47,52.97,43.93,3672800
2017-06-08,52.97,53.96,52.86,53.43,44.31,4652000
2017-06-09,53.55,54.97,53.46,54.71,45.37,9652000
2017-06-12,54.71,55.2,53.85,54.47,45.17,6217100
2017-06-13,54.48,55.05,54.34,55.03,45.64,3303700
2017-06-14,54.87,54.9,53.29,53.35,44.24,5523800
2017-06-15,53.1,53.33,52.76,52.99,43.95,4004500
2017-06-16,53.31,53.77,53.01,53.77,44.59,6775900
2017-06-19,53.81,54.37,53.81,54.29,45.02,3748000
2017-06-20,53.66,53.81,52.47,52.85,43.83,4838600
2017-06-21,52.93,53.0,51.18,51.73,42.9,5732100
2017-06-22,52.12,52.12,51.09,51.17,42.44,4936200
2017-06-23,51.19,51.65,50.74,51.5,42.71,6052500
2017-06-26,51.64,52.06,51.25,51.33,42.57,4827000
2017-06-27,51.4,52.35,51.08,51.85,43.0,3775100
2017-06-28,52.12,52.86,51.85,52.62,43.64,3171500
2017-06-29,52.89,53.02,51.72,51.81,42.97,4580500
2017-06-30,52.14,52.61,51.7,52.33,43.4,2917400
2017-07-03,52.63,53.37,52.62,53.1,44.04,1740700
2017-07-05,52.83,53.07,52.23,52.9,43.87,4098300
2017-07-06,53.14,53.52,52.62,52.85,43.83,3074600
2017-07-07,52.87,54.15,52.68,54.07,44.84,3908100
2017-07-10,53.95,54.51,53.91,54.08,44.85,3031300
2017-07-11,53.92,54.57,53.83,54.2,44.95,3288900
2017-07-12,54.74,54.8,53.73,53.76,44.58,2538600
2017-07-13,53.68,53.88,53.22,53.84,44.65,2614000
2017-07-14,53.81,54.05,53.6,53.81,44.63,2788700
2017-07-17,53.86,54.49,53.61,54.31,45.04,4615100
2017-07-18,54.62,54.84,54.22,54.83,45.47,2757900
2017-07-19,54.9,55.71,54.74,55.55,46.07,3365600
2017-07-20,55.76,55.83,54.81,55.4,45.94,3000500
2017-07-21,55.34,55.57,54.84,55.34,45.89,2101900
2017-07-24,55.57,55.87,55.33,55.56,46.08,2306100
2017-07-25,56.14,56.64,55.95,56.02,46.46,4102400
2017-07-26,56.39,56.61,55.64,55.66,46.16,4010500
2017-07-27,54.27,56.46,53.51,56.15,46.57,5047400
2017-07-28,55.92,56.21,54.93,54.98,45.6,3412400
