Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,14.55,14.67,14.36,14.53,13.63,13007000
2017-05-25,14.42,14.7,13.43,13.5,12.67,26995500
2017-05-26,13.52,13.62,13.3,13.52,12.69,11294500
2017-05-30,13.42,13.43,13.11,13.12,12.31,10954000
2017-05-31,12.92,13.1,12.75,13.02,12.22,14886100
2017-06-01,13.05,13.41,12.95,13.1,12.29,11617000
2017-06-02,12.96,12.99,12.56,12.72,11.94,13849600
2017-06-05,12.61,12.86,12.54,12.78,11.99,10988200
2017-06-06,12.76,12.96,12.64,12.88,12.09,10660300
2017-06-07,12.8,12.92,12.13,12.21,11.46,24182900
2017-06-08,12.21,12.36,12.04,12.09,11.35,15665900
2017-06-09,12.15,12.67,12.04,12.54,11.77,17448800
2017-06-12,12.75,12.96,12.55,12.62,11.84,13353400
2017-06-13,12.61,13.06,12.57,13.01,12.21,13933700
2017-06-14,12.87,13.0,12.47,12.64,11.86,14260300
2017-06-15,12.57,12.76,12.26,12.37,11.61,12857900
2017-06-16,12.47,12.59,12.32,12.52,11.75,16457400
2017-06-19,12.54,12.6,12.42,12.49,11.72,10139700
2017-06-20,12.23,12.23,11.85,12.06,11.32,18851800
2017-06-21,11.99,12.13,11.55,11.61,10.89,19904400
2017-06-22,11.72,11.82,11.5,11.59,10.88,12304600
2017-06-23,11.62,11.74,11.41,11.53,10.82,14252800
2017-06-26,11.56,11.68,11.4,11.53,10.82,9819900
2017-06-27,11.55,11.62,11.32,11.35,10.65,24909400
2017-06-28,11.32,11.57,11.2,11.45,10.74,23210400
2017-06-29,11.51,12.01,11.5,11.71,10.99,19772500
2017-06-30,11.78,11.97,11.6,11.85,11.12,15088400
2017-07-03,11.97,12.23,11.94,12.14,11.39,8812100
2017-07-05,12.03,12.05,11.57,11.74,11.02,18979800
2017-07-06,11.89,11.96,11.53,11.59,10.88,17909400
2017-07-07,11.54,11.55,11.22,11.47,10.76,15445900
2017-07-10,11.41,11.59,11.34,11.52,10.81,10970400
2017-07-11,11.53,11.73,11.41,11.59,10.88,10410200
2017-07-12,11.72,11.87,11.42,11.43,10.73,17744800
2017-07-13,11.43,11.49,11.22,11.45,10.74,18171600
2017-07-14,11.53,11.67,11.43,11.65,10.93,15235700
2017-07-17,11.63,11.87,11.58,11.59,10.88,14067500
2017-07-18,11.73,11.78,11.48,11.68,10.96,14961600
2017-07-19,11.66,12.28,11.6,12.25,11.5,19457900
2017-07-20,12.41,12.44,12.07,12.1,11.35,18313400
2017-07-21,12.05,12.08,11.77,11.85,11.12,12368300
