Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,42.36,42.74,42.3,42.63,37.45,6583400
2017-05-25,42.83,42.97,42.49,42.63,37.45,5062800
2017-05-26,42.45,42.97,42.44,42.84,37.64,5346500
2017-05-30,42.58,42.72,42.05,42.28,37.15,6377900
2017-05-31,42.19,42.19,41.07,41.74,36.67,13637900
2017-06-01,41.98,42.73,41.75,42.61,37.44,9654300
2017-06-02,42.15,42.94,41.9,42.52,37.36,10016400
2017-06-05,42.55,43.4,42.45,42.89,37.68,6892800
2017-06-06,42.45,43.07,42.21,42.94,37.73,7863200
2017-06-07,43.14,43.45,42.92,43.28,38.02,6378500
2017-06-08,43.28,44.72,43.15,44.1,38.75,11032500
2017-06-09,44.36,45.35,44.36,44.91,39.46,13489900
2017-06-12,44.91,45.5,44.38,44.85,39.4,10384200
2017-06-13,45.07,45.98,45.05,45.15,39.67,9857800
2017-06-14,44.57,45.12,44.22,44.91,39.46,11796300
2017-06-15,44.48,45.08,44.42,44.69,39.26,6904900
2017-06-16,44.77,44.84,44.24,44.48,39.08,9483200
2017-06-19,44.88,45.91,44.83,45.72,40.17,9153900
2017-06-20,45.48,45.72,45.28,45.5,39.98,6680500
2017-06-21,45.45,45.53,44.81,44.91,39.46,7257600
2017-06-22,44.7,44.87,44.38,44.61,39.19,7750500
2017-06-23,44.7,44.73,43.51,43.69,38.38,15915100
2017-06-26,43.96,44.33,43.48,44.0,38.66,5780400
2017-06-27,44.34,44.76,44.16,44.22,38.85,8318800
2017-06-28,44.46,44.8,44.2,44.32,38.94,15848600
2017-06-29,45.44,45.61,44.27,44.75,39.32,15728200
2017-06-30,45.33,45.43,44.44,44.56,39.15,8379400
2017-07-03,45.0,46.02,44.98,45.61,40.07,7486400
2017-07-05,45.89,46.25,45.54,46.16,40.56,9843200
2017-07-06,46.1,46.64,45.77,46.13,40.53,10417300
2017-07-07,46.32,46.4,45.96,46.05,40.46,6442000
2017-07-10,45.95,46.24,45.8,45.99,40.41,5321500
2017-07-11,45.83,45.93,45.38,45.48,39.96,8454700
2017-07-12,45.33,45.33,44.73,44.96,39.5,10234400
2017-07-13,45.17,45.73,44.99,45.52,39.99,6204200
2017-07-14,44.88,45.4,44.32,45.2,39.71,8220600
2017-07-17,45.15,45.53,44.93,45.33,39.83,5141600
2017-07-18,44.93,45.25,44.69,45.14,39.66,9594100
2017-07-19,46.95,47.0,45.98,46.62,40.96,17586300
2017-07-20,46.35,47.19,46.35,46.51,40.86,10652400
2017-07-21,46.12,46.79,46.1,46.59,40.93,9021300
2017-07-24,46.5,46.97,46.46,46.71,41.04,7443600
2017-07-25,47.23,48.04,47.23,47.61,41.83,11885000
2017-07-26,47.72,47.85,47.12,47.21,41.48,9034500
2017-07-27,47.14,47.6,46.63,47.09,41.59,9439300
2017-07-28,46.98,47.2,46.46,46.66,41.21,7959600
2017-07-31,46.94,47.15,46.6,46.9,41.42,6764600
2017-08-01,47.25,47.53,47.06,47.21,41.7,6330000
2017-08-02,47.14,47.46,46.83,47.33,41.8,6020000
2017-08-03,47.24,47.55,47.11,47.26,41.74,6479300
2017-08-04,47.79,48.45,47.52,48.08,42.47,8906800
2017-08-07,48.2,48.4,47.95,48.31,42.67,7761600
2017-08-08,48.24,48.9,47.81,47.93,42.33,7771800
2017-08-09,47.22,47.69,46.94,47.65,42.09,8282900
2017-08-10,47.29,47.47,46.23,46.3,40.89,10099800
2017-08-11,46.38,46.53,45.47,45.65,40.32,13505800
2017-08-14,46.21,46.94,46.18,46.51,41.08,7136300
2017-08-15,47.01,47.3,46.43,46.43,41.01,7663000
2017-08-16,46.61,46.82,45.92,46.01,40.64,8350800
2017-08-17,45.83,45.98,45.03,45.09,39.83,9426800
2017-08-18,44.94,45.82,44.87,45.39,40.09,7284000
2017-08-21,45.4,45.4,44.53,44.68,39.46,8501900
2017-08-22,45.0,45.71,44.93,45.57,40.25,7130700
2017-08-23,45.2,45.95,45.11,45.8,40.45,5464800
2017-08-24,45.97,46.18,45.73,46.0,40.63,6640700
2017-08-25,46.17,46.42,45.73,45.94,40.58,5659400
2017-08-28,46.16,46.16,45.12,45.48,40.17,6526700
2017-08-29,44.72,45.57,44.34,45.35,40.06,8776100
2017-08-30,45.44,45.96,45.43,45.66,40.33,5672900
2017-08-31,46.0,46.04,45.39,45.5,40.19,7890800
2017-09-01,45.59,46.52,45.3,46.19,40.8,7024700
2017-09-05,45.66,45.72,44.72,44.89,39.65,8735700
2017-09-06,45.04,45.34,44.75,45.07,39.81,6313200
2017-09-07,45.13,45.13,43.84,44.07,38.92,11538300
