Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,99.0,100.15,98.53,100.01,95.11,226500
2017-05-25,100.2,101.23,99.91,100.93,95.99,221000
2017-05-26,100.63,101.3,100.28,100.51,95.59,218500
2017-05-30,100.33,101.0,99.82,100.07,95.17,293400
2017-05-31,100.75,102.18,100.25,101.73,96.75,851400
2017-06-01,102.11,104.06,101.87,104.02,98.93,349500
2017-06-02,103.97,104.86,103.48,104.46,99.35,303000
2017-06-05,103.97,105.4,103.97,104.59,99.47,272700
2017-06-06,104.2,105.05,103.8,104.17,99.07,336200
2017-06-07,104.3,104.86,103.47,103.93,98.84,278900
2017-06-08,103.88,104.37,103.01,103.6,98.53,230300
2017-06-09,103.31,104.54,102.72,104.02,98.93,250600
2017-06-12,103.9,104.57,102.81,103.82,98.74,283700
2017-06-13,104.59,105.98,104.31,105.9,100.72,239800
2017-06-14,105.9,106.69,105.02,105.39,100.23,297300
2017-06-15,104.48,105.75,104.37,105.69,100.52,211200
2017-06-16,105.47,105.91,104.58,105.62,100.45,719800
2017-06-19,106.0,106.8,105.73,106.17,100.97,449300
2017-06-20,106.08,106.3,103.13,103.58,98.51,629400
2017-06-21,103.75,104.81,101.35,101.83,96.85,696600
2017-06-22,101.99,103.56,101.64,103.33,98.27,692400
2017-06-23,103.91,104.91,102.72,104.72,99.59,841200
2017-06-26,105.0,105.12,103.22,104.22,99.12,314500
2017-06-27,104.34,104.34,102.61,102.69,97.66,237700
2017-06-28,103.38,105.36,103.19,105.0,99.86,284700
2017-06-29,105.06,105.06,103.78,104.07,98.98,361200
2017-06-30,104.7,104.71,102.95,102.99,97.95,305600
2017-07-03,103.44,103.82,102.54,102.79,97.76,193900
2017-07-05,103.06,103.41,102.65,103.08,98.03,388900
2017-07-06,102.54,103.35,100.84,102.28,97.27,684100
2017-07-07,102.7,103.22,102.28,102.54,97.52,428900
2017-07-10,102.75,103.69,102.63,102.99,97.95,517700
2017-07-11,103.73,105.74,103.16,105.25,100.1,737200
2017-07-12,105.74,106.27,103.8,105.4,100.24,369300
2017-07-13,105.47,106.25,104.38,106.1,100.91,545700
2017-07-14,106.11,108.2,105.11,107.45,102.19,316500
2017-07-17,107.35,107.81,106.77,106.98,101.74,236700
2017-07-18,106.8,107.46,105.9,106.98,101.74,313500
