Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,68.87,68.88,68.45,68.77,64.41,14593900
2017-05-25,68.97,69.88,68.91,69.62,65.21,21854100
2017-05-26,69.8,70.22,69.52,69.96,65.53,19827900
2017-05-30,69.79,70.41,69.77,70.41,65.95,17072800
2017-05-31,70.53,70.74,69.81,69.84,65.42,30436400
2017-06-01,70.24,70.61,69.45,70.1,65.66,21603600
2017-06-02,70.44,71.86,70.24,71.76,67.21,34770300
2017-06-05,71.97,72.89,71.81,72.28,67.7,33316800
2017-06-06,72.3,72.62,72.27,72.52,67.93,31511100
2017-06-07,72.64,72.77,71.95,72.39,67.8,22301800
2017-06-08,72.51,72.52,71.5,71.95,67.39,24588300
2017-06-09,72.04,72.08,68.59,70.32,65.87,49187400
2017-06-12,69.25,69.94,68.13,69.78,65.36,47761700
2017-06-13,70.02,70.82,69.96,70.65,66.17,25258600
2017-06-14,70.91,71.1,69.43,70.27,65.82,25510700
2017-06-15,69.27,70.21,68.8,69.9,65.47,26068700
2017-06-16,69.73,70.03,69.22,70.0,65.57,48345100
2017-06-19,70.5,70.94,70.35,70.87,66.38,23798300
2017-06-20,70.82,70.87,69.87,69.91,65.48,21512200
2017-06-21,70.21,70.62,69.94,70.27,65.82,19891100
2017-06-22,70.54,70.59,69.71,70.26,65.81,22965700
2017-06-23,70.09,71.25,69.92,71.21,66.7,27617300
2017-06-26,71.4,71.71,70.44,70.53,66.06,19607000
2017-06-27,70.11,70.18,69.18,69.21,64.83,25215100
2017-06-28,69.21,69.84,68.79,69.8,65.38,25806200
2017-06-29,69.38,69.49,68.09,68.49,64.15,28918700
2017-06-30,68.78,69.38,68.74,68.93,64.56,24161100
2017-07-03,69.33,69.6,68.02,68.17,63.85,16165500
2017-07-05,68.26,69.44,68.22,69.08,64.7,21176300
2017-07-06,68.27,68.78,68.12,68.57,64.23,21117600
2017-07-07,68.7,69.84,68.7,69.46,65.06,16878300
2017-07-10,69.46,70.25,69.2,69.98,65.55,15014500
2017-07-11,70.0,70.68,69.75,69.99,65.56,17460000
2017-07-12,70.69,71.28,70.55,71.15,66.64,17750900
2017-07-13,71.5,72.04,71.31,71.77,67.22,20269800
2017-07-14,72.24,73.27,71.96,72.78,68.17,25868100
2017-07-17,72.8,73.45,72.72,73.35,68.7,21803900
2017-07-18,73.09,73.39,72.66,73.3,68.66,26435300
2017-07-19,73.5,74.04,73.45,73.86,69.18,22416200
2017-07-20,74.18,74.3,73.28,74.22,69.52,42361000
2017-07-21,73.45,74.29,73.17,73.79,69.12,46717100
2017-07-24,73.53,73.75,73.13,73.6,68.94,21394800
2017-07-25,73.8,74.31,73.5,74.19,69.49,22018700
2017-07-26,74.34,74.38,73.81,74.05,69.36,16252200
2017-07-27,73.76,74.42,72.32,73.16,68.53,36844200
2017-07-28,72.67,73.31,72.54,73.04,68.41,18306700
2017-07-31,73.3,73.44,72.41,72.7,68.09,23600100
2017-08-01,73.1,73.42,72.49,72.58,67.98,22132300
2017-08-02,72.55,72.56,71.44,72.26,67.68,26499200
2017-08-03,72.19,72.44,71.85,72.15,67.58,18214400
2017-08-04,72.4,73.04,72.24,72.68,68.08,22579000
2017-08-07,72.8,72.9,72.26,72.4,67.81,18705700
2017-08-08,72.09,73.13,71.75,72.79,68.18,22044600
2017-08-09,72.25,72.51,72.05,72.47,67.88,22213400
2017-08-10,71.9,72.19,71.35,71.41,66.89,24734500
2017-08-11,71.61,72.7,71.28,72.5,67.91,21443700
2017-08-14,73.06,73.72,72.95,73.59,68.93,20096600
2017-08-15,73.59,73.59,73.04,73.22,68.95,19181400
2017-08-16,73.34,74.1,73.17,73.65,69.35,18150400
2017-08-17,73.58,73.87,72.4,72.4,68.18,22977500
2017-08-18,72.27,72.84,71.93,72.49,68.26,18761500
2017-08-21,72.47,72.48,71.7,72.15,67.94,17734800
2017-08-22,72.35,73.24,72.35,73.16,68.89,14343700
2017-08-23,72.96,73.15,72.53,72.72,68.48,13766500
2017-08-24,72.74,72.86,72.07,72.69,68.45,17098300
2017-08-25,72.86,73.35,72.48,72.82,68.57,12794300
2017-08-28,73.06,73.09,72.55,72.83,68.58,14569700
2017-08-29,72.25,73.16,72.05,73.05,68.79,11478400
2017-08-30,73.01,74.21,72.83,74.01,69.69,16897800
2017-08-31,74.03,74.96,73.8,74.77,70.41,27652800
2017-09-01,74.71,74.74,73.64,73.94,69.63,21736200
2017-09-05,73.34,73.89,72.98,73.61,69.31,21556000
2017-09-06,73.74,74.04,73.35,73.4,69.12,16535800
2017-09-07,73.68,74.6,73.6,74.34,70.0,17471200
2017-09-08,74.33,74.44,73.84,73.98,69.66,14703800
2017-09-11,74.31,74.94,74.31,74.76,70.4,17910400
2017-09-12,74.76,75.24,74.37,74.68,70.32,14394900
2017-09-13,74.93,75.23,74.55,75.21,70.82,13380800
2017-09-14,75.0,75.49,74.52,74.77,70.41,15733900
2017-09-15,74.83,75.39,74.07,75.31,70.92,38578400
2017-09-18,75.23,75.97,75.04,75.16,70.77,23307000
2017-09-19,75.21,75.71,75.01,75.44,71.04,16093300
