Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,82.05,82.35,80.97,82.22,75.65,941800
2017-05-25,82.67,83.22,81.89,82.27,75.69,1346200
2017-05-26,82.28,82.72,81.67,81.86,75.32,952900
2017-05-30,82.81,83.93,82.24,82.83,76.21,1317000
2017-05-31,82.87,83.6,82.43,83.57,76.89,2092500
2017-06-01,83.95,85.65,83.49,85.64,78.79,1490800
2017-06-02,85.58,86.79,85.2,86.62,79.69,1318800
2017-06-05,86.59,87.45,86.38,87.31,80.33,1077400
2017-06-06,87.21,87.96,86.52,87.46,80.47,1001900
2017-06-07,87.78,87.97,85.67,86.18,79.29,1151600
2017-06-08,86.18,86.74,85.21,86.65,79.72,834200
2017-06-09,86.75,87.77,85.39,86.17,79.28,1173800
2017-06-12,85.74,86.21,85.1,86.11,79.23,1638300
2017-06-13,86.3,86.89,85.64,86.04,79.6,1200000
2017-06-14,86.03,86.03,84.5,84.87,78.51,875800
2017-06-15,84.29,84.66,83.86,84.45,78.12,993400
2017-06-16,84.66,84.92,84.3,84.72,78.37,1172300
2017-06-19,85.05,86.3,84.92,86.2,79.74,783000
2017-06-20,86.0,86.03,85.41,85.74,79.32,730800
2017-06-21,86.07,86.38,85.82,86.24,79.78,1100200
2017-06-22,86.25,87.7,85.95,87.36,80.82,1038900
2017-06-23,87.41,88.76,87.08,88.64,82.0,1641400
2017-06-26,88.75,89.15,88.39,88.42,81.8,758200
2017-06-27,88.56,88.79,87.72,87.72,81.15,792000
2017-06-28,88.16,88.67,87.81,88.13,81.53,1108300
2017-06-29,88.09,88.3,86.19,86.8,80.3,1436700
2017-06-30,87.0,87.56,86.68,86.74,80.24,1229300
2017-07-03,86.99,87.28,86.67,86.68,80.19,472300
2017-07-05,86.83,87.22,86.42,86.83,80.33,815200
2017-07-06,86.7,86.71,85.59,85.96,79.52,860700
2017-07-07,86.35,87.6,86.29,87.31,80.77,617400
2017-07-10,86.84,87.6,86.84,87.23,80.7,548500
2017-07-11,87.38,87.78,86.68,87.65,81.08,479900
2017-07-12,88.2,88.79,87.91,88.65,82.01,581500
2017-07-13,88.58,88.91,88.06,88.33,81.71,683400
2017-07-14,88.24,88.65,87.77,88.61,81.97,460700
2017-07-17,88.43,88.55,88.06,88.28,81.67,444700
2017-07-18,88.09,88.47,87.5,88.45,81.82,540400
2017-07-19,88.81,90.0,88.52,89.78,83.06,726400
2017-07-20,89.78,89.99,89.22,89.96,83.22,531500
2017-07-21,89.99,91.42,89.64,90.52,83.74,1081500
2017-07-24,90.51,91.08,90.15,90.67,83.88,552600
2017-07-25,90.89,91.5,90.65,91.39,84.54,669400
2017-07-26,91.51,92.19,91.23,91.84,84.96,686800
2017-07-27,91.99,92.32,91.38,92.21,85.3,732500
2017-07-28,91.99,92.67,91.0,91.01,84.19,1015400
2017-07-31,91.22,91.45,89.74,90.68,83.89,1004700
2017-08-01,91.05,92.17,90.9,91.95,85.06,726200
2017-08-02,91.9,91.99,90.31,90.43,83.66,646400
2017-08-03,90.51,91.35,90.21,90.4,83.63,971400
2017-08-04,91.59,93.75,89.63,90.37,83.6,2085500
2017-08-07,90.35,90.35,88.64,89.2,82.52,1307000
2017-08-08,89.18,89.48,88.3,88.58,81.95,989000
