Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,161.67,161.77,159.82,160.41,140.34,956000
2017-05-25,160.73,161.82,159.96,161.2,141.03,782100
2017-05-26,160.55,161.62,159.99,160.2,140.16,410500
2017-05-30,159.01,159.07,156.47,158.07,138.94,475400
2017-05-31,158.2,158.57,155.19,156.47,137.54,1072500
2017-06-01,157.56,159.01,155.52,158.7,139.5,625800
2017-06-02,157.52,158.73,156.51,157.59,138.52,644800
2017-06-05,157.63,159.15,156.88,157.18,138.16,639200
2017-06-06,155.88,156.54,155.1,155.87,137.01,589500
2017-06-07,156.22,157.48,155.64,156.72,137.76,705100
2017-06-08,156.72,160.72,155.85,159.08,139.83,832300
2017-06-09,160.08,164.03,160.08,163.36,143.59,698500
2017-06-12,163.5,163.96,161.84,162.44,142.78,915200
2017-06-13,163.11,163.85,162.0,162.68,142.99,709500
2017-06-14,160.66,162.68,159.16,162.55,142.88,638200
2017-06-15,161.77,162.99,160.11,161.51,141.97,407000
2017-06-16,161.66,162.7,160.76,161.67,142.11,860700
2017-06-19,162.79,163.13,161.82,162.66,142.98,381200
2017-06-20,161.91,162.78,161.4,161.8,142.22,617300
2017-06-21,162.38,162.38,160.58,161.03,141.54,397100
2017-06-22,160.41,160.68,158.47,159.49,140.19,436000
2017-06-23,160.26,160.26,157.31,157.84,138.74,885900
2017-06-26,158.26,159.24,157.26,158.81,139.59,375700
2017-06-27,159.93,161.33,159.1,159.16,139.9,419600
2017-06-28,160.57,161.94,160.19,161.65,142.09,623000
2017-06-29,163.11,163.9,159.29,161.18,141.68,1347700
2017-06-30,162.27,162.62,159.73,161.95,142.35,747000
2017-07-03,162.98,165.26,162.35,164.31,144.43,386300
2017-07-05,164.44,165.33,163.16,164.44,144.54,533600
2017-07-06,164.38,165.53,163.44,163.59,143.79,700100
2017-07-07,164.72,165.39,163.62,165.11,145.13,549600
2017-07-10,164.7,165.4,163.99,164.36,144.47,579300
2017-07-11,164.91,166.18,163.36,165.17,145.18,987200
2017-07-12,164.88,165.5,163.71,165.24,145.24,630600
2017-07-13,165.58,166.81,164.93,166.54,146.39,443400
2017-07-14,165.16,166.45,164.3,165.77,145.71,488000
2017-07-17,165.55,166.35,164.18,165.99,145.9,596700
2017-07-18,164.83,165.9,164.34,165.48,145.46,1051400
2017-07-19,166.82,166.85,160.9,162.48,142.82,1550900
2017-07-20,162.62,162.95,159.07,160.34,140.94,792500
2017-07-21,159.56,160.57,157.63,158.11,138.98,679800
2017-07-24,158.21,161.36,158.21,160.34,140.94,956300
2017-07-25,163.12,163.91,161.08,161.5,141.96,1316800
2017-07-26,161.97,161.97,157.55,157.98,138.86,930200
2017-07-27,158.06,159.07,157.26,159.01,139.77,836800
2017-07-28,159.0,161.67,158.42,160.59,141.16,724500
2017-07-31,160.82,164.23,160.44,163.15,143.41,690500
2017-08-01,163.88,165.14,163.44,164.66,144.74,947100
2017-08-02,164.19,164.94,163.59,164.92,144.96,436900
2017-08-03,164.64,164.88,163.1,163.79,143.97,607800
2017-08-04,163.99,165.21,163.12,163.58,143.79,679000
2017-08-07,163.34,164.61,162.73,163.62,143.82,479800
2017-08-08,163.3,166.7,163.2,164.37,144.48,570600
2017-08-09,163.33,164.36,162.43,163.0,143.28,761100
2017-08-10,162.0,162.63,158.62,158.72,139.51,806300
2017-08-11,159.4,160.15,156.03,156.6,137.65,658000
2017-08-14,157.88,159.76,157.88,159.09,139.84,379200
2017-08-15,160.11,160.72,158.39,158.5,139.32,391900
2017-08-16,159.12,159.74,158.14,158.6,139.41,419100
2017-08-17,158.21,158.46,153.69,153.87,135.25,509700
2017-08-18,153.04,154.79,152.04,153.43,134.86,619500
2017-08-21,153.46,153.46,151.79,152.49,134.04,610800
2017-08-22,152.97,153.78,152.3,153.6,135.01,457400
2017-08-23,152.53,154.62,152.42,153.21,134.67,471500
2017-08-24,153.54,153.63,152.57,152.83,134.34,407400
2017-08-25,153.31,154.51,153.31,153.8,135.19,488200
2017-08-28,154.04,154.49,151.28,152.0,133.61,481500
2017-08-29,149.93,150.52,149.16,150.13,131.96,906600
2017-08-30,149.75,150.3,149.03,149.29,131.88,658300
2017-08-31,150.05,150.05,147.74,147.86,130.62,570400
2017-09-01,148.66,150.38,148.1,149.0,131.63,797100
2017-09-05,147.64,148.15,145.24,145.45,128.49,692900
