Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,19.75,19.83,19.64,19.72,18.77,543500
2017-05-25,19.8,19.82,19.42,19.44,18.5,516400
2017-05-26,19.43,19.62,19.32,19.61,18.66,850400
2017-05-30,19.62,20.75,19.62,20.04,19.07,2413800
2017-05-31,20.14,20.3,19.41,19.48,18.54,1620000
2017-06-01,19.52,19.71,19.18,19.38,18.45,905000
2017-06-02,19.46,19.61,19.29,19.4,18.46,688400
2017-06-05,19.37,19.37,18.93,19.15,18.23,763300
2017-06-06,19.12,19.55,19.01,19.36,18.43,711900
2017-06-07,19.33,19.46,19.07,19.29,18.36,557300
2017-06-08,19.29,19.42,18.91,19.11,18.19,581500
2017-06-09,19.26,19.33,17.88,18.47,17.58,1225100
2017-06-12,18.22,18.24,17.4,17.53,16.68,2717600
2017-06-13,17.89,18.12,17.45,17.66,16.81,1434300
2017-06-14,17.73,18.05,17.37,17.53,16.68,1110900
2017-06-15,17.27,17.38,16.93,17.0,16.18,988100
2017-06-16,16.98,17.2,16.85,17.03,16.21,1715700
2017-06-19,17.26,17.73,17.15,17.68,16.83,1256100
2017-06-20,17.5,17.9,17.44,17.5,16.66,719700
2017-06-21,17.49,17.6,17.25,17.51,16.67,765600
2017-06-22,17.5,17.81,17.31,17.58,16.73,883600
2017-06-23,17.6,17.85,17.41,17.83,16.97,1181600
2017-06-26,17.94,17.99,17.58,17.79,16.93,743600
2017-06-27,17.7,17.8,17.48,17.5,16.65,668500
2017-06-28,17.65,17.65,17.25,17.56,16.71,825400
2017-06-29,17.45,17.56,16.57,17.38,16.54,1317700
2017-06-30,17.39,17.53,17.2,17.38,16.54,886900
2017-07-03,17.45,17.58,17.19,17.3,16.47,377600
2017-07-05,17.3,17.49,17.11,17.38,16.54,990200
2017-07-06,17.28,17.58,17.07,17.45,16.61,1074400
2017-07-07,17.51,17.83,17.35,17.55,16.7,807700
2017-07-10,17.58,18.07,17.55,17.95,17.08,758300
2017-07-11,17.95,18.13,17.67,18.09,17.22,741100
