Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,571.41,574.5,569.08,573.85,573.85,104200
2017-05-25,575.0,577.52,573.14,577.1,577.1,82900
2017-05-26,577.0,582.2,577.0,578.4,578.4,86300
2017-05-30,578.4,580.21,575.62,579.85,579.85,131200
2017-05-31,582.83,584.36,579.68,582.81,582.81,231400
2017-06-01,583.07,589.21,580.34,588.86,588.86,138900
2017-06-02,593.92,598.51,589.66,597.12,597.12,147300
2017-06-05,596.3,597.98,593.2,595.46,595.46,112800
2017-06-06,594.4,597.99,593.06,593.5,593.5,168000
2017-06-07,595.37,601.62,595.37,601.16,601.16,109800
2017-06-08,601.16,604.99,597.65,601.15,601.15,113100
2017-06-09,600.63,604.47,590.01,593.95,593.95,109200
2017-06-12,594.3,594.3,572.75,577.63,577.63,300100
2017-06-13,581.03,586.0,579.22,584.43,584.43,253800
2017-06-14,582.43,586.03,577.94,581.77,581.77,165400
2017-06-15,576.45,584.7,576.45,584.23,584.23,215000
2017-06-16,584.91,589.9,583.85,587.38,587.38,217100
2017-06-19,589.59,597.41,589.59,594.78,594.78,195500
2017-06-20,594.54,596.78,592.1,592.9,592.9,174300
2017-06-21,591.32,599.52,587.29,598.54,598.54,193700
2017-06-22,598.74,599.86,593.0,595.76,595.76,191700
2017-06-23,597.83,601.99,594.3,599.64,599.64,187000
2017-06-26,600.35,601.93,595.92,596.14,596.14,183900
2017-06-27,595.07,596.49,590.4,591.12,591.12,108500
2017-06-28,594.14,596.53,590.31,594.67,594.67,123400
2017-06-29,594.82,594.82,581.36,583.87,583.87,179500
2017-06-30,585.31,590.65,583.93,588.54,588.54,142100
2017-07-03,593.01,595.01,588.04,588.4,588.4,96000
2017-07-05,587.96,592.56,586.73,588.0,588.0,272100
2017-07-06,586.57,588.45,582.51,584.74,584.74,176600
2017-07-07,587.1,591.91,585.35,588.18,588.18,411700
2017-07-10,589.15,594.25,587.59,593.0,593.0,164700
2017-07-11,594.33,595.65,589.3,592.58,592.58,243800
2017-07-12,595.85,602.89,594.03,602.35,602.35,169200
2017-07-13,606.22,606.64,598.87,603.01,603.01,217000
2017-07-14,603.8,607.51,601.3,604.76,604.76,159600
2017-07-17,604.91,612.94,603.47,609.72,609.72,232000
2017-07-18,608.7,612.21,605.41,606.48,606.48,169300
2017-07-19,607.99,611.34,605.87,608.76,608.76,122100
2017-07-20,614.38,614.38,605.75,610.32,610.32,132500
2017-07-21,608.57,616.4,608.57,613.49,613.49,106100
2017-07-24,613.32,616.57,611.3,614.99,614.99,76600
2017-07-25,618.13,618.13,599.84,600.9,600.9,206600
2017-07-26,600.4,603.65,595.89,597.85,597.85,177600
2017-07-27,598.48,599.39,585.02,595.21,595.21,190700
2017-07-28,588.0,590.68,575.05,578.06,578.06,304100
2017-07-31,580.52,581.31,573.0,573.08,573.08,184400
2017-08-01,576.47,578.65,570.09,573.52,573.52,298300
2017-08-02,577.08,578.55,570.15,577.0,577.0,211300
2017-08-03,577.05,577.97,573.58,577.64,577.64,120900
2017-08-04,577.39,578.0,573.6,576.61,576.61,120900
2017-08-07,576.66,582.08,575.25,581.62,581.62,148700
2017-08-08,581.91,583.97,574.73,575.19,575.19,123000
2017-08-09,575.25,580.26,573.06,575.57,575.57,129100
2017-08-10,573.95,576.93,570.08,571.25,571.25,127600
2017-08-11,571.92,582.43,571.92,577.58,577.58,141200
2017-08-14,579.41,586.1,579.41,582.08,582.08,146800
2017-08-15,584.18,585.89,576.12,580.78,580.78,141300
2017-08-16,583.12,586.04,579.0,584.96,584.96,86700
2017-08-17,582.33,585.5,573.47,573.84,573.84,91800
2017-08-18,572.56,577.6,570.9,574.64,574.64,117800
2017-08-21,575.0,580.56,572.84,579.95,579.95,124400
2017-08-22,581.79,593.62,580.81,592.68,592.68,147600
2017-08-23,590.57,594.01,586.34,590.01,590.01,114500
2017-08-24,591.54,594.08,587.55,591.83,591.83,90100
2017-08-25,594.09,594.09,587.19,590.38,590.38,107100
2017-08-28,591.94,595.16,589.76,594.06,594.06,67200
2017-08-29,590.96,594.0,589.13,591.96,591.96,110700
2017-08-30,590.99,598.49,589.78,598.4,598.4,107100
2017-08-31,599.0,607.28,597.32,605.09,605.09,162700
2017-09-01,606.74,609.0,600.19,602.94,602.94,116100
2017-09-05,599.32,604.76,595.65,603.25,603.25,196900
2017-09-06,605.13,606.7,599.8,605.47,605.47,112100
2017-09-07,606.92,613.6,602.16,611.83,611.83,155600
2017-09-08,610.0,615.26,609.99,612.7,612.7,97500
2017-09-11,615.35,623.94,613.05,623.74,623.74,114500
2017-09-12,624.97,629.63,622.09,629.42,629.42,172400
2017-09-13,627.81,627.81,620.74,623.88,623.88,83500
2017-09-14,622.72,625.4,616.04,624.8,624.8,116300
2017-09-15,621.8,628.2,618.93,626.0,626.0,217400
2017-09-18,628.9,634.09,626.0,633.28,633.28,101400
2017-09-19,634.71,636.54,630.51,632.27,632.27,132600
2017-09-20,632.0,635.25,628.66,635.17,635.17,108700
2017-09-21,631.93,635.29,629.66,631.41,631.41,83400
2017-09-22,629.4,634.3,627.93,632.86,632.86,73800
2017-09-25,631.45,632.04,622.78,625.61,625.61,79400
2017-09-26,630.15,632.38,621.7,625.39,625.39,98000
2017-09-27,629.28,631.38,626.16,628.78,628.78,93900
2017-09-28,628.44,628.53,621.5,624.48,624.48,113500
2017-09-29,623.91,628.53,623.17,626.16,626.16,93100
2017-10-02,630.5,640.98,630.36,635.8,635.8,155000
2017-10-03,637.89,642.1,636.7,639.89,639.89,90200
2017-10-04,638.81,646.37,638.29,643.32,643.32,114600
2017-10-05,644.22,645.59,640.38,644.85,644.85,81500
2017-10-06,642.95,647.97,642.95,645.76,645.76,81300
2017-10-09,649.45,656.78,638.75,651.95,651.95,74700
2017-10-10,653.19,655.62,648.26,652.97,652.97,95600
2017-10-11,653.96,659.78,653.65,659.7,659.7,76500
2017-10-12,657.84,661.21,657.35,660.07,660.07,115900
2017-10-13,658.97,662.99,653.45,658.65,658.65,99500
2017-10-16,661.76,668.75,661.37,666.98,666.98,93400
2017-10-17,668.55,668.55,659.83,662.22,662.22,97100
2017-10-18,664.49,664.49,655.33,655.66,655.66,111500
2017-10-19,653.65,661.91,646.21,661.19,661.19,86800
2017-10-20,664.9,670.46,663.21,668.72,668.72,84100
2017-10-23,671.4,672.64,666.66,667.37,667.37,66500
2017-10-24,670.5,670.5,663.33,669.36,669.36,62000
2017-10-25,670.27,672.69,661.4,665.43,665.43,116000
2017-10-26,667.48,670.89,660.3,667.74,667.74,138800
2017-10-27,669.02,679.73,668.21,679.0,679.0,100700
2017-10-30,680.5,680.5,671.02,675.22,675.22,107900
2017-10-31,675.27,684.78,674.79,682.63,682.63,100200
2017-11-01,685.48,694.48,685.48,689.11,689.11,126000
2017-11-02,687.18,690.59,670.66,671.6,671.6,187900
2017-11-03,649.15,658.69,635.18,646.0,646.0,391600
2017-11-06,644.64,644.64,630.36,635.11,635.11,213500
2017-11-07,635.49,639.51,621.68,624.58,624.58,234300
2017-11-08,625.79,625.79,614.65,623.72,623.72,267900
2017-11-09,621.46,627.26,617.99,626.82,626.82,167800
2017-11-10,624.01,626.74,618.98,622.66,622.66,167800
2017-11-13,619.54,633.19,617.42,630.84,630.84,192600
2017-11-14,630.0,632.82,626.15,631.37,631.37,114400
2017-11-15,630.44,630.44,622.55,625.19,625.19,162400
2017-11-16,626.48,634.13,626.48,630.5,630.5,137200
2017-11-17,627.91,631.9,622.7,630.92,630.92,97300
2017-11-20,632.11,632.95,629.61,631.92,631.92,100000
2017-11-21,633.43,634.3,627.19,627.62,627.62,94800
2017-11-22,627.62,629.76,625.38,626.35,626.35,81700
2017-11-24,626.0,635.02,625.0,635.02,635.02,48800
2017-11-27,634.4,637.49,632.1,633.76,633.76,120800
2017-11-28,634.97,637.75,632.01,634.14,634.14,95400
2017-11-29,633.7,633.7,621.21,625.44,625.44,86100
2017-11-30,625.71,634.16,625.68,629.21,629.21,200800
2017-12-01,630.91,633.29,615.3,624.64,624.64,165900
2017-12-04,626.33,628.05,606.76,606.8,606.8,228500
2017-12-05,606.89,620.21,605.3,612.25,612.25,155900
2017-12-06,610.17,617.52,610.17,615.98,615.98,92600
2017-12-07,616.35,621.86,614.89,620.15,620.15,115300
2017-12-08,623.2,625.0,620.24,623.19,623.19,104400
2017-12-11,622.05,626.43,618.84,624.67,624.67,129100
2017-12-12,622.81,626.75,619.28,625.01,625.01,113100
2017-12-13,625.27,633.35,625.27,626.39,626.39,119800
2017-12-14,626.75,631.38,622.3,629.93,629.93,196800
2017-12-15,631.56,643.56,630.15,639.94,639.94,268200
2017-12-18,642.5,644.92,640.0,642.99,642.99,209100
2017-12-19,643.78,646.75,628.98,635.07,635.07,250500
2017-12-20,636.67,644.98,626.41,626.66,626.66,172700
2017-12-21,625.51,629.98,617.58,618.43,618.43,184000
2017-12-22,618.43,618.59,611.5,614.77,614.77,179100
2017-12-26,613.01,617.2,612.11,613.53,613.53,145400
2017-12-27,612.42,620.34,609.11,615.93,615.93,153900
2017-12-28,618.84,623.17,614.15,622.6,622.6,122600
2017-12-29,625.2,629.41,619.23,619.52,619.52,137800
2018-01-02,622.44,627.2,621.53,626.1,626.1,126900
2018-01-03,624.96,636.41,624.96,631.54,631.54,145600
2018-01-04,628.88,630.25,624.91,627.03,627.03,204400
2018-01-05,629.3,640.37,626.73,637.35,637.35,208800
2018-01-08,635.93,639.1,632.12,633.18,633.18,137700
2018-01-09,636.04,655.0,636.04,649.99,649.99,261100
2018-01-10,648.48,648.48,638.15,646.19,646.19,146200
2018-01-11,647.37,648.38,635.8,639.26,639.26,161800
2018-01-12,638.61,652.11,638.12,650.6,650.6,149600
2018-01-16,653.3,660.21,648.89,649.42,649.42,129200
