Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,28.47,29.12,28.44,28.99,28.88,22216800
2017-05-25,29.2,29.66,29.19,29.43,29.32,20714000
2017-05-26,29.27,29.77,28.88,29.76,29.65,17784800
2017-05-30,29.94,30.87,29.88,30.7,30.58,34690000
2017-05-31,31.01,31.1,30.32,30.77,30.65,26402900
2017-06-01,30.75,30.83,30.28,30.76,30.64,20534800
2017-06-02,30.8,31.38,30.53,31.21,31.09,20206300
2017-06-05,31.3,31.76,31.07,31.21,31.09,24360800
2017-06-06,31.04,31.77,30.87,31.57,31.45,33125800
2017-06-07,31.7,32.55,31.7,32.5,32.38,32635800
2017-06-08,32.84,32.86,31.88,32.45,32.33,29156500
2017-06-09,32.67,32.93,29.55,30.6,30.48,53064200
2017-06-12,30.06,31.69,29.21,31.2,31.08,46550900
2017-06-13,31.75,32.24,30.77,31.54,31.42,33767900
2017-06-14,31.78,31.79,30.85,31.06,30.94,28935000
2017-06-15,30.47,30.97,30.08,30.56,30.44,33670600
2017-06-16,30.63,31.0,29.82,29.86,29.75,42881700
2017-06-19,30.51,31.25,30.33,31.2,31.08,24915000
2017-06-20,31.4,31.58,30.73,30.83,30.71,25793300
2017-06-21,31.18,32.15,31.06,32.01,31.89,30579000
2017-06-22,32.04,32.4,31.76,31.89,31.77,23050800
2017-06-23,31.89,32.08,31.64,31.73,31.61,45323800
2017-06-26,32.45,32.96,31.95,32.5,32.38,34750700
2017-06-27,32.51,32.67,31.61,31.66,31.54,33221500
2017-06-28,32.07,32.28,31.44,32.24,32.12,28415900
2017-06-29,32.29,32.39,30.64,31.47,31.35,53948400
2017-06-30,32.12,32.15,29.71,29.86,29.75,73308000
2017-07-03,30.09,30.28,28.56,29.14,29.03,36830400
2017-07-05,29.55,30.56,29.55,30.51,30.39,40444600
2017-07-06,29.94,30.48,29.92,30.1,29.98,27143800
2017-07-07,30.22,30.5,29.98,30.2,30.08,22023100
2017-07-10,30.16,30.59,29.75,30.5,30.38,24907900
2017-07-11,30.55,31.39,30.51,31.37,31.25,28530500
2017-07-12,31.77,31.78,31.16,31.45,31.33,22258600
2017-07-13,31.55,31.85,30.84,31.13,31.01,23773000
2017-07-14,31.35,31.95,31.26,31.79,31.67,28887600
2017-07-17,31.67,31.86,31.44,31.72,31.6,22320500
2017-07-18,31.64,31.91,31.4,31.9,31.78,14045000
2017-07-19,32.05,32.35,31.65,31.82,31.7,19984100
2017-07-20,31.93,32.02,31.42,32.0,31.88,23179300
2017-07-21,31.9,32.1,31.62,32.01,31.89,21146600
2017-07-24,32.0,32.01,31.5,31.67,31.55,17415500
2017-07-25,30.8,30.83,29.65,29.9,29.79,51216400
2017-07-26,29.85,30.05,29.68,29.81,29.7,26387400
2017-07-27,30.27,31.3,29.67,30.24,30.12,38967000
2017-07-28,29.96,29.98,28.96,29.28,29.17,31854900
2017-07-31,29.43,29.55,27.87,28.12,28.01,41112700
2017-08-01,28.22,28.94,27.83,28.34,28.23,28221600
2017-08-02,28.96,29.43,28.22,28.63,28.52,27226000
2017-08-03,28.39,28.4,27.61,27.83,27.72,30288400
2017-08-04,27.86,28.3,27.27,27.92,27.81,23947500
2017-08-07,27.93,28.61,27.8,28.59,28.48,16589300
2017-08-08,28.61,29.34,28.61,28.84,28.73,21903300
2017-08-09,28.51,28.89,28.36,28.58,28.47,14181800
2017-08-10,28.3,28.38,27.43,27.49,27.38,26147600
2017-08-11,27.44,28.04,26.85,28.01,27.9,23375900
2017-08-14,28.82,29.36,28.72,29.24,29.13,25254600
2017-08-15,29.5,29.81,29.14,29.68,29.57,23973600
2017-08-16,30.02,30.86,29.96,30.69,30.57,37879500
2017-08-17,30.32,30.53,29.61,29.62,29.51,26152500
2017-08-18,29.96,30.6,29.76,30.38,30.26,31178100
2017-08-21,30.53,30.6,29.28,29.56,29.45,26247700
2017-08-22,29.85,30.54,29.77,30.45,30.33,18821200
2017-08-23,29.97,30.74,29.87,30.45,30.33,21200400
2017-08-24,30.55,30.63,30.11,30.22,30.1,18056800
2017-08-25,30.3,30.39,30.05,30.29,30.17,13929800
2017-08-28,30.43,31.21,30.42,31.08,30.96,22531000
2017-08-29,30.75,31.53,30.7,31.48,31.36,23151900
2017-08-30,31.65,31.68,31.38,31.61,31.49,17467900
2017-08-31,31.61,32.02,31.48,31.97,31.85,25694000
2017-09-01,32.13,32.88,32.13,32.6,32.48,26034000
2017-09-05,32.45,32.74,31.65,32.07,31.95,28866600
2017-09-06,32.07,32.7,32.06,32.25,32.13,29290200
2017-09-07,32.47,32.9,32.45,32.79,32.66,25353300
2017-09-08,32.8,33.02,32.31,32.45,32.33,19649300
2017-09-11,32.9,33.44,32.81,33.44,33.31,31012100
2017-09-12,33.69,34.54,33.56,34.29,34.16,38685800
2017-09-13,34.56,34.8,34.02,34.59,34.46,41588100
2017-09-14,34.43,34.85,34.3,34.58,34.45,23007000
2017-09-15,34.64,35.0,34.38,34.65,34.52,37417300
2017-09-18,35.13,35.8,35.02,35.43,35.29,41330100
2017-09-19,35.5,36.1,35.5,35.95,35.81,26392200
2017-09-20,36.03,36.6,35.34,35.97,35.83,42243000
2017-09-21,35.93,36.25,35.4,35.91,35.77,22464900
2017-09-22,35.6,36.22,35.6,36.07,35.93,21559800
2017-09-25,36.04,36.15,34.54,34.87,34.74,35607200
2017-09-26,35.23,35.37,34.09,34.18,34.05,55112600
2017-09-27,36.26,37.15,35.92,37.09,36.95,84593900
2017-09-28,37.15,38.46,36.82,37.96,37.81,52569900
2017-09-29,37.98,39.36,37.81,39.33,39.18,48711400
2017-10-02,39.6,40.37,39.36,40.01,39.86,54244800
2017-10-03,39.93,40.54,39.85,40.37,40.22,27322300
2017-10-04,40.14,40.43,38.91,39.56,39.41,37908400
2017-10-05,39.8,39.86,39.25,39.37,39.22,22501000
2017-10-06,39.0,39.67,38.81,39.67,39.52,25150300
2017-10-09,39.72,40.99,39.62,40.96,40.8,27279300
2017-10-10,41.45,42.0,40.46,41.98,41.82,48214100
2017-10-11,40.84,42.07,40.8,41.61,41.45,53023600
2017-10-12,41.21,41.75,40.29,40.58,40.42,66789800
2017-10-13,40.78,41.17,40.32,40.4,40.25,35371200
2017-10-16,40.88,41.57,40.51,41.49,41.33,33696800
2017-10-17,41.14,41.4,40.25,40.39,40.24,41233700
2017-10-18,41.04,41.95,40.81,41.65,41.49,43528000
2017-10-19,41.18,41.5,39.8,41.31,41.15,47676000
2017-10-20,42.0,42.17,41.44,41.5,41.34,36293700
2017-10-23,41.85,42.19,41.4,41.56,41.4,26844200
2017-10-24,41.74,42.01,41.43,41.6,41.44,26299400
2017-10-25,41.31,41.59,40.31,41.06,40.9,31061100
2017-10-26,41.17,41.18,40.31,40.6,40.44,27453500
2017-10-27,40.59,40.94,40.04,40.85,40.69,31094700
2017-10-30,40.73,41.86,40.68,41.65,41.49,29119500
2017-10-31,42.25,44.57,42.2,44.31,44.14,61972200
2017-11-01,44.79,45.33,43.78,44.38,44.21,38842900
2017-11-02,44.08,44.75,43.72,44.34,44.17,25813000
2017-11-03,44.77,45.0,43.35,43.71,43.54,27694600
2017-11-06,43.85,44.01,42.45,43.25,43.08,28841000
2017-11-07,43.58,44.24,43.33,43.95,43.78,32422900
2017-11-08,43.85,44.14,43.45,44.09,43.92,19519600
2017-11-09,43.69,43.69,42.58,43.5,43.33,32501100
2017-11-10,43.76,44.85,43.71,44.78,44.61,33840800
2017-11-13,44.33,45.87,44.19,45.6,45.43,30522300
