Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,49.8,49.8,49.2,49.64,49.64,1069900
2017-05-25,49.83,51.01,49.79,50.68,50.68,1273200
2017-05-26,51.97,52.32,50.81,50.84,50.84,1798800
2017-05-30,50.78,51.18,50.06,50.07,50.07,1576100
2017-05-31,50.25,50.28,49.56,49.97,49.97,1419600
2017-06-01,50.23,51.1,49.98,50.93,50.93,1716500
2017-06-02,51.16,51.64,50.97,51.16,51.16,1169900
2017-06-05,51.17,51.17,50.07,50.31,50.31,1584700
2017-06-06,50.0,50.6,49.66,49.72,49.72,2200400
2017-06-07,50.08,50.81,49.75,50.79,50.79,1942700
2017-06-08,50.93,52.1,50.68,51.79,51.79,2061200
2017-06-09,51.97,52.31,50.8,51.13,51.13,2220300
2017-06-12,50.98,51.26,49.52,50.42,50.42,2055600
2017-06-13,50.78,52.23,50.77,51.84,51.84,1462700
2017-06-14,51.99,52.74,51.7,52.17,52.17,1432900
2017-06-15,51.61,52.95,51.61,52.91,52.91,1184400
2017-06-16,52.71,53.01,52.09,52.9,52.9,2390600
2017-06-19,53.2,53.84,53.06,53.63,53.63,1043000
2017-06-20,53.51,53.92,52.95,53.1,53.1,1091500
2017-06-21,53.24,55.23,53.2,54.9,54.9,2426600
2017-06-22,55.01,56.26,54.9,55.46,55.46,2668500
2017-06-23,55.57,55.87,54.74,54.81,54.81,2457600
2017-06-26,54.82,56.12,54.82,55.31,55.31,1228200
2017-06-27,55.01,55.29,53.84,53.86,53.86,1522500
2017-06-28,54.18,55.73,54.18,55.28,55.28,1014000
2017-06-29,55.16,55.33,54.08,54.42,54.42,849800
2017-06-30,54.96,55.0,54.27,54.29,54.29,1076600
2017-07-03,54.63,55.21,54.38,54.55,54.55,496200
2017-07-05,54.52,55.75,54.5,55.41,55.41,998400
2017-07-06,55.06,55.06,53.93,54.06,54.06,1559600
2017-07-07,54.2,55.04,54.2,54.68,54.68,950200
2017-07-10,54.53,55.09,53.66,54.03,54.03,1263900
2017-07-11,53.79,54.3,53.4,53.96,53.96,790800
2017-07-12,54.32,54.64,53.58,54.09,54.09,1178300
2017-07-13,54.12,54.49,53.65,54.24,54.24,1061600
2017-07-14,54.43,54.48,53.4,53.47,53.47,961300
2017-07-17,53.51,54.45,53.16,54.13,54.13,1197000
2017-07-18,54.22,54.44,53.71,54.18,54.18,623200
2017-07-19,54.27,54.51,54.09,54.38,54.38,690400
2017-07-20,54.53,55.33,54.33,55.05,55.05,989000
2017-07-21,54.9,55.23,54.76,55.07,55.07,665800
2017-07-24,55.3,55.77,55.04,55.73,55.73,1086300
2017-07-25,55.9,56.36,55.43,55.75,55.75,1001900
2017-07-26,56.0,56.01,55.2,55.65,55.65,645700
2017-07-27,55.7,55.85,54.29,55.11,55.11,1209200
2017-07-28,54.71,55.26,54.39,55.21,55.21,984900
2017-07-31,55.45,55.73,54.98,55.07,55.07,895600
2017-08-01,56.49,57.25,56.15,56.91,56.91,2494000
2017-08-02,56.89,57.25,55.45,55.84,55.84,1256700
2017-08-03,55.77,56.96,55.77,56.25,56.25,1157300
2017-08-04,56.47,57.48,56.27,56.9,56.9,1265800
2017-08-07,57.15,57.62,56.49,56.65,56.65,2837200
2017-08-08,59.05,61.48,58.85,59.42,59.42,5342700
2017-08-09,58.88,58.99,58.05,58.36,58.36,2077900
