Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,34.79,35.11,34.76,35.04,31.2,6207200
2017-05-25,34.93,35.22,34.81,35.17,31.55,4765200
2017-05-26,35.2,35.26,35.09,35.18,31.55,4430000
2017-05-30,35.13,35.26,35.06,35.16,31.53,11000400
2017-05-31,35.18,35.46,35.18,35.36,31.71,13267600
2017-06-01,35.34,35.47,35.18,35.47,31.81,6446400
2017-06-02,35.69,35.73,35.43,35.68,32.0,7339600
2017-06-05,35.6,35.66,35.45,35.46,31.8,4325600
2017-06-06,35.63,35.66,35.43,35.48,31.82,8223600
2017-06-07,35.48,35.74,35.36,35.65,31.97,5715200
2017-06-08,35.65,35.65,35.16,35.36,31.71,6776400
2017-06-09,35.28,35.44,34.99,35.06,31.44,7172800
2017-06-12,35.06,35.22,34.54,34.85,31.26,8946400
2017-06-13,34.85,35.09,34.74,34.99,31.38,6944400
2017-06-14,35.29,35.55,35.15,35.29,31.65,5689200
2017-06-15,35.3,35.53,35.17,35.47,31.81,11065600
2017-06-16,35.55,35.79,35.48,35.71,32.02,10408800
2017-06-19,35.76,35.8,35.53,35.6,31.92,9268400
2017-06-20,35.61,35.71,35.48,35.49,31.83,8612800
2017-06-21,35.53,35.59,35.1,35.26,31.63,6520800
2017-06-22,35.22,35.55,35.17,35.4,31.74,7685600
2017-06-23,35.4,36.08,35.34,35.78,32.09,11007600
2017-06-26,35.85,36.22,35.78,36.06,32.34,7911200
2017-06-27,35.89,36.09,35.51,35.57,31.9,9662800
2017-06-28,35.73,35.81,35.19,35.26,31.62,8363600
2017-06-29,35.05,35.1,34.74,34.99,31.38,11584000
2017-06-30,35.06,35.4,35.02,35.03,31.42,8531600
2017-07-03,35.21,35.45,34.9,34.9,31.3,4121200
2017-07-05,34.9,34.95,34.56,34.71,31.12,7705600
2017-07-06,34.63,34.95,34.5,34.89,31.29,6964400
2017-07-07,34.89,35.29,34.85,35.12,31.5,5514000
2017-07-10,35.16,35.45,35.07,35.26,31.62,6750400
2017-07-11,35.38,35.38,34.88,35.19,31.56,7593600
2017-07-12,35.47,35.56,35.17,35.19,31.56,6771600
2017-07-13,35.31,35.33,35.05,35.15,31.52,5557200
2017-07-14,35.41,35.53,35.33,35.42,31.76,5052800
2017-07-17,35.35,35.43,35.19,35.24,31.61,11244400
2017-07-18,35.32,35.53,35.25,35.37,31.72,5471600
2017-07-19,35.49,35.51,35.33,35.45,31.79,3773600
2017-07-20,35.58,35.97,35.5,35.87,32.17,6280000
2017-07-21,35.79,36.11,35.64,36.09,32.37,5413600
2017-07-24,36.1,36.1,35.78,35.79,32.09,8410400
2017-07-25,35.84,35.86,35.53,35.78,32.09,5401200
2017-07-26,35.65,36.4,35.57,36.37,32.62,7041600
