Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,39.17,39.21,38.57,38.81,33.3,3083700
2017-05-25,38.9,38.95,38.01,38.4,32.95,2655400
2017-05-26,38.24,38.6,37.95,38.54,33.07,3596900
2017-05-30,38.55,39.13,38.49,38.93,33.41,3547300
2017-05-31,38.71,39.08,38.2,38.48,33.31,3421900
2017-06-01,38.48,39.44,38.34,38.98,33.74,3419800
2017-06-02,39.0,39.17,38.63,39.05,33.8,2324100
2017-06-05,38.8,39.25,38.46,38.53,33.35,5151800
2017-06-06,38.45,38.89,38.27,38.71,33.51,3571100
2017-06-07,38.7,38.74,37.83,37.86,32.77,4068400
2017-06-08,37.86,37.86,36.99,37.22,32.22,6592800
2017-06-09,37.21,37.71,37.07,37.67,32.61,3694200
2017-06-12,37.61,38.34,37.51,38.23,33.1,4245600
2017-06-13,38.34,38.95,38.19,38.84,33.62,2895500
2017-06-14,39.05,39.19,38.49,38.66,33.47,1917700
2017-06-15,38.39,38.55,38.12,38.45,33.29,1870700
2017-06-16,38.34,38.5,38.09,38.35,33.2,2923700
2017-06-19,38.51,38.9,38.45,38.77,33.56,1586600
2017-06-20,38.5,38.55,38.14,38.15,33.03,1087100
2017-06-21,38.25,38.33,37.11,37.23,32.23,3876300
2017-06-22,37.25,37.45,36.96,37.14,32.15,2478800
2017-06-23,37.15,37.49,37.0,37.46,32.43,7114200
2017-06-26,37.63,38.98,37.33,38.76,33.55,4652300
2017-06-27,38.64,39.07,38.47,38.94,33.71,3563700
2017-06-28,39.21,39.45,38.79,38.98,33.74,1989800
2017-06-29,38.98,39.04,38.31,38.57,33.39,1597900
2017-06-30,38.73,38.82,38.47,38.66,33.47,1701500
2017-07-03,38.68,38.9,38.36,38.45,33.29,1174000
2017-07-05,38.37,38.6,37.9,37.97,32.87,2343900
2017-07-06,37.85,37.93,37.44,37.49,32.45,2283700
2017-07-07,37.6,37.67,37.13,37.5,32.46,2099200
2017-07-10,37.5,37.65,37.27,37.5,32.46,1831900
2017-07-11,37.45,37.73,36.98,37.16,32.17,1975300
2017-07-12,37.49,37.92,37.38,37.87,32.78,2848900
2017-07-13,37.85,38.34,37.74,38.27,33.13,2253400
2017-07-14,38.29,38.92,38.18,38.65,33.46,1606600
2017-07-17,38.59,39.17,38.54,39.01,33.77,2146300
2017-07-18,39.07,39.19,38.74,38.99,33.75,2285900
2017-07-19,38.95,39.04,38.58,38.59,33.41,3040800
2017-07-20,38.52,39.12,38.36,38.91,33.68,2480800
2017-07-21,38.87,39.49,38.83,39.42,34.13,1787500
2017-07-24,39.39,39.96,39.1,39.83,34.48,3005900
2017-07-25,39.88,39.88,38.54,38.62,33.43,4120300
2017-07-26,38.8,40.21,38.71,39.89,34.53,5207100
2017-07-27,39.39,41.28,39.34,41.21,35.67,6365200
2017-07-28,41.28,41.97,40.89,41.8,36.19,5656200
2017-07-31,41.99,43.31,41.91,43.01,37.23,5984700
2017-08-01,43.22,43.61,42.89,42.96,37.19,4836000
2017-08-02,42.91,43.27,42.66,43.25,37.44,3514200
2017-08-03,43.27,43.43,42.89,42.99,37.22,2138400
2017-08-04,43.13,43.3,42.3,42.37,36.68,2932300
2017-08-07,42.5,43.15,41.83,43.08,37.29,2803100
2017-08-08,43.08,43.14,41.83,41.94,36.31,2849500
2017-08-09,41.86,42.39,41.8,42.38,36.69,2200200
2017-08-10,42.31,42.49,41.15,41.17,35.64,2368500
2017-08-11,41.12,41.33,40.74,40.79,35.31,1581900
2017-08-14,40.94,41.21,40.79,40.9,35.41,2116200
2017-08-15,40.79,41.07,40.61,40.94,35.44,1270500
2017-08-16,40.94,41.07,40.32,40.47,35.03,2384000
2017-08-17,40.59,40.59,39.94,40.01,34.64,3177200
2017-08-18,39.9,40.02,39.45,39.66,34.33,1885500
2017-08-21,39.66,39.66,39.19,39.35,34.06,1622600
2017-08-22,39.11,39.75,39.11,39.7,34.67,2052800
2017-08-23,39.3,39.45,38.64,39.06,34.11,3578700
2017-08-24,39.08,39.4,39.0,39.27,34.29,2262400
2017-08-25,39.39,39.64,39.32,39.49,34.48,1521400
2017-08-28,39.59,39.59,39.13,39.36,34.37,1555100
2017-08-29,39.19,39.27,38.94,39.07,34.12,2226200
2017-08-30,39.09,39.14,38.43,38.89,33.96,3337800
2017-08-31,38.91,39.23,38.78,38.85,33.92,3247500
2017-09-01,38.92,39.52,38.81,39.51,34.5,2346400
2017-09-05,39.45,39.7,38.75,38.81,33.89,1440200
2017-09-06,38.98,39.24,38.88,38.98,34.04,1064000
2017-09-07,38.69,39.08,38.52,38.55,33.66,1871900
2017-09-08,38.36,38.59,38.07,38.48,33.6,1720600
2017-09-11,38.75,39.04,38.5,39.0,34.06,1426900
2017-09-12,39.07,39.65,39.02,39.5,34.49,1036400
2017-09-13,39.44,39.6,38.85,39.05,34.1,1724400
2017-09-14,38.97,39.39,38.49,39.37,34.38,2789700
2017-09-15,39.26,39.96,39.09,39.85,34.8,4193300
2017-09-18,39.93,40.28,39.72,40.25,35.15,1538800
2017-09-19,40.21,40.55,40.03,40.17,35.08,2259400
2017-09-20,40.13,40.76,40.06,40.42,35.3,1338300
2017-09-21,40.36,40.7,40.29,40.52,35.38,1870700
2017-09-22,40.51,41.1,40.49,40.89,35.71,1549400
2017-09-25,40.92,41.38,40.91,41.13,35.92,1622100
2017-09-26,41.05,41.47,40.86,41.11,35.9,1122100
2017-09-27,41.01,41.27,40.76,40.99,35.79,2252400
2017-09-28,40.89,41.38,40.86,41.27,36.04,1628800
2017-09-29,41.42,41.61,41.19,41.45,36.2,2103300
2017-10-02,41.45,41.91,41.26,41.45,36.2,1792300
2017-10-03,41.52,41.53,40.73,41.33,36.09,2940000
2017-10-04,41.41,41.61,41.17,41.5,36.24,1617700
2017-10-05,41.41,41.48,41.0,41.02,35.82,2646200
2017-10-06,40.95,41.16,40.85,41.15,35.93,1463500
2017-10-09,41.15,41.21,40.33,40.39,35.27,1289200
2017-10-10,40.62,40.89,40.13,40.18,35.09,2129400
2017-10-11,40.35,40.5,39.6,39.72,34.68,2956800
2017-10-12,39.58,39.95,39.43,39.87,34.82,2708700
2017-10-13,40.07,40.15,39.67,39.7,34.67,1952200
2017-10-16,39.63,39.76,39.39,39.62,34.6,1299900
2017-10-17,39.58,40.03,39.48,40.0,34.93,1898400
2017-10-18,40.03,41.87,40.03,41.69,36.4,4779200
2017-10-19,41.5,41.78,41.27,41.31,36.07,2466200
2017-10-20,41.37,42.16,41.35,41.76,36.47,3359300
2017-10-23,41.75,41.99,41.34,41.38,36.13,2473800
2017-10-24,41.32,41.38,40.58,41.13,35.92,3676300
2017-10-25,37.07,39.58,37.0,38.56,33.67,9094000
2017-10-26,38.85,39.53,38.71,39.27,34.29,4866400
2017-10-27,39.4,39.64,38.47,38.57,33.68,5278100
2017-10-30,38.5,38.5,37.55,37.66,32.89,5160100
2017-10-31,38.49,38.49,36.97,37.07,32.37,3073500
2017-11-01,37.18,37.23,36.07,36.16,31.58,3434500
2017-11-02,36.19,36.85,35.84,36.81,32.14,4880800
2017-11-03,36.8,36.91,36.44,36.84,32.17,2203500
2017-11-06,36.75,37.48,36.69,37.38,32.64,2600000
2017-11-07,37.42,38.04,37.39,38.0,33.18,4020800
2017-11-08,37.87,38.35,37.49,37.54,32.78,5172400
2017-11-09,35.76,37.43,34.22,37.1,32.4,8636100
2017-11-10,36.76,37.05,36.13,36.62,31.98,3805700
2017-11-13,36.29,36.7,36.08,36.17,31.58,3509800
2017-11-14,35.96,36.12,35.41,35.97,31.41,4418300
2017-11-15,35.81,36.13,35.32,36.07,31.5,2929400
2017-11-16,36.18,36.37,35.63,35.67,31.15,3890200
2017-11-17,35.73,36.68,35.66,36.38,31.77,4460000
2017-11-20,36.08,36.18,35.65,35.85,31.6,2620700
2017-11-21,36.2,36.56,35.97,36.0,31.73,2367600
2017-11-22,36.08,36.94,36.08,36.59,32.25,1933500
2017-11-24,36.67,36.7,36.23,36.51,32.18,585600
2017-11-27,36.54,36.66,36.19,36.58,32.24,2166600
2017-11-28,36.73,37.47,36.41,37.45,33.01,3128700
2017-11-29,37.0,37.31,36.29,36.32,32.01,4559700
2017-11-30,36.55,37.05,36.39,36.72,32.37,4099300
2017-12-01,36.75,37.01,35.61,36.23,31.94,3127000
2017-12-04,36.76,38.35,36.72,37.61,33.15,4391500
2017-12-05,37.63,37.91,37.21,37.83,33.35,3742400
2017-12-06,37.83,38.01,37.53,37.96,33.46,2867900
2017-12-07,37.95,38.3,37.74,38.11,33.59,3580300
2017-12-08,38.05,38.15,37.79,37.95,33.45,5133000
2017-12-11,37.98,38.09,37.72,37.89,33.4,2784900
2017-12-12,37.93,38.22,37.64,37.93,33.43,2494100
2017-12-13,37.83,37.98,36.77,36.95,32.57,2948400
2017-12-14,36.3,36.95,36.24,36.6,32.26,5274000
2017-12-15,36.8,37.85,36.73,37.22,32.81,11274800
2017-12-18,37.55,37.78,37.27,37.53,33.08,3613100
2017-12-19,37.52,37.58,37.26,37.5,33.05,2515800
2017-12-20,37.59,37.65,36.04,36.22,31.93,5470700
2017-12-21,36.31,36.65,36.1,36.45,32.13,3359200
2017-12-22,36.47,36.76,36.31,36.54,32.21,1333300
2017-12-26,36.64,36.88,36.13,36.21,31.92,1897600
2017-12-27,36.31,36.31,35.81,35.86,31.61,2073100
2017-12-28,35.82,36.03,35.55,36.0,31.73,2577000
2017-12-29,36.1,36.61,35.98,36.4,32.09,3043900
2018-01-02,36.4,36.82,35.95,36.66,32.31,3913100
2018-01-03,36.62,36.85,35.97,35.99,31.72,2879400
2018-01-04,36.15,36.15,35.68,35.79,31.55,3540900
2018-01-05,35.97,36.1,35.7,36.0,31.73,4482800
2018-01-08,36.81,37.0,36.03,36.16,31.87,7051700
2018-01-09,36.07,36.43,36.04,36.33,32.02,4840500
2018-01-10,36.3,36.4,36.06,36.26,31.96,3309000
2018-01-11,36.41,36.65,36.2,36.3,32.0,3879600
2018-01-12,36.39,37.58,36.39,37.46,33.02,2777500
2018-01-16,37.61,37.71,37.07,37.1,32.7,3042000
2018-01-17,37.29,37.29,36.03,36.29,31.99,4129200
2018-01-18,36.37,37.09,36.37,36.56,32.23,2848400
2018-01-19,36.68,36.78,36.41,36.71,32.36,3172800
2018-01-22,36.7,37.13,36.69,37.1,32.7,3262600
2018-01-23,37.07,37.27,36.8,37.08,32.68,2692900
2018-01-24,37.37,37.89,37.11,37.53,33.08,3493200
2018-01-25,37.7,37.73,37.16,37.2,32.79,2249000
2018-01-26,37.27,37.49,37.1,37.19,32.78,2500000
2018-01-29,37.03,37.28,36.82,37.03,32.64,2386800
2018-01-30,36.91,37.18,36.45,36.52,32.19,3195600
2018-01-31,36.72,37.56,36.48,37.41,32.98,3989100
2018-02-01,37.21,39.25,37.02,38.51,33.95,6983600
2018-02-02,38.41,38.51,37.22,37.49,33.05,4037200
2018-02-05,37.22,37.58,36.07,36.08,31.8,4476800
2018-02-06,35.66,37.14,35.25,36.86,32.49,5640600
2018-02-07,36.79,37.93,36.75,37.56,33.11,6865200
2018-02-08,36.72,36.9,33.9,33.9,29.88,11833000
2018-02-09,34.24,35.11,33.5,33.7,29.71,12169000
2018-02-12,34.05,34.24,32.95,33.6,29.62,9335100
2018-02-13,33.52,33.58,32.95,33.06,29.14,5294000
2018-02-14,32.9,33.16,32.33,32.98,29.07,5377000
2018-02-15,33.13,33.61,32.85,33.6,29.62,4893800
2018-02-16,33.58,34.26,33.55,33.68,29.69,4972900
2018-02-20,33.5,33.64,33.02,33.11,29.19,3825900
2018-02-21,32.96,33.29,32.52,32.52,28.67,2128000
2018-02-22,32.7,32.9,31.99,32.01,28.22,3144800
2018-02-23,32.32,33.26,32.11,33.26,29.32,3525600
2018-02-26,33.33,33.8,33.13,33.79,29.78,3233000
2018-02-27,33.96,34.04,33.12,33.16,29.23,4379200
2018-02-28,33.23,33.42,32.61,32.63,28.76,3923400
2018-03-01,32.56,32.86,31.97,32.3,28.47,3147400
2018-03-02,32.11,32.72,31.9,32.68,28.81,2423100
2018-03-05,32.43,33.37,32.37,33.24,29.3,2783700
2018-03-06,32.97,33.4,32.93,33.28,29.64,2463800
2018-03-07,32.95,33.13,32.45,32.7,29.12,2790700
2018-03-08,32.83,33.16,32.7,32.79,29.2,2021300
2018-03-09,33.07,33.41,32.96,33.41,29.75,2163400
2018-03-12,33.52,34.12,33.49,33.92,30.21,2540300
2018-03-13,33.92,33.92,33.44,33.5,29.83,3088300
2018-03-14,33.69,33.92,33.43,33.54,29.87,1834200
2018-03-15,33.64,33.75,33.42,33.47,29.81,1551900
2018-03-16,33.53,33.79,33.4,33.5,29.83,3529900
2018-03-19,33.44,33.56,32.48,32.68,29.1,2167800
2018-03-20,32.71,32.92,32.4,32.41,28.86,1956000
2018-03-21,32.42,32.85,32.26,32.44,28.89,1845900
2018-03-22,32.14,32.44,31.81,31.82,28.34,1797200
2018-03-23,31.88,32.05,31.47,31.51,28.06,3951900
2018-03-26,31.87,32.08,31.49,32.03,28.53,2816000
2018-03-27,32.2,32.49,31.63,32.09,28.58,6276400
2018-03-28,32.24,32.51,32.08,32.27,28.74,2530000
2018-03-29,32.31,32.67,31.75,31.79,28.31,4834200
2018-04-02,31.72,31.98,30.65,30.83,27.46,3088400
2018-04-03,30.92,31.1,30.64,31.09,27.69,2749800
2018-04-04,30.69,31.44,30.69,31.35,27.92,4958200
2018-04-05,31.62,32.41,31.43,32.21,28.69,3247000
2018-04-06,31.84,32.19,31.36,31.58,28.12,1724900
2018-04-09,31.85,32.22,31.54,31.96,28.46,2727900
2018-04-10,32.25,32.67,31.95,32.5,28.94,2588200
2018-04-11,32.25,32.65,32.14,32.35,28.81,3077100
2018-04-12,32.44,32.62,32.38,32.49,28.93,2009500
2018-04-13,32.67,32.68,32.16,32.34,28.8,3254200
2018-04-16,32.84,33.68,32.43,33.65,29.97,3820300
2018-04-17,33.88,34.25,33.69,34.14,30.4,2302500
2018-04-18,34.21,34.6,34.06,34.41,30.64,1877600
2018-04-19,34.41,34.86,34.36,34.7,30.9,2581900
2018-04-20,34.65,34.67,32.99,33.04,29.42,5317700
2018-04-23,33.19,33.72,33.06,33.55,29.88,3987900
2018-04-24,33.78,33.9,33.31,33.5,29.83,3796800
2018-04-25,33.5,34.37,33.23,34.35,30.59,3413700
2018-04-26,33.43,34.0,31.7,31.91,28.42,8416000
2018-04-27,31.77,32.51,31.7,32.05,28.54,5797900
