Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,15.88,16.8,15.84,16.76,15.23,6612700
2017-05-25,16.73,16.89,16.35,16.45,14.95,4819100
2017-05-26,16.48,16.56,16.27,16.47,14.97,4007300
2017-05-30,16.44,16.47,16.17,16.21,14.73,3232800
2017-05-31,16.21,16.28,15.83,16.06,14.59,4360000
2017-06-01,16.51,16.77,16.24,16.76,15.23,4620400
2017-06-02,16.71,17.18,16.67,16.92,15.38,5383800
2017-06-05,16.86,17.01,16.61,16.7,15.18,3633100
2017-06-06,16.71,16.9,16.54,16.78,15.25,5652700
2017-06-07,16.73,16.75,16.26,16.4,14.9,4679600
2017-06-08,16.4,16.45,16.15,16.4,14.9,3135600
2017-06-09,16.36,16.71,16.29,16.69,15.17,2969000
2017-06-12,16.67,16.82,16.54,16.71,15.19,4641100
2017-06-13,16.74,16.99,16.69,16.94,15.39,3589800
2017-06-14,16.88,16.97,16.32,16.47,14.97,6925300
2017-06-15,16.47,16.75,16.25,16.61,15.09,3483100
2017-06-16,16.62,16.93,16.26,16.91,15.37,5700000
2017-06-19,16.96,17.09,16.77,16.95,15.4,3212000
2017-06-20,16.86,16.91,16.49,16.76,15.23,3131100
2017-06-21,16.86,17.14,16.73,16.78,15.25,3899400
2017-06-22,16.83,17.45,16.83,17.23,15.66,4316400
2017-06-23,17.23,17.42,17.12,17.39,15.8,5152000
2017-06-26,17.42,17.75,17.42,17.64,16.03,8019300
2017-06-27,17.65,17.74,17.21,17.21,15.64,2920500
2017-06-28,17.32,17.58,17.3,17.32,15.74,2814900
2017-06-29,17.26,17.34,16.85,17.02,15.47,3308400
2017-06-30,17.05,17.4,17.05,17.22,15.65,3403600
2017-07-03,17.34,17.63,17.11,17.17,15.6,1807000
2017-07-05,17.13,17.38,16.8,16.8,15.27,3659000
2017-07-06,16.88,16.95,16.33,16.36,14.87,4213600
2017-07-07,16.34,16.4,15.95,16.24,14.76,4773500
2017-07-10,16.21,16.37,16.04,16.12,14.65,5976400
2017-07-11,16.34,16.52,16.14,16.3,14.81,7656000
2017-07-12,19.51,21.14,18.9,21.09,19.17,53494000
2017-07-13,21.53,23.36,21.44,22.2,20.17,36824800
2017-07-14,22.24,23.28,22.2,23.24,21.12,17236700
2017-07-17,23.24,23.26,22.41,22.92,20.83,11527800
2017-07-18,22.96,23.47,22.67,23.42,21.28,8665100
2017-07-19,23.42,24.12,23.1,24.0,21.81,10103400
2017-07-20,24.0,24.16,23.67,24.11,21.91,8014400
2017-07-21,24.15,24.59,23.84,24.49,22.26,8096700
2017-07-24,24.42,25.29,24.27,25.28,22.97,9173800
2017-07-25,25.37,25.43,24.91,25.01,22.73,8829900
2017-07-26,25.06,25.25,24.55,24.67,22.42,8624600
2017-07-27,24.75,25.1,24.47,24.61,22.36,9561600
2017-07-28,24.64,25.24,24.49,25.17,22.9,4679800
2017-07-31,25.18,25.21,24.56,24.62,22.4,5065500
2017-08-01,24.66,24.87,24.24,24.53,22.32,5016300
2017-08-02,24.4,24.74,24.18,24.47,22.26,5252300
2017-08-03,24.35,24.92,23.82,23.98,21.82,4122200
2017-08-04,24.06,24.7,24.0,24.45,22.25,4126100
2017-08-07,24.4,24.65,24.22,24.5,22.29,5418400
2017-08-08,24.44,24.8,24.0,24.25,22.06,4799000
2017-08-09,24.33,24.42,24.13,24.33,22.14,2899700
2017-08-10,24.24,25.68,24.14,24.39,22.19,6914700
