Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,114.39,115.05,114.0,114.97,104.77,1006800
2017-05-25,115.41,119.99,115.04,119.77,109.14,4589800
2017-05-26,119.47,122.9,119.2,122.33,111.48,2747500
2017-05-30,121.89,124.43,121.22,124.13,113.12,3115600
2017-05-31,123.95,124.24,122.84,124.03,113.03,2387500
2017-06-01,124.4,125.15,123.85,124.5,113.45,1508500
2017-06-02,124.42,125.31,123.52,123.64,112.67,1316300
2017-06-05,123.85,123.87,122.46,122.5,111.63,1521700
2017-06-06,121.7,122.18,120.87,120.95,110.22,1608200
2017-06-07,121.76,121.87,119.88,120.22,109.55,2156600
2017-06-08,120.22,120.64,119.87,120.43,109.74,1817000
2017-06-09,120.62,121.16,117.4,118.92,108.37,2497000
2017-06-12,118.99,119.93,117.86,119.7,109.08,2376700
2017-06-13,120.13,121.15,119.48,120.73,110.02,1784000
2017-06-14,121.16,121.44,117.93,118.29,107.79,1686800
2017-06-15,117.12,118.68,116.93,118.29,107.79,1534900
2017-06-16,118.7,119.18,118.08,119.14,108.57,1550500
2017-06-19,119.53,120.27,118.77,120.12,109.46,1065600
2017-06-20,119.64,119.64,117.7,117.73,107.28,1428300
2017-06-21,118.27,118.27,117.08,117.47,107.05,1494800
2017-06-22,117.45,117.85,116.3,117.4,106.98,1144300
2017-06-23,117.23,120.0,116.84,119.29,108.71,2369300
2017-06-26,119.94,120.75,118.87,119.48,108.88,938800
2017-06-27,119.51,120.36,118.5,119.04,108.48,1167800
2017-06-28,120.14,121.02,119.49,120.72,110.01,947600
2017-06-29,121.12,121.25,118.91,119.52,108.92,1001800
2017-06-30,120.13,122.3,119.72,121.7,110.9,1374300
2017-07-03,122.32,123.7,121.4,123.28,112.34,972000
2017-07-05,123.12,123.42,122.21,122.67,111.79,1242000
2017-07-06,121.3,121.95,120.28,121.24,110.48,1680000
2017-07-07,121.62,122.59,121.2,122.34,111.49,960300
2017-07-10,122.27,123.83,121.87,123.0,112.09,1179000
2017-07-11,123.17,123.17,121.13,122.5,111.63,1167600
2017-07-12,123.2,124.24,122.5,123.28,112.34,984800
2017-07-13,123.33,124.01,122.53,122.59,111.71,809200
2017-07-14,122.84,124.08,122.58,124.0,113.0,818800
2017-07-17,123.82,124.02,122.77,123.5,112.54,1006000
2017-07-18,123.5,123.88,122.78,123.26,112.32,1497500
2017-07-19,122.25,122.25,119.46,120.67,109.96,2416500
2017-07-20,121.27,121.32,118.08,118.52,108.0,2917800
2017-07-21,117.77,118.38,116.69,117.85,107.39,1979200
2017-07-24,117.93,119.0,117.12,117.5,107.07,1494200
2017-07-25,118.33,119.26,118.0,118.99,108.43,2188900
2017-07-26,119.89,121.0,114.52,116.41,106.08,3613400
2017-07-27,115.92,116.1,112.25,113.01,102.98,3376500
2017-07-28,112.9,114.37,112.9,114.23,104.09,1656300
2017-07-31,113.73,114.53,112.47,112.58,102.59,1784900
2017-08-01,113.38,113.93,112.25,112.97,102.95,2398100
2017-08-02,112.18,112.92,111.44,112.48,102.5,2227600
2017-08-03,112.62,114.65,112.5,113.43,103.93,3286300
2017-08-04,113.52,115.0,113.29,114.61,105.01,2376500
2017-08-07,115.15,116.49,115.13,115.89,106.18,2473100
2017-08-08,115.54,118.36,115.38,117.21,107.39,1887100
2017-08-09,116.84,117.65,116.32,117.46,107.62,1484500
2017-08-10,117.21,117.9,115.41,115.44,105.77,1415800
2017-08-11,114.89,117.25,114.89,116.56,106.8,1101300
2017-08-14,117.3,119.76,117.01,119.55,109.54,2021700
2017-08-15,119.26,120.28,118.8,120.04,109.99,1360900
2017-08-16,120.0,121.32,119.79,120.43,110.34,1180300
2017-08-17,120.07,120.16,117.42,117.5,107.66,1320200
2017-08-18,117.37,119.62,116.77,118.63,108.69,1448200
2017-08-21,118.75,119.15,117.24,117.67,107.81,1745500
2017-08-22,118.18,120.55,117.88,120.4,110.32,1316500
2017-08-23,119.79,120.2,118.76,118.94,108.98,951200
2017-08-24,119.06,119.63,117.1,117.74,107.88,959800
2017-08-25,118.53,119.53,117.86,118.21,108.31,989800
2017-08-28,118.58,118.58,117.22,117.76,107.9,2371000
2017-08-29,116.9,119.55,116.9,119.4,109.4,1047900
2017-08-30,119.38,121.3,119.16,120.79,110.67,1195500
2017-08-31,121.46,121.92,120.22,120.52,110.43,1427600
2017-09-01,121.18,122.42,121.02,121.16,111.01,1051400
2017-09-05,121.2,121.88,120.13,121.11,110.97,2587900
2017-09-06,121.76,123.99,121.18,122.44,112.18,2601000
2017-09-07,122.91,124.35,122.31,123.93,113.55,1373400
2017-09-08,123.8,124.24,123.0,123.92,113.54,1049700
2017-09-11,124.79,126.42,124.04,126.42,115.83,1349800
2017-09-12,126.25,126.98,126.25,126.58,115.98,1576000
2017-09-13,126.5,126.79,125.5,126.76,116.14,1173500
2017-09-14,126.28,127.94,126.03,126.93,116.3,922600
2017-09-15,127.13,128.09,126.55,128.04,117.32,1656000
2017-09-18,128.42,128.42,127.19,127.35,116.68,1083900
2017-09-19,127.7,128.08,126.87,127.8,117.1,1142700
2017-09-20,127.92,131.02,127.73,130.98,120.01,1044600
2017-09-21,130.6,131.32,130.08,130.71,119.76,1200600
2017-09-22,130.52,131.15,129.86,130.99,120.02,1232300
2017-09-25,131.0,131.41,129.49,130.36,119.44,1222300
2017-09-26,130.68,131.46,130.0,131.0,120.03,1122700
2017-09-27,131.37,132.55,130.98,132.51,121.41,1162000
2017-09-28,132.33,133.81,132.33,132.79,121.67,1140100
2017-09-29,132.56,133.31,132.09,132.24,121.16,1438600
2017-10-02,132.65,132.8,130.89,131.64,120.61,1699700
2017-10-03,131.05,131.99,130.6,131.57,120.55,3011100
2017-10-04,130.97,131.69,130.16,130.5,119.57,2298100
2017-10-05,130.55,131.34,129.87,131.12,120.14,1790800
2017-10-06,130.93,131.38,129.78,130.46,119.53,1281700
2017-10-09,130.5,131.03,130.37,130.79,119.84,764100
2017-10-10,131.42,131.48,129.51,130.0,119.11,1237000
2017-10-11,130.07,131.56,129.85,131.49,120.48,1192500
2017-10-12,131.68,133.97,131.68,133.69,122.49,1311900
2017-10-13,134.1,134.52,131.57,131.65,120.62,896800
2017-10-16,130.85,131.37,129.32,129.8,118.93,1696200
2017-10-17,128.77,130.6,128.64,129.48,118.63,1894300
2017-10-18,130.17,131.45,130.04,130.52,119.59,1220100
2017-10-19,129.91,130.34,128.88,130.24,119.33,1844400
2017-10-20,130.82,132.88,130.5,132.75,121.63,1831400
2017-10-23,133.01,133.77,131.77,131.87,120.82,1275000
2017-10-24,132.64,134.41,132.04,132.31,121.23,2063000
2017-10-25,129.71,131.23,125.8,128.69,117.91,3623400
2017-10-26,131.0,133.63,130.3,133.25,122.09,2319500
2017-10-27,133.04,134.42,132.54,133.65,122.46,1688800
2017-10-30,132.91,133.91,132.46,132.8,121.68,1240500
2017-10-31,133.0,133.0,131.36,131.42,120.41,1228000
2017-11-01,132.45,132.45,130.72,131.84,120.8,978400
2017-11-02,130.8,132.22,129.97,132.15,121.64,1231100
2017-11-03,132.11,132.19,129.72,130.36,120.0,1229400
2017-11-06,130.48,130.7,129.84,130.12,119.78,950300
2017-11-07,129.84,130.74,129.12,129.45,119.16,980000
2017-11-08,129.47,129.6,128.19,129.33,119.05,1582200
2017-11-09,128.49,129.29,127.63,127.99,117.81,1103700
2017-11-10,127.65,128.29,126.96,127.15,117.04,1301000
2017-11-13,126.47,127.83,125.59,127.62,117.47,925900
2017-11-14,127.16,127.8,126.31,126.98,116.89,1141900
2017-11-15,126.26,133.25,125.89,126.42,116.37,1345400
2017-11-16,127.25,129.45,126.57,129.22,118.95,1368100
2017-11-17,128.4,129.45,127.4,127.54,117.4,1206900
2017-11-20,127.68,127.68,126.54,127.07,116.97,974900
2017-11-21,127.6,129.28,127.35,129.1,118.84,1049500
2017-11-22,129.36,129.96,128.8,129.23,118.96,621100
2017-11-24,129.48,131.09,129.45,130.01,119.67,585800
2017-11-27,128.37,129.04,126.4,127.48,117.35,1642500
2017-11-28,127.81,130.29,126.87,130.15,119.8,1522200
2017-11-29,130.59,137.22,130.17,136.41,125.57,3635200
2017-11-30,136.03,139.98,135.18,138.63,127.61,3097800
2017-12-01,138.94,139.43,134.83,137.5,126.57,2417000
2017-12-04,139.0,141.81,138.6,139.89,128.77,2217600
2017-12-05,140.16,140.77,138.71,138.84,127.8,2308400
2017-12-06,138.77,139.52,138.36,138.73,127.7,1215700
2017-12-07,138.83,141.63,138.63,141.03,129.82,1488100
2017-12-08,141.56,142.76,140.62,140.82,129.62,1062000
2017-12-11,141.27,142.38,140.64,141.55,130.3,1405300
2017-12-12,142.11,142.16,140.86,141.46,130.21,1208100
2017-12-13,141.36,143.35,141.28,141.83,130.55,1425500
2017-12-14,142.4,142.94,140.52,140.86,129.66,990500
2017-12-15,139.88,141.62,138.51,141.11,129.89,2766300
2017-12-18,142.45,143.92,141.03,143.63,132.21,1885400
2017-12-19,144.35,144.63,142.55,143.72,132.29,1433100
2017-12-20,144.43,145.43,143.7,144.84,133.33,1812000
2017-12-21,145.54,145.54,142.89,144.28,132.81,1073900
