Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,88.7,88.84,86.61,88.41,78.0,669400
2017-05-25,88.78,89.17,87.9,88.28,77.89,751800
2017-05-26,88.33,88.95,88.15,88.69,78.25,882400
2017-05-30,88.39,89.0,87.22,88.1,77.73,816200
2017-05-31,87.81,87.82,85.89,87.44,77.48,1317900
2017-06-01,87.76,89.16,86.81,89.0,78.86,1115400
2017-06-02,88.14,89.02,87.81,88.51,78.43,1343000
2017-06-05,88.77,89.45,88.72,88.73,78.62,933200
2017-06-06,87.97,88.38,87.09,87.62,77.64,1038000
2017-06-07,87.72,89.62,87.59,89.2,79.04,900700
2017-06-08,89.42,91.02,89.03,90.09,79.83,1141900
2017-06-09,90.44,91.83,89.95,91.75,81.3,1222300
2017-06-12,91.75,92.56,91.31,91.91,81.44,1135300
2017-06-13,92.19,93.03,91.82,92.73,82.17,1088600
2017-06-14,91.57,93.72,91.25,93.36,82.73,1263900
2017-06-15,93.19,94.27,92.76,93.89,83.19,882800
2017-06-16,94.12,94.59,93.52,94.55,83.78,1525800
2017-06-19,94.99,95.63,94.75,95.3,84.44,907500
2017-06-20,94.76,95.39,94.58,94.64,83.86,593400
2017-06-21,94.75,94.78,94.11,94.39,83.64,838600
2017-06-22,94.03,94.74,93.8,94.34,83.59,801300
2017-06-23,94.79,95.02,93.64,94.01,83.3,1143900
2017-06-26,94.21,94.77,93.6,94.2,83.47,625600
2017-06-27,94.57,95.75,94.16,95.42,84.55,1189000
2017-06-28,96.0,97.7,95.71,96.66,85.65,1363900
2017-06-29,98.03,98.72,95.85,97.0,85.95,1440100
2017-06-30,98.12,98.12,96.98,97.21,86.14,1138000
2017-07-03,97.67,99.3,97.63,98.39,87.18,614800
2017-07-05,98.88,99.29,97.95,98.98,87.7,1175000
2017-07-06,98.99,99.05,97.27,97.54,86.43,1403700
2017-07-07,98.08,98.71,97.41,98.13,86.95,994100
2017-07-10,97.86,99.05,97.7,98.55,87.32,863500
2017-07-11,98.41,98.63,97.61,97.9,86.75,717900
2017-07-12,97.99,98.08,97.17,97.98,86.82,828000
2017-07-13,98.21,98.24,97.5,98.19,87.0,940100
2017-07-14,97.53,98.44,96.63,98.11,86.93,545100
2017-07-17,98.02,98.94,97.23,98.03,86.86,623700
2017-07-18,97.17,97.94,96.66,97.37,86.28,1340500
2017-07-19,91.5,92.5,87.36,89.21,79.05,5279900
2017-07-20,89.23,89.53,87.0,87.5,77.53,4028500
2017-07-21,87.59,87.96,86.57,87.84,77.83,2705800
2017-07-24,87.78,88.48,87.75,87.9,77.89,1760200
2017-07-25,88.96,89.44,87.87,88.15,78.11,1553700
2017-07-26,88.08,88.37,87.58,87.9,77.89,1307900
2017-07-27,87.92,88.43,86.97,87.66,77.67,1213200
2017-07-28,87.65,87.89,87.07,87.26,77.32,946300
2017-07-31,87.33,87.81,86.96,87.51,77.54,981800
2017-08-01,88.16,88.2,87.12,88.11,78.07,1282300
2017-08-02,88.11,88.4,87.34,88.11,78.07,1053400
2017-08-03,88.1,88.37,87.82,87.98,77.96,1196900
2017-08-04,88.42,89.5,88.15,88.99,78.85,1056800
2017-08-07,88.89,89.19,88.12,88.29,78.23,645800
2017-08-08,87.92,89.51,87.72,88.79,78.68,1042500
2017-08-09,88.24,89.31,88.1,89.24,79.07,1271000
2017-08-10,88.94,89.07,87.09,87.2,77.27,1845800
2017-08-11,87.6,87.93,86.76,87.15,77.22,1043500
2017-08-14,88.11,89.08,87.92,88.64,78.54,1216600
2017-08-15,89.25,89.65,88.67,88.69,78.59,984300
2017-08-16,89.03,89.8,88.8,89.48,79.29,1347200
2017-08-17,89.1,89.24,87.32,87.43,77.47,1376100
2017-08-18,87.17,88.35,87.01,87.93,77.91,1149000
2017-08-21,87.9,88.14,87.41,87.87,77.86,729800
2017-08-22,88.1,89.24,87.87,89.06,78.91,1285500
2017-08-23,88.48,89.49,88.47,89.21,79.05,602800
