Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,59.29,60.0,58.27,58.65,51.28,3757900
2017-05-25,58.81,59.0,58.29,58.37,51.03,2281300
2017-05-26,58.35,58.68,57.96,58.15,50.84,1455300
2017-05-30,58.05,58.57,57.79,58.33,51.0,2027600
2017-05-31,57.87,58.44,56.88,58.1,50.8,2511800
2017-06-01,58.17,59.09,57.68,59.07,51.64,2194300
2017-06-02,58.99,59.1,58.62,58.7,51.32,1452100
2017-06-05,58.39,59.33,58.34,58.97,51.56,2137400
2017-06-06,58.6,58.6,57.77,57.81,50.54,2245600
2017-06-07,58.21,58.36,56.48,57.21,50.02,2799200
2017-06-08,57.21,59.4,56.79,59.14,51.71,2934100
2017-06-09,59.14,59.82,58.75,59.79,52.27,2010700
2017-06-12,59.75,60.6,59.12,59.9,52.37,2411000
2017-06-13,59.9,60.53,59.67,60.49,52.89,1952500
2017-06-14,60.4,60.49,58.46,59.11,51.68,1702600
2017-06-15,58.11,58.17,54.56,54.6,47.74,8170400
2017-06-16,54.59,55.46,54.01,54.92,48.02,4724000
2017-06-19,55.99,57.09,55.63,55.8,48.79,4028800
2017-06-20,55.43,56.64,55.18,56.13,49.07,2371000
2017-06-21,56.89,56.95,55.9,55.97,48.93,3569300
2017-06-22,56.2,57.0,55.68,56.7,49.57,2397000
2017-06-23,57.91,58.26,56.83,57.5,50.27,4209800
2017-06-26,57.6,57.98,56.93,57.41,50.19,2604900
2017-06-27,57.83,58.41,56.86,56.86,49.71,2143200
2017-06-28,57.15,58.51,57.15,58.17,51.2,2050400
2017-06-29,58.47,58.8,57.78,58.17,51.2,1793300
2017-06-30,58.55,59.12,57.85,57.87,50.93,2605000
2017-07-03,58.15,59.12,58.11,58.87,51.81,1794300
2017-07-05,58.93,59.43,58.05,59.16,52.07,2776800
2017-07-06,58.9,59.9,58.64,59.19,52.1,2290400
2017-07-07,59.33,59.4,57.43,58.2,51.22,2530700
2017-07-10,57.93,59.48,57.56,58.71,51.67,1958800
2017-07-11,58.87,59.26,58.21,58.6,51.58,2219400
2017-07-12,58.84,59.14,58.41,58.94,51.88,1751400
2017-07-13,59.21,60.87,58.72,60.5,53.25,3822100
2017-07-14,60.52,60.54,59.64,59.72,52.56,2001800
2017-07-17,59.86,60.27,59.53,60.12,52.91,1691500
2017-07-18,59.89,60.0,58.66,59.35,52.24,3079600
2017-07-19,59.56,60.79,59.36,60.66,53.39,4081900
2017-07-20,59.62,60.94,58.75,59.92,52.74,4061600
2017-07-21,59.76,60.56,59.68,60.23,53.01,3382800
2017-07-24,60.21,60.63,59.76,60.51,53.26,2596800
2017-07-25,61.28,62.26,60.83,60.92,53.62,3223600
2017-07-26,61.05,61.28,58.01,58.12,51.15,4601300
2017-07-27,58.24,59.07,57.76,58.67,51.64,2939800
2017-07-28,58.28,58.29,57.05,57.46,50.57,2966100
2017-07-31,57.96,58.07,57.21,57.67,50.76,2392700
2017-08-01,57.87,57.95,56.76,57.15,50.3,1862800
2017-08-02,56.71,57.01,56.0,56.88,50.06,2400800
2017-08-03,56.77,57.42,56.65,57.11,50.26,1333500
2017-08-04,57.46,57.54,56.9,57.48,50.59,1259300
2017-08-07,57.96,58.13,57.37,57.86,50.92,1907200
2017-08-08,57.72,58.07,56.86,57.55,50.65,1763900
2017-08-09,57.41,57.48,56.74,57.14,50.29,1807900
2017-08-10,56.51,57.29,56.3,56.54,49.76,2246100
2017-08-11,56.22,56.64,55.3,55.37,48.73,2179900
2017-08-14,55.63,56.0,55.29,55.72,49.04,2381300
2017-08-15,55.81,56.23,55.38,55.57,48.91,1359600
2017-08-16,55.91,56.86,55.83,56.73,49.93,2521100
2017-08-17,56.0,56.06,54.34,54.35,47.84,2840500
2017-08-18,54.33,54.63,54.02,54.11,47.62,2279500
2017-08-21,54.29,54.47,53.6,53.73,47.29,1487300
2017-08-22,54.09,54.67,53.7,54.65,48.1,1724200
2017-08-23,54.27,55.2,54.12,54.91,48.33,1350900
2017-08-24,54.97,55.19,54.3,54.59,48.05,1423600
2017-08-25,54.94,55.0,54.08,54.71,48.15,1671800
2017-08-28,54.91,54.94,54.03,54.58,48.04,1675500
2017-08-29,54.27,55.47,53.85,54.93,48.35,1884000
2017-08-30,54.93,55.96,54.63,55.68,49.01,1504100
2017-08-31,56.1,56.25,55.05,55.11,48.5,1714400
2017-09-01,55.61,55.83,55.17,55.5,48.85,1935000
2017-09-05,55.65,56.19,54.29,54.79,48.22,2489600
