Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,52.81,52.94,52.32,52.81,42.68,2727000
2017-05-25,53.0,53.36,52.86,53.28,43.06,2018800
2017-05-26,52.88,53.31,52.78,53.19,43.17,2139700
2017-05-30,53.26,53.48,53.15,53.34,43.3,3288100
2017-05-31,53.43,53.63,52.68,52.95,42.98,5790200
2017-06-01,53.0,53.33,52.64,53.01,43.03,2135800
2017-06-02,53.02,53.55,52.76,53.35,43.3,2809400
2017-06-05,53.16,53.26,52.85,53.09,43.09,1869800
2017-06-06,53.0,53.26,52.66,52.73,42.8,2220600
2017-06-07,52.91,53.08,52.68,52.95,42.98,1891300
2017-06-08,52.95,53.43,52.62,53.03,43.05,3275000
2017-06-09,53.03,53.43,52.86,53.24,43.22,2602800
2017-06-12,53.2,53.49,52.56,52.75,42.82,3429700
2017-06-13,52.9,53.79,52.78,53.78,43.65,2230300
2017-06-14,54.0,55.06,53.8,54.78,44.47,4718800
2017-06-15,54.55,54.96,54.05,54.59,44.31,6286200
2017-06-16,54.48,55.06,54.25,54.85,44.52,4564400
2017-06-19,54.91,55.08,54.36,54.54,44.27,3667500
2017-06-20,54.45,54.55,53.21,53.35,43.3,4112400
2017-06-21,53.17,53.49,52.39,52.57,42.67,3327900
2017-06-22,52.62,52.62,52.01,52.19,42.36,3441900
2017-06-23,52.3,53.13,52.0,53.1,43.1,13304200
2017-06-26,53.12,53.73,53.12,53.34,43.3,2526000
2017-06-27,53.4,54.08,52.97,53.1,43.1,2814500
2017-06-28,53.45,53.6,53.0,53.37,43.32,3645600
2017-06-29,53.2,53.24,52.48,53.02,43.04,2660300
2017-06-30,53.27,54.11,53.26,53.62,43.52,2673100
2017-07-03,53.86,54.06,53.45,53.45,43.39,1021700
2017-07-05,53.42,53.85,53.22,53.7,43.59,1681600
2017-07-06,53.5,53.77,52.99,53.05,43.06,2708300
2017-07-07,53.3,53.75,53.2,53.27,43.24,2538100
2017-07-10,53.27,53.6,53.25,53.4,43.35,2699700
2017-07-11,53.36,53.36,52.92,52.98,43.0,1569800
2017-07-12,53.22,53.62,52.97,53.02,43.04,2162400
