Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,13.19,13.23,13.12,13.22,12.38,1025300
2017-05-25,13.29,13.31,13.17,13.21,12.37,956700
2017-05-26,13.23,13.43,13.17,13.42,12.56,1871000
2017-05-30,13.32,13.43,13.14,13.29,12.44,1470600
2017-05-31,13.33,13.39,13.1,13.38,12.53,2527600
2017-06-01,13.5,13.62,13.38,13.57,12.71,1644100
2017-06-02,13.55,13.64,13.43,13.58,12.71,1507000
2017-06-05,13.61,13.61,13.41,13.44,12.58,1581100
2017-06-06,13.41,13.5,13.22,13.48,12.62,1459400
2017-06-07,13.54,13.55,13.31,13.36,12.51,1990700
2017-06-08,13.47,13.53,13.18,13.51,12.65,2104800
2017-06-09,13.55,13.68,13.43,13.65,12.78,1701200
2017-06-12,13.65,13.84,13.63,13.67,12.8,1603200
2017-06-13,13.65,13.7,13.53,13.56,12.7,1946300
2017-06-14,13.59,13.63,13.5,13.58,12.71,2748400
2017-06-15,13.59,13.72,13.44,13.61,12.74,1281200
2017-06-16,13.64,13.78,13.52,13.73,12.85,2200100
2017-06-19,13.75,13.85,13.63,13.78,12.9,827400
2017-06-20,13.75,13.75,13.48,13.49,12.63,914500
2017-06-21,13.54,13.61,13.44,13.53,12.67,1436100
2017-06-22,13.53,13.55,13.3,13.45,12.59,1379700
2017-06-23,13.44,13.62,13.38,13.59,12.72,1415800
2017-06-26,13.61,13.68,13.53,13.66,12.79,1030100
2017-06-27,13.61,13.79,13.58,13.66,12.79,1180800
2017-06-28,13.72,13.92,13.7,13.85,12.97,1760100
2017-06-29,13.85,13.92,13.39,13.6,12.73,1757200
2017-06-30,13.63,13.76,13.35,13.7,12.83,1754200
2017-07-03,13.74,13.92,13.65,13.89,13.0,1108000
2017-07-05,13.89,13.89,13.68,13.73,12.85,1875000
2017-07-06,13.67,13.68,13.23,13.24,12.4,2048200
2017-07-07,13.28,13.37,13.18,13.32,12.47,1692100
2017-07-10,13.28,13.41,13.14,13.15,12.31,1744800
2017-07-11,13.14,13.34,13.07,13.27,12.42,1618100
2017-07-12,13.32,13.43,13.18,13.2,12.36,2724400
2017-07-13,13.23,13.32,13.18,13.23,12.39,1252800
2017-07-14,13.3,13.62,13.24,13.57,12.71,1541300
