Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,108.11,108.29,107.85,108.0,103.1,3686000
2017-05-25,108.0,108.15,107.8,107.95,103.05,3058800
2017-05-26,107.89,108.24,107.89,108.0,103.1,2620100
2017-05-30,107.91,108.21,107.91,108.14,103.23,2111900
2017-05-31,109.05,109.9,108.98,109.9,104.91,12507100
2017-06-01,109.65,109.71,109.0,109.32,104.36,7465900
2017-06-02,109.2,109.35,108.86,109.15,104.19,3789000
2017-06-05,109.0,109.32,109.0,109.22,104.26,2537400
2017-06-06,109.22,109.35,108.85,108.85,103.91,2724700
2017-06-07,108.85,109.32,108.81,109.21,104.25,2903200
2017-06-08,109.07,109.4,108.92,109.23,104.27,2064500
2017-06-09,109.23,109.5,108.17,108.58,103.65,4308300
2017-06-12,108.91,108.91,108.0,108.22,103.31,2889900
2017-06-13,108.45,109.11,108.32,109.11,104.15,1959100
2017-06-14,108.96,109.42,108.65,109.27,104.31,2478000
2017-06-15,108.78,109.11,108.75,109.0,104.05,1315700
2017-06-16,109.0,109.4,108.85,109.09,104.14,2075700
2017-06-19,109.0,109.29,108.9,109.15,104.19,1808900
2017-06-20,109.05,109.86,108.97,109.0,104.05,3010300
2017-06-21,109.02,109.22,108.88,109.17,104.21,2796600
2017-06-22,109.15,109.5,108.99,109.5,104.53,3156500
2017-06-23,109.5,109.98,109.47,109.98,104.99,23837000
2017-06-26,109.75,109.92,109.45,109.73,104.75,2437900
2017-06-27,109.67,109.79,109.42,109.52,104.55,4010400
2017-06-28,109.88,109.95,109.57,109.9,104.91,2210600
2017-06-29,109.77,109.8,109.03,109.4,104.43,4944800
2017-06-30,109.33,109.51,109.14,109.45,104.48,2853900
2017-07-03,109.5,109.5,109.1,109.27,104.31,1170800
2017-07-05,109.27,109.37,109.04,109.2,104.24,2315600
2017-07-06,109.11,109.3,109.05,109.26,104.3,1708600
2017-07-07,109.27,109.38,109.0,109.11,104.15,3532500
2017-07-10,109.05,109.46,109.05,109.32,104.36,1428800
2017-07-11,109.25,109.25,109.0,109.25,104.29,1803800
2017-07-12,109.2,109.37,109.06,109.17,104.21,2861400
2017-07-13,109.15,109.5,109.08,109.21,104.25,2247200
2017-07-14,109.2,109.48,109.16,109.4,104.43,1782000
2017-07-17,109.4,109.62,109.37,109.45,104.48,2083200
2017-07-18,109.45,109.64,109.37,109.46,104.49,1521700
2017-07-19,109.45,109.65,109.41,109.6,104.62,1302300
2017-07-20,109.5,109.81,109.41,109.71,104.73,1497800
2017-07-21,109.6,109.89,109.55,109.86,104.87,1321200
2017-07-24,109.83,109.84,109.55,109.55,104.57,1583800
2017-07-25,109.56,109.93,109.55,109.71,104.73,2426000
2017-07-26,109.75,109.95,109.75,109.93,104.94,2711500
2017-07-27,109.85,110.43,109.84,110.34,105.33,2846900
2017-07-28,110.12,110.4,110.05,110.22,105.21,2041500
2017-07-31,110.25,110.39,110.08,110.33,105.32,2535100
2017-08-01,110.3,111.2,110.2,111.1,106.05,3760200
2017-08-02,111.08,111.22,110.85,110.88,105.84,3406700
