Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,52.55,53.15,52.49,52.97,42.61,1435512
2017-05-25,53.05,53.71,52.99,53.44,42.99,1630354
2017-05-26,53.45,53.97,53.28,53.47,43.01,2114774
2017-05-30,53.38,53.8,53.25,53.29,43.04,1496606
2017-05-31,53.29,53.7,53.1,53.23,42.98,1699188
2017-06-01,53.21,53.97,52.84,53.82,43.46,1753058
2017-06-02,54.22,54.99,54.22,54.83,44.27,2426851
2017-06-05,54.62,54.69,53.49,53.65,43.33,1682573
2017-06-06,53.65,53.98,53.21,53.7,43.37,1619002
2017-06-07,53.7,54.21,53.59,53.9,43.52,1667093
2017-06-08,53.9,54.14,53.1,53.19,42.95,2072772
2017-06-09,53.16,53.74,52.58,53.59,43.28,1781954
2017-06-12,53.74,54.47,53.62,54.4,43.93,1423128
2017-06-13,54.28,54.68,54.07,54.53,44.04,1059761
2017-06-14,55.06,55.33,54.74,55.18,44.56,1512086
2017-06-15,54.86,55.47,54.72,55.15,44.53,1266883
2017-06-16,55.31,55.35,54.5,54.91,44.34,2922418
2017-06-19,54.91,54.98,54.22,54.48,43.99,1860696
2017-06-20,54.44,54.62,54.17,54.43,43.95,2534076
2017-06-21,54.47,54.57,53.38,53.7,43.37,2283300
2017-06-22,53.59,53.69,52.97,53.12,42.9,2073185
2017-06-23,53.13,53.63,53.05,53.57,43.26,2505799
2017-06-26,53.89,55.51,53.89,54.73,44.2,2477110
2017-06-27,54.63,54.71,54.02,54.25,43.81,1983917
2017-06-28,54.39,55.2,54.17,55.05,44.45,1575038
2017-06-29,54.64,54.7,53.72,54.04,43.8,1679890
2017-06-30,54.2,54.43,53.25,53.47,43.34,1496194
2017-07-03,53.66,54.53,53.66,54.31,44.02,1063166
2017-07-05,54.27,54.46,53.26,53.5,43.36,1636958
2017-07-06,53.3,53.49,52.45,52.45,42.52,1647485
2017-07-07,52.6,53.01,52.27,52.99,42.95,1081639
2017-07-10,53.02,53.05,51.93,51.94,42.1,1755845
2017-07-11,52.16,52.42,51.69,52.22,42.33,1219411
2017-07-12,52.62,53.39,52.59,52.97,42.94,1416523
2017-07-13,53.05,53.5,52.87,53.42,43.3,978852
2017-07-14,53.67,54.62,53.67,54.51,44.18,1645008
2017-07-17,54.46,54.93,54.36,54.73,44.36,1433242
2017-07-18,54.91,55.17,54.71,54.83,44.44,1197533
2017-07-19,54.84,55.52,54.73,55.39,44.89,1011566
2017-07-20,55.47,56.04,55.27,55.54,45.02,1045829
2017-07-21,55.62,55.79,55.06,55.53,45.01,886798
2017-07-24,55.52,55.62,54.92,55.4,44.9,1423747
2017-07-25,55.26,55.71,54.89,55.65,45.11,1684843
2017-07-26,55.63,56.17,55.48,56.12,45.49,1595162
2017-07-27,56.04,56.66,55.43,56.15,45.52,2091761
2017-07-28,56.09,56.39,55.34,55.43,45.09,1464098
2017-07-31,55.44,55.54,54.98,55.29,44.98,3504672
2017-08-01,55.41,56.11,55.2,55.95,45.52,1937477
