Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,31.0,33.25,31.0,33.25,32.17,342900
2021-05-17,34.0,35.0,34.0,34.1,32.99,31500
2021-05-18,34.48,38.42,34.48,37.5,36.28,48900
2021-05-19,37.0,37.75,37.0,37.5,36.28,43900
2021-05-20,37.5,37.75,37.5,37.75,36.52,22900
2021-05-21,38.5,38.5,37.5,37.6,36.38,18300
2021-05-24,38.0,38.25,37.9,38.0,36.76,30600
2021-05-25,38.75,38.75,36.9,36.95,35.75,35800
2021-05-26,38.0,38.0,36.0,36.83,35.63,44400
2021-05-27,37.0,37.0,35.5,35.5,34.35,40700
2021-05-28,36.0,37.11,35.75,35.75,34.59,60800
2021-06-01,36.65,37.46,35.9,36.0,34.83,52000
2021-06-02,36.5,36.74,34.5,35.26,34.11,1306900
2021-06-03,34.15,38.24,32.22,37.0,35.8,22326000
2021-06-04,36.15,36.17,33.71,34.15,33.04,7502300
2021-06-07,33.6,33.88,30.85,31.42,30.4,11513100
2021-06-08,30.33,30.91,28.53,28.91,27.97,18500300
2021-06-09,28.3,29.44,27.25,28.45,27.52,14563600
2021-06-10,28.46,31.16,28.4,30.33,29.34,11205900
2021-06-11,30.38,30.38,29.4,29.65,28.69,5728900
2021-06-14,30.08,30.63,29.27,30.28,29.3,6972000
2021-06-15,30.03,32.09,29.8,31.81,30.78,6339100
2021-06-16,31.52,31.65,30.27,30.7,29.7,5288100
2021-06-17,30.49,31.73,30.1,31.46,30.44,5086400
2021-06-18,31.5,31.71,29.96,29.98,29.0,10213800
2021-06-21,30.2,30.67,29.36,29.41,28.45,3542700
2021-06-22,29.25,29.87,28.84,29.53,28.57,4218300
2021-06-23,29.53,30.08,29.1,29.5,28.54,3880900
2021-06-24,29.39,30.07,29.3,29.77,28.8,2769600
2021-06-25,29.77,30.87,29.21,30.19,29.21,13582700
2021-06-28,29.69,31.03,29.41,30.94,29.93,3106200
2021-06-29,30.98,31.32,30.46,30.55,29.56,2256700
