Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,52.12,53.01,52.11,52.78,37.47,3410300
2017-05-25,52.36,53.1,51.53,51.66,36.67,4524500
2017-05-26,51.58,51.84,51.12,51.69,36.69,2201100
2017-05-30,51.24,51.35,49.85,49.85,35.39,2667700
2017-05-31,49.55,49.83,48.93,49.68,35.27,3416000
2017-06-01,49.86,50.56,49.55,50.45,35.81,2157300
2017-06-02,50.27,50.45,49.52,49.55,35.18,1560200
2017-06-05,48.73,49.69,48.73,49.32,35.01,1785100
2017-06-06,49.11,50.08,49.05,50.0,35.49,2343500
2017-06-07,49.8,50.23,48.5,48.87,34.69,2101600
2017-06-08,48.87,49.05,48.4,48.49,34.42,3029200
2017-06-09,48.55,49.49,48.55,49.45,35.1,1670000
2017-06-12,49.45,50.45,49.45,49.99,35.49,1997500
2017-06-13,49.85,50.45,49.78,50.21,35.64,1674300
2017-06-14,50.32,51.0,49.5,49.79,35.35,3738800
2017-06-15,49.44,50.02,48.87,48.98,34.77,2666700
2017-06-16,49.27,50.99,49.19,50.97,36.18,3278000
2017-06-19,51.0,51.19,50.05,50.21,35.64,2127200
2017-06-20,49.59,49.76,47.14,47.5,33.72,3463800
2017-06-21,48.07,48.63,47.15,47.41,33.66,4225600
2017-06-22,47.74,48.63,47.37,47.79,33.93,3438700
2017-06-23,47.92,49.24,47.66,49.19,34.92,2562900
2017-06-26,49.32,51.2,49.32,50.54,35.88,5206200
2017-06-27,50.61,51.36,50.53,50.68,35.98,3299300
2017-06-28,50.73,51.45,50.42,50.9,36.13,3315700
2017-06-29,51.08,52.44,50.87,51.52,36.57,5416000
2017-06-30,52.01,52.41,51.59,52.16,37.03,42639900
2017-07-03,52.21,52.45,51.5,52.03,36.94,4810200
2017-07-05,52.01,52.57,50.5,50.75,36.03,31997200
2017-07-06,51.27,52.69,51.08,52.6,37.34,17187000
2017-07-07,52.5,52.74,51.46,51.69,36.69,10667300
2017-07-10,51.48,51.5,50.74,51.0,36.2,7057200
2017-07-11,51.03,51.3,50.53,50.88,36.12,4107300
2017-07-12,51.49,52.4,51.28,52.05,36.95,3737500
2017-07-13,52.19,52.77,51.98,52.46,37.24,2813200
2017-07-14,52.68,53.39,52.47,53.16,37.74,2082000
2017-07-17,53.16,53.66,53.09,53.57,38.03,4586300
2017-07-18,53.95,53.98,53.08,53.57,38.03,3650900
2017-07-19,53.66,54.41,53.4,54.39,38.61,4453600
2017-07-20,54.81,55.36,54.45,54.79,38.89,4916600
2017-07-21,54.7,54.95,54.3,54.45,38.65,2554600
2017-07-24,54.52,55.06,54.43,54.88,38.96,2636700
2017-07-25,55.64,55.98,55.55,55.78,39.6,2912200
2017-07-26,55.99,56.41,55.56,55.59,39.46,2474500
2017-07-27,55.59,56.62,55.59,56.62,40.19,2237600
2017-07-28,56.61,57.25,56.45,56.46,40.08,2403800
2017-07-31,56.47,56.58,55.89,56.57,40.16,2833400
2017-08-01,56.57,56.84,56.05,56.73,40.27,3670400
2017-08-02,55.86,56.21,55.0,55.36,39.3,3010200
2017-08-03,54.5,54.77,53.79,53.85,38.75,2803600
2017-08-04,53.95,54.39,53.45,53.53,38.52,2805000
2017-08-07,53.2,53.3,52.47,53.07,38.19,3561500
2017-08-08,52.8,53.42,52.25,52.55,37.81,2568600
2017-08-09,52.69,53.0,52.47,52.76,37.96,2455000
2017-08-10,53.0,53.11,52.11,52.21,37.57,2783300
2017-08-11,52.06,52.44,51.9,52.41,37.71,2237900
2017-08-14,52.73,53.19,52.28,52.32,37.65,2690400
2017-08-15,52.32,52.38,50.69,50.95,36.66,5037000
2017-08-16,51.06,51.24,50.28,50.61,36.42,2645200
2017-08-17,50.37,50.91,50.32,50.36,36.24,2090500
2017-08-18,50.35,51.09,50.1,50.93,36.65,2213500
2017-08-21,50.88,51.08,50.56,50.97,36.68,2216300
2017-08-22,51.14,52.98,51.07,52.89,38.06,3455500
2017-08-23,52.47,53.82,52.47,53.34,38.38,3060600
2017-08-24,53.26,53.86,53.26,53.47,38.48,2814900
2017-08-25,53.65,53.84,53.48,53.66,38.61,1892800
2017-08-28,53.67,53.85,52.43,52.95,38.1,2083200
2017-08-29,52.65,53.39,52.48,53.22,38.3,2117700
2017-08-30,52.88,54.25,52.8,54.01,38.86,3410200
2017-08-31,54.4,54.4,53.72,54.16,38.97,3619600
2017-09-01,54.4,54.81,54.07,54.63,39.31,2077800
2017-09-05,55.0,55.7,54.33,54.85,39.47,3561300
2017-09-06,55.22,56.4,54.92,56.34,40.54,5613300
2017-09-07,56.14,56.94,56.11,56.47,40.63,3299200
2017-09-08,56.3,56.77,55.95,56.22,40.45,3295800
2017-09-11,56.56,57.0,56.17,56.52,40.67,2986700
2017-09-12,56.52,56.6,55.92,56.09,40.36,3041500
2017-09-13,56.25,56.58,55.96,56.48,40.64,5403500
2017-09-14,56.51,57.09,56.38,56.88,40.93,5226400
2017-09-15,56.96,57.0,56.19,56.2,40.44,13014900
2017-09-18,56.09,56.6,55.91,56.1,40.37,5500300
2017-09-19,56.15,56.27,55.29,56.11,40.38,4691900
2017-09-20,56.14,56.33,55.88,56.09,40.36,2637400
2017-09-21,55.81,56.03,54.64,55.06,39.62,3548100
2017-09-22,55.04,55.06,54.2,54.7,39.36,2765700
2017-09-25,55.15,55.9,55.08,55.5,39.94,3165400
2017-09-26,55.21,55.45,54.85,55.22,39.73,2551200
2017-09-27,55.25,55.58,54.9,55.55,39.97,2524400
2017-09-28,55.25,55.47,54.76,55.42,39.88,3381800
2017-09-29,55.22,55.61,55.11,55.41,39.87,2496200
2017-10-02,54.98,55.88,54.71,55.84,40.18,2627300
2017-10-03,55.85,56.37,55.41,56.19,40.43,2758700
2017-10-04,56.29,56.6,56.1,56.3,40.51,2113200
2017-10-05,56.4,57.08,56.24,56.7,40.8,2570100
2017-10-06,56.19,56.43,55.54,56.19,40.43,1866100
2017-10-09,56.33,56.69,56.03,56.07,40.35,2409200
2017-10-10,56.58,56.58,55.9,56.02,40.31,1828800
2017-10-11,55.9,56.55,55.78,56.38,40.57,1518900
2017-10-12,55.98,56.58,55.68,56.41,40.59,2335900
2017-10-13,56.87,56.98,56.26,56.47,40.63,2089200
2017-10-16,56.37,56.6,56.09,56.25,40.48,1633000
2017-10-17,56.25,56.45,56.08,56.42,40.6,1400500
2017-10-18,56.46,56.55,55.22,55.37,39.84,2109000
2017-10-19,55.05,55.82,55.05,55.81,40.16,1382300
2017-10-20,55.94,56.14,55.72,56.0,40.3,2309100
2017-10-23,56.13,56.22,54.98,55.05,39.61,2341900
2017-10-24,55.28,56.11,54.87,55.94,40.25,3530400
2017-10-25,55.96,55.96,53.48,53.71,38.65,3262100
2017-10-26,54.0,54.19,52.82,53.43,38.45,2909500
2017-10-27,53.13,54.34,52.8,54.08,38.91,2053400
2017-10-30,54.15,54.62,53.88,54.04,38.89,1973700
2017-10-31,54.0,54.37,53.76,54.27,39.05,2072400
2017-11-01,54.75,55.75,53.96,54.53,39.24,2724500
2017-11-02,54.24,54.49,52.67,53.35,38.39,3027900
2017-11-03,52.37,52.9,51.7,52.65,38.42,2110000
2017-11-06,52.65,52.99,52.22,52.8,38.53,3077800
2017-11-07,52.86,53.37,52.43,53.17,38.8,2142000
2017-11-08,53.06,53.55,52.84,53.1,38.75,2162800
2017-11-09,52.81,53.35,52.53,52.99,38.67,2040200
2017-11-10,53.09,53.19,52.0,52.4,38.24,2437900
2017-11-13,52.43,52.83,52.12,52.21,38.1,2336600
2017-11-14,52.24,52.56,51.27,51.38,37.5,2921700
2017-11-15,51.15,51.18,50.52,50.83,37.09,2611400
2017-11-16,50.85,51.02,50.33,50.65,36.96,2175500
2017-11-17,50.76,50.77,50.3,50.67,36.98,1526500
2017-11-20,50.65,50.99,50.39,50.83,37.09,1964300
2017-11-21,51.2,51.35,50.08,50.2,36.63,2348100
2017-11-22,50.47,50.64,50.2,50.58,36.91,2233000
2017-11-24,50.83,51.34,50.82,51.04,37.25,1056000
2017-11-27,50.8,51.03,49.65,50.02,36.5,2638100
2017-11-28,50.06,50.38,49.68,50.06,36.53,1854000
2017-11-29,49.91,50.44,49.76,50.43,36.8,2074800
2017-11-30,50.63,52.07,50.63,51.9,37.87,4323100
2017-12-01,52.27,52.4,51.59,52.11,38.03,3260300
2017-12-04,52.13,52.88,51.96,52.29,38.16,3566700
2017-12-05,52.37,52.58,52.15,52.34,38.2,2302900
2017-12-06,52.3,52.34,51.45,51.8,37.8,1733400
2017-12-07,51.81,52.42,51.65,52.41,38.25,1848500
2017-12-08,52.73,53.12,52.6,53.01,38.68,2106700
2017-12-11,53.14,54.15,53.0,53.4,38.97,3076000
2017-12-12,53.48,53.86,53.11,53.4,38.97,2427500
2017-12-13,53.47,53.54,53.1,53.22,38.84,1861700
2017-12-14,52.88,53.47,52.72,52.74,38.49,2280200
2017-12-15,52.88,53.02,52.06,52.16,38.06,5325700
2017-12-18,52.48,52.78,52.16,52.35,38.2,3723800
2017-12-19,52.7,52.7,51.84,51.86,37.85,2434100
2017-12-20,52.25,52.25,51.47,51.51,37.59,3059000
2017-12-21,51.43,52.4,51.28,52.22,38.11,3014900
2017-12-22,52.22,53.44,52.14,53.21,38.83,2940400
