Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,82.98,83.32,82.81,83.15,69.56,1130900
2017-05-25,83.15,83.91,83.15,83.6,69.93,1047800
2017-05-26,83.59,83.98,83.08,83.26,69.65,1201000
2017-05-30,83.34,83.77,82.95,83.4,69.77,2215300
2017-05-31,83.56,83.92,83.22,83.72,70.03,1766800
2017-06-01,83.69,85.26,83.42,85.26,71.32,1522000
2017-06-02,85.33,85.44,84.68,85.12,71.21,1273700
2017-06-05,84.57,84.73,84.02,84.42,70.62,1402900
2017-06-06,83.5,83.5,82.67,82.68,69.16,2118500
2017-06-07,82.57,82.83,80.71,80.75,67.55,2884500
2017-06-08,80.75,80.75,79.87,80.28,67.16,2576400
2017-06-09,80.3,81.99,79.86,81.5,68.18,3213200
2017-06-12,81.2,82.04,81.2,81.45,68.6,1901300
2017-06-13,81.55,81.95,81.11,81.77,68.87,1479100
2017-06-14,81.78,82.54,81.68,82.41,69.41,1644000
2017-06-15,82.37,83.11,82.1,82.86,69.79,2249000
2017-06-16,83.04,83.86,82.81,83.31,70.16,2317600
2017-06-19,83.71,84.16,83.44,83.67,70.47,2304100
2017-06-20,83.62,83.78,82.27,82.41,69.41,1874000
2017-06-21,82.25,82.95,82.12,82.63,69.59,1345400
2017-06-22,82.62,83.23,82.24,82.25,69.27,1134700
2017-06-23,82.4,83.08,82.1,82.37,69.37,1472900
2017-06-26,82.47,82.84,81.94,82.73,69.68,1401900
2017-06-27,82.71,83.34,82.71,83.05,69.95,1191700
2017-06-28,83.41,83.95,83.34,83.75,70.54,1142500
2017-06-29,83.73,83.9,82.99,83.33,70.18,1496000
2017-06-30,83.69,83.69,82.41,82.9,69.82,1754000
2017-07-03,82.69,83.64,82.24,83.14,70.02,1096900
2017-07-05,83.42,83.57,82.92,83.24,70.11,1543000
2017-07-06,82.94,83.36,81.31,81.54,68.67,2521500
2017-07-07,81.5,81.75,80.64,81.5,68.64,1660100
2017-07-10,81.38,81.73,80.87,81.1,68.3,1474100
2017-07-11,81.08,81.27,80.1,80.69,67.96,2605600
2017-07-12,81.16,81.6,80.28,80.4,67.71,2238500
2017-07-13,80.38,81.07,80.18,80.87,68.11,1425900
2017-07-14,80.93,81.39,80.61,81.28,68.46,1428400
2017-07-17,80.88,81.75,80.88,81.52,68.66,1609800
2017-07-18,81.47,81.51,80.61,81.09,68.3,1555900
2017-07-19,81.58,81.87,80.44,80.74,68.0,2563900
2017-07-20,79.32,83.22,79.19,82.7,69.65,3819900
2017-07-21,82.08,82.82,81.85,82.73,69.68,2126700
2017-07-24,82.6,82.96,81.77,82.12,69.16,1694200
2017-07-25,80.92,81.28,78.76,79.5,66.96,4808600
2017-07-26,79.72,79.93,78.71,78.83,66.39,2174900
2017-07-27,78.58,79.19,77.5,78.87,66.43,3836000
2017-07-28,78.8,79.22,78.66,78.9,66.45,1273600
2017-07-31,79.03,79.29,78.35,78.74,66.32,1525900
2017-08-01,78.76,79.41,78.37,79.15,66.66,1535200
2017-08-02,79.03,79.17,78.21,78.82,66.38,1285400
2017-08-03,79.02,80.26,78.62,79.61,67.05,2081600
2017-08-04,79.61,79.82,79.05,79.2,66.7,1404400
2017-08-07,79.18,79.34,78.5,79.06,66.59,1163600
2017-08-08,78.98,79.25,78.46,78.59,66.19,1436200
2017-08-09,78.28,78.91,78.04,78.82,66.38,1426500
2017-08-10,78.67,78.83,77.85,77.93,65.63,1714300
2017-08-11,78.15,78.48,77.72,77.75,65.48,1020600
2017-08-14,78.15,78.65,77.9,78.4,66.03,796700
2017-08-15,78.35,78.48,78.03,78.29,65.94,895700
2017-08-16,78.47,79.03,78.23,78.66,66.25,1090100
2017-08-17,78.53,78.88,77.63,77.65,65.4,1204000
2017-08-18,77.53,77.73,76.74,76.76,64.65,1402600
2017-08-21,76.9,77.33,76.66,76.91,64.77,1533800
2017-08-22,77.08,78.27,76.92,78.13,65.8,1360400
2017-08-23,73.69,75.36,72.64,72.66,61.2,6994000
2017-08-24,72.9,73.8,72.75,73.01,61.49,2574700
2017-08-25,73.17,74.15,73.04,73.13,61.59,2677100
2017-08-28,73.43,73.69,73.01,73.19,61.64,1373500
2017-08-29,73.0,73.16,72.61,72.83,61.34,2101300
2017-08-30,72.81,72.87,72.0,72.31,60.9,1613200
2017-08-31,72.31,72.52,71.8,72.38,60.96,3040000
2017-09-01,72.38,72.62,71.72,71.94,60.59,1476000
2017-09-05,71.97,72.34,71.63,71.73,60.41,1451400
2017-09-06,72.69,73.3,72.3,73.1,61.57,2657100
2017-09-07,73.18,73.29,72.3,72.47,61.04,2380700
2017-09-08,72.43,73.35,71.68,72.83,61.34,1331500
2017-09-11,73.09,73.87,72.99,73.34,61.77,1347700
2017-09-12,73.61,73.63,72.5,72.94,61.43,1526300
2017-09-13,72.9,74.03,72.86,73.65,62.03,1633300
2017-09-14,73.54,73.59,72.8,73.29,61.73,1401100
2017-09-15,73.29,73.46,72.1,73.04,61.52,2918200
2017-09-18,73.05,73.53,72.37,72.7,61.23,1754300
2017-09-19,72.73,72.86,72.33,72.75,61.27,1251300
2017-09-20,72.94,74.43,72.94,74.36,62.63,2297200
2017-09-21,73.67,75.21,73.67,74.23,62.98,2043500
2017-09-22,74.31,75.09,74.09,75.0,63.64,1482900
2017-09-25,74.9,75.9,74.79,75.87,64.37,2427100
2017-09-26,75.95,76.67,75.04,75.13,63.75,1734200
2017-09-27,75.27,75.64,74.48,75.43,64.0,1737200
2017-09-28,75.02,75.23,74.04,74.24,62.99,2019600
2017-09-29,74.24,74.29,73.26,74.07,62.85,2541500
2017-10-02,74.21,75.59,73.48,75.54,64.09,1836400
2017-10-03,75.4,75.48,74.48,74.7,63.38,1993200
2017-10-04,75.32,76.49,75.07,75.82,64.33,1816000
2017-10-05,75.7,76.45,75.6,76.37,64.8,1638800
2017-10-06,76.19,76.5,75.24,75.42,63.99,1571400
2017-10-09,75.44,75.64,74.53,74.67,63.36,1142400
2017-10-10,74.9,75.43,74.34,74.45,63.17,1307700
2017-10-11,74.26,74.53,73.9,74.35,63.09,2758500
2017-10-12,74.3,74.84,73.94,74.36,63.09,2138100
2017-10-13,74.64,75.56,74.05,75.14,63.76,1637300
2017-10-16,74.17,74.97,73.0,73.93,62.73,3901500
2017-10-17,76.41,78.7,74.96,75.59,64.14,5737400
2017-10-18,75.81,76.32,74.65,75.45,64.02,2558500
2017-10-19,74.55,74.71,72.42,72.96,61.91,3467300
2017-10-20,73.22,74.25,72.72,73.69,62.53,3496300
2017-10-23,73.93,74.23,72.84,73.01,61.95,1891700
2017-10-24,70.79,72.0,70.46,70.92,60.17,3699700
2017-10-25,70.99,71.27,69.42,69.81,59.23,3710100
2017-10-26,70.11,71.39,69.75,70.36,59.7,2754700
2017-10-27,70.28,70.57,68.0,68.56,58.17,3712300
2017-10-30,68.34,68.45,67.25,67.52,57.29,2215000
2017-10-31,69.25,69.25,67.17,67.19,57.01,3081000
2017-11-01,67.68,68.72,67.37,67.63,57.38,2368200
2017-11-02,67.65,67.86,65.94,66.19,56.16,2618800
2017-11-03,66.17,67.04,65.55,66.21,56.18,1820600
2017-11-06,66.08,66.93,66.08,66.55,56.47,1924900
2017-11-07,66.5,66.83,65.45,65.52,55.59,1489500
2017-11-08,65.62,65.94,65.32,65.6,55.66,1377600
2017-11-09,65.44,68.06,65.32,67.28,57.09,3915900
2017-11-10,67.08,67.87,67.0,67.55,57.32,2340300
2017-11-13,67.35,67.93,67.14,67.92,57.63,2348800
2017-11-14,67.44,68.42,67.28,67.66,57.41,1895800
2017-11-15,67.32,67.41,66.76,67.15,56.98,1875500
2017-11-16,67.09,67.63,66.91,67.45,57.23,2517200
2017-11-17,67.34,69.56,67.3,69.44,58.92,4790300
2017-11-20,68.97,69.9,68.52,69.62,59.07,2908600
2017-11-21,69.76,70.37,69.46,69.54,59.0,2501900
2017-11-22,69.43,69.64,68.79,68.87,58.44,1196700
2017-11-24,68.92,69.4,68.71,68.97,58.52,512100
2017-11-27,69.0,69.33,68.66,68.84,58.41,1652100
2017-11-28,68.81,70.74,68.8,70.65,59.95,2462900
2017-11-29,70.65,74.97,70.52,72.93,61.88,5611200
2017-11-30,72.85,73.76,71.06,71.44,60.62,3573100
2017-12-01,71.57,73.45,70.64,73.38,62.26,2642100
2017-12-04,74.02,76.09,74.02,74.7,63.38,4181200
2017-12-05,75.42,76.48,74.15,75.31,63.9,3735600
2017-12-06,74.49,75.88,74.31,74.47,63.19,2495600
2017-12-07,74.39,74.78,72.95,73.09,62.02,3133600
2017-12-08,73.32,73.65,72.82,73.48,62.35,3272000
2017-12-11,73.95,75.18,73.48,74.44,63.16,2570600
2017-12-12,74.44,74.88,73.7,74.51,63.22,1922000
2017-12-13,73.84,74.66,73.41,73.71,62.54,2019400
2017-12-14,73.35,74.33,72.59,73.1,62.02,3311500
2017-12-15,73.52,74.83,73.52,74.41,63.14,4030900
2017-12-18,74.21,74.49,72.72,73.47,62.85,1791000
2017-12-19,73.57,74.02,72.96,73.87,63.19,1937900
2017-12-20,73.89,74.54,73.6,74.0,63.3,2247900
2017-12-21,74.22,74.81,73.99,74.08,63.37,1368600
2017-12-22,74.33,74.33,73.23,73.61,62.97,1751500
2017-12-26,73.51,74.27,73.02,73.35,62.74,722700
2017-12-27,73.39,73.53,72.94,73.48,62.85,1196100
2017-12-28,73.71,73.71,72.65,73.4,62.79,925100
2017-12-29,73.41,73.83,72.83,72.83,62.3,1418100
2018-01-02,72.66,73.36,71.35,72.77,62.25,3065200
2018-01-03,72.59,72.82,70.2,70.36,60.19,3588300
2018-01-04,70.41,71.23,69.65,71.06,60.78,2032700
2018-01-05,71.39,72.22,70.85,72.17,61.73,1841600
2018-01-08,71.73,72.62,71.26,72.41,61.94,1875400
2018-01-09,72.76,73.15,72.02,72.08,61.66,1626100
2018-01-10,71.9,72.81,71.2,72.7,62.19,1906100
2018-01-11,72.79,74.42,72.66,74.32,63.57,1911000
