Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,44.65,44.88,44.5,44.83,41.35,7653600
2017-05-25,44.99,45.3,44.83,45.2,41.69,7597600
2017-05-26,45.21,45.45,45.06,45.26,41.74,6899700
2017-05-30,45.11,45.46,45.11,45.42,41.89,10769800
2017-05-31,45.42,45.55,45.26,45.39,41.86,14757600
2017-06-01,45.52,45.8,45.36,45.79,42.23,8138900
2017-06-02,45.88,46.07,45.48,45.66,42.11,11794600
2017-06-05,45.69,46.0,45.67,45.92,42.35,8617300
2017-06-06,45.73,45.84,45.6,45.61,42.07,7449500
2017-06-07,45.62,45.65,45.14,45.4,41.87,7688700
2017-06-08,45.4,45.86,45.31,45.42,41.89,12889500
2017-06-09,45.4,45.67,44.68,45.03,41.53,12188400
2017-06-12,44.65,44.85,43.74,44.85,41.36,16189900
2017-06-13,45.07,45.24,44.62,44.98,41.48,10705800
2017-06-14,45.16,45.28,44.49,44.81,41.33,12024600
2017-06-15,44.55,44.82,44.37,44.68,41.21,10394600
2017-06-16,44.75,45.1,44.53,45.09,41.59,15930900
2017-06-19,45.27,45.75,45.21,45.73,42.18,12787700
2017-06-20,45.76,46.32,45.6,45.84,42.28,15299600
2017-06-21,46.15,46.54,46.08,46.33,42.73,30757300
2017-06-22,46.33,51.85,46.33,50.3,46.39,63193900
2017-06-23,50.24,51.84,50.07,50.95,46.99,42812500
2017-06-26,50.99,51.7,50.77,50.86,46.91,29453400
2017-06-27,50.75,51.45,50.52,50.75,46.81,17876400
2017-06-28,51.07,51.09,50.81,50.87,46.92,15981600
2017-06-29,50.76,50.89,49.98,50.2,46.3,13929100
2017-06-30,50.18,50.52,50.08,50.14,46.24,13146400
2017-07-03,50.05,50.13,49.32,49.36,45.52,10883200
2017-07-05,49.8,50.03,49.41,49.46,45.62,15775300
2017-07-06,49.25,49.42,48.77,48.85,45.05,14411900
2017-07-07,48.83,49.44,48.83,49.35,45.51,10889400
2017-07-10,49.27,49.83,49.22,49.62,45.76,10098500
2017-07-11,49.53,49.89,49.41,49.88,46.0,9751100
2017-07-12,50.02,50.48,49.96,50.45,46.53,14461400
2017-07-13,50.55,50.68,50.25,50.35,46.44,11959900
2017-07-14,50.27,50.65,50.27,50.56,46.63,9875900
2017-07-17,50.31,50.58,50.24,50.44,46.7,8093600
2017-07-18,50.34,50.7,50.16,50.45,46.7,14104800
2017-07-19,50.46,51.1,50.36,51.0,47.21,13312800
2017-07-20,51.14,51.26,50.84,51.13,47.33,8772500
2017-07-21,50.87,51.15,50.65,50.8,47.03,8791900
2017-07-24,50.8,50.9,50.61,50.76,46.99,7639100
2017-07-25,50.91,51.23,50.79,51.17,47.37,10536200
2017-07-26,51.15,51.19,51.02,51.17,47.37,5724500
2017-07-27,51.3,51.36,50.19,50.45,46.7,16508800
2017-07-28,50.19,50.49,50.04,50.3,46.57,8996400
2017-07-31,50.48,50.5,49.9,49.93,46.22,10066600
2017-08-01,50.15,50.22,49.82,50.16,46.44,6066200
2017-08-02,50.26,50.31,49.58,49.77,46.08,8720700
2017-08-03,49.92,50.41,49.73,50.23,46.5,9490100
2017-08-04,50.18,50.21,49.87,49.96,46.25,7025300
2017-08-07,50.0,50.09,49.53,49.64,45.95,8280300
2017-08-08,49.54,49.83,48.97,49.1,45.45,14684300
2017-08-09,48.98,49.39,48.86,49.06,45.42,15872400
2017-08-10,48.96,48.96,48.05,48.1,44.53,13391100
2017-08-11,48.18,48.44,47.98,48.24,44.66,11704600
2017-08-14,48.48,48.96,48.47,48.85,45.22,9229100
2017-08-15,48.89,49.06,48.77,48.83,45.2,10663500
2017-08-16,48.97,49.32,48.76,49.25,45.59,9881200
2017-08-17,49.17,49.31,48.55,48.55,44.95,9661600
2017-08-18,48.45,48.88,48.31,48.62,45.01,10248400
2017-08-21,48.65,48.96,48.54,48.9,45.27,7293400
2017-08-22,49.12,49.35,48.99,49.26,45.6,9233000
2017-08-23,49.06,49.43,48.94,49.07,45.43,6895400
2017-08-24,49.07,49.26,48.88,49.19,45.54,7365500
2017-08-25,49.44,49.44,49.15,49.24,45.58,7853300
2017-08-28,49.39,49.39,49.04,49.24,45.58,6211300
2017-08-29,48.88,49.57,48.75,49.45,45.78,7245900
2017-08-30,49.5,49.95,49.36,49.8,46.1,6957400
2017-08-31,49.88,50.52,49.84,50.33,46.59,12958100
2017-09-01,50.35,50.88,50.35,50.62,46.86,8716800
2017-09-05,50.53,51.08,50.47,50.93,47.15,15610700
2017-09-06,51.08,51.23,50.8,51.01,47.22,15615600
2017-09-07,51.19,51.78,51.03,51.73,47.89,11516800
2017-09-08,51.8,51.88,51.38,51.58,47.75,10356500
2017-09-11,51.88,52.61,51.81,52.49,48.59,16526300
2017-09-12,52.64,52.89,52.47,52.77,48.85,13352400
2017-09-13,52.52,52.98,52.45,52.8,48.88,14463000
2017-09-14,52.76,53.14,52.32,52.79,48.87,21901600
2017-09-15,50.65,50.7,48.48,48.74,45.12,66367900
2017-09-18,48.88,49.06,48.09,48.33,44.74,29434700
2017-09-19,48.49,48.5,47.88,48.04,44.47,23070700
2017-09-20,48.0,48.19,47.69,47.97,44.41,21257300
2017-09-21,47.82,48.19,47.82,47.97,44.41,15656300
2017-09-22,47.92,48.43,47.92,48.16,44.58,15341900
2017-09-25,48.52,48.54,47.64,47.97,44.41,15663600
2017-09-26,48.1,48.21,47.89,47.92,44.36,18679900
2017-09-27,48.05,48.36,47.95,48.16,44.58,14499200
2017-09-28,48.2,48.25,48.01,48.08,44.51,12997700
2017-09-29,48.19,48.75,47.96,48.35,44.76,44896600
2017-10-02,48.72,49.0,48.57,48.8,45.18,26097300
2017-10-03,48.95,48.96,48.54,48.69,45.08,12710800
2017-10-04,48.99,49.19,48.76,48.9,45.27,15204500
2017-10-05,48.96,49.03,48.5,48.91,45.28,13886100
2017-10-06,48.64,48.7,48.22,48.4,44.81,16340400
2017-10-09,48.36,48.58,48.17,48.36,44.77,10173000
2017-10-10,48.16,48.46,48.0,48.21,44.81,15630500
2017-10-11,48.16,48.47,48.16,48.28,44.87,12588300
2017-10-12,48.27,48.48,48.11,48.23,44.83,11715600
2017-10-13,48.37,48.71,48.33,48.61,45.18,10142300
2017-10-16,48.61,48.91,48.49,48.86,45.41,9378100
2017-10-17,48.82,49.3,48.71,49.19,45.72,14191300
2017-10-18,49.5,49.76,49.16,49.58,46.08,12064100
2017-10-19,49.44,49.67,49.19,49.35,45.87,10048600
2017-10-20,49.54,49.79,49.16,49.25,45.77,15501500
2017-10-23,49.28,49.66,49.22,49.31,45.83,14633400
2017-10-24,49.33,50.14,49.25,49.98,46.45,17562400
2017-10-25,49.89,50.65,49.64,49.7,46.19,20635800
2017-10-26,50.11,50.3,49.77,50.15,46.61,16952900
