Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,239.53,241.38,234.5,240.01,240.01,2220800
2017-05-25,242.26,244.67,241.08,243.85,243.85,1161000
2017-05-26,245.0,249.01,243.23,248.48,248.48,1148600
2017-05-30,246.53,251.94,245.04,247.63,247.63,1626100
2017-05-31,247.93,247.93,239.6,242.08,242.08,1650300
2017-06-01,243.54,246.29,240.06,245.65,245.65,1060700
2017-06-02,244.65,246.51,242.47,245.92,245.92,895500
2017-06-05,245.22,245.22,237.5,240.18,240.18,1645800
2017-06-06,240.12,240.12,233.59,235.41,235.41,1572200
2017-06-07,235.72,237.75,234.08,234.89,234.89,1158400
2017-06-08,234.23,234.57,230.06,230.62,230.62,1216100
2017-06-09,230.8,233.71,228.69,232.84,232.84,1225600
2017-06-12,232.66,236.83,232.08,234.72,234.72,1364300
2017-06-13,234.41,235.63,231.75,234.54,234.54,839300
2017-06-14,233.82,235.04,231.67,234.33,234.33,1018200
2017-06-15,233.99,234.94,230.64,233.97,233.97,1503100
2017-06-16,232.65,234.59,228.43,231.39,231.39,1690900
2017-06-19,233.12,233.73,226.76,230.38,230.38,1316400
2017-06-20,226.51,226.58,220.31,225.01,225.01,2673400
2017-06-21,224.75,224.75,217.99,220.77,220.77,1734500
2017-06-22,221.85,223.06,219.39,220.13,220.13,1153400
2017-06-23,220.45,221.82,219.29,220.08,220.08,1058000
2017-06-26,220.55,225.3,219.85,222.97,222.97,1053800
2017-06-27,222.27,225.27,220.24,221.87,221.87,742400
2017-06-28,220.22,221.82,216.61,217.02,217.02,1655700
2017-06-29,216.97,219.57,215.76,216.04,216.04,1253100
2017-06-30,217.44,219.48,215.76,218.74,218.74,1322300
2017-07-03,218.74,220.89,217.38,220.41,220.41,485700
2017-07-05,199.6,200.0,173.89,178.77,178.77,12830400
2017-07-06,178.0,181.91,176.13,176.53,176.53,5388900
2017-07-07,172.84,176.06,170.68,172.85,172.85,4485900
2017-07-10,174.28,174.97,169.43,173.17,173.17,3348600
2017-07-11,173.58,175.23,171.94,174.1,174.1,2259300
2017-07-12,174.97,179.46,174.81,177.1,177.1,2972600
2017-07-13,177.81,186.73,177.33,184.63,184.63,2643400
2017-07-14,185.97,186.75,182.22,184.22,184.22,1643700
2017-07-17,184.49,188.0,183.7,185.5,185.5,2264500
2017-07-18,188.4,191.2,185.44,187.54,187.54,2826700
2017-07-19,188.02,188.93,185.88,186.91,186.91,2101800
2017-07-20,187.25,190.2,186.92,188.69,188.69,1487100
2017-07-21,188.46,189.37,187.15,188.19,188.19,2212100
2017-07-24,188.25,188.78,184.04,184.43,184.43,1711500
2017-07-25,184.33,187.02,183.6,186.85,186.85,1956600
2017-07-26,187.35,190.36,186.05,187.43,187.43,1783600
2017-07-27,196.4,202.17,190.05,201.31,201.31,3219100
2017-07-28,200.37,201.77,198.01,200.03,200.03,1452700
2017-07-31,200.22,205.71,199.3,204.3,204.3,1498300
2017-08-01,204.44,208.84,202.53,208.16,208.16,1459100
2017-08-02,207.88,210.03,206.58,209.66,209.66,1938300
2017-08-03,209.96,211.02,205.42,205.6,205.6,2833100
2017-08-04,206.41,207.27,204.71,205.05,205.05,1467500
2017-08-07,204.49,207.72,203.34,205.09,205.09,1218100
2017-08-08,204.04,205.5,202.08,203.07,203.07,1384800
2017-08-09,202.01,204.26,201.5,203.17,203.17,1155800
2017-08-10,201.38,202.01,196.72,197.22,197.22,1396000
2017-08-11,198.43,201.03,196.32,198.91,198.91,984100
2017-08-14,200.15,201.26,197.94,198.44,198.44,897700
2017-08-15,190.66,198.1,186.82,196.0,196.0,3097700
2017-08-16,198.99,202.37,196.51,201.58,201.58,1661600
2017-08-17,201.89,205.49,199.72,200.63,200.63,1530100
2017-08-18,200.07,203.74,196.85,197.92,197.92,1366500
2017-08-21,198.85,199.21,194.73,197.8,197.8,1081400
2017-08-22,198.66,199.41,196.9,197.99,197.99,856200
2017-08-23,197.07,198.83,194.92,195.26,195.26,1147200
2017-08-24,194.72,197.67,194.72,196.44,196.44,1322600
2017-08-25,196.59,205.41,196.26,202.28,202.28,1375900
2017-08-28,202.49,202.96,197.86,198.06,198.06,1038200
2017-08-29,197.39,198.77,195.61,197.02,197.02,878400
2017-08-30,197.07,199.54,196.22,198.09,198.09,1033300
2017-08-31,198.0,199.03,195.1,196.13,196.13,1332200
2017-09-01,197.19,199.44,196.64,196.99,196.99,1460700
2017-09-05,197.72,202.39,197.72,200.38,200.38,1041500
2017-09-06,201.03,202.5,199.96,202.28,202.28,837100
2017-09-07,202.63,203.42,198.5,200.38,200.38,887700
2017-09-08,200.42,201.42,198.26,199.1,199.1,684000
2017-09-11,199.16,200.74,196.2,196.41,196.41,940000
2017-09-12,196.06,201.0,194.06,199.27,199.27,1624400
2017-09-13,199.31,209.79,199.25,208.01,208.01,1485200
2017-09-14,207.11,209.24,206.43,207.13,207.13,1167900
2017-09-15,207.34,212.09,206.1,209.86,209.86,1968700
2017-09-18,210.21,211.35,208.34,210.08,210.08,1366100
2017-09-19,213.13,216.61,201.05,202.91,202.91,2612200
2017-09-20,202.25,206.84,201.65,203.26,203.26,1125000
2017-09-21,204.17,205.67,200.27,202.26,202.26,1165500
2017-09-22,202.67,209.82,202.58,209.59,209.59,1027200
2017-09-25,209.71,219.98,209.46,215.15,215.15,1814100
2017-09-26,216.58,216.58,212.46,212.95,212.95,851900
2017-09-27,213.02,214.99,211.92,214.51,214.51,804600
2017-09-28,213.6,215.63,212.49,215.28,215.28,575100
2017-09-29,215.09,216.58,214.22,215.37,215.37,730700
2017-10-02,215.98,215.98,214.14,215.4,215.4,587600
2017-10-03,215.23,216.26,213.35,213.95,213.95,592600
2017-10-04,213.94,215.65,209.89,212.16,212.16,681100
2017-10-05,212.79,212.95,209.93,211.18,211.18,813800
2017-10-06,211.32,214.27,208.64,212.94,212.94,730300
2017-10-09,212.41,213.01,207.71,207.82,207.82,637700
2017-10-10,207.82,212.25,207.82,209.87,209.87,731300
