Date,Open,High,Low,Close,Adj Close,Volume
2020-03-19,40.0,46.0,40.0,45.25,43.97,7000
2020-03-20,45.01,46.01,45.0,45.0,43.73,3600
2020-03-23,42.0,42.0,39.98,40.0,38.87,11900
2020-03-24,40.0,40.0,39.0,40.0,38.87,77800
2020-03-25,40.0,44.8,38.0,41.01,39.85,7000
2020-03-26,45.0,47.5,44.25,45.0,43.73,29100
2020-03-27,45.0,47.5,44.99,45.24,43.96,263200
2020-03-30,44.25,50.0,44.25,50.0,48.59,118100
2020-03-31,46.5,50.0,44.78,50.0,48.59,210300
2020-04-01,45.99,48.5,44.0,46.7,45.38,1206100
2020-04-02,45.02,48.66,43.2,44.0,42.76,9264200
2020-04-03,43.75,49.3,41.8,47.32,45.98,22551600
2020-04-06,47.0,47.85,44.7,45.94,44.64,10294200
2020-04-07,45.15,46.99,42.93,44.28,43.03,12146500
2020-04-08,42.21,45.2,41.26,44.09,42.84,22265800
2020-04-09,44.05,50.25,44.0,49.14,47.75,17355600
2020-04-13,48.55,48.67,45.72,46.0,44.7,8545100
2020-04-14,45.91,46.3,43.97,45.89,44.59,10152100
2020-04-15,44.19,44.85,42.8,44.55,43.29,7935500
2020-04-16,44.08,46.41,43.55,45.62,44.33,8740200
2020-04-17,47.0,48.56,45.92,46.15,44.85,7878100
2020-04-20,45.0,46.98,44.9,45.39,44.11,5407500
2020-04-21,44.5,47.2,44.5,45.9,44.6,6939700
2020-04-22,47.31,49.55,46.0,47.05,45.72,6801900
2020-04-23,47.44,48.04,46.48,47.47,46.13,5174800
2020-04-24,48.02,48.5,46.31,47.85,46.5,6446900
2020-04-27,48.08,48.6,47.61,48.22,46.86,5541100
2020-04-28,49.07,50.95,48.65,49.86,48.45,5368200
2020-04-29,50.77,51.73,49.71,51.15,49.7,4343900
2020-04-30,50.97,51.6,50.5,50.91,49.47,6123800
2020-05-01,50.33,50.53,48.31,49.71,48.31,3089700
2020-05-04,48.85,49.67,47.51,49.53,48.13,5676600
2020-05-05,49.53,50.64,47.96,48.09,46.73,4103600
2020-05-06,48.61,49.0,47.89,48.31,46.94,2931800
2020-05-07,49.02,53.29,48.99,51.81,50.35,4803200
2020-05-08,52.12,54.17,52.11,52.95,51.45,4289400
2020-05-11,52.0,52.4,51.06,51.81,50.35,3150600
2020-05-12,52.19,52.29,49.69,49.72,48.32,3059800
2020-05-13,49.0,50.3,47.88,48.21,46.85,4567000
2020-05-14,47.61,48.4,47.23,48.0,46.64,4849900
2020-05-15,47.32,49.22,47.2,48.89,47.51,2981400
2020-05-18,50.12,52.34,50.12,52.13,50.66,4452600
2020-05-19,51.68,52.93,51.06,52.31,50.83,2050300
2020-05-20,52.55,54.7,52.47,53.18,51.68,4755100
2020-05-21,52.36,53.55,51.87,52.03,50.75,3813100
2020-05-22,52.46,52.72,50.92,51.71,50.44,2134300
2020-05-26,53.03,53.99,50.7,50.89,49.64,6247000
2020-05-27,51.59,52.65,50.77,52.38,51.09,5202300
2020-05-28,52.87,52.95,50.93,50.96,49.71,4260700
2020-05-29,50.44,52.87,50.18,52.65,51.36,7522700
2020-06-01,52.45,54.44,52.11,54.08,52.75,3073300
2020-06-02,54.16,54.75,53.29,54.15,52.82,2638100
2020-06-03,55.0,55.58,54.55,55.47,54.11,4134500
2020-06-04,55.3,56.66,54.69,55.4,54.04,3281300
2020-06-05,57.83,58.71,56.0,58.57,57.13,4615100
2020-06-08,58.68,61.32,58.36,61.26,59.75,5966500
2020-06-09,60.4,61.46,59.24,60.65,59.16,4610200
2020-06-10,60.61,60.96,59.02,59.03,57.58,2658300
2020-06-11,56.0,58.07,55.71,56.25,54.87,3293900
2020-06-12,57.73,58.98,55.1,56.04,54.66,4313000
2020-06-15,54.51,57.8,53.83,57.67,56.25,4464300
2020-06-16,59.5,59.8,57.38,57.85,56.43,3510300
2020-06-17,58.12,58.19,56.46,56.74,55.34,2441500
2020-06-18,56.44,57.68,56.24,57.49,56.08,2137500
2020-06-19,58.96,58.96,55.95,57.0,55.6,7096100
2020-06-22,56.88,58.18,56.64,57.06,55.66,2027000
2020-06-23,57.69,57.87,56.59,56.8,55.4,2386900
2020-06-24,56.15,56.97,55.25,55.54,54.17,3022000
2020-06-25,55.05,56.5,54.76,56.2,54.82,2942900
2020-06-26,56.23,56.48,54.44,55.79,54.42,6634300
2020-06-29,55.89,56.8,55.33,56.57,55.18,2257300
2020-06-30,55.97,57.1,55.51,56.86,55.46,2518100
2020-07-01,57.0,57.0,55.75,55.78,54.41,2400200
2020-07-02,56.43,57.24,55.77,56.5,55.11,3162900
2020-07-06,57.38,57.58,56.43,56.86,55.46,1999100
2020-07-07,56.43,57.31,56.12,56.82,55.42,2537900
2020-07-08,57.03,57.15,56.27,56.92,55.52,6694900
2020-07-09,56.86,57.94,56.07,56.11,54.73,2424200
2020-07-10,56.23,57.31,56.04,56.98,55.58,2137300
2020-07-13,56.56,57.94,56.47,56.89,55.49,2882500
2020-07-14,56.22,57.45,56.03,57.37,55.96,2755100
2020-07-15,58.01,59.0,57.86,58.2,56.77,2358400
2020-07-16,58.0,58.56,57.66,58.32,56.89,2628800
2020-07-17,58.73,59.03,58.15,58.55,57.11,2983100
2020-07-20,58.42,59.65,57.99,58.56,57.12,2407800
2020-07-21,58.38,58.94,58.1,58.44,57.0,2314000
2020-07-22,57.96,58.93,57.68,58.48,57.04,2034300
2020-07-23,58.5,59.47,58.34,59.06,57.61,2566500
2020-07-24,59.18,59.19,57.63,58.13,56.7,3142100
2020-07-27,57.86,58.44,57.6,58.32,56.89,2670300
