Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,58.23,58.59,58.01,58.4,50.28,1305400
2017-05-25,58.68,59.27,58.45,59.11,50.89,1454000
2017-05-26,59.22,59.33,58.76,59.28,51.03,1345500
2017-05-30,59.28,59.28,58.69,59.11,50.89,1087600
2017-05-31,59.31,59.45,59.02,59.23,50.99,4670200
2017-06-01,59.49,59.68,59.1,59.67,51.37,1369900
2017-06-02,59.57,59.57,58.32,59.27,51.02,2820900
2017-06-05,59.32,59.9,59.13,59.6,51.31,1662300
2017-06-06,59.42,59.58,59.03,59.06,50.84,1179500
2017-06-07,59.27,59.4,59.03,59.31,51.06,1144900
2017-06-08,59.26,59.35,58.66,58.91,50.71,1202300
2017-06-09,58.98,59.25,58.43,58.56,50.41,1880000
2017-06-12,58.44,59.98,58.23,59.64,51.34,2694300
2017-06-13,59.5,60.57,59.5,60.51,52.09,2071800
2017-06-14,60.47,60.71,59.89,60.09,51.73,2107900
2017-06-15,59.92,60.8,59.82,60.73,52.28,1771100
2017-06-16,60.76,61.12,60.21,61.1,52.6,3323100
2017-06-19,61.57,61.57,60.91,61.13,52.63,2052400
2017-06-20,60.32,60.59,59.91,60.01,51.66,2023900
2017-06-21,59.96,60.2,59.73,59.93,51.59,1305700
2017-06-22,59.87,60.03,59.11,59.4,51.14,1660200
2017-06-23,59.26,59.47,59.1,59.24,51.0,2941100
2017-06-26,59.65,59.65,59.11,59.24,51.0,2480200
2017-06-27,59.19,59.35,58.5,58.62,50.47,3594500
2017-06-28,57.5,58.0,56.56,57.65,49.63,5608400
2017-06-29,57.5,57.66,56.51,56.69,48.8,3229800
2017-06-30,57.31,57.33,56.63,56.94,49.02,3362000
2017-07-03,56.4,57.13,56.37,56.53,48.67,1459300
2017-07-05,56.77,57.57,56.35,57.49,49.49,2792200
2017-07-06,57.31,57.31,56.68,56.97,49.04,2176400
2017-07-07,57.16,57.7,56.89,57.42,49.43,1655400
2017-07-10,57.42,57.96,57.32,57.84,49.79,1950000
2017-07-11,57.67,57.68,56.57,56.6,48.73,2917700
2017-07-12,56.83,57.37,56.83,57.24,49.28,1849400
2017-07-13,57.38,57.49,57.0,57.2,49.24,1743300
2017-07-14,57.35,57.44,57.09,57.1,49.16,1383300
