Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,16.89,16.95,16.73,16.85,13.63,2231313
2017-05-25,16.87,16.99,16.78,16.85,13.63,1863572
2017-05-26,16.79,16.92,16.74,16.87,13.65,2170419
2017-05-30,16.78,16.95,16.6,16.7,13.51,2309945
2017-05-31,16.71,16.78,16.44,16.57,13.4,7100954
2017-06-01,16.66,16.94,16.54,16.89,13.66,3627107
2017-06-02,16.76,16.97,16.67,16.78,13.57,3012421
2017-06-05,16.86,17.01,16.81,16.82,13.6,2783678
2017-06-06,16.7,16.77,16.54,16.64,13.46,4537360
2017-06-07,16.72,16.89,16.65,16.82,13.6,2626220
2017-06-08,16.75,17.37,16.74,17.12,13.85,4676464
2017-06-09,17.21,17.74,17.17,17.67,14.29,3220170
2017-06-12,17.74,18.04,17.73,17.83,14.42,5030975
2017-06-13,17.87,17.99,17.69,17.79,14.39,3275103
2017-06-14,17.6,17.77,17.4,17.75,14.36,2903662
2017-06-15,17.58,17.78,17.53,17.65,14.28,2403554
2017-06-16,17.42,17.65,17.42,17.62,14.25,5542909
2017-06-19,17.71,17.78,17.55,17.64,14.27,2192394
2017-06-20,17.55,17.58,17.4,17.47,14.13,2572162
2017-06-21,17.48,17.48,17.26,17.32,14.01,2769428
2017-06-22,17.3,17.36,17.2,17.21,13.92,3718024
2017-06-23,17.26,17.3,17.11,17.22,13.93,3570596
2017-06-26,17.26,17.42,17.14,17.29,13.99,2576319
2017-06-27,17.34,17.5,17.29,17.3,13.99,3213330
2017-06-28,17.38,17.6,17.38,17.52,14.17,3034810
2017-06-29,17.76,17.96,17.48,17.71,14.32,3274682
2017-06-30,17.8,17.83,17.59,17.66,14.28,2771488
2017-07-03,17.75,18.06,17.74,17.98,14.54,2062716
2017-07-05,18.03,18.18,17.8,18.02,14.58,4268223
2017-07-06,17.98,18.09,17.76,17.79,14.39,3073094
2017-07-07,17.86,17.94,17.71,17.86,14.45,2215871
2017-07-10,17.84,17.93,17.76,17.79,14.39,2129917
2017-07-11,17.82,17.82,17.63,17.8,14.4,2414585
2017-07-12,17.77,17.88,17.64,17.8,14.4,2949858
2017-07-13,17.8,17.9,17.7,17.81,14.41,2004283
2017-07-14,17.62,17.88,17.45,17.79,14.39,2725993
2017-07-17,17.72,17.8,17.61,17.74,14.35,2405686
2017-07-18,17.62,17.7,17.53,17.62,14.25,2556810
2017-07-19,17.59,17.72,17.52,17.62,14.25,2456408
2017-07-20,17.61,17.68,17.42,17.64,14.27,3525017
2017-07-21,17.69,18.0,17.47,17.51,14.16,3676603
2017-07-24,17.53,17.68,17.5,17.66,14.28,2492702
2017-07-25,17.98,18.03,17.81,17.9,14.48,3700477
2017-07-26,17.91,17.92,17.46,17.49,14.15,3591510
2017-07-27,17.5,17.69,17.44,17.68,14.3,4297110
2017-07-28,17.54,17.66,17.29,17.36,14.18,2218342
2017-07-31,17.4,17.57,17.33,17.44,14.25,5035900
2017-08-01,17.5,17.53,17.26,17.52,14.31,3001651
2017-08-02,17.48,17.57,17.4,17.5,14.29,2357388
2017-08-03,17.47,17.53,17.38,17.44,14.25,2187605
2017-08-04,17.55,17.73,17.49,17.59,14.37,1866434
2017-08-07,17.57,17.59,17.4,17.4,14.21,1769393
2017-08-08,17.36,17.74,17.36,17.46,14.26,2435465
2017-08-09,17.33,17.44,17.23,17.32,14.15,2456797
2017-08-10,17.21,17.26,16.98,16.99,13.88,2510563
2017-08-11,17.04,17.11,16.76,16.82,13.74,2141515
2017-08-14,17.01,17.23,16.97,17.17,14.02,2381303
2017-08-15,17.35,17.36,17.09,17.1,13.97,1523916
2017-08-16,17.24,17.24,17.02,17.05,13.93,1832553
2017-08-17,16.97,17.07,16.6,16.63,13.58,2264783
2017-08-18,16.61,16.77,16.49,16.63,13.58,2014243
2017-08-21,16.65,16.65,16.51,16.58,13.54,1436624
2017-08-22,16.66,16.77,16.65,16.7,13.64,1752462
2017-08-23,16.53,16.81,16.5,16.7,13.64,1553980
2017-08-24,16.75,16.78,16.65,16.67,13.62,1819280
2017-08-25,16.71,16.91,16.67,16.86,13.77,1699962
2017-08-28,16.92,16.93,16.71,16.76,13.69,1123478
2017-08-29,16.6,16.71,16.52,16.66,13.61,1223842
2017-08-30,16.67,16.8,16.62,16.75,13.68,1586669
2017-08-31,16.79,16.83,16.69,16.7,13.64,1878380
2017-09-01,16.72,16.9,16.7,16.85,13.76,1421544
2017-09-05,16.73,16.73,16.34,16.4,13.4,2375512
2017-09-06,16.47,16.52,16.32,16.45,13.44,1832618
2017-09-07,16.39,16.42,15.97,16.07,13.13,2466250
2017-09-08,16.04,16.36,16.04,16.25,13.27,2495010
2017-09-11,16.43,16.79,16.36,16.6,13.56,3069692
2017-09-12,16.6,17.0,16.58,16.92,13.82,2683479
2017-09-13,16.82,16.98,16.78,16.96,13.85,1617290
2017-09-14,16.89,16.98,16.74,16.77,13.7,1921753
2017-09-15,16.75,16.92,16.66,16.91,13.81,4194961
2017-09-18,16.97,17.11,16.95,17.04,13.92,1756060
2017-09-19,17.08,17.28,17.01,17.21,14.06,1721327
2017-09-20,17.14,17.37,17.02,17.33,14.16,1939079
2017-09-21,17.3,17.48,17.3,17.41,14.22,1794766
2017-09-22,17.39,17.42,17.32,17.38,14.2,1913441
2017-09-25,17.33,17.56,17.32,17.48,14.28,1662375
2017-09-26,17.53,17.65,17.47,17.62,14.39,1993816
2017-09-27,17.8,18.0,17.7,17.91,14.63,2407344
2017-09-28,17.96,17.98,17.72,17.97,14.68,1690875
2017-09-29,17.9,18.26,17.9,18.14,14.82,3092405
2017-10-02,18.11,18.24,18.01,18.24,14.9,2523591
2017-10-03,18.22,18.22,18.03,18.14,14.82,1818024
2017-10-04,18.1,18.2,17.89,17.92,14.64,1921227
2017-10-05,17.99,18.24,17.86,18.2,14.87,2099534
2017-10-06,18.28,18.34,18.13,18.24,14.9,1457526
2017-10-09,18.29,18.29,18.13,18.15,14.83,1383396
2017-10-10,18.19,18.33,18.15,18.32,14.96,2072470
2017-10-11,18.33,18.35,18.18,18.28,14.93,1737305
2017-10-12,18.35,18.42,18.24,18.28,14.93,1972394
2017-10-13,18.15,18.31,17.98,18.21,14.87,2189036
2017-10-16,18.2,18.39,18.2,18.28,14.93,3177873
2017-10-17,18.28,18.3,18.06,18.09,14.78,1959814
2017-10-18,18.12,18.27,18.11,18.24,14.9,1269875
