Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,62.95,63.01,62.23,62.69,52.01,1462200
2017-05-25,62.77,63.12,62.15,62.69,52.01,1288300
2017-05-26,62.69,63.0,62.44,62.63,51.96,987600
2017-05-30,62.52,62.91,62.39,62.64,51.97,942800
2017-05-31,62.81,62.98,62.01,62.96,52.23,1730200
2017-06-01,63.16,64.04,62.65,63.69,52.84,1330500
2017-06-02,63.66,64.43,62.97,63.15,52.39,3534500
2017-06-05,62.92,63.0,61.93,62.32,51.7,2570200
2017-06-06,64.35,65.14,63.58,64.12,53.2,3692300
2017-06-07,64.21,64.51,62.87,63.45,52.64,1872100
2017-06-08,63.6,64.27,63.41,63.97,53.07,1646400
2017-06-09,64.01,64.47,63.82,64.01,53.11,1076500
2017-06-12,63.72,64.93,63.72,64.57,53.57,1624700
2017-06-13,64.73,64.94,64.2,64.33,53.37,1327200
2017-06-14,64.13,64.77,63.47,63.89,53.01,1418000
2017-06-15,64.49,65.25,64.15,65.11,54.02,1744500
2017-06-16,65.03,65.23,64.45,65.21,54.1,2252000
2017-06-19,65.45,65.45,64.8,65.19,54.08,1618000
2017-06-20,64.98,65.01,63.97,63.99,53.09,1040700
2017-06-21,63.92,63.94,62.59,62.75,52.06,1470700
2017-06-22,62.56,63.09,62.32,62.75,52.06,1090200
2017-06-23,62.77,63.17,62.49,62.51,51.86,1724500
2017-06-26,62.77,63.32,62.58,63.19,52.43,1218400
2017-06-27,63.11,63.77,62.78,62.8,52.1,1349800
2017-06-28,63.05,65.51,62.97,65.36,54.23,2020700
2017-06-29,65.35,65.97,64.69,65.31,54.18,2656000
2017-06-30,66.13,66.4,65.38,66.04,54.79,2112400
2017-07-03,66.41,67.43,66.18,67.0,55.59,1418300
2017-07-05,67.17,67.35,65.84,66.39,55.08,2532900
2017-07-06,66.42,68.0,66.32,67.2,55.75,3234500
2017-07-07,67.43,68.11,66.85,67.62,56.1,1485100
2017-07-10,67.46,68.94,67.4,68.48,56.81,2194300
2017-07-11,68.4,68.87,68.03,68.52,56.85,1685800
2017-07-12,69.16,69.56,68.48,68.52,56.85,1379700
2017-07-13,68.64,68.81,68.08,68.26,56.63,1529900
2017-07-14,67.87,68.87,67.82,68.65,56.95,947600
2017-07-17,68.65,68.88,68.14,68.23,56.61,1411800
2017-07-18,68.1,68.51,67.88,68.45,56.79,1183400
2017-07-19,68.07,68.63,67.76,68.53,56.86,1491000
2017-07-20,68.78,69.36,68.17,68.55,56.87,1464800
2017-07-21,68.25,69.04,68.13,68.87,57.14,1534100
2017-07-24,69.07,69.42,68.61,69.14,57.36,2695800
2017-07-25,70.0,70.32,67.25,68.64,56.95,4416900
2017-07-26,68.72,69.36,68.37,68.56,56.88,1709600
2017-07-27,68.27,68.73,67.66,68.16,56.55,1489700
2017-07-28,67.9,68.42,67.68,68.18,56.56,1378000
2017-07-31,68.48,69.01,68.2,68.45,56.79,1144000
2017-08-01,68.69,68.69,66.5,67.04,55.62,2268700
2017-08-02,66.66,67.48,66.44,67.44,55.95,1757300
2017-08-03,67.58,68.35,67.28,67.61,56.09,1608000
2017-08-04,67.85,68.76,67.83,68.58,56.9,1535800
2017-08-07,68.47,68.89,68.19,68.55,56.87,1159600
2017-08-08,68.33,69.04,67.81,67.9,56.33,1422400
2017-08-09,67.75,68.0,67.03,67.21,55.76,1572800
2017-08-10,66.53,66.9,65.17,65.21,54.1,2402900
2017-08-11,65.46,65.46,64.76,64.81,53.77,1497800
2017-08-14,65.15,65.52,64.83,65.21,54.31,1666500
2017-08-15,65.46,65.59,64.66,64.87,54.03,1313900
2017-08-16,65.1,65.36,64.34,64.43,53.66,1015600
2017-08-17,64.16,64.16,63.01,63.15,52.59,1727400
