Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,31.73,31.96,31.62,31.69,25.0,3550500
2017-05-25,31.63,31.72,31.49,31.54,24.88,2468400
2017-05-26,31.58,31.64,31.04,31.23,24.64,2669900
2017-05-30,31.2,31.41,31.13,31.22,24.63,1851300
2017-05-31,31.2,31.49,31.11,31.34,24.72,4421900
2017-06-01,31.29,31.51,30.74,31.47,24.83,2854100
2017-06-02,31.64,32.13,31.64,31.9,25.17,3440600
2017-06-05,31.75,31.78,31.47,31.74,25.04,2041500
2017-06-06,31.71,31.83,31.49,31.53,24.87,1858900
2017-06-07,31.52,31.69,31.35,31.4,24.77,2371300
2017-06-08,31.4,31.4,30.67,30.96,24.42,3382000
2017-06-09,30.86,31.33,30.72,31.18,24.6,2416900
2017-06-12,31.26,31.62,31.05,31.62,24.94,4001200
2017-06-13,31.57,31.69,31.39,31.66,24.98,3207800
2017-06-14,32.08,32.52,31.87,31.97,25.22,5060100
2017-06-15,31.74,32.38,31.72,32.17,25.38,2560500
2017-06-16,32.26,32.56,32.06,32.51,25.65,4214600
2017-06-19,32.49,32.84,32.34,32.84,25.91,3678500
2017-06-20,32.82,33.17,32.77,33.09,26.1,2644900
2017-06-21,33.06,33.28,32.86,33.05,26.07,2954100
2017-06-22,33.04,33.33,32.91,33.18,26.18,2175700
2017-06-23,33.21,33.63,33.21,33.39,26.34,3100000
2017-06-26,33.48,33.67,33.33,33.38,26.33,1881200
2017-06-27,33.25,33.43,32.73,32.75,25.84,4143200
2017-06-28,32.75,32.83,32.59,32.74,25.83,3161300
2017-06-29,32.42,32.53,31.92,31.98,25.23,3331100
2017-06-30,32.1,32.33,31.77,31.96,25.21,2813900
2017-07-03,32.1,32.6,32.02,32.55,25.68,1094100
2017-07-05,32.65,32.65,32.02,32.15,25.36,2311100
2017-07-06,32.0,32.03,31.15,31.15,24.57,4374300
2017-07-07,31.21,31.32,30.85,31.21,24.62,2197400
2017-07-10,31.26,31.32,30.88,30.89,24.37,2086000
2017-07-11,30.95,31.07,30.71,30.95,24.42,1702400
2017-07-12,31.21,31.63,31.14,31.47,24.83,2517300
2017-07-13,31.45,31.59,31.3,31.33,24.72,2005800
2017-07-14,31.42,31.8,31.42,31.76,25.05,2362500
2017-07-17,31.79,32.05,31.64,32.01,25.25,3126600
2017-07-18,31.98,32.26,31.83,32.06,25.29,2248700
2017-07-19,32.05,32.34,31.92,32.16,25.37,2493600
