Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,19.56,19.63,19.39,19.49,19.49,713800
2017-05-25,19.49,20.02,19.49,19.81,19.81,949200
2017-05-26,19.83,19.99,19.73,19.92,19.92,773000
2017-05-30,19.84,19.99,19.57,19.65,19.65,937300
2017-05-31,19.61,19.84,19.19,19.33,19.33,1470700
2017-06-01,19.38,19.81,19.38,19.61,19.61,1011900
2017-06-02,19.62,19.81,19.36,19.37,19.37,800000
2017-06-05,19.28,19.53,18.95,19.4,19.4,998400
2017-06-06,19.35,20.16,19.3,20.01,20.01,2155500
2017-06-07,20.01,20.33,19.89,20.31,20.31,1672700
2017-06-08,20.45,21.64,20.4,21.53,21.53,2788700
2017-06-09,21.52,21.74,21.16,21.43,21.43,1578900
2017-06-12,21.32,21.44,20.87,21.25,21.25,1331600
2017-06-13,21.47,22.05,21.44,21.9,21.9,1451300
2017-06-14,21.83,22.19,21.5,21.7,21.7,1239100
2017-06-15,21.47,21.76,21.44,21.51,21.51,1219300
2017-06-16,21.41,21.64,21.09,21.43,21.43,1471300
2017-06-19,21.59,21.6,21.22,21.54,21.54,928600
2017-06-20,21.54,21.55,21.15,21.38,21.38,744500
2017-06-21,21.23,21.34,20.62,20.7,20.7,1186600
2017-06-22,20.89,21.52,20.55,21.5,21.5,1355800
2017-06-23,21.5,21.89,21.34,21.76,21.76,3385800
2017-06-26,21.88,22.1,21.71,22.03,22.03,1398600
2017-06-27,22.07,22.15,21.44,21.53,21.53,2728000
2017-06-28,21.59,21.81,21.46,21.56,21.56,788100
2017-06-29,21.59,21.67,21.1,21.4,21.4,649000
2017-06-30,21.55,21.57,21.25,21.4,21.4,655200
2017-07-03,21.46,21.46,21.08,21.15,21.15,285600
2017-07-05,21.14,21.22,20.78,20.95,20.95,674800
2017-07-06,20.91,21.01,20.57,20.66,20.66,704000
2017-07-07,20.69,21.33,20.57,21.14,21.14,1728300
2017-07-10,21.12,21.22,20.68,20.78,20.78,659500
2017-07-11,20.8,20.99,20.53,20.81,20.81,994100
2017-07-12,20.92,21.12,20.77,20.89,20.89,854500
2017-07-13,20.93,21.26,20.67,20.83,20.83,461000
2017-07-14,20.79,20.94,20.65,20.75,20.75,473800
2017-07-17,20.75,20.83,20.2,20.26,20.26,606100
2017-07-18,20.26,20.66,20.18,20.58,20.58,742300
2017-07-19,20.65,20.88,20.58,20.73,20.73,620800
2017-07-20,20.75,20.86,20.5,20.65,20.65,461700
2017-07-21,20.79,20.88,20.41,20.5,20.5,694700
2017-07-24,20.6,21.46,20.26,21.11,21.11,1177000
2017-07-25,21.3,21.71,21.19,21.66,21.66,1972200
2017-07-26,21.68,21.68,21.15,21.31,21.31,1511900
2017-07-27,20.68,21.8,20.5,20.74,20.74,2662900
2017-07-28,20.55,21.26,20.11,20.14,20.14,1304400
2017-07-31,20.18,20.57,20.03,20.16,20.16,1035700
2017-08-01,20.19,20.44,20.08,20.36,20.36,1304400
2017-08-02,20.39,20.53,19.98,20.31,20.31,597200
2017-08-03,20.34,20.71,20.11,20.31,20.31,921400
2017-08-04,20.37,20.72,20.3,20.52,20.52,1021100
2017-08-07,20.53,20.98,20.53,20.93,20.93,1588100
2017-08-08,20.91,20.94,20.36,20.41,20.41,729600
2017-08-09,20.33,20.92,20.26,20.67,20.67,955000
2017-08-10,20.55,20.95,20.45,20.88,20.88,1228100
2017-08-11,20.99,20.99,20.5,20.74,20.74,899000
2017-08-14,20.96,21.34,20.93,21.32,21.32,1129100
2017-08-15,21.33,21.52,21.15,21.2,21.2,838000
2017-08-16,21.23,21.45,21.21,21.41,21.41,730300
2017-08-17,21.3,21.59,20.82,20.83,20.83,898900
2017-08-18,20.72,20.72,20.19,20.38,20.38,742700
2017-08-21,20.42,20.42,20.05,20.31,20.31,507400
2017-08-22,20.45,21.04,20.45,21.0,21.0,697200
2017-08-23,20.79,20.98,20.67,20.72,20.72,658300
2017-08-24,20.74,20.97,20.6,20.9,20.9,520500
2017-08-25,20.92,21.02,20.65,20.96,20.96,541200
2017-08-28,21.02,21.1,20.7,20.95,20.95,1038100
2017-08-29,20.76,21.2,20.76,21.14,21.14,590400
2017-08-30,21.13,21.4,21.0,21.39,21.39,432500
2017-08-31,21.47,22.32,21.47,22.19,22.19,1278700
2017-09-01,22.24,22.51,22.07,22.41,22.41,1000400
2017-09-05,22.28,22.92,22.28,22.64,22.64,1017900
2017-09-06,22.88,22.89,22.47,22.5,22.5,683600
2017-09-07,22.51,22.91,22.42,22.85,22.85,876900
2017-09-08,22.82,23.03,22.41,22.59,22.59,764100
2017-09-11,22.64,22.86,22.49,22.6,22.6,462200
2017-09-12,22.67,22.67,22.43,22.6,22.6,382900
2017-09-13,22.61,22.64,22.51,22.53,22.53,324200
2017-09-14,22.54,22.62,22.31,22.53,22.53,757600
2017-09-15,22.53,22.76,22.39,22.52,22.52,878000
2017-09-18,22.54,23.08,22.53,22.84,22.84,797200
2017-09-19,22.87,23.05,22.64,22.8,22.8,373500
2017-09-20,22.86,23.01,22.6,22.79,22.79,623700
2017-09-21,22.76,22.76,22.37,22.56,22.56,1144400
2017-09-22,22.55,22.77,22.26,22.5,22.5,1351900
2017-09-25,22.44,22.69,22.2,22.46,22.46,1063500
2017-09-26,22.48,22.97,22.4,22.87,22.87,1018900
2017-09-27,22.9,23.55,22.85,22.97,22.97,1232900
2017-09-28,22.92,23.22,22.86,23.21,23.21,511100
2017-09-29,23.24,23.5,23.11,23.39,23.39,578300
2017-10-02,23.29,23.49,23.09,23.31,23.31,742100
2017-10-03,23.34,23.42,23.11,23.31,23.31,636000
2017-10-04,23.23,23.42,22.74,22.91,22.91,794000
2017-10-05,22.92,24.74,22.92,24.05,24.05,3292900
2017-10-06,23.79,24.3,23.51,24.0,24.0,1264600
2017-10-09,24.0,24.0,23.61,23.67,23.67,574900
2017-10-10,23.84,23.84,23.23,23.55,23.55,473900
2017-10-11,23.57,24.04,23.5,23.7,23.7,712700
2017-10-12,23.7,23.85,23.37,23.63,23.63,635300
2017-10-13,23.7,24.01,23.54,23.71,23.71,694600
2017-10-16,23.74,24.01,23.5,23.59,23.59,535600
2017-10-17,23.64,24.12,23.56,23.97,23.97,701100
2017-10-18,24.16,25.21,24.08,25.2,25.2,2000600
2017-10-19,24.91,25.03,24.58,24.92,24.92,1506900
2017-10-20,25.19,25.2,25.03,25.13,25.13,432000
2017-10-23,25.28,25.39,24.85,25.01,25.01,638500
2017-10-24,25.24,25.46,25.0,25.17,25.17,671300
2017-10-25,25.15,25.46,24.76,25.37,25.37,1447600
2017-10-26,25.3,25.3,23.92,24.66,24.66,2530600
