Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,115.31,116.33,115.12,116.06,100.22,2816000
2017-05-25,116.36,117.68,116.15,117.53,101.49,3596200
2017-05-26,117.25,118.0,117.2,117.91,101.82,3104800
2017-05-30,117.74,118.12,117.5,118.01,101.91,3231600
2017-05-31,116.91,117.94,116.87,116.87,101.62,5232900
2017-06-01,116.8,117.26,116.06,117.23,101.93,4404900
2017-06-02,117.46,117.7,117.04,117.67,102.31,3162900
2017-06-05,117.39,117.97,117.05,117.88,102.49,2968800
2017-06-06,117.78,117.94,117.46,117.7,102.34,2643200
2017-06-07,117.17,117.57,116.82,117.05,101.77,3681100
2017-06-08,117.05,117.08,115.59,115.89,100.76,3956700
2017-06-09,115.66,116.13,115.36,115.94,100.81,3197700
2017-06-12,115.94,116.62,115.94,116.23,101.06,3492100
2017-06-13,115.47,116.59,115.47,116.32,101.14,2760000
2017-06-14,116.91,118.06,116.83,117.37,102.05,3597200
2017-06-15,117.0,117.48,116.51,117.21,101.91,3372700
2017-06-16,117.37,117.4,116.3,116.86,101.61,5156200
2017-06-19,117.02,117.29,116.23,117.29,101.98,2436600
2017-06-20,117.29,118.14,117.18,117.95,102.55,3703500
2017-06-21,117.78,118.24,117.24,117.42,102.09,3767100
2017-06-22,117.33,117.41,116.05,116.15,100.99,3288100
2017-06-23,116.21,117.37,116.09,116.96,101.69,3453400
2017-06-26,117.42,117.83,117.06,117.12,101.83,2704000
2017-06-27,117.24,117.38,115.94,115.94,100.81,2884300
2017-06-28,116.52,116.87,116.2,116.38,101.19,3110600
2017-06-29,116.07,116.2,114.89,115.18,100.15,3474400
2017-06-30,115.53,116.11,115.3,115.49,100.42,3313300
2017-07-03,115.55,116.0,115.34,115.44,100.37,2250800
2017-07-05,115.5,115.55,114.88,115.3,100.25,4023100
2017-07-06,114.97,115.42,114.85,115.13,100.1,4007000
2017-07-07,115.41,115.66,114.83,115.51,100.43,3972500
2017-07-10,115.92,116.0,114.2,114.27,99.35,5771200
