Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,61.79,61.99,61.45,61.96,50.83,1032300
2017-05-25,62.15,62.76,62.0,62.66,51.4,1324100
2017-05-26,62.48,63.12,62.48,62.75,51.47,1045400
2017-05-30,62.55,62.71,62.11,62.52,51.29,671900
2017-05-31,62.65,62.95,62.0,62.91,51.61,1536800
2017-06-01,62.75,64.08,62.43,64.08,52.95,1002800
2017-06-02,63.71,64.19,63.4,63.96,52.85,886600
2017-06-05,63.91,64.06,63.21,63.29,52.3,899400
2017-06-06,62.78,62.93,62.02,62.07,51.29,1145600
2017-06-07,62.24,62.68,61.95,62.41,51.57,906500
2017-06-08,62.41,64.18,62.4,63.63,52.58,1568600
2017-06-09,63.95,64.99,63.95,64.91,53.64,1025300
2017-06-12,64.72,65.31,64.72,64.97,53.69,1245100
2017-06-13,65.12,65.86,64.98,65.54,54.16,1058200
2017-06-14,65.05,65.48,64.43,65.36,54.01,1122800
2017-06-15,64.74,65.22,64.64,65.2,53.88,1234500
2017-06-16,65.32,65.52,65.06,65.35,54.0,1649300
2017-06-19,65.78,66.12,65.5,65.88,54.44,838000
2017-06-20,65.64,65.74,64.98,65.02,53.73,866300
2017-06-21,65.14,65.14,63.79,63.86,52.77,1000700
2017-06-22,63.48,63.48,62.31,62.69,51.8,1397100
2017-06-23,62.91,63.08,62.4,62.58,51.71,1761500
2017-06-26,62.85,63.49,62.61,63.06,52.11,863100
2017-06-27,63.32,64.05,63.1,63.4,52.39,970000
2017-06-28,63.99,64.82,63.94,64.69,53.46,928500
2017-06-29,65.54,65.63,64.15,64.53,53.32,1383300
2017-06-30,64.86,65.0,64.06,64.07,52.94,1376200
2017-07-03,64.57,65.33,64.39,64.76,53.51,752700
2017-07-05,64.8,64.85,64.17,64.25,53.09,1589800
2017-07-06,64.28,64.82,63.93,64.12,52.99,1624500
2017-07-07,64.38,64.9,64.17,64.61,53.39,1270200
2017-07-10,64.57,65.57,64.46,65.36,54.01,1101900
2017-07-11,65.42,65.68,64.93,65.16,53.84,743500
2017-07-12,65.27,65.54,65.1,65.51,54.13,717900
2017-07-13,65.58,66.05,65.43,65.95,54.5,795100
2017-07-14,65.36,66.31,65.19,66.1,54.62,806500
2017-07-17,65.99,66.47,65.61,66.34,54.82,1097400
2017-07-18,65.95,66.57,65.88,66.41,54.88,520900
2017-07-19,66.49,66.95,66.23,66.7,55.12,859400
2017-07-20,66.81,66.87,65.86,65.89,54.45,1029400
2017-07-21,65.79,66.46,65.79,66.42,54.89,681700
2017-07-24,66.28,66.62,66.13,66.38,54.85,676600
2017-07-25,67.0,67.5,66.67,67.16,55.5,880900
2017-07-26,67.26,67.28,66.45,66.66,55.08,648300
2017-07-27,66.92,67.37,66.23,66.63,55.06,810600
2017-07-28,67.11,67.58,65.46,67.37,55.67,1095000
2017-07-31,67.73,67.73,66.74,66.75,55.16,1243100
2017-08-01,67.12,67.12,66.19,66.72,55.13,1241200
2017-08-02,66.62,66.87,65.99,66.66,55.08,743100
2017-08-03,66.42,66.75,66.27,66.55,54.99,788200
2017-08-04,67.0,67.19,66.62,67.04,55.4,769800
2017-08-07,67.03,67.1,66.49,66.51,54.96,588400
2017-08-08,66.45,67.24,66.15,66.23,54.73,954600
2017-08-09,65.79,66.18,65.56,65.99,54.53,924900
2017-08-10,65.56,65.61,64.42,64.43,53.24,1023200
2017-08-11,64.34,65.09,64.22,64.32,53.15,851700
2017-08-14,64.94,65.37,64.88,65.01,53.72,678600
2017-08-15,65.6,65.69,64.99,65.0,53.71,945800
2017-08-16,65.33,65.54,65.07,65.16,53.84,1003800
2017-08-17,64.91,65.11,62.82,62.93,52.0,1263300
2017-08-18,62.7,63.27,62.39,62.93,52.0,1204700
2017-08-21,63.0,63.07,62.48,62.73,51.84,753000
2017-08-22,62.96,63.14,62.67,62.87,51.95,1101100
2017-08-23,62.32,63.08,62.18,62.97,52.04,888500
2017-08-24,63.39,63.51,63.03,63.07,52.12,679300
2017-08-25,63.35,63.59,63.28,63.33,52.33,857300
2017-08-28,63.37,63.49,63.05,63.32,52.32,614000
2017-08-29,62.64,62.81,61.88,62.66,51.78,970700
2017-08-30,62.33,62.72,62.31,62.56,52.09,772300
2017-08-31,62.83,62.88,62.11,62.52,52.05,1056800
2017-09-01,62.65,63.51,62.56,63.31,52.71,793800
2017-09-05,62.82,63.03,61.55,61.82,51.47,1070400
2017-09-06,62.11,62.43,61.28,61.29,51.03,1943600
2017-09-07,61.32,61.38,59.69,59.92,49.89,1304700
2017-09-08,59.92,60.85,59.62,60.67,50.51,1084700
2017-09-11,61.49,62.02,61.17,61.88,51.52,1096800
2017-09-12,62.26,62.67,62.12,62.47,52.01,667300
2017-09-13,62.27,62.41,62.04,62.25,51.83,726500
2017-09-14,62.26,62.45,61.75,62.01,51.63,1056300
2017-09-15,61.82,62.56,61.81,62.51,52.05,1364400
2017-09-18,62.78,62.92,62.32,62.42,51.97,989700
2017-09-19,62.38,63.01,62.35,62.9,52.37,912800
2017-09-20,63.11,63.28,62.4,63.12,52.55,630800
2017-09-21,63.13,63.41,62.9,62.93,52.4,917000
2017-09-22,62.85,63.41,62.68,63.12,52.55,867600
2017-09-25,62.96,63.41,62.71,63.38,52.77,644500
2017-09-26,63.4,63.47,63.01,63.36,52.75,651300
2017-09-27,64.14,64.75,63.93,64.52,53.72,1085100
2017-09-28,64.53,64.58,63.72,64.0,53.29,793100
2017-09-29,63.81,64.49,63.81,64.34,53.57,1021300
2017-10-02,64.62,65.11,64.46,64.92,54.05,1149900
2017-10-03,64.93,65.36,64.52,65.34,54.4,1342600
2017-10-04,65.43,65.99,65.28,65.82,54.8,910100
2017-10-05,65.84,66.89,65.63,66.57,55.43,940600
2017-10-06,66.8,66.98,66.13,66.65,55.49,724300
2017-10-09,66.77,66.79,66.34,66.59,55.44,479500
2017-10-10,66.66,67.52,66.61,67.5,56.2,806000
2017-10-11,67.31,67.48,66.95,67.3,56.03,663700
2017-10-12,67.1,67.59,66.96,67.33,56.06,879300
2017-10-13,67.44,67.95,67.15,67.21,55.96,723300
2017-10-16,67.37,67.54,67.19,67.32,56.05,629400
2017-10-17,67.43,67.61,67.08,67.57,56.26,905700
2017-10-18,67.8,68.01,67.57,67.9,56.53,860500
2017-10-19,67.56,68.18,67.39,68.17,56.76,667500
2017-10-20,68.87,68.9,67.71,67.75,56.41,1063600
2017-10-23,68.05,68.32,67.51,68.27,56.84,893900
2017-10-24,68.4,68.66,67.86,68.57,57.09,1032600
2017-10-25,68.75,68.77,67.25,67.68,56.35,1049000
2017-10-26,68.22,68.3,67.65,68.2,56.78,1005700
2017-10-27,67.59,69.2,66.63,68.1,56.7,1270100
2017-10-30,67.81,67.83,66.44,66.52,55.38,1003600
2017-10-31,66.62,67.13,65.8,65.85,54.83,1404500
2017-11-01,66.21,67.21,65.98,67.13,55.89,1694200
2017-11-02,67.27,69.4,66.95,68.89,57.36,2275800
2017-11-03,68.67,68.82,68.19,68.32,56.88,1262000
2017-11-06,68.03,69.46,68.0,69.22,57.63,1026000
2017-11-07,69.25,69.95,68.86,69.11,57.54,1459300
2017-11-08,68.9,68.99,67.7,68.49,57.02,1429800
