Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,41.57,41.85,41.53,41.82,35.44,2230200
2017-05-25,41.93,42.35,41.84,42.27,35.82,1905500
2017-05-26,42.32,42.44,42.13,42.3,35.85,2430900
2017-05-30,42.14,42.33,42.1,42.22,35.78,1496500
2017-05-31,42.26,42.46,42.17,42.43,35.96,4754900
2017-06-01,42.49,42.76,42.32,42.76,36.24,2359800
2017-06-02,42.79,43.14,42.69,43.08,36.51,2515500
2017-06-05,43.04,43.22,42.89,43.06,36.49,1911800
2017-06-06,42.91,43.26,42.85,42.96,36.41,2488600
2017-06-07,43.21,43.23,42.93,42.95,36.4,2042200
2017-06-08,42.95,43.13,42.8,43.06,36.49,3612800
2017-06-09,43.12,43.52,43.02,43.48,36.85,2433000
2017-06-12,43.44,43.7,43.19,43.68,37.02,2727500
2017-06-13,43.65,43.82,43.54,43.61,36.96,2686600
2017-06-14,43.53,44.52,43.47,44.41,37.64,3245600
2017-06-15,44.38,44.74,44.28,44.74,37.92,2363000
2017-06-16,44.76,44.88,44.53,44.83,37.99,3083900
2017-06-19,45.03,45.03,44.41,44.7,37.88,4931800
2017-06-20,44.72,44.82,44.37,44.41,37.64,1915100
2017-06-21,44.56,44.56,44.36,44.47,37.69,2748500
2017-06-22,44.27,44.42,43.99,44.09,37.36,2472200
2017-06-23,44.15,44.48,43.94,44.39,37.62,14861500
2017-06-26,44.46,44.67,44.31,44.56,37.76,2355300
2017-06-27,44.53,44.71,44.4,44.63,37.82,2587700
2017-06-28,44.83,44.86,44.45,44.53,37.74,2294800
2017-06-29,44.7,44.74,43.99,44.15,37.42,2081600
2017-06-30,44.35,44.51,44.07,44.09,37.36,2449000
2017-07-03,44.21,44.81,44.21,44.31,37.55,1208200
2017-07-05,44.43,44.8,44.16,44.76,37.93,2891200
2017-07-06,44.75,44.85,44.38,44.43,37.65,4703300
2017-07-07,44.47,45.17,44.43,44.99,38.13,2192000
2017-07-10,44.76,45.11,44.76,45.0,38.14,3246100
2017-07-11,45.03,45.11,44.55,44.58,37.78,2248900
2017-07-12,44.67,44.95,44.5,44.86,38.02,2784200
2017-07-13,46.33,46.33,44.87,45.2,38.31,4589800
2017-07-14,45.08,45.63,45.0,45.58,38.63,2982200
2017-07-17,45.58,45.58,45.17,45.45,38.52,5069700
2017-07-18,45.25,45.94,45.24,45.34,38.42,4987600
2017-07-19,45.48,45.67,45.28,45.67,38.7,2349200
2017-07-20,45.67,46.53,45.55,46.48,39.39,3142000
2017-07-21,46.38,46.46,46.21,46.36,39.29,2876800
2017-07-24,46.42,46.88,46.36,46.78,39.64,1940500
2017-07-25,47.12,47.18,46.68,46.91,39.75,1766000
2017-07-26,46.97,47.0,46.39,46.51,39.42,2226600
2017-07-27,46.5,46.56,46.08,46.28,39.22,2915700
2017-07-28,46.33,47.28,46.33,47.22,40.02,3113000
2017-07-31,47.3,47.38,47.04,47.13,39.94,2744000
2017-08-01,47.26,47.28,47.02,47.26,40.05,2310400
2017-08-02,47.32,47.52,47.13,47.22,40.02,2492000
2017-08-03,47.23,47.68,47.09,47.61,40.35,3017200
2017-08-04,47.75,47.75,47.52,47.71,40.43,1817600
2017-08-07,47.73,47.75,47.53,47.67,40.4,1965100
2017-08-08,47.58,47.77,47.5,47.64,40.37,2378300
2017-08-09,47.61,48.04,47.59,48.04,40.71,2786200
2017-08-10,47.83,47.94,47.55,47.71,40.43,2485500
2017-08-11,47.7,47.94,47.17,47.23,40.03,2943200
2017-08-14,47.51,47.81,47.4,47.77,40.48,1481000
2017-08-15,47.79,47.86,47.48,47.59,40.33,2158100
2017-08-16,47.95,48.95,47.65,48.71,41.28,3892300
2017-08-17,48.76,48.98,48.44,48.51,41.11,3891300
2017-08-18,48.43,48.9,48.3,48.63,41.21,3466100
2017-08-21,48.63,48.77,48.1,48.69,41.26,2615000
2017-08-22,48.71,48.98,48.59,48.89,41.43,2501000
2017-08-23,48.73,49.01,48.73,48.83,41.38,1721300
2017-08-24,48.94,48.94,48.24,48.26,40.9,2619000
2017-08-25,48.43,48.74,48.38,48.4,41.02,2406400
2017-08-28,47.45,47.75,46.98,47.31,40.09,6050100
2017-08-29,47.15,47.64,47.14,47.63,40.36,3208800
2017-08-30,47.6,47.78,46.4,46.57,39.47,5079100
2017-08-31,46.52,46.8,46.38,46.48,39.39,4557200
2017-09-01,46.52,46.68,45.64,45.66,38.7,6624400
2017-09-05,45.28,45.33,43.98,44.11,37.38,7658500
2017-09-06,44.2,45.54,44.12,44.94,38.08,5991400
2017-09-07,44.92,44.92,43.59,43.73,37.06,5818000
2017-09-08,43.6,45.51,43.6,45.41,38.48,7058900
2017-09-11,46.49,47.55,46.24,46.42,39.34,7352400
2017-09-12,46.3,46.62,45.96,46.58,39.47,4302700
2017-09-13,46.23,46.37,45.74,46.14,39.1,3098600
2017-09-14,46.09,46.09,45.43,46.07,39.04,3167800
2017-09-15,46.07,46.45,45.96,46.02,39.0,3690400
2017-09-18,46.17,46.33,45.9,46.31,39.25,3153100
2017-09-19,47.14,48.3,47.14,47.63,40.36,6611400
2017-09-20,47.67,48.01,47.5,47.7,40.42,5060800
2017-09-21,47.64,48.13,47.58,47.68,40.41,3923300
2017-09-22,47.61,48.02,47.42,47.98,40.66,3044100
2017-09-25,47.93,48.06,47.61,48.0,40.68,4710000
2017-09-26,47.91,48.29,47.8,47.85,40.55,2941600
2017-09-27,48.13,48.3,47.61,47.71,40.43,2857100
2017-09-28,47.69,48.08,47.57,48.06,40.73,4015000
2017-09-29,47.96,48.44,47.86,48.42,41.03,1974600
2017-10-02,48.39,49.19,48.36,49.03,41.55,3457100
2017-10-03,48.92,49.1,48.79,49.07,41.58,2542800
2017-10-04,49.01,49.3,48.94,49.17,41.67,3555400
2017-10-05,49.21,49.26,48.99,49.05,41.57,2757500
2017-10-06,49.1,49.41,48.94,49.28,41.76,1815200
2017-10-09,49.34,49.75,49.17,49.45,41.91,2292200
2017-10-10,49.44,49.63,49.16,49.37,41.84,2197500
2017-10-11,49.29,49.36,48.96,49.25,41.74,2336600
2017-10-12,49.32,49.41,48.7,48.75,41.31,3064800
2017-10-13,48.84,49.16,48.64,48.67,41.25,3216300
2017-10-16,48.67,49.12,48.67,48.98,41.51,3142500
2017-10-17,49.0,49.47,48.08,48.55,41.14,5517400
2017-10-18,48.86,48.98,47.89,48.09,40.75,4103900
2017-10-19,48.04,48.7,47.92,48.69,41.26,2502700
2017-10-20,48.97,49.02,48.52,48.91,41.45,3089700
2017-10-23,48.98,49.06,48.76,48.9,41.44,3002900
2017-10-24,48.99,49.28,48.84,49.03,41.55,3221400
2017-10-25,48.9,49.01,48.56,48.61,41.2,2827900
2017-10-26,48.87,49.25,48.67,49.15,41.65,2883100
2017-10-27,48.95,49.12,48.66,48.9,41.44,2683200
2017-10-30,48.79,49.11,48.66,48.66,41.24,2385100
2017-10-31,48.7,48.93,48.59,48.65,41.23,2690000
2017-11-01,48.85,48.93,48.69,48.8,41.36,1873500
2017-11-02,48.88,50.14,48.84,49.31,41.79,3538300
2017-11-03,49.18,50.27,49.15,50.15,42.5,3884800
2017-11-06,49.81,50.4,49.74,50.21,42.55,3272600
2017-11-07,50.31,51.0,50.29,50.49,42.79,1831000
2017-11-08,50.4,50.72,50.28,50.55,42.84,1778800
2017-11-09,50.39,50.73,50.14,50.64,42.92,1939300
2017-11-10,50.48,50.86,50.18,50.75,43.01,1292300
2017-11-13,50.55,51.21,50.4,51.1,43.31,3418900
2017-11-14,50.8,51.54,50.72,51.28,43.46,2894800
2017-11-15,51.17,51.89,50.95,51.65,43.77,3130400
2017-11-16,52.0,52.08,51.43,51.57,43.7,2940100
2017-11-17,51.39,51.68,51.32,51.55,43.69,2240700
2017-11-20,51.65,51.9,51.55,51.82,43.92,2015200
2017-11-21,52.0,52.26,51.75,51.87,43.96,4230000
2017-11-22,51.88,51.88,51.48,51.68,43.8,2078700
2017-11-24,51.86,51.95,51.61,51.85,43.94,1726300
2017-11-27,51.93,52.24,51.86,52.07,44.13,2086800
2017-11-28,52.05,52.82,52.02,52.78,44.73,3747800
2017-11-29,52.92,53.29,52.4,52.45,44.45,3706100
